ECG,EDA,RR
32768,26103,33281
32772,26133,33228
32812,26183,33060
32789,26231,33284
32783,26258,33135
32761,26266,33249
32744,26232,33068
32732,26190,33096
32733,26138,33255
32756,26110,33223
32764,26104,33252
32737,26140,33102
32784,26181,33238
32808,26228,33255
32804,26250,33111
32820,26253,33275
32800,26231,33159
32788,26185,33252
32768,26137,33188
32729,26107,33215
32724,26102,33104
32724,26130,33231
32709,26182,33149
32709,26226,33271
32720,26249,33108
32720,26265,33157
32766,26233,33284
32760,26179,33127
32744,26132,33304
32740,26101,33259
32744,26108,33124
32812,26127,33193
32824,26178,33286
32849,26215,33181
32838,26251,33220
32849,26252,33292
32834,26228,33294
32832,26181,33303
32800,26129,33273
32772,26104,33257
32790,26094,33159
32798,26127,33248
32766,26174,33317
32736,26230,33305
32749,26257,33309
32758,26257,33175
32736,26225,33219
32732,26180,33182
32672,26132,33229
32668,26103,33191
32664,26102,33287
32664,26129,33316
32721,26179,33164
32785,26220,33310
32824,26251,33274
32812,26254,33197
32822,26226,33343
32784,26183,33342
32740,26127,33214
32740,26103,33415
32756,26096,33366
32740,26131,33208
32729,26180,33256
32736,26225,33416
32712,26245,33403
32728,26247,33278
32724,26220,33303
32720,26179,33233
32712,26133,33445
32700,26100,33410
32644,26097,33268
32653,26127,33301
32653,26178,33232
32637,26222,33460
32660,26247,33415
32676,26249,33252
32654,26220,33474
32676,26175,33445
32688,26132,33286
32673,26095,33356
32676,26095,33276
32692,26127,33381
32696,26172,33441
32700,26217,33300
32692,26253,33497
32704,26252,33377
32676,26216,33308
32700,26180,33509
32676,26135,33484
32680,26083,33327
32716,26101,33454
32732,26133,33487
32681,26175,33420
32668,26216,33472
32660,26247,33336
32700,26256,33380
32720,26220,33500
32773,26181,33485
32841,26135,33446
32876,26102,33391
32876,26099,33384
32892,26119,33348
32948,26174,33517
32944,26218,33415
32944,26252,33353
32892,26261,33436
32812,26221,33476
32788,26173,33334
32768,26132,33518
32752,26099,33508
32768,26094,33490
32804,26123,33369
32800,26175,33559
32792,26219,33505
32764,26249,33474
32772,26247,33520
32788,26221,33356
32832,26179,33492
32824,26125,33436
32796,26093,33541
32784,26090,33383
32756,26127,33509
32740,26173,33436
32749,26212,33556
32745,26247,33405
32740,26247,33457
32748,26221,33374
32748,26175,33556
32728,26124,33447
32696,26101,33562
32724,26092,33407
32716,26119,33576
32712,26169,33530
32708,26217,33380
32714,26244,33592
32700,26246,33556
32689,26220,33396
32677,26177,33582
32656,26127,33476
32644,26095,33390
32633,26095,33564
32636,26119,33540
32588,26175,33583
32544,26215,33455
32476,26242,33539
32364,26254,33605
32240,26223,33573
32089,26177,33605
31724,26133,33476
31320,26096,33575
30833,26100,33602
30297,26129,33453
29661,26182,33653
29060,26236,33550
28628,26262,33646
28256,26268,33492
28148,26247,33684
28060,26196,33637
28124,26148,33509
28244,26116,33596
28304,26119,33661
28180,26153,33656
28304,26197,33568
28768,26247,33661
29525,26273,33679
30160,26271,33674
30832,26241,33528
31744,26188,33676
32524,26142,33677
33032,26101,33519
33700,26100,33727
34436,26127,33668
34832,26178,33536
34680,26231,33687
34354,26253,33685
34030,26260,33543
33804,26233,33700
33664,26188,33700
33524,26137,33604
33444,26105,33612
33380,26107,33516
33360,26128,33632
33376,26180,33697
33404,26229,33586
33408,26257,33679
33412,26257,33660
33440,26230,33695
33388,26181,33503
33364,26134,33722
33375,26100,33660
33352,26093,33516
33360,26124,33543
33316,26175,33644
33336,26225,33687
33336,26252,33516
33328,26252,33744
33292,26223,33679
33268,26181,33721
33272,26135,33594
33276,26103,33674
33247,26092,33533
33244,26126,33732
33240,26177,33648
33200,26221,33557
33180,26247,33787
33176,26260,33743
33134,26223,33584
33132,26177,33700
33136,26129,33692
33104,26098,33769
33118,26100,33703
33084,26125,33653
33088,26169,33590
33068,26221,33601
33104,26244,33798
33084,26247,33762
33052,26225,33581
33004,26180,33780
33000,26132,33661
33040,26101,33748
33068,26093,33575
33074,26119,33782
33064,26166,33631
33028,26222,33740
33026,26248,33720
32992,26252,33696
32980,26229,33553
32964,26178,33764
32920,26135,33725
32880,26099,33556
32896,26093,33745
32932,26119,33702
32912,26171,33543
32892,26221,33669
32864,26247,33644
32836,26249,33687
32828,26221,33490
32812,26175,33700
32748,26129,33585
32745,26096,33661
32716,26095,33568
32692,26125,33584
32685,26172,33492
32720,26214,33543
32741,26247,33610
32762,26250,33454
32754,26225,33479
32716,26173,33573
32672,26127,33397
32612,26094,33420
32596,26096,33577
32548,26128,33511
32520,26171,33348
32512,26212,33473
32480,26248,33408
32452,26247,33341
32380,26225,33489
32320,26177,33377
32296,26119,33316
32288,26105,33508
32276,26095,33455
32292,26119,33302
32316,26173,33423
32281,26219,33424
32256,26255,33265
32252,26254,33411
32128,26223,33352
32084,26181,33392
32056,26130,33223
32028,26103,33424
32020,26093,33201
32010,26129,33376
32001,26175,33295
31953,26221,33364
31920,26246,33348
31892,26258,33322
31848,26223,33361
31800,26180,33231
31772,26133,33292
31704,26105,33164
31704,26099,33355
31728,26132,33284
31724,26180,33316
31740,26226,33152
31733,26252,33340
31716,26258,33270
31720,26221,33127
31745,26183,33316
31728,26132,33276
31712,26100,33124
31672,26101,33214
31676,26132,33269
31712,26175,33173
31764,26223,33152
31776,26253,33252
31797,26255,33218
31808,26223,33135
31872,26180,33067
31896,26135,33252
31936,26103,33231
32004,26095,33081
32122,26130,33188
32196,26175,33223
32296,26228,33082
32392,26248,33124
32469,26252,33036
32562,26228,33138
32676,26178,33149
32784,26128,33214
32860,26103,33180
32901,26094,33175
32968,26132,33025
33024,26177,33204
33120,26220,33140
33212,26253,33007
33256,26252,33200
33296,26230,33166
33349,26176,33018
33404,26133,33094
33420,26100,33159
33460,26095,33093
33469,26134,33141
33504,26171,32968
33540,26217,33167
33556,26247,33124
33592,26254,32955
33628,26228,33141
33624,26175,33125
33668,26133,33117
33684,26095,33116
33664,26095,32954
33656,26116,33031
33680,26167,33095
33644,26213,32932
33672,26247,33009
33684,26255,33081
33657,26223,33044
33704,26175,33020
33696,26129,32884
33620,26094,33041
33604,26097,33028
33584,26119,32869
33594,26174,33041
33608,26215,32984
33588,26240,33031
33548,26246,32879
33492,26223,33044
33485,26177,33005
33504,26125,32846
33508,26092,33021
33540,26093,32910
33556,26119,33004
33572,26169,32857
33556,26217,32853
33528,26244,33021
33500,26247,32937
33484,26221,32816
33508,26170,32965
33504,26133,32951
33492,26093,32815
33497,26089,33004
33496,26119,32894
33492,26172,32787
33468,26212,32983
33460,26246,32933
33468,26247,32790
33446,26223,32876
33420,26173,32911
33388,26127,32948
33356,26095,32814
33328,26093,32823
33360,26119,32750
33388,26173,32890
33376,26213,32772
33356,26247,32822
33364,26245,32758
33356,26221,32828
33328,26177,32745
33372,26125,32856
33397,26093,32754
33388,26090,32939
33364,26119,32889
33352,26168,32744
33364,26215,32796
33368,26247,32735
33333,26247,32775
33300,26221,32710
33288,26180,32898
33292,26119,32877
33278,26092,32820
33316,26095,32862
33324,26119,32873
33317,26167,32852
33308,26213,32700
33288,26247,32775
33260,26247,32837
33249,26214,32705
33256,26168,32764
33248,26127,32814
33256,26092,32817
33247,26098,32807
33236,26119,32644
33236,26164,32748
33228,26217,32606
33216,26244,32743
33221,26247,32772
33241,26221,32613
33278,26173,32652
33249,26119,32577
33233,26085,32717
33258,26088,32755
33260,26119,32585
33228,26170,32701
33230,26217,32565
33256,26247,32710
33278,26246,32720
33232,26220,32560
33212,26175,32708
33236,26119,32711
33212,26097,32557
33169,26086,32669
33177,26119,32700
33162,26169,32649
33168,26211,32592
33156,26243,32508
33157,26249,32621
33108,26211,32528
33088,26170,32711
33064,26118,32590
33084,26087,32680
33120,26087,32577
33157,26117,32681
33204,26167,32696
33228,26209,32671
33221,26243,32623
33204,26242,32660
33172,26213,32638
33128,26164,32635
33125,26116,32499
33113,26089,32612
33132,26087,32509
33152,26108,32660
33156,26161,32637
33160,26209,32468
33140,26237,32623
33104,26245,32644
33092,26208,32653
33060,26166,32520
33068,26114,32598
33108,26088,32452
33108,26084,32634
33086,26112,32590
33104,26151,32461
33097,26209,32506
33120,26240,32623
33084,26230,32586
33040,26208,32439
33036,26166,32524
33028,26118,32591
33001,26091,32412
33012,26089,32596
33004,26109,32587
33016,26157,32403
33008,26204,32449
33036,26236,32509
33040,26247,32541
33037,26221,32390
33012,26171,32440
32986,26117,32519
32942,26082,32453
32932,26080,32538
32968,26114,32343
32964,26167,32484
32976,26213,32413
32984,26237,32517
32938,26238,32339
32925,26207,32519
32928,26164,32471
32968,26118,32328
33000,26081,32492
33008,26084,32500
32992,26110,32511
32948,26159,32460
32925,26212,32406
32920,26232,32301
32943,26238,32489
32960,26211,32464
32960,26160,32464
32917,26114,32457
32888,26080,32484
32860,26081,32437
32868,26115,32270
32900,26158,32421
32912,26203,32284
32928,26238,32337
32912,26245,32292
32904,26209,32428
32900,26156,32414
32912,26115,32313
32889,26084,32384
32864,26079,32242
32856,26104,32437
32856,26153,32396
32842,26203,32255
32857,26228,32383
32856,26237,32356
32817,26209,32229
32812,26167,32303
32780,26109,32289
32766,26084,32400
32797,26081,32253
32832,26105,32343
32864,26153,32390
32877,26197,32212
32852,26236,32364
32836,26236,32381
32812,26200,32255
32768,26163,32287
32780,26113,32221
32784,26084,32214
32784,26080,32390
32792,26103,32340
32792,26146,32192
32829,26192,32326
32828,26228,32313
32812,26238,32180
32796,26201,32343
32784,26150,32309
32796,26111,32179
32808,26077,32357
32796,26077,32308
32816,26100,32173
32778,26143,32335
32804,26205,32281
32832,26231,32180
32808,26228,32281
32788,26202,32302
32780,26155,32161
32772,26108,32348
32792,26077,32217
32800,26071,32327
32832,26105,32156
32860,26145,32260
32880,26196,32169
32869,26228,32338
32836,26222,32327
32832,26204,32292
32800,26160,32206
32776,26103,32173
32776,26075,32341
32780,26071,32178
32776,26093,32227
32780,26150,32164
32804,26196,32196
32800,26228,32152
32816,26229,32260
32849,26196,32312
32840,26156,32263
32844,26101,32285
32848,26077,32151
32864,26069,32238
32860,26095,32135
32816,26145,32322
32796,26188,32320
32785,26221,32324
32736,26229,32160
32756,26197,32333
32748,26148,32268
32768,26101,32164
32776,26067,32216
32840,26062,32175
32852,26101,32244
32842,26146,32208
32832,26186,32329
32840,26220,32308
32836,26222,32301
32848,26196,32165
32832,26151,32343
32774,26100,32313
32748,26071,32180
32732,26069,32225
32720,26095,32341
32720,26135,32207
32728,26191,32277
32712,26220,32340
32720,26223,32304
32704,26188,32244
32700,26149,32343
32737,26101,32196
32740,26068,32305
32761,26063,32352
32748,26092,32359
32761,26135,32191
32720,26186,32279
32712,26222,32255
32744,26218,32231
32732,26195,32263
32664,26141,32287
32672,26092,32364
32693,26064,32223
32700,26055,32316
32684,26092,32340
32685,26135,32196
32668,26183,32331
32720,26213,32257
32708,26215,32379
32668,26190,32211
32612,26140,32263
32623,26093,32364
32608,26066,32324
32588,26062,32232
32604,26085,32309
32646,26141,32284
32700,26189,32224
32720,26213,32369
32696,26217,32364
32676,26193,32228
32672,26141,32374
32664,26092,32391
32680,26053,32237
32672,26063,32396
32680,26085,32359
32680,26135,32212
32704,26186,32404
32772,26215,32364
32772,26213,32239
32804,26184,32316
32852,26148,32352
32884,26095,32399
32908,26061,32236
32936,26059,32422
32956,26087,32287
32924,26133,32252
32856,26183,32297
32784,26207,32412
32788,26212,32277
32756,26180,32398
32761,26132,32243
32752,26087,32218
32784,26060,32217
32784,26053,32376
32801,26085,32277
32828,26133,32357
32812,26181,32384
32812,26205,32229
32832,26212,32302
32797,26181,32368
32768,26136,32372
32748,26087,32393
32773,26055,32224
32792,26053,32309
32844,26087,32297
32848,26127,32391
32856,26177,32230
32857,26210,32319
32828,26208,32413
32816,26183,32300
32794,26127,32364
32796,26084,32381
32756,26052,32233
32780,26055,32406
32778,26076,32335
32816,26124,32391
32801,26175,32232
32808,26205,32263
32776,26209,32361
32762,26177,32367
32738,26133,32324
32716,26083,32382
32684,26054,32351
32621,26051,32385
32602,26077,32253
32544,26127,32397
32432,26169,32406
32292,26207,32260
32076,26199,32448
31649,26177,32412
31148,26135,32276
30592,26085,32469
30068,26060,32407
29368,26053,32309
28840,26091,32364
28437,26134,32407
28192,26186,32431
28172,26213,32302
28224,26223,32407
28356,26200,32333
28482,26151,32360
28472,26101,32365
28340,26069,32324
28584,26068,32436
29224,26097,32390
29908,26139,32484
30508,26186,32340
31320,26213,32519
32256,26213,32472
32832,26181,32349
33365,26141,32493
34098,26079,32425
34712,26053,32351
34820,26055,32533
34583,26073,32519
34220,26129,32373
33960,26180,32532
33792,26205,32505
33640,26204,32534
33492,26183,32445
33424,26132,32444
33452,26080,32539
33432,26051,32406
33432,26050,32439
33480,26071,32391
33528,26119,32553
33556,26169,32509
33496,26197,32383
33420,26199,32561
33408,26174,32537
33422,26125,32380
33388,26084,32574
33380,26045,32572
33384,26047,32472
33416,26064,32532
33396,26118,32433
33404,26162,32577
33364,26191,32576
33344,26197,32468
33328,26166,32501
33260,26119,32629
33244,26069,32473
33248,26039,32669
33244,26038,32602
33280,26066,32474
33252,26106,32681
33280,26162,32553
33264,26191,32667
33228,26195,32516
33240,26164,32668
33224,26118,32690
33172,26069,32591
33160,26037,32589
33160,26029,32706
