ECG,EDA,RR
31805,19304,35544
31829,19282,35502
31896,19241,35523
31880,19188,35520
31828,19153,35463
31860,19145,35510
31908,19162,35620
31992,19212,35645
32083,19263,35488
32152,19296,35500
32160,19311,35359
32152,19297,35604
32084,19244,35576
32033,19202,35532
32048,19165,35669
32076,19135,35671
32124,19152,35552
32185,19199,35364
32257,19252,35356
32320,19291,35633
32342,19301,35654
32364,19276,35656
32440,19234,35616
32468,19200,35645
32504,19167,35610
32574,19157,35518
32590,19153,35726
32564,19193,35726
32608,19257,35575
32668,19294,35388
32804,19305,35380
32961,19284,35512
33140,19229,35487
33240,19180,35556
33289,19149,35426
33396,19148,35672
33524,19181,35632
33548,19226,35549
33544,19249,35552
33580,19289,35583
33624,19295,35599
33598,19264,35757
33584,19221,35556
33568,19181,35373
33508,19156,35645
33476,19141,35639
33501,19167,35645
33564,19200,35636
33516,19265,35493
33528,19304,35607
33548,19293,35727
33576,19264,35591
33644,19225,35444
33644,19168,35587
33668,19141,35344
33648,19142,35482
33616,19153,35373
33630,19205,35433
33644,19258,35556
33640,19301,35569
33612,19311,35532
33616,19288,35484
33576,19256,35464
33536,19165,35488
33497,19130,35609
33456,19133,35548
33440,19153,35408
33396,19210,35490
33404,19260,35457
33401,19295,35420
33388,19281,35428
33364,19268,35464
33336,19205,35463
33340,19165,35496
33349,19126,35314
33344,19116,35276
33332,19140,35273
33302,19186,35281
33314,19262,35316
33336,19292,35375
33304,19301,35375
33268,19268,35388
33276,19222,35292
33176,19180,35092
33114,19122,35245
32992,19129,35181
32985,19142,35092
33044,19204,35296
33116,19255,35183
33216,19269,35088
33316,19279,34885
33372,19253,35164
33420,19207,35113
33400,19167,35056
33360,19138,34996
33261,19133,35113
33240,19128,35129
33236,19188,34969
33108,19263,35005
33012,19301,35111
32980,19277,35072
33048,19244,34932
33196,19208,34700
33252,19157,34964
33284,19128,34925
33312,19124,34894
33344,19167,34821
33300,19198,34817
33248,19248,34780
33248,19278,34652
33200,19278,34559
33196,19255,34820
33204,19204,34818
33182,19160,34796
33194,19116,34749
33172,19109,34711
33160,19131,34706
33144,19205,34724
33160,19250,34681
33150,19269,34462
33136,19272,34488
33104,19254,34548
33088,19197,34517
33124,19146,34525
33120,19118,34490
33088,19108,34471
33130,19124,34548
33092,19169,34477
33052,19223,34420
33024,19263,34388
33012,19258,34407
33044,19234,34369
33093,19188,34447
33072,19140,34413
33084,19121,34325
33152,19105,34281
33158,19145,34359
33104,19181,34303
33084,19240,34372
33044,19268,34301
33000,19262,34175
33008,19253,34148
33034,19201,34214
33108,19152,34216
33112,19144,34149
33064,19095,34205
33004,19121,34157
32968,19167,34112
32984,19245,34116
32948,19279,34127
32960,19269,34116
32968,19237,34115
32908,19188,33933
32880,19138,34001
32913,19104,33936
33020,19095,33945
33004,19121,33937
33021,19166,33895
33096,19216,33879
33156,19262,33828
33156,19267,33721
33176,19240,33823
33160,19194,33895
33056,19143,33871
32928,19100,33842
32900,19107,33718
32896,19141,33475
32912,19185,33441
32960,19236,33668
33008,19251,33644
33028,19249,33618
33052,19227,33532
33088,19185,33456
33112,19150,33646
33100,19097,33523
33104,19089,33268
33113,19133,33501
33156,19180,33479
33148,19229,33461
33036,19257,33393
32966,19262,33277
32942,19253,33481
32980,19173,33295
32966,19123,33124
32984,19091,33219
32964,19081,33122
32992,19115,33256
32988,19167,33244
33016,19213,33113
33036,19247,33068
32956,19259,33266
32916,19238,33183
32876,19190,33045
32892,19154,33023
32876,19116,33005
32860,19085,32857
32909,19106,33031
32944,19170,32925
33020,19216,33005
33052,19244,33083
33052,19260,33031
33008,19238,32860
32980,19194,32695
32956,19117,32928
32936,19084,32900
32925,19084,32839
32940,19108,32836
32932,19148,32847
32936,19203,32821
32928,19236,32791
32912,19242,32769
32940,19221,32761
32912,19186,32705
32916,19129,32597
32916,19105,32629
32928,19100,32565
32949,19122,32646
32972,19175,32591
32956,19225,32560
32948,19255,32599
32980,19253,32595
32984,19231,32564
32968,19201,32503
32908,19116,32500
32871,19080,32504
32892,19081,32516
32884,19130,32463
32870,19175,32236
32908,19225,32260
32956,19237,32317
32964,19237,32263
32933,19209,32159
32913,19156,32368
32912,19116,32367
32913,19084,32348
32876,19084,32318
32844,19113,32316
32800,19161,32305
32784,19220,32277
32820,19249,32269
32857,19253,32256
32872,19227,32244
32872,19180,32222
32896,19108,32203
32876,19078,32152
32816,19088,32042
32760,19117,32064
32753,19154,32133
32805,19215,32140
32861,19253,32188
32873,19235,32064
32916,19200,31983
32976,19154,31983
33004,19111,31943
32964,19076,31949
32988,19073,31897
32968,19105,31924
32955,19149,31804
32934,19216,31990
32876,19223,31840
32919,19236,32007
32932,19210,31985
32896,19173,31829
32836,19125,31822
32856,19071,31788
32824,19063,31751
32860,19095,31664
32880,19140,31673
32880,19192,31875
32956,19229,31852
32976,19225,31842
32976,19196,31840
32960,19167,31833
32936,19101,31814
32932,19074,31769
32928,19084,31676
32900,19088,31870
32888,19140,31774
32924,19191,31644
32908,19231,31627
32881,19235,31572
32797,19204,31537
32784,19160,31527
32828,19113,31509
32840,19086,31503
32808,19061,31705
32764,19089,31693
32684,19136,31691
32612,19191,31653
32624,19221,31593
32588,19220,31589
32640,19207,31572
32740,19149,31556
32800,19095,31525
32894,19076,31660
32948,19076,31668
32933,19101,31607
32860,19148,31505
32729,19195,31485
32644,19231,31492
32628,19236,31568
32644,19207,31494
32692,19143,31576
32740,19085,31591
32785,19054,31612
32821,19063,31616
32797,19097,31644
32726,19148,31623
32652,19200,31615
32631,19220,31591
32664,19222,31544
32660,19195,31451
32621,19148,31412
32672,19102,31412
32704,19067,31393
32712,19074,31401
32732,19100,31447
32684,19151,31417
32624,19205,31368
32584,19235,31353
32568,19233,31359
32544,19192,31367
32600,19141,31385
32708,19086,31433
32776,19068,31450
32812,19071,31374
32868,19104,31369
32913,19146,31439
32944,19197,31460
32936,19228,31429
32884,19223,31486
32842,19193,31460
32856,19144,31468
32872,19106,31366
32788,19046,31351
32776,19055,31269
32780,19100,31172
32832,19137,31383
32841,19175,31385
32873,19206,31381
32901,19204,31381
32836,19173,31380
32840,19127,31353
32788,19077,31367
32800,19046,31335
32792,19061,31247
32796,19089,31377
32788,19145,31396
32772,19191,31313
32716,19217,31285
32700,19215,31258
32648,19190,31304
32652,19151,31376
32648,19073,31236
32622,19061,31093
32652,19050,31305
32668,19100,31276
32712,19132,31263
32808,19172,31255
32812,19199,31234
32828,19204,31173
32876,19183,31335
32884,19118,31205
32908,19073,31126
32864,19060,31263
32799,19056,31228
32760,19090,31185
32780,19141,31172
32780,19207,31220
32756,19199,31239
32676,19197,31273
32592,19172,31221
32528,19125,31117
32384,19077,31062
32237,19060,31239
32132,19068,31212
31977,19074,31199
31668,19122,31249
31276,19175,31224
30740,19203,31211
30197,19198,31201
29461,19166,31156
28824,19126,31132
28321,19079,31087
27935,19049,31004
27792,19059,31212
27800,19099,31178
27952,19124,31172
28220,19183,31294
28410,19206,31153
28280,19215,31076
28444,19178,31205
28956,19143,31156
29604,19078,31264
30148,19045,31086
30788,19053,31225
31657,19096,31213
32409,19139,31203
32940,19178,31192
33652,19202,31172
34384,19196,31085
34752,19167,31254
34601,19119,31148
34180,19079,31060
33852,19053,30992
33609,19059,31204
33461,19078,31201
33352,19122,31200
33328,19173,31191
33384,19198,31175
33520,19195,31136
33613,19154,31111
33628,19110,31221
33612,19093,31053
33593,19055,31056
33548,19053,31068
33536,19088,31223
33548,19117,31160
33536,19163,31052
33484,19186,30973
33402,19184,31180
33336,19159,31111
33368,19111,31204
33357,19064,31079
33356,19045,31172
33432,19047,31209
33496,19074,31078
33504,19119,31065
33480,19175,31202
33456,19185,31111
33430,19183,31271
33404,19156,31159
33421,19113,31093
33381,19071,31016
33352,19027,31153
33364,19033,31317
33321,19081,31173
33304,19109,31103
33288,19153,31014
33252,19185,31240
33268,19195,31121
33224,19162,31158
33196,19121,31272
33198,19070,31293
33253,19047,31278
33284,19047,31233
33264,19087,31238
33228,19102,31301
33188,19157,31281
33140,19177,31152
33120,19175,31110
33072,19150,31105
33036,19096,31133
32976,19052,31126
32960,19060,31305
32912,19021,31293
32864,19054,31300
32792,19119,31204
32712,19159,31175
32726,19189,31181
32832,19198,31096
33024,19132,31067
33088,19080,31016
33092,19055,30997
33093,19028,31022
33060,19038,31197
33036,19085,31215
32992,19106,31197
32932,19146,31135
32881,19177,31111
32840,19185,31070
32792,19143,31081
32768,19101,31132
32700,19039,30996
32672,19015,31173
32608,19037,31124
32552,19081,31154
32560,19098,31143
32584,19159,31053
32576,19180,31004
32612,19180,31013
32628,19147,31005
32637,19094,31095
32566,19048,31127
32504,19033,31004
32496,19044,30988
32456,19047,31055
32512,19095,31001
32452,19141,31005
32412,19164,30999
32384,19158,30973
32360,19127,30981
32296,19084,30909
32258,19036,30870
32244,19014,30917
32212,19017,30871
32164,19055,30868
32140,19101,30990
32124,19140,31074
32120,19167,31097
32103,19169,31026
32084,19142,30965
32033,19084,30960
31944,19031,30961
31781,19025,30949
31656,19012,30997
31624,19041,31146
31660,19092,31110
31776,19141,31119
31884,19167,31111
31922,19160,31042
31956,19124,31058
31981,19078,31028
31968,19029,31084
31856,19007,31084
31748,19025,31033
31704,19048,31110
31680,19095,31105
31689,19143,30968
31784,19160,31067
31856,19157,31172
31884,19119,31181
31888,19075,31103
31864,19029,30993
31784,18999,31033
31776,19007,31093
31788,19039,31056
31824,19097,31073
31880,19142,31151
31964,19182,30947
32044,19152,31133
32080,19125,31030
32112,19076,31183
32101,19031,31089
32180,19006,31170
32296,19016,31213
32452,19056,31165
32556,19085,31043
32672,19132,31020
32720,19156,31115
32774,19157,31207
32844,19109,31219
32892,19071,31181
32940,19026,31180
33052,18996,31137
33120,19005,31172
33208,19043,31165
33228,19089,31046
33360,19148,31032
33456,19164,31189
33556,19160,31186
33488,19132,31223
33432,19065,31183
33389,19015,31066
33376,19001,31024
33428,18997,31013
33528,19047,30948
33572,19103,30956
33660,19127,30969
33756,19157,31156
33728,19155,31172
33708,19111,31168
33636,19069,31151
33608,19032,31039
33580,18984,31064
33652,18991,31180
33696,19044,31220
33692,19093,31069
33708,19148,31015
33726,19150,30952
33668,19141,31168
33636,19111,31170
33596,19060,31172
33584,19018,31164
33520,18989,30951
33533,19009,30949
33508,19026,31167
33453,19079,31154
33428,19122,31168
33396,19149,31134
33416,19140,31037
33402,19104,31129
33432,19061,31206
33468,19010,31149
33528,18994,31097
33532,18993,31076
33544,19037,31103
33513,19090,31096
33488,19145,31222
33448,19169,31212
33368,19133,31191
33308,19096,31044
33316,19045,31017
33336,19008,31020
33376,18989,31039
33436,19001,31029
33500,19037,30935
