ECG,EDA,RR
33624,26831,32515
33696,26887,32622
33712,26912,32514
33678,26900,32485
33670,26855,32526
33696,26783,32508
33668,26726,32453
33708,26687,32465
33732,26711,32455
33752,26749,32600
33764,26816,32656
33740,26868,32632
33712,26901,32597
33677,26885,32631
33633,26830,32569
33594,26770,32548
33620,26717,32561
33568,26674,32675
33576,26689,32686
33565,26735,32692
33576,26796,32684
33556,26857,32664
33576,26884,32585
33586,26871,32663
33572,26822,32692
33573,26749,32519
33569,26697,32561
33524,26661,32708
33512,26676,32697
33504,26717,32728
33501,26782,32652
33488,26832,32671
33500,26866,32724
33452,26854,32733
33436,26799,32615
33408,26739,32576
33393,26671,32582
33404,26647,32583
33412,26658,32571
33400,26703,32581
33413,26767,32752
33428,26824,32753
33388,26852,32767
33366,26836,32757
33332,26795,32767
33309,26721,32745
33300,26661,32672
33328,26628,32719
33352,26638,32804
33317,26681,32757
33300,26743,32764
33328,26797,32631
33332,26824,32628
33316,26820,32805
33300,26775,32807
33264,26701,32812
33224,26644,32817
33212,26614,32821
33208,26622,32823
33196,26669,32657
33226,26724,32684
33248,26788,32831
33220,26818,32837
33247,26807,32668
33224,26759,32743
33204,26693,32859
33180,26631,32829
33208,26600,32760
33228,26604,32755
33220,26653,32796
33208,26716,32831
33192,26773,32862
33208,26804,32860
33204,26789,32877
33200,26743,32792
33124,26676,32871
33104,26612,32807
33116,26582,32767
33105,26591,32815
33136,26631,32841
33149,26700,32868
33168,26758,32853
33180,26784,32841
33148,26772,32865
33128,26724,32869
33116,26655,32887
33080,26596,32884
33100,26566,32701
33132,26567,32765
33108,26607,32903
33112,26682,32772
33172,26742,32877
33140,26762,32750
33092,26756,32718
33112,26705,32737
33080,26639,32902
33056,26581,32835
33056,26551,32901
33093,26557,32763
33112,26596,32750
33132,26663,32935
33117,26720,32807
33108,26741,32879
33138,26748,32919
33148,26700,32924
33096,26621,32773
33088,26570,32925
33100,26532,32782
33096,26537,32762
33129,26583,32764
33156,26652,32836
33172,26698,32836
33166,26733,32833
33112,26724,32932
33068,26673,32974
33068,26604,32836
33092,26549,32919
33105,26511,32956
33100,26517,32961
33100,26567,32773
33125,26624,32924
33156,26693,32904
33126,26720,32868
33060,26708,32852
33032,26658,32912
33012,26593,32957
32980,26536,32796
33040,26495,32908
33068,26503,32979
33045,26548,32988
33049,26612,32864
33056,26673,32967
33072,26698,32970
33012,26695,32980
32996,26646,32973
32994,26568,32965
33028,26511,32975
33044,26479,32909
33052,26484,32841
33072,26532,32870
33052,26592,32854
33020,26651,32821
33036,26676,32916
33036,26676,32909
32956,26626,32932
32948,26553,32935
32916,26503,32772
32924,26461,32774
32908,26469,32841
32940,26511,32942
32932,26575,32820
32936,26631,32838
32948,26663,32876
32934,26655,32917
32884,26601,32722
32860,26541,32745
32856,26482,32895
32864,26441,32919
32876,26448,32775
32890,26494,32774
32896,26556,32857
32924,26617,32736
32936,26639,32733
32885,26636,32775
32860,26590,32908
32857,26520,32826
32876,26465,32911
32890,26432,32894
32879,26429,32796
32921,26476,32805
32932,26533,32855
32924,26598,32876
32916,26615,32700
32900,26620,32717
32908,26571,32704
32888,26505,32844
32888,26449,32869
32860,26408,32757
32840,26413,32879
32849,26466,32720
32896,26521,32790
32936,26583,32881
32888,26609,32757
32876,26605,32748
32856,26560,32838
32862,26493,32861
32876,26429,32852
32900,26399,32692
32928,26395,32705
32920,26446,32852
32888,26509,32827
32892,26567,32848
32912,26599,32791
32920,26584,32745
32953,26540,32855
32920,26476,32866
32901,26419,32688
32924,26375,32698
32952,26380,32707
32960,26426,32695
32948,26489,32696
32940,26544,32708
32922,26581,32874
32932,26573,32740
32884,26527,32744
32876,26463,32857
32872,26399,32685
32900,26360,32705
32932,26368,32871
32944,26410,32748
32916,26479,32793
32925,26525,32796
32910,26559,32820
32908,26553,32860
32908,26511,32710
32869,26443,32671
32892,26385,32676
32869,26350,32703
32860,26351,32708
32868,26389,32844
32928,26461,32812
32886,26521,32847
32877,26544,32852
32844,26544,32694
32836,26496,32724
32816,26432,32862
32789,26371,32756
32816,26332,32799
32812,26338,32833
32812,26383,32842
32812,26445,32853
32808,26500,32863
32824,26537,32701
32772,26534,32684
32732,26487,32751
32720,26418,32793
32712,26363,32829
32696,26329,32738
32685,26332,32836
32704,26372,32693
32700,26431,32683
32712,26488,32700
32732,26525,32714
32716,26516,32873
32652,26470,32812
32636,26405,32799
32632,26345,32810
32644,26304,32877
32641,26311,32757
32664,26356,32826
32676,26422,32866
32688,26479,32871
32693,26512,32854
32680,26503,32860
32712,26459,32854
32744,26396,32692
32748,26331,32701
32733,26296,32847
32696,26297,32850
32672,26349,32849
32708,26407,32855
32756,26467,32879
32793,26495,32856
32800,26490,32839
32749,26444,32836
32698,26380,32812
32700,26325,32856
32660,26284,32684
32660,26289,32681
32673,26335,32692
32668,26402,32692
32677,26455,32695
32642,26487,32849
32586,26478,32743
32542,26441,32828
32484,26364,32868
32540,26308,32696
32540,26278,32675
32516,26274,32690
32530,26321,32704
32584,26385,32732
32596,26445,32772
32580,26478,32769
32596,26475,32823
32557,26428,32892
32525,26364,32853
32501,26298,32799
32484,26265,32784
32520,26265,32710
32576,26315,32724
32621,26372,32689
32656,26426,32737
32664,26471,32796
32632,26463,32868
32588,26418,32743
32556,26349,32825
32492,26287,32837
32485,26250,32838
32528,26255,32847
32597,26297,32673
32648,26361,32665
32696,26421,32657
32750,26453,32661
32832,26445,32845
32881,26399,32838
32880,26335,32841
32848,26274,32830
32893,26238,32660
32894,26237,32653
32856,26281,32652
32828,26351,32656
32784,26406,32820
32752,26440,32814
32732,26438,32824
32708,26396,32661
32732,26320,32628
32752,26263,32655
32760,26226,32797
32772,26228,32840
32828,26273,32773
32828,26332,32688
32828,26399,32757
32805,26428,32775
32820,26421,32764
32805,26374,32691
32816,26311,32809
32818,26252,32671
32756,26223,32640
32764,26219,32647
32776,26263,32624
32744,26324,32613
32796,26382,32608
32800,26415,32604
32784,26410,32607
32748,26375,32621
32712,26305,32620
32676,26240,32769
32685,26207,32758
32673,26209,32775
32696,26247,32768
32740,26310,32758
32765,26365,32703
32748,26409,32686
32732,26403,32684
32694,26351,32805
32684,26287,32817
32708,26231,32757
32705,26192,32788
32680,26195,32832
32676,26237,32813
32637,26301,32800
32572,26352,32812
32424,26390,32807
32254,26393,32829
31982,26343,32692
31564,26284,32693
31064,26227,32850
30488,26181,32850
29928,26189,32864
29188,26238,32868
28628,26297,32868
28132,26367,32860
27900,26405,32836
27860,26402,32833
27960,26355,32812
28128,26286,32711
28332,26213,32900
28428,26192,32858
28308,26192,32798
28572,26242,32805
29192,26293,32932
29896,26348,32782
30480,26393,32921
31236,26375,32903
32217,26329,32812
32852,26255,32855
33320,26196,32969
33968,26164,32956
34624,26163,32897
34856,26207,32793
34664,26263,32807
34336,26325,32876
34088,26359,32852
33900,26357,32917
33733,26311,32975
33584,26247,33020
33492,26184,33029
33428,26153,33028
33440,26142,32972
33440,26191,33050
33436,26246,33029
33448,26312,33021
33465,26348,33055
33436,26345,33071
33432,26294,33083
33437,26235,32948
33416,26171,32997
33392,26132,33081
33396,26135,33100
33380,26175,33046
33332,26234,32992
33380,26293,33031
33392,26332,33084
33364,26327,33092
33320,26285,33087
33296,26223,33124
33268,26151,33157
33252,26119,32999
33292,26119,33028
33276,26161,33031
33265,26219,33034
33304,26284,33021
33257,26310,33220
33252,26315,33207
33188,26268,33172
33188,26207,33215
33128,26141,33255
33141,26103,33260
33132,26104,33084
33112,26145,33100
33124,26213,33135
33136,26265,33197
33124,26300,33221
33084,26301,33279
33040,26247,33280
33020,26188,33185
33049,26124,33184
33040,26089,33193
32996,26095,33197
33016,26133,33214
33012,26194,33237
33020,26247,33213
33012,26286,33197
33004,26284,33391
33008,26239,33401
32956,26169,33396
32932,26114,33318
32908,26072,33311
32904,26079,33313
32920,26118,33426
32880,26180,33404
32872,26238,33347
32900,26269,33364
32872,26271,33352
32836,26226,33425
32752,26163,33457
32789,26101,33484
32765,26063,33500
32697,26058,33511
32668,26097,33303
32692,26164,33328
32684,26223,33356
32632,26255,33487
32620,26263,33388
32600,26212,33415
32576,26157,33420
32500,26087,33380
32472,26047,33393
32452,26047,33345
32476,26093,33364
32508,26151,33354
32480,26212,33391
32416,26247,33537
32393,26244,33575
32329,26204,33565
32256,26147,33575
32220,26073,33584
32204,26039,33406
32212,26036,33397
32196,26076,33432
32207,26140,33471
32164,26199,33469
32148,26235,33652
32164,26237,33660
32112,26193,33671
32052,26128,33551
32016,26058,33549
32000,26029,33559
31976,26023,33677
31976,26063,33690
31972,26125,33524
31932,26188,33559
31905,26227,33596
31902,26221,33752
31876,26173,33708
31816,26114,33623
31808,26052,33639
31816,26012,33649
31804,26014,33665
31816,26055,33732
31800,26119,33757
31820,26183,33775
31864,26210,33744
31872,26215,33722
31836,26172,33728
31800,26100,33735
31760,26045,33754
31772,26001,33798
31788,26007,33765
31842,26045,33791
31876,26101,33796
31876,26164,33815
31900,26205,33877
31904,26199,33868
31936,26149,33850
31956,26095,33955
31998,26031,33969
32064,25991,33986
32072,25989,34012
32188,26036,34016
32304,26095,33829
32413,26148,33893
32460,26183,33991
32504,26181,34071
32572,26143,34092
32640,26079,34106
32696,26015,34125
32792,25972,34125
32900,25972,34126
32992,26012,34169
33113,26076,34169
33217,26141,34108
33304,26177,34015
33348,26175,33961
33356,26128,34181
33432,26067,34164
33484,26004,34199
33535,25960,34021
33581,25964,34201
33632,26005,34023
33708,26061,34096
33728,26119,34096
33736,26161,34108
33748,26161,34084
33768,26117,34102
33760,26055,34105
33816,25984,34110
33825,25951,34149
33824,25948,34240
33792,25996,34333
33820,26055,34183
33856,26114,34273
33860,26151,34296
33828,26150,34303
33756,26106,34292
33765,26043,34239
33772,25979,34303
33748,25944,34394
33705,25943,34392
33713,25976,34375
33736,26041,34292
33744,26109,34303
33708,26142,34378
33652,26143,34348
33624,26105,34340
33628,26028,34276
33597,25972,34304
33572,25942,34303
33600,25932,34305
33609,25974,34332
33606,26034,34353
33600,26095,34344
33600,26132,34439
33586,26126,34474
33556,26085,34271
33552,26030,34328
33561,25959,34373
33552,25927,34392
33524,25927,34487
33500,25957,34542
33504,26027,34485
33484,26085,34468
33480,26119,34521
33504,26119,34308
33492,26079,34500
33468,26016,34559
33432,25959,34428
33420,25916,34428
33396,25921,34541
33384,25956,34577
33420,26012,34407
33424,26068,34432
33444,26109,34527
33436,26113,34649
33425,26069,34658
33384,26007,34616
33404,25940,34573
33396,25909,34624
33393,25899,34631
33400,25941,34500
33372,26006,34596
33340,26056,34693
33344,26098,34628
33364,26103,34545
33336,26056,34593
33272,25996,34567
33264,25932,34637
33248,25900,34629
33304,25892,34648
33304,25929,34686
33328,25994,34463
33376,26057,34492
33360,26089,34480
33320,26095,34551
33316,26048,34567
33253,25984,34552
33260,25919,34567
33278,25886,34567
33314,25884,34567
33376,25919,34500
33358,25984,34713
33344,26041,34701
33360,26081,34725
33364,26081,34704
33361,26037,34685
33344,25977,34700
33324,25916,34688
33312,25879,34621
33320,25863,34657
33340,25909,34687
33333,25973,34789
33324,26031,34762
33332,26067,34660
33308,26068,34661
33284,26028,34623
33252,25973,34634
33220,25903,34635
33182,25863,34637
33200,25863,34647
33214,25905,34557
33265,25956,34785
33284,26020,34791
33272,26060,34783
33272,26058,34793
33216,26020,34762
33196,25955,34776
33164,25892,34789
33200,25855,34805
33220,25855,34799
33240,25894,34789
33256,25949,34815
33190,26016,34800
33116,26052,34804
33117,26052,34817
33132,26006,34615
33084,25945,34605
33072,25879,34812
33096,25839,34815
33056,25834,34620
33045,25879,34820
33053,25932,34818
33076,25996,34799
33065,26039,34785
33080,26039,34797
33048,26005,34788
33040,25932,34740
33021,25867,34743
33066,25831,34815
33084,25829,34823
33076,25871,34820
33076,25924,34685
33088,25989,34597
33084,26028,34616
33036,26028,34693
33040,25988,34860
33004,25932,34823
32984,25858,34724
32968,25818,34812
32976,25825,34732
32997,25859,34798
32996,25916,34767
33012,25980,34761
32996,26021,34863
32952,26014,34837
32932,25975,34853
32900,25912,34853
32876,25852,34836
32876,25818,34849
32900,25805,34844
32880,25846,34679
32897,25904,34673
32896,25975,34688
32888,26012,34767
32864,26008,34807
32886,25972,34577
32856,25905,34576
32840,25841,34799
32848,25798,34796
32892,25796,34796
32948,25839,34561
32944,25895,34565
32960,25956,34636
32964,25999,34645
32974,25996,34670
32980,25959,34713
32960,25903,34752
32916,25837,34823
32885,25793,34653
32896,25793,34745
32928,25830,34776
32912,25889,34775
32900,25951,34773
32880,25991,34566
32888,25986,34633
32893,25948,34689
32864,25889,34765
32856,25827,34807
32820,25786,34724
32844,25773,34684
32869,25816,34760
32896,25882,34537
32921,25939,34588
32925,25977,34620
32918,25979,34769
32869,25942,34799
32824,25883,34719
32828,25815,34637
32820,25780,34765
32844,25776,34549
32844,25808,34657
32848,25868,34798
32877,25931,34665
32900,25971,34688
32892,25970,34715
