ECG,EDA,RR
32488,27644,31280
32488,27676,31207
32508,27674,31285
32508,27635,31119
32496,27585,31185
32509,27543,31172
32484,27512,31228
32492,27517,31135
32492,27551,31036
32512,27599,31140
32503,27644,31172
32524,27666,31079
32544,27655,31137
32520,27639,31004
32476,27584,31105
32453,27532,31070
32424,27513,31044
32397,27509,30932
32440,27544,30951
32441,27600,31056
32486,27648,30971
32493,27671,31036
32480,27669,30860
32468,27630,31019
32480,27581,30940
32480,27542,30865
32482,27513,30959
32508,27516,30887
32500,27549,30829
32502,27600,30888
32480,27647,30814
32496,27668,30922
32508,27668,30879
32505,27633,30919
32444,27583,30749
32416,27535,30879
32408,27508,30791
32428,27511,30703
32444,27551,30853
32469,27595,30844
32436,27643,30692
32473,27668,30784
32516,27663,30740
32468,27632,30638
32464,27589,30762
32456,27537,30756
32436,27508,30607
32417,27513,30758
32412,27553,30720
32456,27598,30594
32480,27641,30688
32484,27663,30661
32484,27662,30616
32476,27629,30661
32440,27580,30693
32413,27541,30663
32444,27511,30527
32448,27510,30691
32452,27545,30600
32496,27590,30676
32476,27638,30520
32480,27663,30521
32476,27661,30652
32476,27623,30575
32440,27583,30637
32464,27532,30473
32456,27509,30609
32456,27509,30552
32472,27543,30621
32524,27588,30599
32508,27636,30455
32452,27663,30559
32442,27661,30564
32480,27626,30463
32488,27577,30492
32468,27527,30412
32468,27501,30583
32457,27508,30480
32476,27543,30484
32529,27584,30494
32542,27628,30495
32528,27655,30388
32524,27661,30550
32552,27620,30469
32528,27567,30542
32524,27532,30388
32520,27503,30389
32529,27495,30501
32544,27537,30484
32576,27587,30356
32608,27626,30526
32616,27661,30505
32612,27649,30352
32636,27620,30503
32608,27574,30505
32576,27522,30338
32558,27501,30512
32552,27503,30438
32560,27535,30384
32572,27580,30495
32580,27623,30429
32600,27652,30333
32621,27652,30502
32628,27620,30439
32576,27569,30413
32528,27524,30404
32484,27495,30436
32456,27500,30497
32500,27527,30324
32496,27575,30489
32516,27620,30482
32512,27655,30471
32516,27649,30441
32536,27615,30320
32516,27564,30477
32484,27521,30499
32432,27495,30369
32440,27495,30396
32484,27527,30364
32480,27572,30494
32480,27623,30401
32504,27641,30418
32556,27646,30364
32561,27608,30471
32561,27564,30447
32542,27516,30319
32548,27493,30356
32552,27492,30479
32532,27526,30463
32548,27571,30345
32565,27617,30344
32612,27650,30481
32652,27650,30453
32697,27612,30376
32712,27563,30487
32724,27513,30405
32760,27484,30487
32804,27489,30365
32812,27519,30496
32852,27565,30428
32884,27604,30357
32892,27638,30367
32869,27633,30471
32805,27604,30485
32776,27559,30326
32745,27508,30364
32744,27484,30471
32756,27487,30432
32788,27513,30497
32856,27556,30325
32876,27597,30373
32892,27626,30479
32868,27635,30455
32837,27598,30429
32860,27548,30380
32840,27497,30404
32808,27471,30407
32796,27475,30337
32802,27504,30468
32804,27556,30471
32796,27597,30399
32784,27627,30420
32805,27620,30339
32788,27588,30487
32762,27540,30429
32748,27492,30316
32716,27465,30457
32700,27469,30476
32732,27500,30337
32768,27551,30462
32800,27591,30492
32736,27616,30339
32704,27619,30449
32676,27584,30345
32676,27535,30452
32618,27488,30337
32588,27461,30471
32622,27461,30335
32620,27495,30438
32596,27537,30341
32568,27591,30479
32492,27613,30464
32397,27614,30404
32264,27581,30421
32072,27533,30372
31748,27484,30519
31324,27460,30487
30828,27463,30372
30320,27498,30464
29728,27550,30522
29064,27591,30416
28636,27620,30484
28200,27628,30536
28008,27598,30381
28028,27545,30559
28152,27502,30515
28312,27483,30477
28472,27481,30421
28412,27517,30486
28356,27564,30463
28692,27607,30573
29364,27631,30508
29956,27628,30529
30469,27588,30444
31269,27538,30572
32160,27483,30559
32648,27463,30450
33174,27460,30564
33940,27484,30512
34576,27527,30612
34644,27575,30622
34388,27600,30479
34072,27604,30580
33800,27569,30628
33600,27524,30468
33476,27475,30596
33374,27444,30516
33312,27443,30624
33312,27477,30615
33344,27524,30453
33340,27567,30628
33348,27594,30613
33376,27595,30478
33376,27561,30639
33396,27516,30565
33328,27465,30468
33344,27433,30620
33352,27443,30647
33304,27469,30494
33295,27508,30660
33312,27556,30561
33313,27581,30494
33296,27588,30648
33280,27551,30654
33240,27500,30594
33218,27456,30551
33208,27424,30676
33220,27425,30598
33228,27457,30716
33220,27500,30636
33196,27556,30564
33184,27574,30727
33241,27572,30747
33201,27544,30574
33152,27495,30746
33140,27445,30679
33140,27420,30684
33151,27413,30772
33144,27443,30776
33188,27492,30779
33164,27543,30726
33125,27569,30613
33100,27562,30784
33104,27530,30763
33096,27487,30685
33060,27438,30623
33025,27410,30685
33020,27412,30700
33000,27441,30714
32980,27484,30800
32973,27532,30709
33005,27556,30804
32996,27565,30634
