ECG,EDA,RR
32865,20557,30833
32880,20577,30885
32892,20631,30830
32917,20684,30684
32960,20673,30821
33000,20677,30801
33028,20652,30833
33000,20596,30628
32992,20553,30779
32964,20534,30744
32960,20540,30660
32974,20569,30703
32944,20615,30644
32916,20671,30769
32860,20672,30708
32812,20671,30672
32776,20634,30759
32748,20617,30793
32724,20541,30647
32679,20536,30853
32676,20543,30827
32684,20553,30687
32652,20599,30760
32668,20645,30705
32704,20674,30807
32676,20668,30647
32644,20642,30855
32564,20585,30827
32529,20553,30692
32516,20535,30828
32500,20541,30820
32480,20572,30783
32440,20597,30836
32476,20645,30831
32476,20661,30761
32436,20661,30727
32392,20627,30684
32340,20592,30778
32284,20551,30676
32281,20525,30884
32256,20529,30727
32198,20564,30652
32168,20623,30892
32136,20636,30833
32124,20664,30688
32100,20655,30905
32048,20623,30847
32036,20578,30668
31996,20541,30727
31960,20521,30876
31925,20513,30768
31901,20548,30900
31913,20604,30741
31905,20645,30899
31852,20676,30965
31764,20659,30845
31708,20625,30947
31648,20573,30805
31609,20529,31006
31580,20513,30846
31520,20508,30961
31460,20548,30839
31441,20609,31016
31492,20638,30945
31549,20663,30996
31591,20651,30870
31564,20633,30960
31592,20580,31037
31608,20534,30948
31596,20519,30876
31604,20511,30932
31604,20549,30852
31612,20591,31111
31625,20643,31044
31682,20666,31089
31704,20653,30901
31756,20615,30964
31840,20583,31160
31876,20529,31054
31924,20505,30919
31996,20508,31187
32084,20551,31116
32172,20588,31153
32232,20644,31017
32353,20670,31225
32472,20669,31173
32556,20617,30989
32616,20565,31172
32714,20533,31146
32792,20503,31200
32872,20511,31064
32950,20551,31205
33036,20616,31181
33164,20626,31188
33232,20658,31232
33360,20656,31239
33476,20629,31113
33513,20543,31165
33544,20517,31295
33596,20498,31333
33632,20503,31164
33640,20539,31282
33685,20585,31194
33648,20629,31200
33664,20651,31305
33696,20645,31225
33745,20616,31232
33716,20567,31329
33700,20535,31116
33712,20511,31332
33760,20487,31293
33760,20526,31332
33777,20574,31144
33836,20621,31215
33860,20645,31422
33880,20636,31356
33852,20601,31184
33830,20560,31330
33807,20516,31364
33784,20489,31312
33732,20493,31384
33660,20534,31278
33644,20575,31436
33668,20610,31287
33612,20641,31401
33592,20633,31260
33620,20597,31397
33608,20558,31410
33604,20511,31239
33664,20494,31431
33656,20498,31325
33632,20545,31422
33604,20566,31288
33556,20613,31477
33536,20638,31321
33502,20638,31399
33436,20596,31223
33384,20562,31308
33368,20505,31440
33396,20484,31322
33432,20487,31433
33400,20534,31236
33404,20566,31305
33388,20608,31476
33405,20640,31428
33448,20633,31284
33438,20602,31503
33428,20558,31431
33444,20505,31449
33469,20486,31252
33436,20503,31429
33413,20512,31396
33392,20561,31440
33364,20607,31478
33336,20629,31389
33324,20630,31472
33312,20594,31452
33316,20550,31280
33304,20492,31367
33304,20471,31461
33312,20484,31540
33305,20524,31511
33272,20560,31394
33280,20606,31410
33292,20625,31499
33268,20622,31412
33248,20589,31484
33264,20534,31525
33208,20498,31337
33152,20477,31468
33120,20479,31589
33104,20512,31457
33108,20562,31547
33069,20611,31461
33108,20639,31407
33164,20637,31548
33256,20601,31544
33308,20550,31526
33356,20497,31430
33368,20471,31533
33376,20481,31409
33300,20527,31556
33232,20572,31540
33192,20615,31530
33185,20644,31340
33164,20618,31436
33152,20601,31446
33160,20557,31556
33168,20503,31495
33180,20461,31589
33177,20462,31510
33145,20513,31589
33140,20555,31529
33121,20607,31538
33100,20637,31557
33007,20612,31567
32968,20585,31568
32950,20532,31559
32976,20503,31421
33008,20474,31617
33108,20497,31509
33176,20496,31555
33166,20547,31362
33214,20598,31441
33222,20628,31631
33232,20623,31511
33180,20593,31570
33116,20520,31591
33088,20495,31581
33100,20463,31564
33068,20471,31378
33064,20501,31396
33016,20550,31445
32992,20599,31585
32956,20620,31465
32938,20620,31582
32900,20589,31367
32925,20549,31447
32941,20506,31573
32948,20452,31646
32956,20456,31532
32976,20503,31556
32940,20551,31569
32984,20597,31449
33032,20620,31616
33044,20618,31559
32984,20589,31461
32972,20542,31559
32932,20472,31564
32844,20469,31353
32765,20465,31432
32725,20503,31620
32741,20564,31469
32756,20580,31551
32828,20620,31359
32908,20611,31528
32964,20589,31602
32921,20516,31481
32924,20473,31512
32972,20454,31538
33004,20458,31332
32956,20507,31377
32936,20554,31577
32924,20595,31396
32916,20631,31516
32920,20596,31309
32920,20564,31352
32924,20516,31367
32888,20481,31468
32864,20462,31463
32845,20484,31433
32820,20484,31477
32800,20555,31292
32784,20596,31257
32772,20603,31310
32762,20596,31313
32732,20577,31383
32688,20516,31436
32720,20487,31375
32728,20437,31397
32720,20449,31428
32724,20487,31238
32744,20549,31239
32730,20607,31299
32688,20599,31396
32680,20612,31460
32661,20573,31315
32609,20500,31373
32660,20464,31367
32700,20445,31375
32702,20446,31380
32728,20498,31381
32772,20543,31367
32824,20599,31190
32836,20594,31188
32840,20597,31200
32772,20567,31207
32748,20500,31203
32744,20463,31204
32732,20439,31314
32684,20447,31225
32692,20487,31312
32700,20540,31127
32632,20569,31309
32600,20605,31156
32564,20603,31120
32524,20549,31150
32580,20516,31145
32628,20474,31153
32652,20431,31298
32688,20451,31356
32696,20485,31271
32768,20557,31276
32792,20570,31160
32828,20599,31251
32812,20596,31270
32820,20564,31126
32832,20523,31265
32772,20455,31175
32760,20434,31147
32760,20455,31220
32721,20468,31092
32626,20524,31102
32600,20581,31274
32642,20597,31198
32641,20581,31113
32724,20557,31136
32769,20494,31276
32798,20449,31183
32796,20445,31148
32776,20441,31180
32770,20485,31195
32800,20516,31012
32788,20559,31087
32776,20590,31228
32756,20582,31185
32724,20554,31164
32661,20508,31047
32608,20446,31020
32564,20429,31172
32600,20436,31238
32673,20484,31094
32780,20518,31158
32800,20571,31167
32869,20589,30985
32892,20583,31188
32872,20551,31127
