ECG,EDA,RR
29308,27417,33527
28816,27396,33461
29520,27383,33463
31248,27373,33439
33404,27389,33408
35681,27388,33407
36476,27402,33388
35744,27413,33395
33706,27406,33317
31449,27399,33465
29934,27380,33436
29230,27369,33405
29756,27365,33265
32056,27352,33255
34696,27361,33215
36304,27373,33207
37144,27375,33167
36232,27388,33319
34404,27385,33287
32036,27372,33268
29960,27367,33252
29924,27349,33236
30196,27342,33209
31980,27333,33120
34408,27344,33127
36028,27357,33185
37000,27366,33146
36280,27368,33156
34036,27364,33092
31614,27359,32977
29977,27344,32935
29288,27339,32885
29684,27334,33028
31576,27325,32924
33916,27324,33012
35492,27332,32893
35800,27348,32813
35088,27354,32813
33305,27352,32941
31512,27341,32920
29920,27333,32908
28624,27327,32871
29576,27316,32808
31220,27303,32884
33552,27308,32772
35260,27319,32687
36204,27331,32829
35856,27329,32768
34180,27337,32784
31317,27327,32801
29181,27325,32669
28548,27297,32610
29536,27292,32749
31168,27285,32727
33392,27293,32679
35436,27295,32620
36300,27306,32725
35912,27313,32708
33872,27317,32692
31796,27300,32492
30084,27288,32488
29424,27281,32625
29572,27280,32590
30844,27271,32516
33000,27275,32600
35056,27281,32480
33356,27301,32398
34022,27302,32397
33117,27293,32367
31464,27285,32517
29453,27279,32501
28356,27268,32461
28689,27261,32407
31204,27255,32453
33820,27248,32317
35860,27266,32263
36496,27271,32409
35540,27280,32326
34288,27278,32332
31928,27268,32386
29576,27261,32305
28608,27260,32197
29272,27244,32181
31424,27233,32317
34092,27234,32256
35997,27245,32205
36360,27263,32276
35548,27271,32159
33457,27266,32085
31153,27265,32072
29604,27242,32066
29156,27236,32044
29728,27230,32049
31356,27220,32172
33692,27229,32088
35276,27234,32070
35960,27249,32143
35768,27255,32006
34328,27249,31940
32464,27240,31926
30308,27234,31909
29497,27215,31908
30016,27212,32029
31636,27207,32000
34156,27208,31908
36328,27216,31913
36984,27236,31976
36172,27237,31797
34016,27241,31940
31916,27228,31914
30484,27220,31854
29564,27209,31885
29753,27198,31892
31340,27191,31870
33996,27197,31688
35556,27209,31840
36380,27213,31802
35836,27236,31761
34128,27226,31705
31872,27215,31703
30197,27201,31716
29956,27188,31675
30592,27185,31680
32972,27173,31642
35392,27177,31636
36960,27184,31607
37940,27203,31652
38276,27198,31636
38852,27192,31636
36120,27190,31672
33720,27172,31653
32684,27165,31557
32812,27157,31517
34784,27161,31445
37236,27160,31407
38468,27182,31400
39608,27188,31399
38224,27192,31372
35736,27190,31364
32558,27184,31424
28492,27196,31476
26656,27187,31462
26152,27181,31449
26816,27181,31412
26704,27191,31396
26668,27218,31391
27080,27211,31383
27620,27228,31354
26108,27237,31212
24529,27229,31172
23271,27213,31164
23128,27197,31128
23932,27191,31116
26190,27180,31102
28824,27172,31086
31380,27180,31052
33156,27190,31062
33272,27193,31174
32116,27186,31145
30532,27181,31109
28773,27173,31024
28576,27159,31032
29304,27143,31089
31617,27141,31081
34372,27143,31033
36524,27142,31038
37612,27165,30984
37352,27177,30956
36192,27165,30981
34088,27159,30965
31436,27153,30952
30364,27143,30915
30840,27133,30899
32700,27133,30903
34652,27136,30868
36216,27152,30860
37392,27164,30740
36884,27172,30678
35464,27165,30655
33100,27159,30674
31312,27136,30615
30652,27132,30647
30920,27129,30735
32308,27127,30727
34460,27133,30637
36364,27140,30648
37640,27153,30669
37280,27161,30544
35616,27167,30636
33396,27152,30524
30788,27143,30605
29713,27135,30580
30469,27125,30564
32477,27120,30554
34736,27127,30506
36828,27140,30503
37364,27156,30468
37248,27164,30401
35632,27167,30464
33500,27145,30342
32022,27135,30268
30894,27124,30279
30940,27117,30248
32216,27112,30245
35112,27124,30221
37316,27132,30257
38500,27141,30342
38048,27163,30296
36664,27153,30223
34520,27143,30220
32237,27136,30249
30668,27133,30269
30688,27127,30256
32128,27117,30158
34368,27122,30225
36128,27136,30082
37164,27155,30036
36936,27160,30013
35364,27156,29993
32644,27160,29986
30804,27150,30100
30020,27135,30060
30320,27121,30033
31296,27111,29983
33884,27124,30005
35777,27140,30033
37393,27154,29896
36940,27161,29852
35184,27167,29881
32756,27159,29954
30902,27143,29879
29568,27143,29856
29901,27132,29884
32004,27116,29908
34420,27131,29724
36496,27136,29741
37221,27149,29847
36448,27169,29797
35876,27167,29781
34084,27154,29721
31664,27143,29727
30116,27140,29778
30864,27125,29688
33061,27125,29564
35008,27132,29546
36945,27134,29543
37840,27156,29670
37296,27164,29622
36156,27172,29580
33812,27165,29620
31818,27144,29588
30704,27140,29523
30876,27133,29457
32116,27127,29389
33501,27142,29380
35300,27152,29350
36712,27157,29384
36424,27178,29326
34916,27176,29308
32357,27175,29319
30180,27170,29386
29504,27153,29364
29228,27148,29343
30752,27140,29350
33024,27143,29288
35192,27164,29324
35912,27172,29310
35008,27188,29300
33560,27197,29307
31288,27188,29289
29837,27174,29213
28564,27175,29210
28812,27165,29204
30245,27156,29201
32488,27165,29252
34652,27177,29140
35600,27185,29063
34640,27197,29206
32780,27213,29188
30864,27196,29103
29076,27196,29073
28012,27186,29072
28088,27180,29093
29616,27175,29028
31520,27181,29022
33117,27184,29075
34368,27205,29145
34064,27215,29099
32454,27218,29101
30452,27215,29112
28480,27204,29111
27264,27201,29095
27452,27196,29084
29114,27189,29082
31752,27186,29038
33608,27204,29082
34440,27221,29070
34340,27226,29053
33152,27226,29109
30984,27225,28952
29020,27219,29021
28224,27209,29101
28680,27199,29071
29824,27202,29112
32176,27207,29111
33872,27215,29113
