ECG,EDA,RR
32853,35716,38052
32892,35724,38234
32896,35719,38208
32908,35696,38237
32908,35671,38189
32916,35638,38049
32913,35620,38148
32908,35623,38172
32916,35637,38072
32920,35656,38097
32892,35693,38172
32928,35700,38084
32944,35694,38133
32904,35671,38036
32808,35638,38134
32828,35608,38004
32852,35564,38088
32884,35607,37985
32912,35608,38149
32929,35631,38138
32912,35667,37980
32888,35676,38165
32888,35670,38101
32812,35652,37956
32772,35615,38135
32689,35591,38080
32728,35573,37949
32680,35575,38116
32652,35591,38077
32672,35609,37966
32668,35640,37988
32704,35655,37903
32680,35652,38057
32660,35628,37961
32720,35590,37895
32724,35564,38047
32730,35544,37996
32762,35536,37904
32808,35536,37989
32836,35580,37892
32844,35617,37947
32860,35618,37948
32856,35617,37956
32828,35591,37975
32716,35545,37773
32744,35528,37844
32812,35517,37757
32757,35518,37895
32798,35540,37745
32772,35575,37892
32821,35583,37861
32816,35588,37876
32828,35598,37828
32820,35566,37696
32838,35540,37736
32778,35513,37653
32728,35489,37712
32716,35494,37639
32800,35485,37721
32780,35535,37589
32844,35559,37669
32764,35568,37572
32720,35564,37648
32752,35543,37538
32752,35512,37593
32756,35492,37533
32697,35461,37624
32732,35471,37520
32780,35485,37556
32832,35484,37472
32832,35525,37509
32769,35552,37545
32797,35517,37548
32812,35513,37517
32736,35497,37430
32745,35469,37457
32784,35437,37332
32812,35445,37452
32829,35455,37447
32820,35492,37412
32816,35508,37405
32805,35526,37280
32790,35526,37380
32730,35492,37364
32764,35471,37361
32764,35437,37323
32804,35427,37313
32796,35423,37284
32733,35447,37239
32780,35460,37254
32824,35476,37156
32840,35501,37180
32821,35484,37074
32808,35470,37152
32792,35421,37037
32712,35416,37089
32708,35389,36999
32661,35403,37148
32736,35409,37103
32796,35444,37096
32824,35463,37046
32836,35480,36908
32788,35468,36960
32812,35452,36871
32868,35412,37008
32868,35384,36964
32796,35374,36925
32840,35366,36924
32865,35396,36799
32868,35408,36841
32888,35444,36752
32860,35453,36893
32832,35437,36727
32768,35431,36788
32760,35388,36695
32788,35365,36743
32824,35352,36668
32820,35348,36709
32800,35361,36636
32804,35380,36756
32736,35421,36732
32743,35428,36647
32849,35424,36670
32860,35364,36548
32865,35366,36672
32804,35349,36657
32784,35322,36655
32700,35333,36644
32728,35357,36610
32740,35381,36457
32788,35399,36566
32848,35380,36577
32745,35397,36412
32772,35376,36500
32848,35346,36408
32860,35316,36548
32836,35300,36493
32844,35299,36349
32848,35324,36416
