ECG,EDA,RR
32761,28935,30623
32780,28967,30711
32760,28999,30591
32764,29031,30586
32680,29044,30589
32682,29045,30608
32736,29014,30645
32732,28984,30780
32792,28957,30757
32716,28957,30789
32700,28971,30756
32768,28999,30692
32800,29039,30696
32816,29057,30758
32761,29080,30861
32744,29069,30815
32716,29045,30867
32794,29016,30745
32840,28991,30916
32824,28983,30900
32816,28992,30929
32840,29037,30848
32832,29071,30839
32804,29097,30972
32704,29124,30933
32746,29105,31033
32788,29077,30977
32840,29052,30908
32840,29029,30976
32780,29020,31068
32780,29034,31050
32820,29071,31104
32856,29103,31000
32848,29135,31050
32876,29149,31133
32788,29138,31194
32800,29120,31087
32768,29092,31095
32830,29070,31228
32848,29063,31204
32892,29079,31239
32864,29103,31146
32824,29145,31304
32780,29172,31257
32700,29183,31319
32712,29185,31239
32760,29164,31261
32796,29120,31381
32736,29103,31373
32788,29104,31343
32793,29114,31445
32832,29144,31368
32852,29189,31455
32864,29211,31456
32876,29224,31479
32860,29224,31367
32832,29202,31428
32718,29165,31518
32768,29159,31497
32824,29146,31524
32820,29156,31460
32764,29191,31624
32808,29231,31612
32849,29252,31668
32856,29271,31598
32864,29266,31568
32848,29238,31727
32824,29218,31729
32744,29191,31748
32712,29188,31792
32737,29199,31788
32793,29234,31712
32832,29268,31694
32854,29292,31700
32846,29317,31757
32756,29309,31783
32781,29284,31916
32856,29253,31926
32896,29237,31924
32912,29228,31941
32904,29246,31996
32860,29279,31876
32816,29316,31929
32838,29340,32037
32800,29358,32084
32764,29346,32007
32782,29321,31980
32808,29301,32133
32828,29270,32076
32772,29268,32128
32748,29295,32132
32826,29319,32066
32840,29356,32095
32752,29372,32237
32784,29401,32257
32830,29397,32129
32832,29371,32304
32776,29340,32289
32784,29317,32316
32792,29316,32292
32828,29329,32236
32856,29364,32406
32850,29397,32404
32868,29432,32388
32848,29444,32437
32752,29447,32318
32728,29416,32377
32788,29388,32513
32808,29359,32503
32848,29357,32519
32888,29382,32532
32852,29404,32584
32864,29447,32576
32888,29474,32498
32884,29493,32654
32900,29481,32640
32920,29453,32652
32932,29426,32559
32916,29405,32732
32940,29399,32687
32884,29417,32773
32800,29447,32636
32844,29485,32812
32876,29516,32740
32848,29533,32856
32892,29518,32712
32884,29501,32871
32884,29469,32801
32864,29449,32924
32832,29444,32885
32789,29461,32816
32768,29492,32834
32760,29533,32972
32764,29565,32925
32772,29575,33031
32773,29567,32927
32752,29548,32900
32732,29509,32937
32721,29496,32969
32704,29489,33116
32745,29494,33105
32756,29543,33069
32776,29572,33188
32764,29602,33031
32752,29615,33053
32771,29609,33210
32745,29596,33185
32752,29552,33268
32780,29535,33108
32829,29527,33278
32828,29540,33248
32860,29575,33230
32744,29606,33234
32720,29644,33365
32692,29660,33375
32687,29652,33380
32736,29623,33385
32716,29590,33384
32704,29564,33436
32686,29557,33415
32684,29588,33300
32714,29621,33452
32628,29646,33392
32588,29684,33464
32612,29697,33360
32606,29687,33372
32584,29653,33387
32640,29635,33412
32668,29617,33544
32714,29605,33509
32736,29625,33541
32776,29655,33618
32760,29696,33626
32797,29716,33560
32824,29727,33606
32840,29723,33649
32752,29695,33685
32744,29672,33597
32740,29655,33580
32780,29643,33720
32800,29655,33740
32742,29691,33756
32748,29732,33645
32800,29764,33773
32840,29772,33794
32832,29760,33809
32837,29733,33825
32864,29703,33820
32848,29687,33836
32776,29671,33849
32780,29669,33861
32768,29733,33861
32788,29764,33866
32796,29793,33861
32740,29804,33846
32772,29800,33894
32824,29768,33864
32814,29742,33951
32792,29723,34008
32800,29716,33956
32788,29726,34005
32736,29757,33927
32776,29799,34023
32808,29830,34000
32796,29840,33992
32728,29823,33926
32760,29808,33965
32820,29772,34076
32838,29756,34055
32845,29749,34021
32788,29765,34065
32788,29789,34055
32793,29832,34072
32840,29861,34124
32856,29876,34078
32768,29865,34128
32744,29838,34108
32780,29814,34132
32712,29791,34130
32753,29777,34127
32828,29799,34174
32844,29828,34149
32804,29858,34204
32840,29893,34229
32832,29906,34260
32792,29903,34213
32704,29869,34330
32712,29845,34190
32736,29821,34256
32772,29812,34228
32804,29816,34311
32816,29852,34332
32836,29892,34377
32852,29925,34405
32840,29934,34368
32901,29918,34361
32832,29884,34377
32732,29876,34260
32712,29853,34274
32680,29836,34284
32692,29853,34292
32744,29890,34463
32756,29922,34460
32776,29950,34438
32796,29951,34420
32826,29957,34419
32848,29918,34476
32880,29892,34436
32852,29868,34456
32772,29865,34540
32732,29895,34591
32700,29923,34606
32704,29953,34600
32744,29981,34564
32765,29988,34628
32800,29977,34647
32832,29955,34636
32852,29920,34621
32885,29892,34649
32798,29900,34654
32748,29911,34621
32740,29940,34597
32792,29987,34540
32808,30005,34556
32812,30008,34582
32796,30004,34627
32752,29976,34620
32730,29940,34689
32784,29921,34734
32821,29916,34791
32784,29937,34760
32716,29973,34700
32728,30004,34696
32740,30034,34709
32796,30033,34716
32776,30029,34752
32796,30003,34748
32828,29971,34817
32856,29939,34753
32846,29946,34791
32728,29959,34900
32720,29988,34759
32756,30020,34749
32704,30057,34740
32752,30061,34896
32778,30047,34960
32804,30021,34940
32816,29996,34862
32836,29969,34793
32836,29959,34804
32860,29977,34815
32876,30017,34990
32762,30045,34976
32764,30072,35001
32816,30085,34970
32860,30060,34887
32906,30038,34895
32913,30015,34880
32904,29994,35055
32876,29976,35052
32884,30000,35072
32852,30024,34989
32848,30071,35076
32860,30092,35085
32892,30100,35041
32917,30080,35079
32816,30061,35077
32792,30026,34964
32832,30006,34964
32880,30001,34972
32876,30011,34972
32916,30053,35152
32916,30087,35136
32920,30105,35064
32872,30113,35151
32888,30116,35119
32912,30082,35036
32904,30045,35020
32876,30006,35188
32896,30021,35198
32868,30045,35168
32876,30070,35181
32888,30089,35263
32808,30126,35183
32816,30141,35104
32854,30124,35087
32840,30102,35094
32797,30055,35079
32700,30036,35255
32696,30024,35215
32636,30061,35165
32644,30100,35252
32665,30121,35289
32640,30145,35201
32673,30149,35140
32608,30140,35148
32596,30117,35263
32612,30082,35289
32584,30058,35277
32628,30053,35212
32592,30068,35201
32601,30097,35212
32612,30142,35335
32600,30158,35328
32636,30170,35226
32680,30148,35175
32708,30121,35168
32764,30101,35152
32791,30072,35169
32704,30076,35335
32692,30089,35324
32744,30119,35316
32772,30149,35264
32724,30180,35340
32752,30197,35399
32684,30180,35392
32692,30138,35360
32700,30109,35232
32774,30094,35380
32780,30080,35388
32788,30093,35332
32804,30126,35365
32780,30167,35436
32684,30198,35440
32696,30197,35352
32732,30180,35266
32782,30159,35244
32768,30126,35428
32720,30097,35413
32704,30100,35412
32728,30118,35420
32764,30143,35460
32800,30172,35334
32808,30176,35285
32804,30210,35455
32784,30185,35421
32773,30164,35404
32709,30141,35382
32736,30108,35500
32760,30125,35428
32765,30132,35389
32720,30149,35386
32736,30191,35324
32788,30207,35301
32804,30226,35300
32801,30208,35313
32805,30173,35460
32800,30141,35396
32740,30132,35517
32680,30119,35422
32704,30132,35356
32725,30173,35328
32768,30200,35464
32796,30215,35468
32736,30237,35479
32772,30208,35455
32825,30185,35356
32816,30164,35353
32808,30128,35344
32772,30130,35341
32750,30144,35334
32764,30182,35348
32804,30204,35503
32849,30225,35450
32892,30248,35550
32876,30224,35472
32860,30196,35460
32832,30158,35460
32760,30112,35364
32776,30145,35354
32828,30152,35340
32848,30180,35520
32768,30212,35508
32805,30244,35460
32820,30247,35460
