ECG,EDA,RR
32592,33189,35550
32556,33159,35567
32585,33141,35581
32650,33145,35598
32748,33172,35767
32784,33181,35783
32764,33215,35692
32804,33217,35684
32788,33214,35693
32760,33174,35725
32704,33164,35781
32693,33147,35672
32764,33143,35676
32780,33144,35812
32790,33159,35796
32776,33183,35808
32724,33196,35832
32756,33207,35684
32768,33208,35679
32817,33170,35847
32848,33151,35846
32804,33135,35797
32728,33129,35832
32713,33140,35844
32704,33141,35703
32746,33165,35693
32704,33176,35710
32736,33201,35757
32808,33191,35876
32828,33173,35786
32792,33147,35766
32804,33132,35792
32796,33116,35769
32796,33118,35847
32700,33146,35860
32724,33159,35798
32772,33181,35828
32800,33183,35858
32820,33180,35704
32824,33158,35728
32788,33132,35884
32768,33124,35880
32764,33116,35809
32744,33120,35820
32660,33140,35840
32672,33156,35861
32748,33181,35884
32752,33178,35876
32680,33175,35756
32708,33152,35881
32776,33133,35744
32797,33118,35744
32832,33105,35744
32780,33108,35852
32710,33127,35889
32740,33132,35921
32743,33164,35828
32781,33172,35895
32812,33167,35753
32842,33148,35820
32860,33109,35914
32852,33111,35858
32800,33099,35914
32724,33096,35877
32688,33123,35908
32704,33141,35932
32732,33165,35797
32789,33159,35785
32772,33158,35935
32800,33136,35924
32856,33116,35901
32884,33089,35957
32812,33086,35816
32756,33103,35900
32756,33109,35958
32781,33116,36000
32836,33148,35957
32841,33159,35936
32764,33148,35991
32768,33137,35846
32788,33084,35870
32828,33090,35976
32834,33074,36004
32836,33080,36029
32864,33092,35940
32900,33117,35956
32900,33133,35980
32868,33141,36012
32864,33133,36012
32796,33100,36020
32772,33092,36036
32744,33072,35898
32756,33068,35888
32804,33073,35900
32808,33085,35900
32848,33093,35901
32841,33121,36048
32854,33121,35924
32864,33124,35903
32808,33106,35910
32772,33077,35908
32788,33039,35910
32832,33047,35933
32798,33055,35916
32732,33076,35948
32724,33097,36054
32766,33120,36076
32768,33117,36041
32782,33117,35992
32728,33092,35993
32729,33074,36000
32745,33041,36009
32784,33031,36009
32822,33037,36016
32828,33060,36014
32820,33080,36022
32832,33100,36026
32857,33105,35865
32821,33100,35872
32757,33092,35869
32692,33062,35868
32714,33038,35864
32785,33021,35972
32732,33039,36012
32734,33053,36017
32773,33079,36015
32792,33091,36000
32828,33086,35932
32856,33092,35885
32824,33072,35884
32820,33045,35921
32852,33028,35940
32788,33021,35847
32724,33031,35924
32684,33049,35913
32756,33075,35886
32784,33085,35852
32749,33093,35838
32776,33095,35832
32762,33072,35807
32788,33044,35793
32800,33022,35823
32845,33017,35796
32852,33016,35788
32860,33030,35796
32858,33053,35799
32868,33076,35790
32856,33085,35644
32860,33082,35620
32884,33063,35657
32924,33036,35762
32924,33017,35732
32921,33006,35677
32920,33020,35661
32892,33029,35657
32888,33055,35684
32912,33064,35540
32901,33060,35503
32850,33073,35500
32764,33055,35559
32800,33031,35626
32828,33007,35529
32844,32999,35520
32832,33005,35541
32857,33024,35553
32817,33052,35400
32816,33063,35384
32816,33068,35393
32820,33060,35495
32800,33041,35485
32696,33028,35453
32664,32989,35429
32660,32998,35432
32644,32992,35414
32684,33012,35393
32616,33031,35385
32652,33057,35375
32644,33049,35244
32621,33051,35204
32673,33031,35208
32664,32998,35248
32672,32972,35253
32696,32976,35296
32712,32988,35253
32736,32993,35188
32780,33024,35212
32814,33031,35200
32840,33045,35188
32836,33039,35196
32840,33023,35029
32864,32994,35023
32832,32977,35063
