ECG,EDA,RR
28052,29592,31660
26420,29612,31789
25888,29628,31785
25972,29619,31638
26216,29591,31765
26552,29551,31686
27104,29503,31716
27704,29492,31612
28360,29498,31664
28976,29492,31584
29684,29528,31679
30440,29539,31707
31112,29549,31552
31644,29524,31663
32140,29508,31697
32592,29475,31588
32952,29439,31617
33200,29440,31596
33367,29446,31537
33436,29473,31636
33508,29492,31672
33536,29518,31495
33556,29532,31533
33544,29516,31616
33520,29500,31558
33532,29460,31533
33588,29447,31557
33640,29435,31494
33668,29442,31492
33664,29464,31511
33692,29494,31502
33696,29517,31448
33660,29527,31527
33642,29517,31532
33628,29498,31367
33640,29468,31505
33628,29446,31476
33616,29445,31335
33636,29436,31463
33668,29461,31412
33660,29492,31415
33660,29514,31288
33644,29524,31367
33644,29517,31353
33632,29496,31223
33648,29466,31264
33656,29441,31239
33708,29436,31184
33728,29437,31254
33736,29468,31277
33748,29481,31105
33728,29516,31222
33688,29525,31162
33608,29516,31119
33568,29496,31174
33532,29468,31141
33528,29447,31050
33576,29441,31060
33664,29444,30962
33704,29462,31073
33736,29494,31044
33741,29519,30937
33720,29524,30957
33700,29522,30909
33696,29498,30861
33668,29468,30902
33693,29441,30776
33700,29437,30886
33704,29444,30859
33744,29465,30788
33757,29495,30845
33784,29516,30724
33784,29525,30748
33768,29521,30636
33760,29495,30746
33756,29471,30740
33748,29446,30565
33769,29432,30679
33831,29440,30681
33824,29469,30537
33864,29487,30622
33856,29517,30566
33880,29533,30496
33852,29524,30533
33824,29497,30471
33796,29471,30462
33804,29447,30480
33848,29432,30507
33880,29445,30356
33884,29472,30457
33900,29498,30446
33876,29519,30321
33849,29533,30380
33865,29519,30244
33796,29505,30380
33760,29479,30368
33736,29454,30244
33700,29444,30324
33664,29458,30176
33636,29479,30279
33604,29508,30152
33568,29530,30269
33552,29547,30257
33509,29533,30134
33432,29508,30207
33365,29486,30209
33332,29460,30087
33304,29447,30185
33296,29463,30142
33272,29487,30158
33256,29515,30074
33196,29535,30016
33120,29541,30108
33060,29529,30084
32989,29511,29972
32924,29486,30015
32885,29463,29894
32880,29447,30008
32884,29460,29959
32862,29484,29920
32812,29506,29854
32776,29538,29920
32708,29546,29924
32652,29543,29774
32598,29513,29865
32556,29485,29870
32568,29460,29763
32568,29447,29778
32604,29458,29677
32640,29478,29775
32661,29513,29752
32628,29537,29604
32612,29540,29676
32556,29529,29557
32500,29508,29640
32437,29485,29508
32400,29447,29607
32432,29447,29541
32424,29457,29585
32436,29480,29538
32396,29505,29488
32376,29532,29512
32350,29540,29393
32300,29524,29433
32272,29508,29320
32292,29471,29388
32280,29447,29375
32288,29439,29281
32308,29447,29357
32352,29469,29316
32385,29496,29337
32396,29518,29319
32372,29529,29189
32341,29522,29246
32317,29492,29183
32336,29471,29112
32317,29444,29222
32308,29436,29204
32296,29442,29046
32328,29464,29145
32328,29491,29052
32320,29512,29135
32312,29529,29108
32260,29516,28973
32232,29492,29085
32224,29467,29073
32212,29447,28927
32252,29436,28984
32248,29438,29007
32316,29460,29005
32336,29480,28900
32340,29513,28981
32304,29523,28957
32316,29509,28964
32316,29489,28969
32276,29460,28877
32276,29438,28908
32300,29428,28856
32332,29432,28815
32328,29447,28889
32366,29486,28888
32408,29506,28839
32388,29519,28836
32384,29509,28829
32368,29484,28777
32356,29457,28801
32337,29433,28820
32352,29421,28679
32436,29426,28788
32480,29457,28757
32512,29487,28709
32500,29508,28660
32472,29505,28724
32436,29504,28679
32416,29480,28624
32414,29447,28672
32432,29424,28676
32436,29413,28535
32460,29421,28646
32548,29453,28637
32576,29485,28506
32572,29496,28588
32548,29510,28569
32528,29501,28469
32480,29477,28567
32484,29447,28544
32541,29429,28411
32552,29425,28504
32556,29423,28413
32576,29447,28487
32580,29478,28487
32540,29501,28356
32500,29509,28464
32480,29501,28420
32452,29477,28335
32476,29447,28334
32504,29423,28384
32520,29413,28392
32580,29425,28260
32620,29445,28369
32620,29477,28363
32604,29497,28240
32585,29509,28300
32548,29492,28205
32508,29476,28312
32508,29437,28269
32497,29424,28236
32532,29415,28238
32576,29421,28255
32596,29447,28237
32596,29476,28194
32586,29499,28140
32570,29506,28231
32560,29496,28217
32524,29473,28199
32512,29440,28128
32504,29425,28192
32542,29415,28197
32568,29427,28091
32565,29447,28149
32589,29477,28102
32568,29480,28111
32557,29503,28144
32532,29492,28164
32516,29468,28047
32528,29447,28134
32532,29421,28108
32548,29413,28084
32576,29422,28138
32624,29438,28103
32624,29470,28039
32596,29499,28001
32586,29506,28100
32564,29489,28060
32538,29468,28111
32533,29444,28073
32592,29420,28077
32640,29409,27989
32704,29415,28080
32773,29441,28084
32804,29465,27975
32828,29493,28084
32776,29501,28060
32756,29497,28069
32728,29471,27969
32728,29446,28064
32708,29423,28044
32744,29407,27980
32764,29417,27999
32848,29447,28052
32912,29476,28033
32928,29496,28025
32940,29493,28060
32936,29486,27940
32896,29475,28006
32852,29445,28052
32820,29423,28016
32836,29417,28049
32776,29421,27936
32762,29447,28000
32704,29471,28014
32688,29496,28041
32644,29501,28022
32608,29492,27946
32592,29464,27957
32580,29441,28048
32568,29423,28024
32618,29407,28019
32681,29415,27996
32756,29447,28031
32764,29471,28065
32760,29496,28016
32708,29505,28040
32648,29494,27964
32584,29466,28063
32572,29444,28039
32548,29416,28039
32564,29410,28069
32616,29413,28039
32620,29443,28015
32620,29468,28096
32624,29496,28097
32616,29497,27992
32604,29488,28110
32560,29463,28093
32528,29441,28109
32576,29405,28039
32644,29405,28093
32672,29408,28122
32648,29432,28112
32645,29456,28041
32644,29485,28147
32640,29499,28167
32612,29482,28072
32608,29468,28073
32596,29434,28180
32592,29411,28158
32628,29397,28101
32664,29409,28141
32716,29433,28160
32740,29469,28177
32744,29484,28105
32712,29494,28187
32668,29484,28167
32600,29463,28113
32584,29431,28201
32624,29415,28206
32684,29397,28103
32708,29412,28164
32740,29434,28176
32804,29461,28153
32804,29477,28210
32764,29491,28180
32748,29485,28103
32728,29463,28133
32752,29431,28185
32760,29408,28162
32752,29399,28062
32760,29412,28161
32769,29429,28187
32808,29447,28073
32832,29473,28119
32856,29489,28136
32832,29483,28123
32800,29459,28160
32820,29428,28159
32852,29406,28065
32896,29397,28116
33012,29399,28044
33132,29423,28137
33293,29460,28134
33556,29479,28037
33880,29481,28109
34264,29479,28013
34688,29447,28118
35124,29421,28121
35668,29388,28073
36224,29380,28121
36653,29394,28006
36992,29421,28116
37037,29455,28100
36648,29484,28055
35528,29516,28034
33592,29535,28112
31501,29524,28085
30060,29513,28052
28836,29500,28116
27576,29506,28088
26148,29511,28079
25744,29529,27991
25900,29557,28103
26189,29570,28071
26636,29564,28006
27192,29540,28012
27788,29515,28085
28440,29481,28060
29136,29452,28056
30000,29430,28063
30812,29428,27980
31492,29446,28082
32052,29468,28054
32516,29490,27980
32896,29492,28066
33192,29487,28060
33377,29461,27996
33468,29439,28085
33520,29407,28072
33576,29401,28062
33601,29411,28082
33676,29428,27998
33700,29460,28052
33720,29481,28076
33744,29492,28055
33696,29481,28013
33696,29468,28100
33692,29438,28108
33680,29408,28053
33716,29397,27989
33728,29396,28025
33736,29425,28085
33792,29460,28064
33816,29477,28007
33820,29488,28089
33784,29480,28006
33726,29463,28068
33708,29435,28028
33700,29411,28002
33684,29403,28055
33736,29412,28039
33784,29424,28011
33797,29460,27971
33792,29480,28010
33780,29497,28029
33748,29485,27927
33728,29467,27948
33712,29436,28009
33696,29410,27990
33748,29404,27983
33752,29412,27929
33788,29428,27885
33804,29464,27986
33788,29479,27956
33772,29495,27963
33728,29484,27939
33704,29469,27853
33700,29439,27944
33685,29408,27911
33696,29405,27820
33752,29417,27908
33816,29439,27873
33852,29463,27897
33832,29487,27876
33800,29503,27876
33788,29494,27844
33756,29462,27775
33744,29436,27802
33764,29415,27812
33797,29403,27730
33854,29414,27815
33900,29437,27776
33948,29458,27754
33954,29486,27742
33920,29494,27767
33856,29492,27768
33860,29460,27652
33865,29435,27741
33872,29413,27724
33900,29404,27636
33924,29417,27692
33956,29445,27700
33952,29471,27585
33948,29493,27684
33916,29505,27646
33868,29490,27586
33816,29476,27613
33804,29447,27625
33800,29422,27634
33808,29407,27540
33809,29420,27562
33780,29447,27586
33741,29477,27508
33728,29508,27590
33724,29505,27567
33692,29516,27484
33600,29478,27524
33540,29452,27541
33496,29431,27548
33448,29428,27481
33432,29439,27511
33424,29457,27526
33406,29478,27425
33405,29510,27508
33348,29516,27493
33280,29513,27469
33248,29497,27445
33228,29468,27468
33292,29435,27465
33292,29432,27439
33256,29444,27372
33168,29464,27450
33096,29492,27447
33044,29509,27348
33000,29518,27416
32964,29511,27384
32884,29489,27395
32824,29470,27388
32748,29447,27340
32733,29431,27345
32728,29444,27359
32664,29463,27286
32636,29496,27315
32600,29516,27279
32576,29525,27269
32556,29517,27281
32572,29494,27204
32560,29468,27273
32600,29442,27266
32584,29431,27167
32568,29436,27236
32534,29468,27236
32544,29487,27133
32501,29508,27197
32408,29518,27140
32364,29519,27143
32296,29492,27151
32224,29461,27079
32216,29428,27157
32230,29429,27140
32324,29436,27046
32428,29462,27120
32448,29490,27108
32464,29508,27033
32417,29513,27092
32400,29511,27098
32372,29487,27081
32320,29461,27065
32281,29431,27079
32284,29421,27057
32340,29431,26989
32404,29455,27025
32460,29479,26957
32452,29500,27029
32420,29512,27034
32412,29506,26948
32365,29479,27001
32356,29447,26940
32352,29420,27005
32312,29420,27006
32340,29421,26966
32400,29446,26978
32472,29479,26913
32485,29497,26973
32484,29506,26979
32428,29508,26976
32364,29479,26940
32260,29444,26939
32232,29433,26969
32292,29415,26881
32388,29427,26972
32476,29444,26952
32549,29479,26893
32576,29500,26948
32596,29505,26900
32538,29501,26960
32465,29473,26922
32396,29446,26962
32396,29421,26968
32428,29423,26895
32464,29422,26949
32568,29447,26900
32681,29461,26940
32669,29494,26873
32652,29502,26924
32609,29493,26888
32568,29471,26927
32504,29447,26856
32425,29421,26913
32392,29415,26867
32444,29429,26915
32448,29447,26915
32524,29473,26864
32572,29490,26822
32536,29504,26879
32536,29492,26900
32532,29471,26847
32512,29447,26876
32452,29408,26887
32429,29405,26872
32484,29423,26864
32636,29444,26804
32696,29471,26865
32732,29488,26845
32760,29504,26861
32829,29489,26836
32906,29468,26838
32896,29431,26772
32830,29412,26836
32772,29412,26848
32708,29415,26809
32708,29436,26846
32716,29471,26839
32700,29491,26794
32700,29500,26845
32704,29486,26844
32764,29467,26788
32733,29434,26860
32661,29410,26850
32624,29412,26785
32612,29409,26847
32701,29442,26873
32812,29462,26796
32965,29484,26872
32944,29497,26873
32840,29488,26799
32725,29468,26885
32652,29436,26893
32560,29411,26812
32560,29407,26871
32608,29413,26880
32692,29439,26852
32800,29460,26873
32840,29485,26901
32744,29508,26884
32573,29491,26887
32540,29471,26921
32516,29440,26897
32532,29416,26881
32588,29400,26917
32662,29409,26853
32804,29431,26936
32892,29463,26940
32940,29484,26884
32900,29491,26935
32768,29493,26952
32640,29466,26956
32560,29431,26935
32576,29421,26912
32692,29402,26926
32774,29412,26938
32904,29436,26887
32972,29461,26968
32936,29487,26948
32868,29499,26887
32773,29493,26954
32720,29466,26972
32716,29441,26916
32788,29410,26976
32868,29405,26958
32997,29410,26940
33136,29439,26964
33216,29469,26922
33181,29493,26980
33076,29497,27015
32912,29484,26916
32784,29462,27009
32712,29442,26990
32760,29417,27001
32808,29399,26977
32918,29418,27004
33040,29436,26973
33156,29471,27044
33234,29497,27031
33336,29500,27018
33284,29491,27071
33024,29471,27082
32856,29436,27001
32840,29409,27085
32842,29412,27105
32800,29423,27078
32887,29447,27117
32902,29465,27069
32920,29488,27136
32900,29503,27090
32832,29499,27189
32790,29468,27196
32716,29447,27247
32728,29421,27248
32860,29398,27277
33004,29420,27275
32948,29442,27313
33016,29469,27287
33020,29492,27357
32992,29496,27396
32948,29493,27335
32812,29468,27415
32652,29440,27381
32620,29425,27461
32790,29404,27421
32908,29423,27536
32876,29439,27559
32840,29472,27549
32780,29495,27601
32728,29507,27604
32740,29495,27685
32764,29471,27723
32780,29436,27700
32860,29415,27757
32836,29407,27796
32736,29421,27820
32712,29446,27755
32660,29472,27860
32636,29494,27833
32608,29509,27945
32528,29492,27966
32476,29469,27910
32468,29444,27943
32560,29414,28072
32685,29412,28061
32764,29423,28101
