ECG,EDA,RR
32676,24011,33636
32624,23975,33652
32612,23937,33700
32620,23925,33855
32604,23950,33728
32592,23993,33838
32600,24036,33652
32592,24054,33725
32548,24065,33887
32504,24047,33821
32444,24007,33839
32334,23956,33653
32292,23935,33862
32324,23914,33860
32384,23940,33753
32460,23968,33859
32477,24019,33719
32496,24036,33881
32464,24053,33766
32304,24034,33868
32200,23983,33724
32168,23952,33920
32140,23917,33749
32136,23908,33857
32140,23921,33649
32117,23967,33732
32097,23999,33883
32104,24026,33799
32116,24035,33832
32100,24019,33684
32136,23976,33860
32128,23939,33796
32093,23899,33885
32140,23892,33884
32216,23908,33783
32212,23943,33981
32244,23980,33848
32300,24013,33911
32348,24025,33869
32366,23996,33826
32285,23961,33946
32196,23920,33823
32180,23881,33948
32148,23878,33958
32135,23893,33760
32140,23930,33844
32200,23967,33897
32248,24001,34044
32240,24003,33980
32244,23988,33916
32168,23941,33981
32056,23900,34028
32036,23869,33884
32057,23854,34095
32164,23879,34032
32276,23919,34062
32304,23955,33940
32324,23983,34143
32368,23993,34000
32300,23972,34112
32212,23938,33980
32156,23892,34151
32216,23860,34025
32340,23844,34125
32476,23859,34055
32468,23898,34052
32444,23933,34116
32456,23970,33921
32416,23975,34164
32312,23961,34024
32264,23927,34143
32300,23873,33941
32440,23849,34073
32492,23832,34191
32513,23847,34047
32581,23882,34144
32561,23919,34021
32556,23957,34203
32586,23954,34055
32640,23943,33920
32644,23901,34005
32500,23869,34159
32436,23822,34052
32448,23821,34148
32432,23835,34104
32480,23873,34088
32468,23906,33886
32480,23940,34023
32480,23948,34136
32476,23927,34009
32432,23893,34071
32384,23845,33893
32346,23809,34053
32344,23801,33962
32420,23815,34028
32568,23852,34028
32664,23889,33881
32648,23919,34015
32588,23920,33950
32448,23908,33975
32356,23876,33821
32276,23831,33870
32292,23791,33959
32336,23784,33868
32352,23797,33977
32468,23841,33833
32552,23879,33985
32612,23911,34005
32652,23913,33848
32676,23896,33895
32604,23865,33908
32544,23812,33918
32512,23776,33703
32504,23764,33776
32544,23788,33756
32616,23814,33823
32680,23865,33927
32680,23885,33919
32720,23901,33812
32664,23883,33798
32632,23848,33727
32672,23804,33828
32721,23760,33837
32700,23748,33627
32720,23767,33627
32825,23809,33687
32832,23841,33671
32836,23872,33638
32804,23892,33693
32688,23872,33728
32544,23836,33818
32464,23780,33703
32452,23751,33723
32400,23745,33757
32460,23753,33591
32600,23789,33714
32656,23831,33785
32708,23869,33612
32704,23868,33710
32616,23855,33572
32560,23815,33706
32624,23781,33676
32694,23743,33542
32640,23724,33728
32568,23743,33552
32610,23776,33628
32616,23812,33655
32576,23845,33453
32536,23849,33517
32544,23837,33679
32480,23799,33541
32388,23757,33627
32368,23719,33470
32436,23709,33481
32604,23723,33628
32704,23758,33671
32668,23798,33524
32624,23822,33507
32580,23838,33594
32561,23823,33625
32464,23791,33604
32428,23745,33441
32477,23709,33492
32461,23693,33533
32444,23708,33641
32500,23743,33697
32544,23783,33624
32576,23815,33647
32568,23825,33491
32592,23815,33593
32596,23765,33713
32584,23727,33584
32596,23687,33671
32620,23676,33499
32592,23692,33637
32576,23720,33749
32588,23761,33612
32608,23801,33711
32584,23807,33743
32576,23790,33536
32557,23751,33616
32564,23713,33774
32600,23677,33746
32688,23663,33700
32769,23673,33693
32772,23707,33772
32741,23751,33799
32748,23776,33797
32688,23795,33597
32564,23771,33657
32504,23734,33702
32442,23705,33738
32452,23661,33878
32524,23654,33917
32620,23667,33911
32692,23699,33925
32752,23732,33884
32856,23757,33816
32924,23782,33849
33000,23757,33892
33188,23730,33872
33496,23678,33760
33848,23645,33866
34204,23634,33948
34720,23636,33877
35389,23676,33789
36040,23711,33884
36652,23748,33701
37188,23767,33757
37376,23753,33838
37220,23724,33945
36376,23687,33829
34816,23654,33833
32616,23650,33888
30936,23662,33895
29732,23700,33888
28472,23741,33716
26636,23780,33754
25604,23791,33919
25668,23773,33791
25850,23733,33799
26160,23677,33876
26624,23640,33743
27268,23623,33785
27992,23626,33798
28782,23653,33843
29357,23693,33858
30020,23722,33729
30804,23734,33901
31596,23715,33828
32136,23676,33864
32553,23634,33728
32848,23599,33913
33076,23584,33940
33352,23596,33780
33548,23639,33871
33656,23668,33908
33744,23701,33710
33764,23717,33798
33728,23704,33893
33664,23673,33993
33641,23629,33852
33632,23589,33900
33684,23574,33889
33832,23589,33949
33940,23620,33972
33880,23658,33953
33872,23687,33766
33868,23708,33894
33812,23690,34007
33768,23660,33996
33765,23619,33888
33728,23575,33991
33764,23559,34007
33776,23567,33815
33828,23609,33985
33876,23650,33997
33896,23676,33997
33933,23693,33772
33924,23681,33927
33888,23655,33893
33860,23608,33956
33824,23564,33764
33852,23556,33821
33888,23559,33950
33876,23592,33916
33872,23633,33720
33856,23664,33921
33804,23672,33799
33652,23668,33916
33600,23635,33734
33592,23582,33925
33632,23549,33793
33696,23542,33897
33744,23547,33875
33798,23574,33927
33825,23625,33829
33752,23653,33861
33728,23669,33713
33768,23653,33895
33790,23623,33748
33772,23571,33840
33796,23544,33657
33822,23529,33866
33864,23527,33697
33896,23571,33790
33920,23613,33796
33944,23647,33653
33952,23653,33761
33972,23652,33839
33925,23607,33795
33898,23568,33724
33928,23527,33759
33964,23519,33543
33968,23521,33569
34016,23553,33661
34012,23603,33753
34054,23624,33711
34028,23641,33740
34012,23628,33596
33992,23605,33788
33952,23557,33722
33984,23517,33730
34012,23500,33652
34048,23512,33741
34100,23543,33719
34156,23593,33606
34168,23624,33764
34088,23633,33639
34028,23625,33565
33960,23594,33753
33872,23542,33747
33856,23521,33780
33848,23490,33780
33860,23501,33732
33860,23534,33864
33882,23574,33743
33872,23617,33713
33800,23624,33855
33744,23607,33733
33632,23582,33934
33592,23540,33836
33528,23511,33692
33476,23478,33900
33488,23488,34004
33448,23520,33872
33392,23569,33985
33336,23596,34018
33252,23613,34036
33204,23610,33940
33084,23572,34116
32992,23528,34099
32956,23495,34140
32948,23465,34167
