ECG,EDA,RR
33400,20067,31950
33344,20056,31908
33328,20031,31984
33388,19991,31903
33432,20019,31769
33484,20023,31838
33540,20069,31657
33592,20116,31749
33588,20135,31845
33564,20142,31789
33516,20115,31795
33464,20089,31735
33376,20046,31780
33364,20038,31593
33412,20037,31701
33424,20068,31622
33452,20098,31727
33484,20129,31751
33486,20176,31709
33432,20173,31764
33344,20156,31453
33328,20116,31623
33300,20084,31421
33332,20079,31576
33408,20093,31569
33460,20116,31618
33508,20128,31373
33517,20168,31599
33509,20193,31493
33536,20206,31549
33530,20182,31449
33500,20160,31330
33433,20123,31252
33440,20124,31367
33500,20119,31421
33553,20135,31157
33592,20169,31324
33624,20211,31252
33632,20257,31135
33616,20261,31212
33584,20231,31217
33548,20205,31193
33532,20164,31212
33524,20168,30940
33560,20171,30983
33620,20196,31036
33640,20225,31038
33672,20262,31063
33652,20286,30804
33636,20287,30856
33656,20257,30799
33584,20221,30895
33504,20205,30852
33469,20203,30848
33441,20189,30871
33400,20211,30785
33352,20267,30817
33412,20287,30559
33384,20324,30617
33368,20337,30540
33248,20295,30549
33156,20274,30437
33120,20268,30479
33108,20218,30421
33100,20238,30532
33132,20260,30380
33120,20302,30496
33096,20348,30278
33056,20348,30311
32968,20355,30237
32912,20348,30329
32816,20321,30343
32764,20302,30096
32740,20264,30253
32717,20263,30269
32704,20289,30180
32688,20324,30207
32636,20364,29959
32572,20385,29975
32516,20388,29936
32444,20366,30032
32388,20339,29967
32396,20308,29853
32380,20295,29936
32424,20308,29902
32464,20329,29733
32496,20384,29751
32512,20396,29628
32460,20420,29828
32380,20431,29746
32316,20416,29727
32284,20396,29644
32248,20339,29492
32240,20343,29575
32240,20347,29418
32244,20357,29605
32248,20399,29537
32264,20426,29340
32256,20456,29476
32206,20455,29404
32148,20441,29220
32138,20417,29319
32104,20390,29271
32128,20384,29292
32133,20372,29246
32152,20388,29175
32204,20444,29036
32232,20477,29216
32224,20504,29141
32212,20495,28958
32193,20487,29108
32118,20444,28941
32108,20419,28860
32136,20413,29023
32136,20405,28821
32192,20434,28877
32212,20466,28896
32228,20521,28716
32277,20521,28895
32263,20532,28839
32216,20526,28657
32192,20477,28802
32192,20463,28711
32216,20431,28575
32256,20443,28644
32260,20471,28519
32292,20519,28661
32312,20529,28487
32302,20572,28618
32300,20572,28481
32292,20562,28551
32248,20531,28409
32180,20509,28469
32156,20473,28372
32184,20472,28417
32172,20497,28367
32216,20533,28524
32261,20567,28333
32304,20596,28428
32292,20605,28359
32241,20580,28384
32216,20557,28288
32208,20530,28449
32216,20520,28405
32244,20525,28407
32320,20550,28249
32312,20589,28368
32260,20607,28337
32240,20628,28295
32196,20636,28284
32208,20624,28141
32209,20585,28294
32208,20558,28208
32232,20555,28236
32240,20551,28230
32276,20585,28206
32316,20628,28036
32324,20644,28204
32324,20684,28156
32272,20665,28143
32232,20662,28100
32232,20626,27941
32208,20601,28106
32208,20584,28064
32224,20601,27871
32264,20609,27977
32296,20653,28012
32288,20683,27984
32260,20708,27861
32240,20708,27972
32232,20692,27955
32227,20669,27887
32196,20640,27929
32217,20625,27919
32293,20633,27888
32324,20662,27844
32320,20678,27848
32320,20713,27692
32312,20740,27820
