ECG,EDA,RR
33620,5279,32487
33648,5233,32388
33700,5247,32452
33948,5231,32263
34272,5257,32398
34468,5311,32529
34432,5313,32647
34392,5353,32390
34340,5319,32536
34408,5296,32548
34580,5303,32452
34736,5253,32614
34788,5219,32533
34872,5278,32609
34824,5279,32301
34696,5288,32553
34688,5364,32764
34720,5344,32748
34692,5319,32536
34736,5377,32687
34823,5291,32369
34852,5268,32631
34852,5216,32841
34825,5280,32685
34784,5295,32629
34764,5325,32726
34692,5330,32716
34640,5341,32681
34616,5316,32629
34616,5293,32742
34608,5279,32588
34644,5238,32716
34638,5218,32834
34640,5271,32841
34608,5279,32756
34560,5345,32788
34432,5319,32812
34384,5376,32511
34320,5338,32740
34316,5292,32753
34408,5293,32733
34436,5250,32737
34528,5216,32647
34408,5307,32802
34288,5282,32796
34292,5293,32793
34264,5381,32765
34164,5353,32799
34136,5335,32761
34100,5302,32671
34080,5290,32670
34180,5252,32805
34320,5217,32870
34444,5225,32870
34412,5257,32664
34249,5332,32422
34245,5339,32741
34152,5334,32728
34028,5395,32705
34048,5307,32398
34024,5254,32714
34077,5291,32713
34172,5242,32705
34172,5229,32694
34078,5303,32506
33984,5293,32684
33876,5366,32808
33740,5350,32748
33704,5316,32695
33728,5315,32608
33741,5255,32592
33880,5223,32737
33896,5273,32831
33929,5258,32743
33860,5255,32748
33804,5328,32717
33736,5323,32604
33692,5325,32764
33692,5337,32536
33628,5299,32545
33696,5317,32615
33708,5261,32652
33740,5215,32661
33768,5275,32340
33724,5274,32585
33672,5290,32748
33556,5361,32775
33464,5328,32564
33448,5316,32607
33448,5323,32657
33604,5277,32543
33608,5223,32604
33568,5275,32708
33452,5274,32566
33296,5297,32546
33284,5327,32545
33472,5341,32541
33452,5364,32548
33460,5315,32558
33452,5285,32754
33456,5290,32685
33496,5259,32627
33448,5303,32500
33488,5251,32487
33432,5259,32457
33364,5325,32561
33340,5343,32548
33316,5353,32630
33308,5362,32676
33286,5288,32546
33348,5276,32603
33386,5226,32303
33400,5244,32459
33376,5334,32508
33276,5292,32312
33198,5314,32601
33152,5425,32592
33172,5351,32597
33224,5370,32584
33300,5295,32583
33432,5304,32558
33420,5249,32532
33428,5270,32526
33428,5238,32565
33356,5304,32564
33216,5316,32544
33156,5319,32500
33124,5354,32391
33184,5310,32445
33156,5317,32500
33173,5253,32629
33228,5272,32568
33256,5225,32519
33256,5274,32541
33220,5257,32548
33140,5336,32497
33156,5316,32401
33140,5359,32478
33140,5313,32535
33124,5360,32532
33104,5284,32484
32944,5242,32452
32948,5240,32420
33124,5228,32448
33169,5308,32399
33064,5311,32160
32936,5315,32163
32992,5381,32198
33004,5330,32248
33016,5321,32193
33064,5252,32170
33180,5229,32176
33248,5268,32076
33209,5273,32263
33076,5296,32180
33068,5320,32053
33008,5352,32000
32920,5336,32101
32924,5313,32104
32996,5379,32048
33100,5287,31937
33176,5242,32164
33160,5220,32184
33116,5227,32132
33044,5310,32136
32940,5317,32134
