ECG,EDA,RR
33132,11598,31028
33096,11602,31239
33224,11558,31074
33264,11555,31077
33264,11574,30949
33154,11604,31137
33096,11666,30992
33084,11677,30864
33017,11673,30983
32999,11716,30817
33181,11650,30909
33204,11619,30813
33197,11572,30821
33116,11612,30846
33116,11617,30710
33056,11652,30873
32992,11668,30761
32960,11688,30772
32924,11699,30652
32960,11734,30599
33000,11679,30712
33132,11652,30671
33136,11627,30637
33168,11629,30516
33136,11661,30613
33044,11691,30565
32981,11721,30452
32837,11751,30546
32868,11753,30418
32916,11737,30632
32958,11712,30492
32956,11708,30471
33040,11618,30249
33032,11620,30364
33052,11637,30513
33060,11672,30321
32972,11715,30437
32894,11735,30324
32868,11742,30479
32888,11750,30311
33012,11706,30353
33016,11676,30164
33012,11654,30311
32976,11663,30424
32876,11685,30348
32876,11715,30236
32848,11758,30421
32824,11787,30244
32920,11787,30124
32804,11766,30209
32793,11735,30407
32864,11700,30263
32973,11676,30287
33036,11678,30045
32996,11702,30172
32956,11740,30295
32932,11759,30255
32829,11834,30221
32756,11826,30125
32784,11791,30120
32856,11757,30341
32848,11740,30109
32900,11699,30212
32976,11688,30341
32936,11714,30197
32956,11752,30045
32805,11834,30305
32832,11853,30084
32792,11857,30181
32840,11841,30073
32860,11798,30201
32864,11753,30181
32853,11725,30094
32888,11724,30054
32864,11739,30167
32840,11774,30100
32853,11877,30055
32817,11861,29959
32776,11859,30264
32788,11842,30033
32868,11803,30000
32892,11764,30215
32886,11754,30129
32932,11744,30053
32852,11775,30105
32804,11803,29935
32748,11866,30101
32728,11876,30167
32748,11878,30119
32750,11852,29916
32772,11843,30225
32816,11794,30113
32792,11803,30032
32824,11798,30011
32732,11793,29973
32704,11853,30205
32660,11887,30021
32588,11898,30119
32600,11917,30200
32612,11879,30110
32693,11878,30053
32688,11815,30126
32733,11815,30188
32621,11802,30149
32616,11852,30126
32586,11884,30096
32540,11899,29952
32548,11957,30252
32596,11950,30151
32744,11909,30048
32778,11908,30212
32696,11871,30152
32868,11823,30039
32828,11847,30182
32974,11877,30156
32796,11924,30233
32696,11948,30133
32672,11951,30061
32604,11983,30108
32644,11966,30100
32629,11906,30305
32644,11907,30064
32656,11871,30184
32640,11860,30112
32686,11909,30220
32692,11946,30193
32624,11976,30098
32560,11990,30292
32544,11992,30191
32645,11964,30103
32572,11961,30117
32716,11911,30215
32756,11880,30120
32732,11916,30309
32732,11930,30239
32736,12000,30201
32704,11993,30109
32668,12043,30140
32680,12029,30245
32748,12022,30175
32824,11961,30251
32900,11967,30132
32925,11918,30308
32872,11905,30255
32884,11969,30105
32852,11979,30330
32852,12037,30156
32844,12045,30284
32784,12053,30169
32720,12020,30343
32756,12036,30277
32852,11974,30183
32900,11951,30417
32820,11941,30292
32840,11977,30215
32876,12025,30447
32816,12095,30332
32688,12089,30205
32636,12077,30468
32608,12053,30253
32616,12039,30360
32672,12006,30148
32528,11965,30492
32364,12000,30338
32076,12005,30197
31748,12031,30352
31396,12098,30484
31200,12123,30442
30873,12110,30463
30228,12103,30412
29348,12061,30479
28148,12055,30390
26992,12021,30599
26076,12014,30382
25276,12064,30527
24552,12084,30481
23808,12122,30536
23200,12151,30517
23058,12167,30574
23432,12146,30504
24108,12100,30628
24933,12100,30468
26085,12052,30414
27828,12033,30658
29504,12090,30596
32246,12119,30496
34649,12129,30693
35252,12184,30575
34820,12162,30471
34372,12174,30479
34021,12141,30567
33888,12120,30595
33816,12074,30445
33780,12063,30316
33824,12096,30668
33780,12123,30557
33740,12191,30447
33752,12193,30624
33884,12189,30420
33902,12191,30559
34004,12141,30463
34024,12175,30703
34020,12099,30615
34080,12090,30540
34025,12112,30791
34036,12180,30700
34004,12197,30613
33920,12227,30832
33856,12216,30808
33878,12205,30896
33952,12209,30821
33940,12167,31092
33904,12132,30961
33860,12129,31076
33776,12141,31108
33736,12211,31053
33625,12228,31184
33504,12251,31192
33476,12290,31164
33536,12243,31040
33556,12204,31383
33568,12171,31274
33656,12188,31188
33664,12185,31357
33584,12184,31277
33488,12206,31372
33390,12285,31257
33428,12281,31189
33396,12279,31187
33380,12298,31044
33396,12254,31141
33388,12231,31288
33424,12178,31218
33437,12220,31116
33360,12215,31175
33256,12239,31182
33169,12278,31047
33076,12341,31281
33040,12324,31140
33068,12319,31066
33136,12257,31072
33204,12232,31164
33232,12213,31004
33212,12212,31295
33188,12237,31144
33020,12273,31215
32968,12335,31191
32804,12396,31383
32784,12375,31255
32848,12358,31228
32888,12301,31356
32989,12257,31306
32992,12273,31506
33022,12270,31362
32932,12284,31509
