ECG,EDA,RR
31912,4736,32932
31786,4735,32913
31768,4717,32637
31812,4665,32932
31865,4650,33016
31784,4648,32988
31672,4681,32997
31616,4700,33144
31528,4743,33016
31404,4783,33152
31288,4739,33140
31204,4728,32903
31169,4701,32932
31172,4698,32969
31200,4666,32941
31156,4677,33093
31136,4696,33046
31060,4718,33015
30940,4755,32993
30848,4772,33077
30768,4787,33100
30716,4735,33117
30712,4703,33180
30744,4672,33173
30768,4644,32980
30784,4636,33011
30756,4663,33204
30697,4713,33205
30600,4744,33063
30552,4761,33165
30517,4774,33235
30488,4766,33383
30500,4736,33340
30596,4708,33175
30664,4679,33313
30717,4678,33331
30712,4711,33335
30712,4681,33346
30752,4713,33367
30796,4757,33364
30864,4765,33228
30968,4740,33312
31196,4723,33373
31396,4704,33447
31624,4689,33515
31832,4692,33574
31988,4719,33580
32140,4767,33399
32277,4716,33396
32400,4736,33459
32548,4741,33479
32708,4725,33469
32997,4699,33457
33268,4679,33503
33472,4678,33197
33653,4662,33175
33808,4691,33508
33932,4771,33543
33988,4707,33543
34056,4763,33543
34144,4751,33552
34305,4748,33565
34384,4733,33569
34533,4725,33581
34568,4646,33580
34644,4638,33569
34668,4654,33582
34689,4708,33576
34652,4724,33556
34652,4767,33557
34692,4738,33693
34712,4725,33561
34773,4702,33575
34824,4720,33624
34880,4680,33428
34844,4670,33543
34856,4667,33632
34793,4701,33716
34720,4734,33756
34684,4736,33783
34628,4743,33512
34624,4777,33637
34646,4767,33505
34700,4747,33720
34712,4649,33792
34704,4637,33559
34672,4655,33583
34628,4702,33634
34552,4741,33669
34484,4791,33327
34460,4743,33335
34444,4743,33549
34464,4740,33663
34512,4671,33772
34548,4643,33525
34536,4672,33603
34501,4689,33655
34448,4687,33645
34372,4711,33316
34294,4735,33543
34264,4741,33588
34224,4729,33592
34232,4699,33710
34258,4669,33700
34272,4662,33725
34216,4670,33620
34199,4717,33616
34134,4678,33612
34072,4726,33537
34012,4786,33447
34020,4743,33188
34008,4753,33524
34042,4762,33509
34036,4665,33519
34060,4674,33495
34084,4655,33152
34054,4708,33471
33996,4681,33495
33920,4729,33479
33820,4776,33479
33773,4743,33472
33736,4726,33468
33784,4699,33464
33800,4683,33441
33797,4670,33412
33812,4677,33396
33788,4678,33360
33748,4705,33344
33624,4744,33360
33524,4765,33340
33496,4767,33389
33488,4743,33428
33536,4718,33429
33560,4685,33423
33628,4665,33404
33636,4656,33388
33612,4676,33386
33576,4700,33391
33492,4749,33399
33460,4801,33391
33424,4744,33380
33408,4734,33376
33412,4708,33369
33457,4698,33365
33504,4657,33031
33544,4680,33340
33500,4661,33026
33460,4702,33081
33392,4720,33189
33344,4739,33255
33328,4753,33287
33312,4754,33352
33320,4745,33460
33336,4720,33271
33412,4695,33284
33392,4688,33298
33344,4679,33287
33298,4704,32988
33248,4755,33222
33204,4741,33380
33204,4749,33448
33136,4726,33391
33184,4777,33156
33204,4717,33230
33228,4689,33283
33232,4683,33300
33292,4660,32980
33245,4754,33213
33168,4723,33217
33132,4740,33264
33092,4746,33332
33072,4732,33395
33096,4706,33372
33156,4713,33397
33196,4680,33399
33200,4663,33262
33184,4689,33135
33132,4713,33159
33088,4722,33173
33072,4742,33197
33024,4756,33180
32992,4757,33176
33065,4759,33170
33156,4678,33140
33156,4676,33181
33182,4692,33197
33132,4665,33196
33104,4704,33181
33032,4763,33159
32984,4746,33109
32964,4753,32832
32968,4755,32991
32925,4754,33067
32993,4675,33116
33044,4667,33093
33064,4692,33168
33060,4714,32943
33048,4695,33031
32950,4721,33013
32918,4759,32919
32872,4766,32989
32852,4753,32896
32869,4750,32901
32952,4676,32954
32960,4657,32917
33024,4681,32871
33024,4696,32911
32985,4743,33030
32908,4721,32932
32844,4769,32863
32792,4780,32869
32842,4784,32717
32836,4709,32812
32912,4674,32495
32965,4655,32733
32940,4675,32864
32916,4685,32877
32888,4733,32622
32850,4806,32718
32816,4747,32740
32764,4789,32729
32756,4763,32456
32820,4756,32581
32908,4675,32653
32949,4692,32694
32956,4696,32716
32960,4665,32737
32884,4710,32588
32796,4751,32452
32733,4783,32623
32709,4793,32647
32673,4776,32632
32712,4711,32628
32800,4708,32608
32880,4690,32580
32900,4653,32576
32920,4689,32553
32872,4732,32569
32828,4779,32589
32788,4747,32551
32716,4789,32565
32692,4741,32537
32740,4743,32476
32781,4713,32516
32797,4663,32542
32832,4676,32503
32784,4686,32532
32756,4742,32530
32700,4730,32485
32676,4782,32392
32652,4756,32396
32692,4739,32509
32760,4727,32508
32741,4708,32475
32808,4681,32319
32821,4681,32405
32784,4693,32477
32748,4735,32519
32705,4781,32628
32648,4748,32580
32624,4766,32607
32620,4803,32572
32662,4747,32528
32716,4709,32588
32733,4659,32591
32716,4665,32594
32700,4716,32400
32698,4703,32184
32613,4754,32448
32540,4856,32447
32480,4758,32453
32440,4762,32415
32520,4760,32151
32576,4677,32177
32644,4675,32349
32660,4689,32461
32588,4720,32545
32556,4760,32294
32520,4729,32417
32504,4748,32263
32519,4777,32332
32532,4760,32423
32564,4751,32485
32612,4727,32397
32664,4734,32391
32644,4654,32245
32676,4689,32333
32634,4723,32448
32596,4794,32429
32576,4751,32511
32566,4759,32516
32568,4763,32321
32612,4754,32332
32648,4681,32391
32624,4662,32075
32621,4668,32314
32580,4692,32352
32568,4758,32304
32608,4732,32297
32556,4787,32377
32516,4804,32361
32568,4741,32476
32584,4717,32473
32636,4699,32237
32660,4708,32308
32676,4765,32376
32700,4672,32245
32696,4700,32285
32672,4771,32430
32620,4797,32461
32629,4761,32479
32653,4739,32370
32692,4737,32294
32768,4714,32357
32820,4713,32342
32792,4656,32212
32844,4677,32306
32788,4739,32452
32764,4774,32485
32685,4751,32465
32700,4761,32221
32704,4752,32215
32748,4751,32319
32788,4680,32325
32776,4672,32319
32776,4687,32334
32760,4720,32350
32712,4744,32357
32620,4767,32295
32612,4785,32446
32588,4807,32479
32556,4744,32288
32544,4710,32396
32440,4710,32405
32308,4687,32404
32044,4700,32401
31736,4725,32093
31284,4709,32345
30936,4737,32348
30776,4761,32389
30408,4778,32434
29704,4769,32551
28736,4736,32519
27596,4708,32589
26688,4694,32607
26004,4694,32373
25556,4709,32415
25084,4740,32486
24686,4769,32473
24536,4786,32175
24949,4784,32496
25600,4764,32629
26388,4725,32394
27089,4692,32453
28316,4671,32495
29832,4689,32492
31924,4676,32199
34384,4709,32549
35621,4742,32505
35328,4814,32331
34596,4809,32452
34072,4779,32157
33797,4730,32423
33692,4681,32504
33708,4665,32509
33680,4708,32475
33665,4725,32445
33672,4742,32272
33612,4757,32362
33572,4783,32151
33540,4796,32251
33552,4773,32357
33600,4749,32428
33636,4694,32281
33720,4663,32216
33752,4678,32234
33692,4723,32222
33696,4809,32263
33633,4789,32094
33612,4761,32239
33584,4760,32356
33556,4765,32445
33588,4742,32471
33620,4739,32495
33647,4665,32560
33636,4665,32605
33528,4685,32476
33476,4711,32386
33464,4746,32471
33396,4759,32565
33376,4770,32564
33397,4754,32592
33444,4712,32592
33484,4683,32596
33468,4664,32618
33468,4660,32309
33412,4678,32364
33376,4708,32575
33344,4838,32764
33272,4766,32671
33184,4867,32681
33192,4796,32733
33241,4755,32762
33280,4709,32749
33288,4704,32669
33280,4699,32625
33292,4706,32492
33204,4708,32509
33120,4741,32519
33056,4824,32325
32984,4813,32428
33041,4798,32400
33068,4765,32424
33068,4736,32432
33060,4721,32484
33072,4664,32416
33052,4682,32477
32952,4754,32369
32900,4775,32314
32828,4797,32203
32813,4802,32205
32808,4790,32182
32792,4787,32276
32804,4740,32175
32850,4721,32277
32840,4717,32268
32776,4722,32334
32704,4743,32341
32616,4779,32361
32545,4799,32377
32536,4802,32380
32524,4782,32412
32552,4746,32412
32584,4719,32409
32613,4699,32128
32620,4689,32381
32520,4718,32604
32472,4736,32381
32436,4762,32375
32328,4767,32503
32204,4763,32537
32244,4749,32548
32272,4719,32316
32272,4689,32482
32284,4670,32519
32228,4687,32465
32184,4716,32450
32088,4740,32486
31968,4778,32555
31892,4796,32565
31828,4772,32593
31768,4769,32365
31793,4748,32697
31824,4740,32692
31780,4668,32703
31768,4681,32421
31678,4701,32661
31576,4737,32860
31433,4794,32791
31308,4765,32642
31210,4800,32668
31180,4777,32767
31152,4763,32829
31136,4695,32823
31164,4681,32857
31152,4687,32862
31096,4724,32866
31000,4789,32600
30873,4749,32820
30820,4767,32865
30768,4782,32853
30757,4774,32959
30740,4759,33039
30778,4738,33108
30800,4672,33134
30740,4672,33082
30680,4715,32903
30637,4751,32991
30600,4767,33049
30572,4799,32770
30584,4821,32751
30640,4754,32740
30733,4759,32932
30808,4717,33031
30888,4708,33260
30972,4717,33224
31045,4767,33148
31086,4723,33271
31116,4766,33303
31168,4839,33222
31272,4773,33213
31424,4772,33335
31648,4738,33100
31904,4735,33135
32160,4677,33223
32360,4695,33174
32544,4731,33151
32756,4714,33147
32844,4751,33161
32984,4786,33164
33125,4801,33261
33300,4803,33301
33548,4717,33284
33800,4709,33238
33924,4753,33476
34064,4674,33491
34204,4711,33509
34320,4772,33482
34344,4747,33516
34381,4764,33471
34453,4798,33410
34516,4802,33451
34616,4723,33340
34736,4729,33444
34808,4705,33431
34892,4721,33484
34932,4688,33500
34918,4728,33425
34864,4760,33347
34816,4809,33495
34816,4770,33632
34832,4761,33600
34896,4766,33523
34896,4690,33508
34896,4711,33540
34935,4711,33575
34888,4793,33630
34856,4715,33626
34776,4762,33548
34742,4815,33584
34720,4769,33524
34756,4769,33470
34784,4774,33464
34790,4691,33300
34832,4711,33368
34824,4711,33221
34768,4763,33348
34704,4720,33265
34628,4765,33287
34584,4811,33266
34540,4821,33496
34512,4817,33568
34557,4799,33589
34588,4697,33671
34596,4698,33415
34616,4708,33501
34556,4726,33516
34532,4756,33509
34428,4774,33477
34368,4804,33464
34328,4793,33140
34304,4783,33127
34316,4757,33192
34344,4715,33369
34373,4707,33344
34336,4680,33375
34264,4694,33423
34241,4717,33460
34172,4749,33298
34108,4771,33151
