ECG,EDA,RR
34188,5298,29876
34145,5287,29836
34045,5284,29878
34040,5367,29836
33956,5393,29785
33900,5395,29661
33836,5388,29762
33892,5350,29620
34048,5300,29956
34160,5273,29820
33952,5261,29645
33897,5289,29712
33828,5286,29749
33832,5317,29688
33752,5342,29535
33677,5409,29689
33600,5396,29580
33704,5351,29669
33704,5327,29659
33648,5298,29616
33748,5276,29656
33724,5295,29668
33656,5302,29597
33605,5322,29645
33576,5350,29578
33508,5354,29668
33468,5349,29671
33516,5327,29612
33493,5349,29728
33560,5305,29608
33568,5278,29684
33616,5282,29593
33648,5301,29726
33580,5351,29591
33364,5349,29703
33224,5355,29562
33380,5347,29679
33436,5429,29559
33432,5345,29668
33496,5309,29526
33544,5284,29660
33564,5285,29533
33576,5304,29436
33440,5349,29445
33264,5364,29383
33276,5359,29358
33423,5353,29351
33428,5339,29297
33280,5334,29318
33312,5296,29316
33304,5298,29319
33404,5305,29389
33288,5326,29478
33336,5349,29377
33405,5388,29372
33296,5409,29116
33228,5351,29413
33240,5334,29352
33236,5293,29465
33192,5267,29311
33376,5260,29460
33404,5260,29324
33360,5287,29204
33200,5371,29210
33100,5376,29020
33288,5394,29417
33496,5357,29269
33428,5326,29358
33376,5341,29253
33264,5296,29237
33196,5265,29233
33290,5284,29120
33333,5284,29072
33245,5315,28990
33294,5341,29094
33228,5357,28925
33116,5351,29292
33164,5325,29169
33276,5291,29275
33440,5267,29130
33268,5269,28934
33028,5284,29156
33198,5314,29028
33224,5344,29094
33112,5382,29132
32988,5391,29091
32956,5375,29000
32880,5345,29029
32936,5308,28964
33260,5283,28935
33312,5284,28807
33196,5290,29000
33152,5328,28796
33244,5315,29169
33129,5342,29033
32972,5366,28942
32932,5362,28932
32888,5354,28858
32996,5331,28880
33088,5311,28750
33068,5302,28958
33237,5328,28806
33068,5285,28980
33028,5312,28712
33084,5338,28849
32964,5362,28732
32824,5347,29100
32912,5328,28967
33804,5291,28951
33040,5263,28945
32944,5253,28896
33088,5256,28803
33164,5280,28935
32924,5311,28925
32556,5338,28839
32656,5348,28676
32720,5345,28992
32752,5325,28933
32869,5324,29017
33153,5308,28845
33152,5285,28764
33125,5282,28961
33569,5309,28700
33064,5322,29089
32944,5374,28956
