ECG,EDA,RR
33592,3894,32508
33609,3842,32485
33608,3914,32463
33608,3806,32420
33612,3769,32381
33596,3824,32432
33592,3838,32504
33520,3837,32509
33532,3877,32549
33484,3869,32431
33393,3914,32300
33356,3859,32630
33324,3801,32644
33332,3834,32644
33334,3790,32647
33385,3790,32654
33332,3804,32655
33288,3887,32626
33241,3877,32631
33205,3928,32628
33196,3884,32285
33224,3843,32579
33268,3829,32353
33300,3782,32496
33316,3788,32585
33304,3779,32620
33192,3845,32597
33152,3871,32628
33066,3866,32588
32948,3913,32596
32948,3877,32568
32938,3901,32540
32968,3822,32509
32972,3779,32423
32996,3811,32404
32988,3822,32439
32928,3804,32286
32832,3883,32241
32748,3901,32252
32676,3872,32223
32696,3926,32205
32688,3866,32175
32632,3808,32237
32656,3804,31935
32668,3775,32207
32636,3803,32372
32648,3886,32197
32628,3860,32239
32564,3865,32263
32556,3921,31945
32528,3875,32175
32548,3894,32284
32536,3811,32173
32544,3821,32282
32562,3777,32272
32526,3812,32243
32440,3808,32422
32360,3871,32348
32252,3874,32276
32184,3916,32233
32160,3895,32312
32160,3905,32356
32184,3846,32337
32196,3794,32361
32184,3828,32164
32160,3822,32324
32140,3916,32544
32020,3873,32509
31960,3873,32525
31920,3929,32579
31876,3890,32432
31880,3899,32316
31878,3841,32471
31876,3848,32186
31870,3811,32391
31792,3844,32493
31700,3840,32611
31616,3850,32684
31493,3905,32689
31372,3901,32692
31320,3927,32636
31252,3865,32461
31276,3858,32613
31304,3787,32612
31337,3818,32306
31317,3791,32541
31285,3865,32563
31233,3863,32660
31180,3873,32680
31111,3937,32696
31076,3908,32412
31096,3853,32652
31140,3851,32684
31196,3816,32661
31188,3841,32725
31176,3829,32897
31108,3923,32804
31076,3866,32711
31024,3880,32775
31016,3904,32830
31072,3878,32825
31128,3897,32849
31196,3823,32534
31280,3855,32852
31312,3820,32871
31380,3824,32868
31416,3822,32836
31444,3889,32900
31420,3881,32574
31497,3938,32836
31612,3881,32958
31776,3938,32940
31924,3820,33071
32132,3823,33002
32320,3787,33031
32524,3830,32973
32668,3889,33087
32752,3865,32999
32900,3914,32826
33032,3890,32901
33274,3916,33038
33433,3852,33116
33672,3874,33068
33824,3798,33127
33968,3814,33096
34053,3795,33144
34116,3861,33072
34176,3856,33077
34188,3908,33007
34212,3891,32892
34205,3927,32700
34320,3878,33016
34424,3872,32679
34536,3822,33020
34624,3887,33028
34696,3812,33031
34684,3896,32999
34624,3854,32949
34600,3898,32959
34564,3889,32973
34576,3897,32954
34584,3852,32961
34632,3846,33097
34688,3858,33159
34684,3800,33111
34653,3871,33056
34624,3841,33081
34588,3895,33116
34516,3879,33086
34484,3912,33081
34452,3877,32948
34408,3873,32967
34452,3894,33037
34512,3824,33127
34564,3844,33133
34560,3815,33121
34560,3867,33092
34549,3859,33060
34448,3907,32888
34368,3991,32876
34336,3905,32888
34324,3852,32953
34358,3855,32901
34400,3801,32807
34376,3807,32862
34357,3876,32880
34300,3865,32879
34208,3908,32900
34088,3888,32552
33992,3928,32744
33980,3936,32708
34016,3867,32620
34048,3874,32516
34092,3799,32675
34066,3816,32765
34041,3905,32748
34000,3872,32744
33920,3947,32733
33820,3904,32654
33752,3899,32493
33760,3915,32800
33776,3890,32805
33781,3830,32805
33832,3851,32797
33832,3827,32793
33796,3816,32753
33744,3834,32655
33652,3919,32684
33548,3929,32679
33508,3897,32759
33512,3941,32771
33532,3883,32790
33600,3824,32788
33596,3806,32774
33680,3835,32787
33676,3818,32738
33640,3835,32756
33581,3924,32742
33460,3912,32747
33436,3898,32770
33429,3936,32811
33404,3885,32808
33436,3834,32503
33472,3829,32735
33493,3793,32789
33520,3856,32847
33440,3852,32791
33340,3868,32797
33300,3934,32900
33254,3938,32876
33244,3890,32943
33236,3890,32897
33276,3844,32804
33368,3810,32673
33476,3819,32759
33500,3819,32691
33420,3840,32808
33356,3900,32864
33264,3991,32677
33184,3901,32740
33181,3919,32754
33192,3863,32734
33252,3843,32713
33368,3862,32757
33312,3816,32741
33272,3812,32721
33196,3886,32400
33200,3893,32620
33040,3969,32807
33060,3938,32519
33084,3980,32588
33168,3900,32575
33248,3833,32580
33308,3865,32572
33260,3830,32556
33284,3817,32239
33256,3844,32158
33102,3920,32243
33068,3918,32156
33144,3906,32164
33080,3995,32041
33148,3890,32221
33216,3834,32231
33252,3848,32312
33332,3804,32300
33056,3855,32245
33020,3842,32133
33088,3897,31979
33036,4007,31885
32904,3928,31834
32912,3945,31810
33076,3867,31840
33208,3856,31825
33117,3868,31458
33156,3802,31616
33204,3847,31620
33062,3852,31665
32988,3903,31585
32960,3947,31367
32972,3912,31280
32964,3924,31172
33052,3870,31118
33017,3868,31140
33140,3853,31075
33148,3808,30791
33088,3822,30994
33008,3860,30790
33112,3926,30784
32852,3902,30717
32984,3929,30340
32904,3942,30553
32928,3871,30556
32828,3834,30369
32984,3858,30308
32900,3863,30220
32844,3819,29857
32909,3888,29942
32968,3918,29966
32824,3904,29965
32808,3927,29911
32828,3899,29836
32828,3908,29758
32824,3857,29527
32852,3814,29399
32900,3862,29388
32912,3861,29456
32864,3909,29117
32772,3913,29027
32828,3909,29038
32676,3974,28964
32616,3922,28870
32684,3873,28824
32704,3876,28712
32740,3816,28580
32684,3847,28539
32716,3827,28436
32674,3872,28485
32576,3884,28495
32474,3942,28393
32420,3962,28324
32344,3903,28121
32468,3898,28122
32604,3886,28104
32636,3818,28060
32716,3842,27886
32686,3832,28037
32676,3875,28053
32616,3926,27822
32564,3911,27665
32532,3915,27609
32524,3923,27648
32629,3914,27516
32676,3903,27560
32676,3822,27556
32624,3853,27510
32628,3946,27460
32640,3895,27396
32604,3948,27333
32562,3923,27300
32528,3920,27063
32496,3945,27192
32524,3893,27154
32544,3846,27116
32568,3863,27076
32572,3815,27013
32588,3870,26980
32628,3864,26930
32564,3921,26893
32488,3918,26832
32512,3979,26786
32500,3924,26716
32536,3882,26701
32584,3880,26655
32684,3822,26621
32628,3860,26579
32672,3843,26304
32745,3867,26261
32916,3929,26427
32864,3917,26557
32840,3947,26527
32920,3906,26492
32877,3928,26438
32812,3873,26406
32798,3920,26308
32936,3851,26196
32964,3832,26142
32924,3905,26052
32841,3916,26002
32828,3999,25977
32848,3940,26052
32832,3908,26097
32813,3912,25985
32878,3844,25956
32828,3874,26005
32833,3817,25995
32808,3862,25700
32752,3863,25764
32686,3919,25786
32653,3917,25759
32516,3959,25500
32352,3908,25528
32134,3897,25553
31900,3849,25504
31528,3845,25503
31128,3822,25482
30900,3857,25508
30800,3971,25671
30520,3917,25648
29880,3924,25629
28940,3971,25567
27854,3927,25502
27100,3900,25334
26568,3874,25444
26228,3894,25426
25982,3872,25348
25780,3857,25218
25873,3898,25236
26476,3971,25280
27244,3934,25255
28012,3961,25223
28632,3962,25080
29864,3895,25244
31256,3879,25301
33388,3877,25181
35416,3828,25212
35896,3857,25049
35228,3924,25016
34448,3902,24996
33788,3959,25007
33560,3981,24921
33408,3916,24861
33520,3925,24925
33452,3907,25095
33510,3838,24964
33444,3879,24710
33448,3839,24894
33564,3903,24878
