ECG,EDA,RR
33768,4290,32477
33840,4214,32318
33858,4190,32120
33840,4195,32404
33856,4226,32232
33764,4279,31936
33660,4358,32373
33580,4283,32199
33492,4305,32172
33504,4318,32164
33593,4239,32064
33665,4242,32100
33752,4223,31955
33784,4267,32214
33761,4199,32044
33733,4239,31823
33652,4273,32128
33577,4326,31917
33536,4348,31848
33568,4267,31841
33588,4237,31858
33576,4242,31944
33614,4234,31662
33672,4186,31567
33664,4231,31892
33664,4228,31711
33617,4284,31604
33592,4282,31734
33568,4309,31600
33564,4268,31361
33580,4270,31671
33636,4205,31494
33668,4212,31383
33701,4182,31436
33676,4220,31383
33612,4229,31421
33528,4274,31220
33456,4335,31119
33420,4312,31344
33408,4323,31223
33436,4252,31086
33517,4258,31150
33572,4194,31100
33596,4226,31000
33600,4195,30911
33504,4259,31012
33396,4261,30893
33358,4324,30822
33356,4295,30913
33412,4319,30871
33464,4243,30805
33476,4233,30830
33460,4184,30662
33514,4218,30762
33516,4201,30662
33452,4279,30847
33376,4276,30580
33336,4390,30661
33312,4301,30535
33337,4267,30692
33361,4268,30540
33445,4219,30565
33492,4186,30327
33448,4238,30430
33412,4228,30568
33408,4230,30428
33320,4311,30421
33268,4300,30434
33240,4286,30408
33256,4299,30431
33280,4237,30384
33316,4233,30270
33328,4235,30389
33372,4185,30231
33366,4206,30279
33287,4253,30373
33220,4322,30174
33224,4293,30286
33228,4327,30111
33232,4266,30373
33252,4253,30126
33288,4253,30148
33292,4187,30279
33276,4196,30215
33264,4247,30131
33168,4236,30313
33152,4285,30212
33116,4336,30153
33120,4286,30061
33148,4277,30168
33200,4259,30285
33216,4259,29894
33242,4198,30303
33252,4231,30185
33229,4199,30214
33156,4270,30087
33094,4259,30077
33044,4314,30031
33032,4291,30173
33048,4298,30256
33100,4233,30193
33152,4228,30245
33184,4268,30180
33189,4194,30191
33148,4243,30145
33080,4229,30071
33036,4305,30351
32988,4288,30169
32948,4338,29959
32904,4266,30175
32908,4270,30087
32896,4206,30088
32940,4226,30079
32960,4281,30332
32960,4237,29984
32916,4231,30317
32844,4311,30288
32758,4296,30298
32728,4284,30215
32752,4308,30461
32824,4246,30309
32880,4268,30052
32964,4193,30479
33052,4215,30342
32956,4198,30257
32960,4228,30460
32908,4279,30374
32852,4337,30149
32828,4284,30375
32824,4265,30337
32860,4246,30321
32872,4233,30452
32912,4257,30583
32920,4189,30431
32868,4222,30493
32828,4230,30438
32704,4291,30599
32644,4288,30516
32632,4315,30576
32684,4315,30577
32696,4240,30485
32772,4212,30628
32889,4201,30601
32944,4184,30609
32920,4231,30467
32900,4233,30745
32824,4297,30717
32740,4283,30724
32796,4308,30695
32840,4266,30764
32860,4259,30727
32936,4206,30756
33012,4210,30809
33057,4179,30911
33036,4233,30830
32988,4231,30805
32916,4289,30797
32893,4330,30840
32881,4293,31095
32900,4335,30869
32864,4263,30993
32928,4202,30932
33032,4226,31133
33056,4178,30943
33047,4221,31084
32968,4268,31040
32896,4259,31274
32832,4313,31084
32816,4337,31160
32801,4278,31207
32788,4303,31380
32832,4241,31268
32836,4230,31242
32752,4182,31272
32580,4228,31269
32304,4272,31239
31948,4258,31416
31604,4316,31352
31237,4281,31589
31072,4289,31519
31032,4238,31455
30680,4238,31679
29968,4194,31464
28948,4212,31600
27704,4210,31670
26720,4264,31548
26024,4304,31596
25504,4297,31781
25056,4309,31809
24698,4324,31833
24637,4255,31764
25072,4258,31884
25593,4200,31924
26220,4226,32036
26896,4212,31957
28084,4272,31700
29629,4264,32127
31796,4306,32032
34356,4289,31967
35588,4270,32066
35272,4266,32077
34636,4213,32045
34160,4190,32169
33900,4186,32326
33724,4228,32262
33584,4246,32308
33504,4294,32302
33516,4333,32464
33492,4284,32366
33505,4290,32324
33616,4264,32263
33684,4255,32164
33684,4236,32312
33652,4260,32388
33632,4196,32383
33608,4251,32533
33616,4298,32647
33580,4323,32568
33546,4324,32596
33540,4315,32727
33556,4288,32761
33592,4271,32935
33600,4187,32901
33560,4183,33015
33488,4196,32908
33436,4255,33068
33356,4279,33177
33344,4316,33145
33328,4324,32956
33304,4325,33373
33390,4234,33347
33469,4227,33212
33480,4225,33517
33456,4226,33224
33421,4247,33728
33404,4273,33660
33280,4293,33847
33192,4333,33719
33156,4283,33576
33116,4329,33880
33064,4236,33844
33076,4231,33860
33165,4199,33884
33164,4211,33718
33128,4254,34078
33088,4226,33965
33040,4290,33966
32974,4337,33893
32936,4303,33734
32991,4300,34107
33008,4239,33933
33036,4221,34071
33024,4231,33999
32960,4177,34183
32893,4230,34038
32792,4260,34129
32728,4360,34099
32676,4278,34183
32664,4310,34212
32688,4376,34164
32684,4240,34334
32704,4225,34289
32736,4239,34165
32740,4189,34457
32716,4247,34332
32672,4226,34420
32632,4293,34373
32600,4279,34621
32592,4282,34559
32464,4298,34661
32444,4258,34636
32432,4259,34639
32428,4184,34623
32452,4218,34420
32444,4233,34959
32424,4226,34823
32324,4262,34709
32208,4303,35079
32156,4367,34949
32176,4268,34725
32160,4276,35052
32152,4258,35129
32189,4209,35219
32152,4237,35082
32096,4225,34885
32000,4277,35396
31944,4280,35308
31888,4388,35226
31798,4303,35548
31744,4264,35353
31772,4255,35352
31748,4210,35557
31720,4205,35570
31660,4232,35544
31584,4211,35776
31476,4280,35615
31408,4287,35664
31341,4276,35818
31256,4329,35713
31244,4301,35780
31244,4243,35924
31172,4231,35781
31108,4186,35893
31040,4222,35908
30928,4196,35968
30796,4272,36004
30727,4279,35972
30620,4330,36095
30506,4320,36103
30477,4326,36183
30441,4259,36132
30468,4253,36136
30504,4189,36134
30576,4228,36004
30512,4212,36377
30408,4267,36303
30288,4256,36352
30192,4311,36289
30169,4285,36021
30212,4323,36431
30244,4264,36544
30268,4212,36456
30324,4230,36428
30368,4184,36436
30396,4243,36537
30424,4231,36652
30416,4300,36551
30372,4281,36575
30404,4328,36540
30505,4267,36382
30653,4261,36588
30876,4208,36677
31060,4223,36880
31193,4227,36759
31372,4250,36876
31529,4227,36792
31656,4292,36835
31832,4316,36711
32048,4289,36836
32336,4273,36942
32574,4264,36804
32792,4259,36788
32996,4184,37048
33224,4215,36959
33356,4214,37081
33460,4256,36588
33568,4311,37145
33736,4276,37012
33964,4301,37086
34114,4319,37024
34244,4245,37020
34360,4233,37032
34472,4185,37037
34592,4210,36964
34644,4246,36687
34624,4224,37172
34620,4275,36974
34636,4345,36693
34668,4315,37195
34676,4321,37091
34708,4266,36988
34736,4206,37255
34768,4197,37148
34812,4196,37229
34840,4243,37095
34812,4220,36900
34746,4281,37280
34677,4280,37148
