ECG,EDA,RR
32864,24045,27394
32860,24065,27374
32860,24047,27379
32904,24071,27209
32932,24057,27311
32949,24071,27284
32956,24063,27217
32904,24079,27262
32888,24068,27234
32880,24052,27284
32913,24066,27254
32892,24054,27183
32856,24063,27214
32832,24081,27176
32844,24070,27302
32784,24071,27279
32756,24071,27143
32751,24082,27259
32700,24071,27251
32628,24071,27172
32572,24061,27269
32544,24071,27167
32556,24082,27205
32588,24075,27165
32600,24085,27175
32628,24071,27234
32652,24079,27232
32676,24092,27107
32684,24070,27163
32685,24076,27041
32694,24069,27185
32704,24071,27109
32768,24093,27196
32872,24070,27167
32896,24093,27044
32904,24081,27125
32945,24088,27196
32996,24093,27079
33008,24071,27101
33012,24079,27015
33064,24077,27110
33116,24081,27046
33176,24080,27117
33236,24088,27077
33256,24079,27111
33224,24093,27143
33216,24087,27023
33212,24089,27127
33140,24084,27015
33090,24081,27151
33109,24094,26981
33125,24086,27127
33112,24103,27143
33140,24085,27143
33156,24095,27033
33156,24090,27126
33140,24092,27029
33164,24103,27044
33156,24077,26950
33160,24087,27088
33152,24095,26959
33158,24071,27097
33144,24089,27015
33188,24083,27116
33192,24099,27120
33186,24101,27005
33150,24087,27066
33132,24098,26985
33116,24087,27033
33076,24093,26933
33104,24102,27080
33108,24085,26948
33084,24102,27095
33108,24095,27071
33133,24109,27015
33156,24095,27109
33160,24108,27103
33164,24095,27106
33136,24103,27007
33113,24084,27044
33088,24087,26932
33078,24095,27020
33056,24095,26941
33064,24103,27079
33092,24089,27023
33140,24109,27072
33108,24090,27020
32961,24106,27061
32684,24092,26917
32312,24095,27025
31975,24084,26932
31724,24093,27053
31588,24101,26978
31666,24095,27058
31782,24107,26917
32132,24105,27060
32644,24111,26949
33214,24104,27087
33960,24116,27052
35220,24102,27047
37100,24124,26919
39280,24106,27044
41852,24121,27036
44688,24184,27057
47336,24136,27068
49556,24169,26952
51080,24125,26997
51924,24153,26892
51908,24199,26985
50712,24131,26863
48700,24154,27021
46172,24126,27009
43324,24150,27023
40148,24167,26970
37392,24133,26881
35584,24156,26946
34352,24137,26879
33488,24140,26989
32736,24127,26993
32072,24124,26887
31604,24128,26959
31336,24119,26917
31168,24135,26967
31069,24127,26951
30956,24135,26993
30860,24135,26916
30788,24143,26862
30701,24132,26981
30640,24134,26834
30568,24135,26944
30500,24126,26887
30496,24129,26874
30464,24125,26885
30453,24133,26743
30448,24143,26881
30412,24142,26756
30412,24140,26829
30412,24139,26687
30444,24132,26826
30448,24135,26784
30452,24127,26825
30452,24135,26813
30524,24143,26722
30477,24134,26735
30528,24143,26740
30564,24151,26652
30597,24151,26701
30644,24148,26599
30670,24140,26682
30700,24144,26530
30742,24135,26692
30780,24143,26682
30828,24138,26585
30824,24144,26647
30804,24145,26631
30840,24153,26623
30872,24164,26622
30892,24156,26626
30932,24150,26609
30928,24151,26615
30948,24138,26535
30992,24147,26606
31024,24149,26598
31060,24157,26583
31097,24159,26503
31113,24153,26535
31144,24159,26432
31172,24159,26561
31172,24160,26511
31204,24154,26522
31184,24153,26599
31200,24159,26497
31247,24156,26543
31248,24155,26436
31260,24169,26572
31270,24167,26440
31332,24169,26583
31348,24165,26526
31340,24165,26586
31296,24173,26550
31312,24165,26578
31340,24160,26527
31392,24167,26559
31460,24167,26428
31452,24180,26540
31464,24171,26404
31484,24181,26516
31512,24171,26403
31536,24172,26548
31564,24179,26535
31588,24168,26415
31636,24169,26482
31664,24180,26347
31704,24175,26469
31764,24189,26415
31809,24184,26471
31852,24194,26296
