ECG,EDA,RR
32861,44599,28031
32896,44636,27825
32867,44631,27850
32840,44639,27980
32828,44573,28013
32800,44631,28120
32776,44612,27871
32776,44637,28015
32768,44651,27989
32804,44577,28167
32828,44623,27890
32776,44616,27911
32788,44599,28044
32820,44615,28037
32822,44591,28164
32805,44610,28029
32702,44596,28039
32720,44611,28063
33016,44621,28127
33176,44615,28132
33020,44607,28001
32972,44583,28085
32988,44607,28133
32928,44587,28236
32936,44524,28215
32950,44599,28018
33081,44573,28129
33068,44607,28178
33044,44533,28174
32932,44583,28032
32904,44580,28107
32812,44567,28180
32741,44597,28153
32780,44514,28325
32840,44567,28057
33012,44591,28197
33120,44537,28213
33100,44573,28156
32964,44593,28178
32900,44516,28167
32952,44564,28349
32988,44577,28082
33024,44551,28180
33017,44551,28185
32868,44551,28287
32768,44499,28145
32880,44551,28224
33012,44548,28188
33012,44548,28291
32997,44505,28098
32958,44548,28227
32894,44547,28262
32865,44486,28100
32865,44527,28204
32860,44543,28252
32850,44530,28327
32864,44540,28189
32860,44505,28181
32784,44541,28294
32752,44539,28080
32780,44551,28212
32748,44505,28183
32576,44519,28260
32549,44453,28071
32720,44536,28129
32772,44527,28153
32754,44526,28193
32881,44543,28188
32821,44490,28068
32784,44531,28063
32846,44509,28166
32988,44513,28127
32992,44519,28210
32872,44519,28246
32857,44514,28117
32996,44510,28023
33054,44500,28109
33030,44525,28101
33000,44535,28060
33029,44514,28142
33052,44494,28014
33052,44519,27984
33116,44439,28068
33260,44507,28045
33348,44498,28098
33420,44436,28055
33444,44487,27908
33468,44513,28009
33460,44432,27982
33476,44498,28053
33568,44496,28065
33508,44421,27892
33253,44479,28004
33084,44484,27941
33084,44463,28003
33084,44471,27849
33119,44493,27895
33120,44421,27914
33124,44474,27935
33140,44494,28031
33120,44407,27801
33194,44467,27851
33256,44456,27925
33132,44475,27879
32983,44451,27895
33188,44469,28014
33373,44445,27764
33293,44487,27857
33144,44420,27847
33128,44452,27889
33148,44473,27973
33172,44412,27798
33109,44423,27866
33048,44391,27871
33088,44439,27821
33156,44455,27715
33132,44391,27844
33156,44446,27804
33231,44471,27956
33320,44453,27791
33096,44453,27686
33004,44452,27801
33048,44383,27776
32976,44423,27808
33079,44449,27916
33120,44375,27662
33133,44437,27757
33037,44410,27779
32788,44463,27772
32481,44447,27903
32108,44423,27639
31770,44451,27759
31533,44372,27726
31485,44436,27727
31528,44413,27821
31644,44391,27886
32012,44451,27680
32496,44453,27660
33084,44441,27725
33900,44473,27703
35380,44453,27727
37456,44399,27780
39692,44423,27868
42400,44413,27590
45352,44420,27662
48072,44395,27716
50424,44388,27770
52092,44388,27679
53012,44387,27677
52832,44384,27727
51508,44389,27692
49408,44388,27852
46840,44404,27594
44076,44390,27689
40996,44420,27788
37926,44376,27823
35768,44420,27593
34456,44412,27701
33509,44423,27714
32808,44415,27809
32176,44423,27620
31560,44404,27759
31152,44404,27728
30872,44332,27893
30752,44372,27654
30696,44351,27749
30600,44399,27812
30416,44423,27692
30274,44372,27759
30212,44399,27802
30156,44380,27648
30008,44399,27701
29988,44399,27700
30032,44389,27733
29909,44332,27679
29916,44319,27803
29984,44391,27580
30079,44423,27717
30049,44357,27689
30080,44399,27769
30068,44406,27593
29976,44317,27731
30110,44380,27796
30189,44399,27788
30232,44338,27655
30269,44391,27727
30280,44365,27798
30358,44393,27905
30440,44332,27690
30456,44413,27728
30460,44397,27783
30449,44417,27809
30434,44407,27869
30460,44327,27911
30496,44383,27775
30553,44311,27898
30620,44412,27884
30636,44325,27997
30676,44399,27816
30708,44341,27969
30788,44387,28131
30896,44337,27955
30900,44387,28004
30816,44404,28137
30696,44333,27994
30696,44372,28068
30820,44333,28103
30860,44396,28116
30932,44414,28143
30912,44405,28105
30901,44381,28204
31008,44404,28213
31148,44388,28196
31121,44367,28205
31078,44352,28292
31144,44389,28289
31132,44380,28191
31156,44377,28328
31268,44356,28333
31320,44389,28514
31237,44333,28271
31072,44372,28384
31065,44308,28393
31220,44373,28460
31308,44356,28449
31348,44358,28406
31332,44374,28471
31372,44295,28500
31516,44375,28633
31596,44350,28436
31564,44367,28512
31544,44358,28516
31564,44359,28636
31652,44336,28509
31588,44359,28463
31624,44295,28493
31820,44359,28657
31956,44295,28423
31956,44343,28475
31936,44369,28525
32028,44343,28524
32024,44361,28663
31920,44295,28432
32004,44311,28479
32100,44335,28480
32184,44327,28582
32273,44351,28639
32400,44365,28488
32376,44335,28382
32472,44290,28436
32568,44359,28470
32528,44333,28471
32520,44332,28545
32540,44293,28486
32652,44346,28328
32753,44284,28445
32716,44325,28492
32724,44349,28359
32762,44303,28335
32808,44351,28410
32824,44327,28452
32888,44354,28283
32882,44329,28399
32924,44311,28391
33012,44294,28374
33023,44327,28303
33068,44277,28375
33140,44326,28391
33078,44343,28311
33020,44325,28333
33024,44351,28349
33025,44271,28412
33048,44339,28196
33124,44311,28303
33076,44290,28270
32833,44337,28360
32697,44269,28309
32577,44348,28190
32480,44323,28279
32504,44327,28249
32452,44335,28263
32372,44316,28356
32292,44318,28240
32289,44252,28133
32292,44295,28230
32249,44287,28188
32204,44319,28237
32048,44313,28287
32064,44327,28084
32060,44260,28189
31937,44295,28188
31877,44315,28324
31916,44295,28063
31932,44285,28151
31948,44316,28143
31877,44249,28288
31832,44284,28025
31869,44317,28141
31984,44311,28106
31944,44279,28157
31848,44295,28153
31889,44279,28122
31876,44271,28082
31828,44292,28162
31784,44215,28076
31868,44271,28008
31960,44260,28081
31968,44263,28070
32040,44277,28234
31958,44263,27957
31894,44271,28085
31926,44215,28051
32020,44261,28103
32048,44261,27991
31936,44199,28051
31980,44271,28014
32052,44239,28167
32110,44235,27953
32172,44267,28039
32236,44263,28071
32149,44227,28097
32172,44253,27933
32112,44229,28039
32144,44199,28193
32306,44237,27935
32301,44223,28045
32288,44269,28025
32313,44261,28185
32268,44247,27921
32354,44263,28023
32364,44253,28015
32300,44236,28157
32238,44245,27971
32312,44249,27933
32344,44195,27988
32292,44236,28050
32420,44225,28012
32512,44249,28177
32476,44245,27916
32388,44183,28031
32352,44210,28012
32376,44226,28135
32372,44215,28015
32356,44239,28054
32484,44205,28091
32524,44221,27916
32448,44167,28039
32400,44167,28017
32433,44237,28157
32484,44191,28015
32484,44196,28053
32524,44220,27948
32510,44239,28034
32420,44229,27940
32340,44191,28055
32428,44167,28109
32536,44207,27959
32648,44213,28037
