ECG,EDA,RR
52484,38373,29463
51652,38380,29457
49924,38397,29421
47652,38399,29395
44988,38407,29418
41948,38420,29428
38840,38429,29403
36552,38439,29427
34932,38435,29465
33728,38445,29410
32844,38453,29444
32121,38453,29425
31572,38444,29429
31192,38463,29424
30920,38463,29468
30732,38416,29527
30605,38436,29452
30480,38436,29458
30380,38439,29471
30292,38448,29453
30236,38455,29435
30160,38451,29484
30048,38457,29469
29984,38469,29467
29976,38407,29412
29956,38445,29423
29904,38460,29405
29910,38471,29378
29908,38471,29423
29927,38479,29447
29925,38478,29363
29960,38455,29364
29980,38407,29351
29984,38421,29380
30036,38471,29351
30062,38448,29342
30069,38440,29342
30104,38453,29365
30128,38447,29393
30168,38445,29401
30236,38475,29345
30273,38485,29372
30320,38476,29359
30360,38425,29324
30385,38433,29351
30412,38474,29340
30449,38470,29326
30492,38436,29337
30524,38484,29351
30565,38452,29356
30624,38437,29361
30724,38492,29364
30812,38479,29364
30784,38469,29380
30812,38447,29387
30836,38486,29404
30832,38473,29439
30832,38487,29439
30852,38469,29455
30878,38481,29455
30888,38485,29468
30937,38508,29460
30988,38463,29459
31017,38471,29534
31060,38507,29551
31073,38507,29556
31032,38456,29556
31072,38500,29566
31164,38495,29575
31152,38487,29575
31182,38519,29552
31226,38469,29513
31264,38489,29543
31252,38517,29560
31261,38519,29570
31309,38471,29571
31365,38501,29577
31401,38515,29573
31412,38495,29556
31448,38523,29600
31488,38527,29633
31540,38519,29624
31592,38535,29632
31641,38532,29623
31652,38487,29577
31684,38511,29600
31692,38533,29617
31728,38540,29615
31792,38547,29585
31836,38551,29599
31844,38507,29612
31888,38548,29607
31952,38535,29604
32020,38511,29557
32036,38551,29603
32036,38551,29567
32124,38544,29527
32165,38535,29508
32240,38561,29505
32293,38565,29493
32356,38559,29473
32428,38559,29494
32477,38573,29454
32532,38586,29433
32616,38565,29423
32637,38574,29405
32637,38559,29394
32665,38563,29388
32730,38568,29425
32768,38599,29360
32800,38565,29352
32864,38598,29364
32896,38591,29345
32933,38580,29310
32952,38597,29301
32941,38599,29330
32988,38575,29352
33004,38573,29343
33041,38589,29335
33089,38590,29287
33108,38617,29222
33068,38595,29221
33072,38575,29251
33048,38615,29263
33033,38607,29249
32981,38591,29209
32917,38623,29144
32896,38612,29129
32847,38585,29119
32772,38619,29106
32713,38612,29103
32640,38645,29116
32570,38636,29086
32461,38628,29100
32348,38613,29073
32280,38599,29044
32225,38639,29038
32160,38598,29043
32112,38631,29031
32097,38629,29021
32092,38649,29018
32088,38659,29002
32005,38623,28991
31973,38640,28961
31962,38633,28935
31937,38613,28966
31897,38631,28921
31896,38651,28911
31877,38644,28957
31888,38661,28988
31872,38653,28972
31880,38647,28976
31892,38647,28927
31889,38647,28874
31874,38613,28881
31872,38653,28930
31864,38612,28919
31888,38644,28901
31896,38636,28911
31908,38663,28896
31938,38663,28904
31961,38615,28917
31988,38663,28900
32008,38652,28865
31988,38655,28819
32008,38647,28814
32036,38639,28820
32088,38662,28817
32112,38663,28794
32096,38679,28783
32093,38663,28860
32124,38662,28870
32168,38637,28815
32212,38629,28780
32229,38677,28823
32188,38679,28812
32172,38663,28806
32192,38676,28814
32232,38663,28812
32252,38686,28881
32300,38687,28908
32340,38679,28917
32332,38677,28860
32329,38663,28849
32293,38693,28855
32308,38683,28857
32340,38676,28863
32356,38699,28874
32366,38699,28896
32388,38695,28917
32436,38701,28910
32442,38696,28896
32413,38688,28897
32388,38705,28911
32396,38700,28926
32441,38653,28929
32448,38695,28956
32440,38702,28953
32436,38690,28961
32448,38719,28972
32468,38694,28975
32497,38695,28991
32512,38719,28993
32524,38703,28983
32510,38708,28987
32520,38719,28997
32512,38685,29011
32504,38716,29020
32542,38716,29072
32584,38723,29045
32600,38718,29053
32630,38703,29057
32656,38740,29095
32661,38743,29105
32705,38707,29113
32640,38714,29105
32640,38724,29125
32676,38740,29147
32724,38708,29151
32732,38692,29147
32740,38733,29161
32720,38741,29185
32725,38733,29204
32733,38724,29191
32748,38740,29201
32708,38741,29191
32712,38701,29212
32696,38740,29220
32669,38731,29230
32704,38735,29230
32704,38743,29333
32692,38744,29337
32672,38757,29343
32652,38759,29348
32669,38727,29332
32668,38759,29300
32657,38750,29330
32649,38767,29319
32676,38764,29317
32689,38764,29394
32744,38773,29407
32708,38736,29353
32712,38743,29381
32720,38775,29397
32716,38769,29399
32718,38767,29396
32740,38765,29415
32744,38762,29404
32756,38765,29472
32764,38756,29497
32784,38789,29515
32784,38799,29540
32777,38791,29471
32789,38791,29492
32740,38791,29509
32736,38789,29515
32728,38743,29520
32728,38791,29534
32760,38791,29541
32776,38791,29541
32812,38791,29548
32824,38815,29545
32829,38820,29559
32826,38791,29575
32805,38764,29567
32792,38791,29571
32764,38791,29580
32816,38791,29586
32844,38791,29604
32844,38791,29691
32824,38791,29680
32817,38823,29644
32812,38823,29642
32832,38815,29652
32852,38815,29677
32820,38820,29683
32869,38804,29671
32896,38791,29697
32860,38791,29688
32872,38796,29769
32868,38829,29775
32904,38837,29792
32908,38829,29773
32880,38829,29757
32852,38829,29783
32858,38808,29797
32896,38787,29792
32876,38768,29787
32868,38817,29817
32873,38820,29871
32876,38807,29887
32896,38812,29857
32904,38823,29839
32892,38815,29857
32908,38823,29863
32896,38831,29880
