ECG,EDA,RR
32008,40135,35313
32044,40067,35309
32058,40135,35284
32048,40123,35238
32044,40071,35185
32020,40063,35200
32100,40115,35199
32093,40068,35231
32084,40113,35191
32072,40108,35188
32089,40116,35173
32141,40109,35172
32205,40100,35109
32232,40095,35091
32184,40093,35105
32092,40099,35116
32048,40100,35105
32044,40044,35061
32068,40053,35045
32152,40100,35103
32236,40047,35097
32296,40107,35093
32365,40101,35073
32460,40086,35071
32476,40083,35069
32409,40071,35068
32380,40103,35073
32328,40095,35031
32276,40095,35006
32229,40101,35001
32217,40108,35012
32188,40103,35065
32232,40109,35037
32306,40097,35042
32356,40103,35042
32381,40055,35024
32328,40053,35022
32224,40083,35012
32160,40082,35013
32245,40085,35020
32288,40060,34951
32340,40052,34985
32404,40055,35007
32510,40037,34996
32552,40055,35001
32504,40087,35004
32458,40081,34973
32444,40077,34961
32421,40071,34956
32416,40071,35004
32493,40081,35021
32520,40095,35016
32542,40045,34969
32576,40032,35002
32544,40071,35026
32580,40068,35012
32544,40055,35021
32520,40064,35020
32524,40066,34993
32514,40063,34975
32576,40063,34981
32661,40063,35015
32728,40067,35040
32762,40063,35047
32692,40061,35032
32662,40056,35034
32704,40042,35039
32616,40062,35046
32661,40085,35050
32721,40044,34995
32756,40067,35063
32770,40071,35060
32780,40079,35061
32772,40087,35076
32740,40071,35095
32725,40063,35103
32692,40060,35040
32708,40071,35079
32720,40071,35121
32748,40083,35115
32757,40045,35137
32764,40084,35108
32801,40092,35151
32788,40084,35166
32765,40095,35156
32737,40086,35175
32764,40059,35118
32760,40079,35140
32728,40084,35200
32776,40045,35200
32797,40065,35228
32856,40071,35169
32840,40070,35202
32837,40081,35241
32856,40089,35244
32804,40084,35268
32804,40088,35219
32808,40045,35228
32828,40087,35292
32837,40089,35303
32832,40041,35300
32840,40047,35317
32858,40071,35334
32877,40071,35356
32924,40044,35314
32944,40099,35309
32948,40080,35309
32916,40071,35320
32968,40074,35367
33032,40089,35431
33064,40094,35416
33072,40098,35439
33016,40100,35399
32888,40103,35388
32828,40101,35417
32789,40081,35443
32816,40085,35487
32876,40085,35491
32912,40093,35489
32948,40089,35509
32996,40095,35527
33000,40095,35490
32972,40123,35487
32940,40117,35487
32916,40119,35470
32920,40124,35535
32952,40119,35561
32908,40121,35561
32829,40115,35566
32780,40109,35573
32712,40111,35565
32612,40119,35556
32604,40116,35569
32628,40140,35505
32604,40135,35522
32544,40127,35516
32581,40117,35525
32596,40109,35524
32620,40108,35551
32626,40108,35583
32608,40123,35564
32556,40142,35561
32604,40139,35573
32676,40133,35550
32744,40099,35548
32776,40116,35572
32820,40105,35559
32868,40084,35558
32916,40135,35559
32952,40143,35508
32980,40149,35477
33004,40147,35498
33021,40137,35535
33064,40141,35521
33112,40140,35524
33148,40135,35524
33192,40135,35458
33256,40127,35439
33308,40119,35491
33312,40128,35493
33304,40134,35479
33357,40140,35438
33336,40137,35399
33224,40135,35470
33104,40135,35444
33120,40141,35441
33124,40139,35369
33132,40125,35359
33184,40125,35386
33200,40129,35404
33172,40155,35399
33172,40167,35372
33208,40175,35357
33252,40167,35358
33248,40156,35288
33248,40111,35266
33185,40151,35258
33176,40142,35241
33174,40143,35254
33216,40151,35290
33260,40162,35262
33346,40157,35261
33360,40159,35185
33364,40157,35212
33264,40165,35207
33122,40167,35212
32977,40159,35140
33000,40157,35140
33080,40167,35170
33088,40183,35133
33069,40138,35125
33128,40183,35075
33176,40197,35099
33164,40199,35069
33116,40185,35004
33048,40171,35033
33014,40167,35017
33084,40167,35012
33156,40181,34932
33180,40180,34933
33109,40183,34961
32992,40183,34940
32804,40180,34932
32546,40189,34901
32244,40189,34857
31884,40191,34867
31620,40191,34892
31544,40191,34874
31724,40193,34861
31932,40199,34861
32344,40217,34793
32876,40237,34835
33332,40199,34820
34060,40253,34812
35380,40223,34752
37348,40233,34781
39596,40228,34780
42208,40215,34765
44968,40209,34756
47629,40204,34708
49832,40198,34695
51305,40212,34677
51920,40219,34695
51596,40213,34703
49884,40221,34692
47444,40220,34679
44888,40247,34656
42128,40255,34647
39196,40254,34636
36436,40267,34631
34814,40263,34628
33789,40291,34593
33077,40291,34577
32532,40299,34559
32036,40268,34548
31621,40301,34575
31280,40300,34588
31044,40276,34565
30892,40270,34556
30832,40311,34519
30790,40337,34530
30684,40327,34513
30604,40341,34485
30553,40345,34444
30461,40345,34468
30405,40351,34451
30348,40343,34432
30348,40359,34369
30365,40373,34400
30376,40383,34370
30460,40381,34351
30445,40402,34305
30439,40395,34276
30420,40404,34293
30400,40404,34295
30396,40412,34257
30397,40409,34229
30375,40433,34223
30416,40404,34231
30506,40399,34206
30572,40398,34164
30600,40436,34173
30658,40436,34167
30728,40437,34151
30728,40487,34130
30744,40479,34132
30770,40475,34149
30792,40471,34129
30816,40485,34133
30832,40492,34132
30904,40483,34114
30958,40495,34116
30976,40468,34121
30930,40449,34148
30932,40521,34149
30956,40519,34127
30996,40527,34140
31044,40524,34153
31096,40527,34173
31076,40525,34183
31084,40500,34199
31140,40545,34183
31136,40563,34217
31148,40559,34231
31188,40565,34232
31193,40553,34230
31212,40511,34255
31228,40559,34272
31281,40553,34285
31364,40579,34289
31364,40548,34292
31432,40557,34269
31480,40575,34289
31456,40582,34295
31457,40583,34295
31468,40583,34271
31508,40583,34300
31488,40583,34305
31536,40575,34305
31569,40597,34292
31621,40597,34299
31680,40615,34301
31721,40635,34268
31758,40577,34263
31750,40627,34261
31788,40620,34249
31768,40615,34257
31748,40614,34269
31845,40627,34250
31940,40629,34243
31973,40634,34234
31996,40647,34197
32024,40647,34184
32036,40661,34204
32048,40668,34175
32044,40661,34167
32036,40647,34127
32117,40668,34125
32192,40637,34124
32240,40631,34091
32325,40633,34078
32348,40646,34038
32340,40657,34021
32360,40711,34009
32423,40689,34003
32476,40707,33975
32494,40692,33951
32512,40702,33943
32576,40711,33916
32696,40711,33881
32796,40711,33866
32804,40671,33860
32792,40728,33839
32840,40735,33818
32892,40733,33799
32873,40708,33783
32820,40740,33756
32825,40731,33711
32884,40711,33717
32892,40725,33703
32929,40766,33671
32977,40769,33655
33060,40741,33645
33172,40783,33621
33148,40783,33601
33108,40785,33580
33040,40783,33562
32952,40783,33483
32928,40799,33522
32928,40799,33506
32840,40799,33484
32768,40804,33469
32752,40807,33446
32708,40807,33425
32673,40809,33409
32564,40781,33395
32488,40791,33380
32456,40793,33349
32420,40797,33332
32376,40791,33317
32308,40783,33301
32256,40799,33265
32216,40794,33275
32184,40800,33257
32182,40797,33236
32212,40799,33222
32205,40813,33199
32160,40809,33205
32084,40783,33196
32100,40769,33171
32116,40789,33151
32112,40839,33149
32137,40839,33151
32092,40839,33119
32033,40839,33105
31940,40815,33095
31890,40815,33065
31897,40831,33075
31884,40839,33076
31924,40791,33061
32012,40838,33032
32088,40870,33031
32084,40829,33017
32052,40839,32999
32030,40855,32996
32056,40853,32996
32098,40813,32983
32168,40850,32963
32288,40874,32975
32256,40887,32964
32261,40877,32948
32228,40892,32929
32164,40859,32934
32104,40875,32935
32132,40849,32903
32140,40867,32905
32145,40870,32893
32192,40869,32866
32236,40869,32887
32232,40877,32894
32266,40871,32877
32280,40887,32877
32284,40891,32858
32340,40887,32854
32324,40872,32882
32308,40879,32881
32328,40887,32852
32350,40886,32849
32310,40895,32836
32360,40895,32856
32352,40911,32837
32396,40916,32822
32444,40925,32838
32432,40925,32818
32424,40881,32808
32416,40903,32813
32396,40920,32807
32372,40903,32799
32380,40929,32797
32374,40943,32775
32416,40943,32797
32458,40905,32813
32476,40957,32788
32460,40948,32775
32512,40946,32781
32496,40925,32775
32492,40942,32774
32496,40948,32786
32524,40951,32797
32493,40956,32767
32535,40904,32763
32568,40948,32775
32620,40956,32759
32612,40949,32760
32556,40949,32749
32504,40935,32760
32504,40935,32742
32488,40932,32751
32544,40956,32770
32600,40959,32748
32624,40967,32729
32616,40967,32729
32568,40967,32709
32588,40991,32715
32673,40967,32711
32708,40917,32710
32674,40967,32695
32604,40963,32695
32648,40963,32701
32740,40928,32679
32756,40924,32666
32661,40965,32647
32636,40962,32636
32676,40967,32647
32692,40983,32653
32720,40967,32645
32756,40932,32639
32808,40930,32625
32796,40917,32619
32772,40933,32597
32768,40967,32582
32776,40967,32609
32840,40956,32615
32833,40967,32609
32792,40959,32585
32760,40951,32569
32788,40978,32564
32828,40967,32557
32768,40991,32538
32748,40991,32535
32773,40984,32539
32808,40966,32530
32790,40951,32510
32797,40933,32492
32832,40997,32484
32852,40967,32477
32885,40965,32486
32900,40964,32512
32914,40964,32511
32884,40964,32484
32884,41007,32459
32876,41013,32448
32852,40988,32455
32848,40960,32441
32856,40995,32420
32865,40981,32460
32916,40967,32461
32956,40967,32434
32964,41011,32412
33004,41004,32401
32976,41015,32415
32896,41015,32397
32941,40967,32375
32994,40967,32407
32977,40967,32407
33005,41019,32364
33021,40996,32388
33017,40967,32356
33008,40959,32349
32992,40967,32349
32958,41022,32364
32936,41023,32399
32960,41030,32351
32956,41029,32340
32988,41028,32327
33008,41025,32327
33044,41025,32311
33064,41031,32293
33112,41030,32281
33116,41031,32311
33080,40984,32324
33040,40999,32273
32997,40989,32260
32944,41011,32252
32913,40989,32231
32988,40987,32250
33025,40997,32247
33052,41007,32204
32996,40996,32219
32940,41055,32212
32936,41055,32181
32969,41061,32205
33012,41060,32207
33060,41063,32167
32992,41061,32150
32948,41049,32158
32946,41041,32146
32924,41035,32135
32944,41060,32130
32956,41079,32119
32945,41068,32099
32992,41093,32078
33014,41094,32103
32992,41094,32055
32968,41060,32067
32912,41061,32058
32840,41085,32060
32748,41085,32053
32716,41028,32051
32704,41069,32028
32677,41087,32018
32688,41086,32004
32728,41095,32019
32768,41070,32012
32776,41095,31989
32716,41087,31991
32614,41109,32040
32615,41038,32030
32688,41093,32029
32688,41095,31991
32696,41094,31973
32730,41119,31972
32772,41133,31937
32856,41071,31951
32936,41111,31964
32956,41119,31948
32980,41111,31927
32952,41093,31911
32976,41123,31836
33024,41071,31839
33052,41109,31838
33076,41129,31841
33140,41122,31833
33156,41141,31808
33176,41115,31809
33252,41127,31775
33320,41117,31781
33328,41132,31814
33276,41069,31811
33250,41124,31810
33216,41119,31731
33160,41117,31717
33133,41095,31717
33144,41140,31722
33124,41133,31688
33128,41126,31685
33112,41121,31659
33077,41111,31751
32984,41093,31725
32948,41141,31705
32948,41117,31702
32998,41092,31653
33052,41133,31647
33074,41147,31629
33072,41085,31615
33104,41139,31637
33036,41141,31668
33112,41140,31591
33116,41151,31589
33128,41159,31602
33127,41154,31566
33129,41159,31548
33112,41167,31519
33092,41175,31584
33009,41135,31580
33020,41165,31609
33026,41109,31546
33036,41147,31538
33036,41133,31524
33020,41143,31511
33020,41123,31495
33016,41135,31476
33060,41121,31451
33063,41113,31495
33032,41111,31538
33004,41155,31527
33056,41161,31509
33062,41159,31454
32980,41159,31431
32908,41151,31420
32752,41127,31413
32470,41152,31388
32120,41182,31388
31840,41183,31364
31638,41183,31346
31676,41175,31341
31782,41189,31376
31937,41164,31409
32412,41188,31383
32984,41181,31351
33588,41180,31348
34424,41201,31297
35921,41209,31278
37908,41205,31268
40188,41189,31244
42760,41177,31266
45384,41165,31236
47804,41141,31211
49728,41132,31305
51004,41133,31276
51400,41141,31199
50728,41155,31207
48816,41166,31174
46380,41172,31156
43752,41175,31239
40972,41179,31152
37948,41183,31156
35572,41188,31178
34196,41191,31215
33332,41196,31135
32837,41191,31135
32364,41192,31131
31933,41205,31087
31552,41211,31104
31272,41197,31136
31084,41191,31157
30952,41199,31110
30872,41191,31092
30800,41193,31034
30696,41172,31013
30701,41219,31011
30638,41215,30961
30582,41207,30974
30504,41214,30987
30470,41220,30983
30448,41199,30901
30472,41137,30836
30394,41191,30809
30380,41184,30788
30442,41204,30761
30485,41223,30761
30513,41215,30701
30580,41223,30792
30652,41223,30769
30625,41154,30684
30560,41213,30653
30564,41215,30591
30568,41199,30609
30584,41213,30569
30670,41207,30517
30740,41223,30531
30828,41217,30583
30860,41223,30584
30824,41207,30527
30804,41199,30494
30820,41215,30460
30824,41189,30417
30840,41156,30420
30896,41215,30437
30996,41205,30416
31048,41211,30398
31116,41206,30375
31160,41212,30436
31132,41214,30457
31108,41204,30503
31112,41191,30514
31140,41210,30513
31232,41221,30487
31260,41223,30447
31282,41215,30439
31297,41223,30437
31301,41167,30453
31312,41163,30487
31348,41205,30465
31364,41231,30577
31376,41217,30526
31384,41221,30484
31384,41220,30497
31416,41185,30513
31521,41172,30509
31544,41223,30535
31552,41213,30543
31572,41215,30508
31608,41212,30587
31660,41199,30631
31626,41199,30623
31630,41199,30533
31684,41198,30565
31732,41199,30575
31808,41197,30576
31840,41212,30567
31868,41205,30537
31904,41215,30529
31942,41217,30644
31962,41173,30604
31976,41167,30543
32020,41193,30551
31968,41191,30533
31924,41197,30562
31956,41205,30627
32043,41215,30558
32088,41223,30536
32128,41223,30510
32152,41221,30471
32192,41223,30565
32190,41152,30485
32220,41175,30495
32296,41207,30455
32376,41221,30535
32444,41217,30438
32508,41223,30455
32548,41236,30415
32580,41223,30461
32668,41201,30436
32660,41207,30407
32624,41220,30359
32600,41215,30407
32570,41219,30440
32704,41213,30333
32756,41223,30327
32760,41221,30332
32801,41223,30405
32844,41219,30369
32936,41217,30303
32948,41212,30269
32948,41207,30313
32960,41199,30340
33000,41215,30247
32996,41213,30231
32948,41223,30300
32953,41223,30222
32994,41223,30223
33024,41189,30166
33052,41188,30261
33046,41215,30278
33020,41215,30151
32985,41215,30169
32956,41215,30132
32888,41221,30244
32832,41221,30158
32736,41223,30121
32676,41215,30097
32637,41201,30092
32540,41239,30061
32430,41220,30086
32392,41223,30132
32356,41196,30153
32257,41158,30084
32224,41207,30058
32216,41199,30009
32205,41189,29996
32172,41219,29989
32096,41173,29998
32008,41197,29970
31993,41191,29980
31956,41164,29983
31940,41199,29959
31908,41133,29959
31885,41183,29948
31940,41155,29928
31932,41207,29972
31942,41204,29916
31948,41203,29948
31944,41191,29918
31932,41189,29920
31944,41140,29891
31888,41171,29903
31862,41175,29975
31990,41168,29959
32044,41174,29871
32040,41166,29905
32049,41167,29855
32064,41165,29941
32060,41160,29967
32100,41159,29852
32161,41151,29880
32212,41151,29837
32244,41147,29900
32165,41135,29959
32086,41133,29959
32012,41162,29957
32032,41159,29831
32036,41161,29845
32016,41164,29877
32028,41159,29865
32065,41157,29844
32112,41116,29830
32132,41095,29955
32172,41095,29917
32200,41084,29847
32204,41145,29891
32232,41135,29884
32268,41135,29913
32252,41147,29979
32220,41131,29881
32220,41125,29905
32252,41117,29918
32262,41109,29900
32317,41109,29892
32388,41111,29876
32424,41119,30025
32384,41127,29910
32348,41127,29946
32316,41132,29917
32336,41121,29913
32314,41116,30029
32320,41109,30038
32390,41103,29933
32352,41127,29977
32344,41140,29992
32396,41111,30004
32446,41073,29959
32464,41135,30032
32432,41119,30111
32448,41109,30095
32468,41127,30147
32472,41135,30143
32488,41127,30165
32524,41127,30165
32560,41111,30180
32568,41105,30178
32588,41122,30199
32580,41138,30148
32640,41104,30135
32646,41117,30179
32636,41111,30200
32632,41091,30202
32660,41115,30173
32628,41111,30170
32697,41060,30209
32700,41111,30244
32689,41113,30196
32714,41094,30246
32676,41117,30236
32613,41119,30235
32621,41061,30253
32608,41095,30237
32624,41094,30263
32671,41073,30281
32673,41109,30268
32709,41101,30311
32754,41116,30320
32760,41046,30297
32780,41055,30303
32784,41095,30422
32756,41084,30439
32718,41071,30435
32720,41063,30428
32756,41079,30415
32796,41091,30389
32868,41085,30445
32876,41077,30493
32833,41076,30459
32812,41068,30441
32788,41049,30451
32741,41043,30498
32725,41038,30500
32752,41069,30498
32760,41006,30535
32736,41055,30543
32760,41055,30526
32782,41049,30530
32780,41047,30537
32792,41071,30547
32768,41071,30629
32752,41063,30671
32778,41057,30599
32768,41025,30609
32796,41059,30645
32856,40991,30639
32876,41055,30633
32829,41050,30751
32808,41043,30725
32821,41031,30687
32812,41031,30719
32828,41004,30744
32768,41045,30761
32713,41047,30756
32704,41029,30740
32760,40987,30748
32820,41046,30774
32878,41027,30776
32840,41023,30911
32828,41038,30919
32824,41044,30896
32804,40967,30903
32824,41031,30893
32868,41021,30872
32852,41004,30906
32840,41031,30908
32842,41024,30923
32856,40967,30918
32876,41018,30938
32892,41007,30945
32880,41020,30983
32832,41012,31004
32848,40988,31031
32840,40945,30990
32837,40944,31017
32876,40967,31029
32881,41000,31014
32868,40997,31017
32912,41007,31013
32871,40993,31071
32872,40983,31114
32852,40967,31111
32821,40963,31132
32768,40983,31153
32768,40989,31159
32800,40997,31167
32865,40967,31153
32868,40943,31133
32916,40980,31108
32904,40967,31092
32884,40966,31111
32884,40955,31108
32904,40957,31111
32940,40967,31111
32940,40967,31116
32968,40961,31119
32912,40967,31143
32892,40967,31127
32836,40967,31152
32896,40933,31207
32900,40934,31204
32844,40935,31184
32816,40948,31172
32852,40948,31190
32884,40893,31182
32860,40950,31145
32868,40936,31151
32884,40931,31140
32900,40931,31159
32908,40940,31158
32896,40945,31133
32887,40914,31207
32908,40931,31221
32925,40934,31217
32904,40933,31166
32864,40930,31152
32857,40933,31155
32800,40933,31129
32680,40941,31217
32560,40942,31221
32564,40885,31217
32536,40917,31223
32537,40905,31225
32548,40895,31162
32600,40891,31152
32584,40905,31153
32560,40925,31156
32588,40869,31165
32576,40879,31184
32588,40909,31204
32592,40901,31221
32541,40887,31232
32620,40876,31225
32736,40871,31225
32848,40871,31183
32908,40869,31168
33000,40901,31180
33036,40907,31155
32992,40908,31195
32936,40876,31237
32856,40831,31167
32804,40838,31180
32800,40831,31168
32868,40837,31151
32900,40823,31225
32964,40869,31252
33085,40871,31239
33148,40863,31177
33134,40858,31181
33200,40852,31195
33204,40836,31181
33140,40844,31176
33080,40828,31180
33048,40789,31158
33024,40847,31220
32982,40855,31253
32982,40815,31212
32996,40839,31200
33004,40829,31205
33020,40818,31183
32964,40829,31178
32956,40825,31183
32972,40830,31186
32969,40823,31196
32976,40767,31191
32960,40775,31176
32968,40774,31172
33000,40815,31177
33008,40816,31249
32988,40799,31239
32960,40795,31249
32956,40775,31228
32961,40809,31251
32948,40805,31233
32969,40743,31199
32988,40745,31188
33036,40750,31202
33037,40797,31172
33028,40788,31159
33017,40783,31191
32992,40774,31206
32944,40769,31225
32921,40788,31261
32929,40781,31239
32986,40770,31244
32968,40772,31232
33012,40772,31238
32984,40750,31200
32962,40781,31212
32856,40757,31207
32644,40767,31236
32346,40743,31215
32072,40740,31229
31792,40733,31209
31576,40735,31194
31581,40756,31160
31730,40696,31153
31929,40757,31147
32416,40711,31142
32921,40749,31141
33528,40735,31133
34404,40721,31135
35896,40735,31141
37824,40735,31118
40048,40720,31145
42644,40702,31143
45388,40700,31112
47892,40685,31097
49984,40687,31093
51344,40668,31081
51844,40667,31167
51292,40655,31080
49512,40668,31101
47208,40679,31090
44580,40684,31074
41798,40711,31047
38720,40727,31101
36156,40694,31141
34624,40671,31093
33560,40698,31044
32860,40711,31057
32268,40691,31036
31764,40677,31015
31380,40671,31089
31174,40679,31023
31044,40679,31040
30907,40676,30999
30849,40695,30980
30812,40645,31054
30759,40665,30968
30636,40668,30952
30460,40655,30949
30372,40660,30935
30289,40657,30880
30294,40676,30855
30336,40687,30876
30336,40692,30901
30329,40690,30840
30332,40701,30808
30284,40695,30754
30252,40681,30845
30260,40647,30776
30301,40615,30717
30304,40615,30721
30372,40663,30681
30432,40647,30656
30504,40652,30740
30580,40627,30719
30596,40669,30689
30592,40613,30661
30608,40647,30612
30641,40636,30599
30628,40637,30592
30644,40645,30587
30688,40611,30582
30632,40628,30573
30666,40615,30572
30716,40651,30563
30796,40599,30551
30876,40580,30527
30888,40617,30626
30868,40613,30647
30885,40601,30649
30941,40583,30652
30872,40607,30655
30852,40559,30669
30868,40599,30679
30896,40559,30695
30977,40581,30709
31040,40599,30711
31032,40583,30660
31084,40575,30655
31085,40581,30667
31144,40519,30740
31188,40581,30744
31200,40559,30780
31228,40583,30778
31257,40547,30756
31320,40575,30748
31345,40565,30772
31340,40557,30793
31368,40546,30797
31364,40530,30782
31412,40567,30792
31456,40555,30798
31488,40484,30811
31532,40551,30906
31596,40549,30910
31621,40535,30886
31536,40527,30854
31488,40540,30861
31488,40548,30869
31540,40511,30884
31548,40519,30892
31584,40502,30895
31636,40506,30873
31680,40530,30914
31776,40536,30873
31868,40484,30882
31878,40526,30827
31920,40517,30916
31933,40501,30884
31928,40515,30883
31916,40526,30871
31942,40477,30870
32016,40519,30892
32096,40516,30950
32140,40495,30941
32168,40517,30935
32220,40519,30925
32248,40471,30921
32252,40489,30909
32284,40470,30855
32304,40505,30802
32354,40492,30831
32457,40455,30821
32532,40503,30811
32632,40440,30797
32684,40481,30789
32724,40501,30839
32766,40435,30841
32752,40479,30839
32760,40487,30828
32828,40431,30786
32860,40484,30822
32916,40487,30761
32924,40476,30761
32956,40500,30775
32964,40487,30788
32968,40471,30774
32968,40416,30769
32960,40431,30717
32972,40455,30690
32961,40450,30727
32953,40455,30631
32948,40408,30653
32928,40446,30648
32887,40455,30644
32816,40455,30615
32692,40443,30591
32621,40437,30599
32592,40429,30596
32516,40414,30590
32476,40429,30573
32432,40436,30564
32356,40413,30532
32285,40382,30567
32191,40420,30590
32160,40437,30576
32089,40415,30564
32098,40412,30514
32044,40400,30505
31954,40418,30484
31948,40415,30489
31937,40382,30447
31908,40397,30517
31944,40415,30501
31924,40403,30453
31894,40421,30454
31844,40343,30453
31837,40396,30413
31890,40372,30409
31888,40359,30399
31893,40368,30389
31840,40383,30453
31752,40375,30485
31770,40349,30414
31806,40327,30383
31830,40317,30377
31862,40366,30367
31832,40359,30364
31837,40348,30381
31816,40340,30365
31836,40327,30348
31868,40327,30435
31916,40319,30422
31964,40295,30427
31968,40335,30373
32000,40341,30370
32016,40319,30327
32057,40276,30335
32044,40258,30352
32032,40300,30325
31985,40292,30306
31992,40290,30388
32052,40285,30423
32108,40273,30415
32096,40303,30412
32132,40303,30396
32156,40283,30369
32110,40261,30345
32104,40226,30351
32136,40265,30359
32164,40269,30372
32184,40263,30377
32188,40255,30383
32258,40277,30407
32252,40260,30393
32160,40221,30392
32136,40260,30397
32181,40244,30392
32206,40241,30404
32212,40225,30429
32252,40221,30413
32304,40220,30414
32356,40244,30420
32356,40239,30429
32356,40197,30442
32356,40237,30431
32344,40223,30537
32376,40209,30529
32402,40229,30549
32393,40219,30566
32407,40167,30549
32424,40199,30543
32456,40191,30519
32480,40185,30522
32488,40223,30538
32472,40191,30558
32512,40199,30544
32524,40165,30557
32530,40199,30575
32548,40197,30599
32609,40159,30591
32644,40183,30604
32672,40175,30614
32672,40179,30596
32700,40179,30663
32673,40199,30657
32692,40189,30717
32676,40135,30717
32604,40171,30680
32560,40167,30690
32560,40149,30727
32632,40183,30727
32700,40175,30703
32684,40167,30711
32668,40133,30727
32692,40126,30724
32740,40164,30759
32744,40151,30761
