ECG,EDA,RR
32460,37876,39495
32464,37871,39559
32360,37863,39455
32308,37883,39404
32322,37878,39559
32372,37871,39615
32380,37843,39492
32436,37847,39431
32449,37869,39611
32500,37848,39554
32505,37863,39508
32556,37861,39639
32612,37839,39597
32656,37859,39532
32698,37868,39649
32704,37879,39695
32704,37860,39533
32717,37869,39684
32784,37859,39626
32808,37863,39727
32840,37863,39591
32838,37873,39713
32836,37861,39709
32893,37876,39633
32977,37863,39587
33040,37861,39580
32968,37849,39741
32917,37863,39724
32904,37847,39687
32864,37839,39780
32872,37839,39687
32928,37840,39602
32904,37855,39730
32908,37857,39780
32862,37863,39769
32800,37845,39626
32837,37849,39596
32924,37863,39770
32884,37828,39738
32831,37837,39729
32862,37867,39793
32873,37840,39623
32856,37860,39781
32848,37877,39783
32800,37863,39773
32748,37861,39743
32772,37863,39735
32840,37831,39793
32860,37839,39611
32832,37821,39772
32772,37839,39751
32753,37871,39751
32768,37853,39607
32798,37861,39591
32838,37836,39743
32873,37840,39684
32821,37857,39730
32832,37845,39687
32828,37829,39593
32880,37812,39736
33036,37842,39687
33028,37862,39751
33000,37859,39635
32941,37876,39551
32765,37871,39704
32702,37836,39633
32637,37835,39734
32464,37851,39548
32148,37863,39687
31849,37849,39646
31666,37849,39637
31598,37871,39623
31768,37868,39503
31948,37849,39639
32252,37863,39643
32813,37857,39558
33444,37865,39601
34032,37861,39551
34856,37874,39643
36200,37863,39458
37964,37879,39593
40068,37876,39536
42164,37856,39581
44224,37855,39417
46308,37855,39545
48000,37847,39581
48924,37839,39399
49008,37847,39382
48092,37855,39524
46024,37858,39549
43596,37869,39405
41292,37887,39517
38852,37895,39431
36344,37909,39516
34448,37893,39431
33336,37871,39489
32704,37884,39460
32310,37887,39427
32089,37882,39431
31828,37895,39318
31596,37861,39303
31408,37917,39388
31312,37895,39316
31190,37919,39423
31080,37895,39454
31004,37869,39335
30968,37895,39255
30888,37905,39361
30848,37887,39399
30800,37863,39212
30761,37911,39335
30764,37867,39265
30732,37893,39326
30706,37877,39118
30676,37895,39204
30639,37920,39239
