ECG,EDA,RR
32196,29215,33039
32150,29213,32916
32016,29215,32980
32053,29212,32901
32161,29206,33026
32184,29209,33015
32208,29199,33039
32296,29204,33078
32327,29206,32897
32324,29207,33044
32372,29213,33001
32460,29213,32919
32488,29227,32956
32506,29219,32882
32572,29218,33028
32604,29215,33048
32676,29213,32893
32700,29213,32963
32724,29207,32887
32752,29214,33013
32788,29217,32980
32825,29224,33043
32876,29231,33031
32897,29223,33055
32913,29220,33047
32868,29220,33052
32956,29215,32980
32996,29221,33055
33004,29220,33061
32980,29223,33062
33036,29229,33071
33052,29228,32903
33056,29225,33005
33050,29223,32956
33037,29221,33058
33028,29221,33065
32948,29215,32928
32972,29213,32998
32925,29219,32935
32860,29223,33092
32845,29227,33116
32752,29224,32959
32644,29224,33047
32576,29228,33039
32508,29225,33100
32445,29221,33043
32361,29226,33148
32288,29220,33091
32220,29212,33012
32158,29221,33127
32088,29214,33093
32042,29225,33177
31972,29234,33204
31957,29229,33071
31888,29223,33159
31828,29225,33077
31788,29201,33241
31772,29209,33101
31764,29215,33247
31744,29223,33260
31688,29218,33119
31744,29218,33239
31724,29213,33303
31712,29225,33151
31740,29217,33247
31751,29205,33155
31740,29215,33318
31740,29215,33333
31748,29215,33189
31800,29212,33361
31829,29189,33273
31836,29206,33279
31832,29211,33383
31832,29205,33308
31901,29214,33255
31921,29215,33377
31900,29209,33396
31872,29204,33305
31908,29205,33372
31904,29199,33415
31924,29199,33300
31983,29209,33436
32012,29214,33486
32040,29205,33333
31976,29215,33467
32012,29207,33521
32056,29191,33383
32056,29191,33540
32032,29191,33460
32077,29204,33586
32132,29205,33428
32145,29204,33589
32172,29199,33629
32174,29206,33477
32161,29204,33487
32142,29201,33588
32188,29201,33564
32202,29191,33548
32192,29191,33607
32232,29197,33693
32392,29201,33564
32382,29205,33729
32329,29202,33655
32285,29203,33607
32312,29207,33764
32372,29204,33807
32353,29191,33652
32320,29191,33783
32375,29191,33733
32404,29181,33833
32405,29191,33799
32368,29191,33701
32381,29191,33799
32385,29204,33727
32384,29191,33791
32385,29185,33749
32400,29187,33924
32444,29181,33901
32432,29183,33770
32433,29191,33927
32480,29191,33989
32476,29191,33812
32504,29191,33895
32525,29190,33837
32493,29191,34005
32552,29191,33977
32516,29190,33879
32460,29181,33963
32485,29185,33929
32548,29189,33909
32664,29185,33967
32660,29191,34034
32654,29191,34085
32640,29189,34106
32654,29167,33940
32639,29188,34087
32629,29187,34148
32620,29171,34135
32608,29177,34145
32592,29170,34183
32580,29171,34087
32596,29185,34094
32636,29190,34202
32616,29188,34183
32624,29191,34055
32620,29181,34142
32636,29175,34093
32672,29172,34244
32592,29183,34289
32589,29185,34279
32592,29190,34180
32608,29185,34300
32644,29191,34157
32664,29191,34304
32660,29189,34340
32632,29190,34161
32620,29180,34276
32588,29175,34201
32572,29175,34361
32588,29175,34398
32656,29172,34205
32640,29181,34295
32592,29182,34340
32580,29191,34413
32522,29191,34327
32424,29183,34362
32416,29185,34286
32378,29179,34447
32292,29181,34468
32293,29175,34303
32352,29191,34471
32356,29189,34321
32358,29191,34407
32336,29182,34365
32404,29183,34469
32452,29183,34399
32469,29173,34535
32528,29186,34431
32532,29183,34567
32556,29183,34549
32652,29188,34618
32696,29191,34647
32720,29190,34479
32800,29191,34685
32856,29186,34660
32816,29188,34543
32820,29183,34692
32788,29177,34676
32852,29179,34733
32924,29189,34668
32952,29190,34740
32968,29183,34745
33012,29186,34812
33048,29189,34630
32992,29191,34756
32940,29188,34709
32924,29180,34832
32877,29182,34866
32844,29180,34877
32862,29172,34927
32813,29188,34901
32884,29191,34951
32916,29191,34941
32880,29191,34967
32852,29183,34980
32840,29183,35023
32856,29172,34832
32858,29172,34951
32897,29173,34887
32892,29180,34977
32924,29187,34937
32997,29191,35028
33016,29191,35004
32952,29191,35153
32932,29185,35185
32944,29189,35192
32961,29177,35207
32942,29168,35199
32942,29172,35180
32948,29172,35262
32929,29175,35152
32912,29184,35228
32940,29187,35175
32956,29188,35278
32956,29173,35228
32928,29180,35358
32880,29181,35335
32796,29181,35417
32804,29175,35409
32852,29174,35460
32792,29178,35504
32768,29167,35349
32817,29191,35428
32800,29185,35389
32696,29183,35549
32557,29180,35589
32268,29183,35380
31908,29167,35502
31664,29170,35420
31736,29169,35525
31940,29187,35447
32156,29186,35685
32622,29189,35668
33128,29183,35569
33605,29180,35605
34322,29189,35520
35472,29181,35765
37048,29177,35759
38952,29185,35700
40852,29204,35738
42744,29183,35612
44552,29204,35860
45892,29207,35813
46584,29226,35725
46716,29236,35783
45976,29189,35713
44304,29189,35792
42548,29180,35782
40716,29197,35845
38452,29201,35909
36076,29202,35987
34440,29191,35917
33584,29197,35980
33044,29209,36047
32656,29191,36101
32224,29191,35899
31928,29181,36093
31702,29177,35975
31612,29183,36109
31517,29177,36194
31488,29188,36193
31432,29203,36256
31356,29205,36111
31320,29191,36245
31238,29199,36285
31157,29191,36317
31132,29190,36353
31140,29173,36268
31132,29181,36247
31169,29176,36293
31154,29181,36399
31084,29179,36412
31108,29183,36196
31184,29183,36303
31204,29191,36281
31236,29189,36397
31209,29187,36391
31224,29184,36350
31246,29175,36245
31252,29180,36517
31272,29175,36484
31304,29175,36511
31316,29179,36500
31353,29175,36441
31324,29190,36388
31344,29182,36441
31429,29172,36372
31576,29167,36597
31600,29172,36559
31572,29174,36434
31580,29172,36493
31624,29184,36404
31664,29186,36679
31724,29165,36653
31780,29175,36676
31772,29171,36663
31745,29157,36671
31764,29159,36708
31748,29172,36677
31780,29175,36740
31824,29173,36645
31900,29173,36716
31948,29174,36716
31956,29176,36852
31992,29175,36942
31960,29185,36919
31936,29172,36939
31928,29165,36956
31873,29159,36959
31914,29169,36999
31980,29175,36903
32078,29173,37085
32068,29189,37085
32069,29185,37127
32117,29180,37111
32160,29179,37191
32172,29166,36943
32239,29161,37198
32216,29173,36980
32217,29175,37145
32222,29183,37073
32260,29182,37149
32352,29180,37111
32372,29183,37244
32348,29177,37213
32388,29171,37135
32440,29167,37244
32464,29159,37317
32508,29181,37071
32518,29178,37181
32560,29185,37164
32636,29173,37263
32696,29179,37327
32764,29185,37060
32744,29183,37167
32756,29177,37255
32764,29172,37269
32828,29166,37316
32896,29180,37027
32948,29183,37270
33016,29191,37092
33052,29191,37113
33128,29190,36985
33172,29185,37239
33172,29188,37181
33216,29191,37113
33268,29176,37125
33237,29176,37145
33184,29177,37103
33276,29181,37021
33308,29183,37056
33316,29189,37037
33316,29191,37037
33357,29191,37007
33356,29191,36980
33372,29188,37021
33381,29187,36779
33372,29187,36989
33373,29185,36939
33380,29183,36929
33380,29191,36905
33334,29191,36852
33292,29191,36764
33296,29209,36661
33238,29205,36895
33208,29191,36833
33136,29185,36817
33092,29182,36778
33028,29188,36684
32908,29185,36716
32884,29188,36535
32852,29191,36769
32740,29191,36697
32609,29191,36740
32506,29188,36679
32412,29179,36535
32368,29184,36570
32465,29185,36441
32365,29173,36676
32225,29187,36601
32106,29188,36452
32064,29191,36615
32038,29185,36544
32070,29183,36412
32040,29188,36429
31928,29180,36324
31848,29181,36503
31852,29169,36284
31821,29181,36486
31850,29163,36359
31900,29164,36463
31924,29178,36455
31897,29183,36236
31884,29174,36476
31860,29167,36420
31853,29174,36351
31902,29161,36352
31888,29155,36216
31844,29151,36314
31866,29167,36156
31918,29164,36397
31968,29161,36334
31976,29162,36335
32010,29159,36310
32025,29165,36331
32010,29163,36277
32008,29163,36284
32004,29146,36273
32012,29156,36292
32068,29163,36263
32088,29167,36220
32156,29164,36141
32172,29155,36057
32136,29164,36263
32066,29161,36250
32108,29155,36292
32192,29143,36252
32219,29141,36268
32152,29149,36064
32124,29133,36146
32173,29151,36101
32220,29157,36208
32240,29159,36204
32300,29156,36260
32340,29153,36303
32341,29148,36263
32344,29141,36116
32336,29138,36220
32340,29143,36113
32388,29142,36164
32436,29145,36065
32457,29153,36279
32436,29151,36076
32396,29145,36321
32436,29153,36103
32476,29153,36312
32528,29149,36283
32568,29135,36327
32568,29133,36101
32524,29133,36215
32512,29146,36316
32525,29156,36317
32536,29148,36323
32484,29144,36321
32504,29140,36358
32516,29147,36311
32532,29135,36281
32624,29125,36317
32660,29142,36220
32621,29143,36303
32653,29137,36149
32616,29135,36351
32660,29150,36257
32644,29149,36172
32652,29140,36298
32636,29145,36303
32644,29141,36173
32641,29132,36415
32640,29127,36392
32632,29140,36359
32692,29130,36350
32716,29135,36271
32688,29140,36436
32693,29140,36388
32676,29134,36277
32676,29129,36397
32640,29127,36271
32664,29133,36487
32644,29120,36412
32588,29138,36244
32664,29135,36479
32780,29132,36455
32760,29135,36409
32685,29141,36399
32676,29135,36471
32644,29130,36460
32632,29125,36288
32604,29120,36535
32636,29131,36487
32685,29132,36373
32684,29132,36457
32700,29127,36373
32696,29129,36468
32741,29132,36391
32712,29111,36505
32670,29126,36558
32624,29127,36543
32620,29120,36414
32716,29119,36471
32752,29122,36343
32716,29124,36594
32776,29134,36571
32793,29135,36615
32770,29135,36397
32752,29135,36591
32749,29129,36385
32772,29129,36623
32764,29121,36588
32768,29121,36487
32748,29120,36496
32800,29125,36502
32812,29129,36445
32797,29135,36560
32764,29133,36415
32732,29131,36513
32757,29125,36441
32800,29115,36657
32785,29116,36437
32797,29121,36644
32784,29125,36440
32781,29126,36685
32788,29120,36647
32784,29127,36663
32797,29124,36647
32816,29123,36693
32773,29123,36477
32784,29119,36536
32749,29118,36607
32743,29105,36640
32724,29119,36569
32800,29123,36509
32812,29125,36609
32748,29129,36505
32696,29131,36541
32652,29131,36541
32684,29130,36615
32656,29123,36606
32596,29117,36615
32544,29121,36545
32508,29121,36445
32556,29127,36501
32576,29127,36407
32600,29127,36542
32604,29127,36399
32562,29124,36599
32692,29124,36437
32758,29126,36559
32720,29127,36487
32720,29122,36534
32756,29127,36445
32844,29124,36532
32884,29128,36508
