ECG,EDA,RR
30220,27479,29341
30193,27485,29151
30165,27495,29286
30100,27499,29376
30105,27505,29375
30048,27511,29127
29972,27519,29009
29933,27523,29169
29916,27527,28979
30036,27532,29060
30201,27535,28899
30325,27543,29173
30408,27551,28845
30636,27555,28996
30665,27559,28807
30630,27569,29051
30764,27575,28797
30777,27567,28559
30700,27573,28789
30700,27582,28781
30812,27581,28661
30988,27597,28836
31196,27602,28711
31340,27612,28548
31420,27615,28269
31432,27619,28567
31329,27627,28383
31274,27625,28495
31320,27626,28175
31356,27637,28382
31401,27647,28172
31497,27653,28321
31604,27661,28277
31769,27667,27941
31810,27676,28183
31760,27676,28261
31736,27684,28060
31688,27691,28039
31752,27695,28013
31950,27695,27780
32172,27699,28007
32420,27709,27781
32424,27716,27539
32533,27726,27759
32586,27724,27737
32652,27735,27677
32836,27737,27761
32866,27740,27694
32750,27741,27489
32676,27748,27204
32700,27756,27373
32812,27760,27563
32961,27773,27250
33152,27781,27365
33097,27791,27458
33104,27791,27175
33129,27792,27245
33159,27797,27143
33188,27811,27173
33160,27811,27021
33306,27821,27093
33445,27825,26911
33622,27832,26946
33780,27839,26973
33884,27847,26908
33821,27851,26879
33737,27863,26774
33766,27863,26591
33756,27860,26793
33760,27868,26685
33748,27879,26612
33772,27883,26719
33797,27899,26471
33640,27907,26597
33402,27909,26423
33408,27911,26662
33501,27922,26252
33552,27923,26455
33708,27927,26407
33920,27925,26503
34053,27940,26254
34172,27945,26335
34260,27951,26308
34254,27959,26107
34304,27965,26341
34316,27968,26243
34310,27968,26093
34369,27975,26067
34380,27975,26033
34440,27983,26049
34665,27991,26101
34980,27999,25940
35624,27997,26181
36544,28005,25905
37464,28007,26001
38318,28007,25851
38973,28011,26014
39556,28015,25909
40272,28015,25898
40736,28030,25847
40996,28035,25923
41188,28039,25895
41476,28046,25824
41464,28059,25679
40632,28069,25917
39300,28071,25669
37886,28085,25734
36484,28081,25539
35016,28103,25601
32982,28103,25683
31456,28115,25789
30812,28129,25539
30809,28135,25633
31057,28142,25525
31409,28141,25484
31869,28143,25563
32545,28141,25385
33333,28135,25555
34090,28140,25442
34692,28151,25317
35098,28149,25479
35320,28159,25449
35464,28167,25367
35615,28167,25409
35620,28174,25255
35648,28183,25489
35592,28187,25279
35388,28197,25321
35206,28194,25227
35292,28199,25391
35340,28207,25132
35496,28206,25212
35668,28215,25079
35808,28225,25250
35944,28228,24839
36024,28236,24905
36104,28231,25067
36113,28235,24748
36124,28245,25000
36110,28241,25089
36164,28259,24733
36224,28253,24939
36204,28263,24903
36304,28271,24735
36312,28285,24889
36302,28280,24807
36311,28291,24711
36320,28289,24837
36432,28287,24711
36561,28289,24779
36695,28295,24839
36712,28303,24964
36602,28319,24694
36601,28317,24839
36576,28319,24824
36512,28333,24644
36616,28327,24827
36682,28332,24833
36668,28339,24541
36606,28339,24796
36637,28349,24660
36765,28348,24901
36740,28361,24645
36816,28369,24713
36876,28365,24697
37088,28375,24831
37332,28372,24583
37436,28369,24663
37294,28383,24633
37112,28380,24548
36725,28391,24539
36680,28403,24563
36976,28404,24523
37216,28407,24353
37172,28412,24597
37127,28415,24364
37113,28413,24471
37132,28419,24277
37117,28420,24527
37135,28423,24300
37215,28436,24395
37224,28447,24371
37260,28449,24294
37352,28455,24252
37422,28460,24319
37428,28463,24256
37372,28467,24429
37440,28471,24101
37548,28470,24219
37576,28473,24358
37604,28483,24220
37708,28485,24133
37732,28495,24240
37624,28500,24100
37484,28515,24215
37308,28519,23948
37325,28512,24149
37322,28517,24269
37336,28526,24175
37360,28527,23981
37441,28527,24089
37437,28539,23901
37390,28546,24145
37278,28551,23981
37238,28562,24229
37156,28557,23925
37113,28562,24100
36969,28571,24153
36921,28583,23813
36884,28575,24004
36932,28583,24085
36976,28587,23767
36976,28596,23889
36865,28601,23999
36800,28605,23949
36761,28606,23773
36652,28615,23916
36508,28609,23678
36368,28615,23855
36188,28623,23932
36033,28623,23625
35937,28639,23879
35872,28643,23712
35766,28649,23999
35653,28652,23739
35620,28650,23828
35476,28654,23646
35256,28663,23925
35172,28660,23701
35144,28665,23813
35197,28675,23780
35244,28676,23711
35172,28689,23935
35048,28693,23708
34946,28690,23767
34908,28695,23627
34780,28703,23829
34701,28707,23519
34708,28703,23757
34732,28715,23709
34740,28713,23625
34760,28714,23773
34956,28725,23773
34863,28727,23631
34813,28737,23757
34760,28740,23678
34528,28737,23721
34164,28747,23726
33984,28741,23717
33980,28743,23606
34028,28751,23829
34128,28753,23494
34161,28762,23719
34070,28773,23852
33944,28774,23533
33896,28780,23719
33908,28775,23815
33878,28781,23583
33874,28780,23727
33965,28781,23549
34020,28789,23847
34188,28795,23506
34404,28801,23735
34512,28804,23727
34500,28805,23628
34397,28807,23745
34276,28819,23639
34122,28812,23879
34140,28813,23559
34248,28815,23721
34325,28823,23815
34428,28825,23482
34476,28831,23707
34368,28831,23714
34292,28844,23764
34218,28841,23456
34155,28843,23641
34120,28847,23823
34008,28855,23556
33832,28855,23653
33767,28857,23645
33904,28860,23615
33972,28861,23489
33997,28868,23600
33916,28877,23553
33857,28879,23581
33800,28885,23271
33812,28877,23477
33778,28879,23588
33732,28893,23509
33790,28891,23229
33872,28898,23431
33900,28899,23310
34048,28903,23497
34012,28911,23255
33728,28917,23128
33604,28923,23346
33591,28917,23297
33541,28919,23191
33570,28927,23299
33588,28927,23087
33724,28935,23332
33916,28935,22985
34089,28941,23235
34020,28943,23047
33902,28943,23329
33824,28951,23047
33840,28946,23175
33960,28948,23012
33884,28949,23071
33917,28953,23172
33960,28967,22947
33966,28965,23122
33985,28975,23073
33972,28983,23057
33953,28983,23078
33944,28983,22893
33764,28989,23071
33696,28989,22993
33784,28997,23181
33800,28995,22821
33752,28999,23029
33788,29009,23143
33764,29012,22911
33796,29012,22817
33802,29015,22999
33780,29019,22905
33761,29021,23124
33804,29020,22847
33874,29015,22735
33889,29029,22974
33980,29031,22975
34013,29038,22873
33972,29047,23083
33940,29045,23109
33916,29045,23108
33974,29045,23079
33893,29052,22899
33812,29049,22845
33677,29061,22841
33620,29063,22754
33564,29063,22707
33533,29071,22707
33471,29081,22951
33436,29087,22878
