ECG,EDA,RR
33236,33501,29238
33212,33503,29395
33061,33492,29204
33009,33485,29429
32909,33469,29516
32821,33471,29401
32865,33461,29257
32984,33463,29405
33152,33455,29411
33332,33460,29239
33440,33476,29333
33452,33455,29479
33436,33455,29095
33360,33450,29311
33301,33439,29484
33254,33439,29468
33260,33435,29242
33294,33428,29185
33308,33435,29164
33136,33433,29170
32961,33429,29164
32864,33424,29309
32911,33415,29310
32952,33412,28953
32836,33407,29199
32728,33404,29243
32712,33404,29243
32760,33399,29252
32884,33397,29215
33000,33386,29372
33032,33407,29183
33078,33391,29141
33212,33389,29090
33210,33380,29204
33181,33375,29209
33200,33375,29021
33140,33367,29179
32840,33367,29151
32908,33351,29044
32957,33356,29075
32960,33359,29125
33000,33353,29110
33082,33371,29249
33108,33350,29049
33064,33343,28959
33112,33335,29053
33061,33329,28795
33060,33333,29044
33013,33325,29178
33052,33324,28885
33134,33329,29041
33252,33326,29023
33368,33325,28989
33418,33323,28755
33476,33307,28807
33564,33315,28890
33599,33299,28959
33652,33317,29063
33664,33303,29079
33600,33297,28837
33586,33300,28997
33516,33287,29025
33488,33287,28849
33433,33286,28796
33540,33285,28815
33525,33279,28868
33368,33270,28517
33340,33275,28631
33432,33279,28575
33492,33277,28468
33549,33275,28788
33412,33263,28771
33184,33271,28609
33133,33257,28836
33165,33255,28829
33224,33251,28630
33248,33255,28694
33288,33244,28703
33168,33255,28629
33063,33252,28620
32900,33255,28469
32989,33251,28741
33207,33234,28775
33264,33245,28741
33188,33237,28557
33168,33231,28515
33240,33231,28483
33127,33222,28428
33046,33199,28348
33084,33222,28465
33081,33223,28460
32996,33223,28461
32861,33215,28580
32785,33213,28609
32858,33219,28659
32872,33211,28610
32864,33191,28583
32869,33193,28575
32924,33191,28487
32920,33207,28567
32909,33175,28449
32918,33190,28277
32894,33191,28325
32823,33183,28295
32753,33183,28349
32762,33175,28387
32760,33167,28404
32805,33167,28395
32785,33167,28397
32840,33175,28399
32792,33153,28389
32764,33169,28039
32798,33159,28063
32701,33171,28367
32519,33144,28455
32500,33159,28153
32494,33148,28157
32497,33143,28271
32509,33143,28227
32540,33147,28284
32700,33147,28301
32733,33135,28290
32665,33127,27947
32460,33135,28185
32405,33127,28187
32388,33119,28198
32610,33101,28324
32777,33101,28329
32822,33117,28380
32844,33105,28112
32953,33116,28204
32920,33099,28229
32821,33103,28224
32705,33103,27877
32588,33103,28023
32582,33095,28135
32692,33083,28295
32652,33087,28192
32688,33081,28269
32821,33082,28295
32940,33087,28195
32833,33085,28090
32533,33087,28031
32586,33077,28001
32573,33065,28133
32656,33063,28267
32732,33057,28305
32828,33060,28167
32886,33054,27993
32960,33061,28159
32888,33055,28149
32936,33055,28037
32848,33047,28157
32740,33045,28278
32668,33053,28300
32653,33031,28104
32513,33012,28007
32407,33023,28087
32416,33031,28141
32464,33030,28167
32576,33017,27829
32656,33029,28103
32732,33031,28305
32796,33012,28087
32829,32997,28117
32748,33003,28125
32681,32992,28183
32791,32991,27896
32746,32999,28183
32680,32999,28340
32770,32999,28271
32820,32995,28029
32884,32984,28216
32892,32983,28087
32868,32972,28349
32820,32965,28222
32765,32964,27927
32773,32967,28227
32812,32961,28313
32740,32964,28383
32749,32971,28110
32804,32974,28223
32768,32971,28263
32852,32943,28057
32892,32940,28236
32841,32935,28384
32728,32941,28089
32673,32935,28119
32799,32943,28245
32916,32939,28289
32972,32935,28275
32932,32935,28293
32836,32925,28254
32701,32921,28097
32636,32911,28182
32629,32919,28263
32632,32927,28279
32679,32903,28307
32704,32913,28309
32772,32911,28309
32781,32903,28311
32864,32903,28313
32877,32903,27982
32768,32893,28215
32720,32894,28231
32773,32887,28257
32696,32886,28381
32660,32885,28325
32749,32875,28495
32752,32883,28503
32817,32877,28447
32812,32877,28472
32766,32875,28425
32652,32875,28361
32500,32849,28477
32512,32857,28439
32532,32847,28455
32620,32855,28376
32752,32844,28349
32982,32853,28291
33152,32855,28586
33120,32841,28623
33081,32841,28571
32961,32836,28557
32808,32831,28590
32697,32831,28589
32660,32829,28611
32678,32828,28551
32792,32823,28725
32668,32833,28731
32552,32828,28699
