ECG,EDA,RR
33148,40711,28167
33152,40711,27948
33076,40709,28224
32948,40711,28149
33020,40699,28221
33149,40693,27817
33252,40695,28092
33292,40700,28007
33304,40637,28180
33256,40671,27997
33321,40629,27714
33344,40653,28004
33372,40639,27974
33352,40646,27933
33344,40627,27739
33380,40646,27976
33461,40635,27994
33544,40616,27911
33644,40607,27725
33712,40603,27631
33797,40586,27767
33952,40560,27645
33972,40591,27695
33997,40581,27817
33848,40583,27617
33744,40569,27591
33728,40583,27652
33772,40559,27668
33837,40553,27500
33919,40541,27788
34004,40546,27550
34025,40540,27636
34096,40543,27439
34076,40539,27765
33944,40535,27646
33816,40535,27511
33777,40481,27631
33742,40517,27452
33670,40494,27495
33574,40495,27709
33552,40495,27783
33609,40485,27739
33685,40487,27703
33711,40495,27536
33621,40479,27685
33513,40455,27606
33487,40425,27685
33437,40479,27712
33460,40451,27723
33544,40435,27685
33624,40396,27623
33716,40431,27720
33697,40438,27681
33580,40425,27805
33404,40429,27771
33180,40421,27905
33044,40391,27913
32909,40405,28004
32829,40384,27947
32844,40389,27807
32877,40377,27940
32940,40386,27952
32969,40365,27991
32942,40351,28007
32895,40375,27920
32980,40356,28042
33085,40363,28239
33088,40356,28260
33023,40337,28237
32992,40343,28151
33015,40324,28155
32965,40327,28096
32933,40327,28301
32851,40311,28383
32708,40323,28420
32548,40309,28428
32476,40319,28503
32456,40303,28689
32577,40292,28677
32677,40290,28565
32645,40279,28717
32556,40282,28799
32449,40303,28865
32284,40265,28916
32118,40268,28974
31956,40277,28870
31997,40263,29253
32086,40248,29039
32068,40247,29221
32076,40231,29467
32016,40231,29300
32145,40237,29485
32348,40219,29386
32452,40223,29742
32472,40199,29623
32460,40225,29775
32348,40212,29727
32231,40196,30080
32160,40197,29973
32140,40185,29741
32352,40179,30181
32396,40180,30255
32357,40173,30312
32296,40175,30357
32314,40167,30629
32420,40175,30541
32542,40165,30543
32604,40157,30741
32621,40133,30759
32676,40111,30983
32685,40134,30923
