ECG,EDA,RR
32688,48287,30061
32632,48285,30055
32584,48229,29703
32610,48279,30009
32608,48279,29687
32580,48263,30127
32622,48276,29923
32676,48253,29906
32730,48263,29948
32720,48263,30037
32688,48219,30045
32580,48263,30076
32520,48253,29991
32448,48255,29689
32377,48247,29637
32326,48255,29604
32320,48243,29855
32372,48244,29848
32441,48239,29845
32392,48233,29843
32456,48245,29843
32533,48247,29836
32525,48239,29791
32596,48236,29575
32683,48221,29668
32788,48223,29445
32932,48229,29642
32945,48221,29694
32948,48220,29679
32960,48231,29548
32968,48219,29399
32956,48207,29390
32852,48205,29725
32836,48189,29725
32933,48199,29725
33105,48163,29690
33560,48189,29645
34352,48197,29701
35172,48189,29711
35964,48188,29695
36664,48185,29516
37137,48181,29805
37580,48149,29760
37836,48175,29737
37692,48165,29677
37508,48156,29642
37705,48167,29575
37768,48165,29311
37208,48167,29641
36117,48163,29638
34796,48109,29641
33056,48152,29495
30892,48165,29537
28480,48157,29693
27144,48135,29733
26641,48135,29651
26786,48131,29505
27300,48135,29562
27961,48067,29572
28748,48135,29564
29540,48069,29594
30324,48125,29477
30916,48116,29474
31408,48109,29255
31750,48101,29573
32001,48093,29558
32180,48098,29532
32332,48096,29513
32394,48097,29479
32344,48101,29460
32253,48047,29428
32261,48085,29433
32285,48082,29658
32300,48079,29502
32356,48058,29377
32440,48063,29511
32462,48071,29514
32439,48057,29450
32440,48062,29300
32368,48063,29429
32413,48052,29498
32512,48055,29535
32576,48039,29545
32620,48025,29369
32600,47999,29319
32689,48029,29230
32713,48007,29311
32730,48017,29393
32726,48020,29372
32756,48007,29293
32740,47951,29249
32800,48007,29301
32788,48001,29263
32813,47953,29095
32788,47983,29381
32832,47933,29423
32968,47972,29439
33088,47983,29457
33112,47975,29479
33168,47965,29490
33188,47975,29487
33052,47967,29495
32940,47951,29344
32901,47940,29423
32917,47941,29467
32936,47938,29421
33061,47927,29471
33195,47922,29471
33216,47926,29599
33142,47916,29677
33040,47923,29629
32869,47861,29620
