ECG,EDA,RR
32932,36089,36905
32904,36093,37119
32801,36095,37055
32625,36101,37279
32562,36101,37182
32508,36103,37367
32572,36116,36923
32585,36121,37351
32534,36127,37535
32606,36124,37535
32652,36141,37551
32665,36144,37599
32524,36141,37679
32333,36135,37711
32161,36123,37836
32099,36157,37945
32233,36160,37998
32366,36162,38188
32496,36166,38151
32601,36203,38351
32572,36193,38247
32487,36207,38339
32437,36174,38406
32417,36196,38485
32407,36205,38418
32394,36189,38753
32423,36213,38628
32452,36226,38757
32420,36231,38911
32352,36220,38863
32289,36243,38940
32372,36261,38989
32420,36261,38956
32457,36261,39094
32628,36257,39223
32792,36261,39261
33012,36263,39335
33432,36292,39365
34188,36291,39503
35064,36287,39471
35913,36287,39679
36736,36295,39632
37388,36295,39637
37948,36298,39773
38462,36303,39820
38804,36307,40005
39164,36319,39903
39505,36316,39869
39384,36335,40047
38584,36347,39989
37401,36353,40212
36016,36359,40215
34413,36388,40487
32480,36391,39996
30018,36406,40397
28336,36376,40652
27468,36423,40209
27156,36427,40589
27289,36436,40781
27584,36458,40767
28052,36431,40783
28596,36453,40820
29232,36447,41073
29940,36455,41003
30624,36459,41079
31136,36455,41223
31444,36461,41253
31585,36471,41476
31609,36479,41335
31588,36501,41359
31656,36501,41557
31700,36500,41621
31773,36509,41707
31849,36513,41526
31948,36519,41837
32060,36519,41991
32045,36527,41761
32032,36543,42072
32116,36548,42169
32198,36559,41813
32280,36532,42212
32383,36551,42429
32557,36565,42396
32660,36569,42524
32648,36580,42703
32588,36581,42157
32576,36580,42615
32592,36596,42887
32545,36613,42943
32408,36615,42975
32257,36631,43063
32184,36647,43161
32292,36639,43220
32532,36631,43319
32625,36645,43431
32665,36647,43037
32764,36649,43616
32724,36679,43705
32630,36648,43695
32628,36687,43889
32600,36695,43796
32556,36703,43996
32400,36707,44055
32432,36711,44197
32560,36695,44191
32592,36716,44039
32572,36725,44244
32636,36743,44393
32676,36743,44524
32609,36743,44551
32597,36759,44579
32604,36769,44732
32616,36775,44604
32662,36756,44799
32720,36776,44824
32718,36787,44925
32753,36793,44975
32844,36792,45015
33148,36823,44614
33452,36829,45141
33576,36829,45191
33532,36831,45253
33436,36829,45447
33332,36844,45351
33276,36823,45553
33405,36855,45409
33600,36861,45737
33670,36871,45743
33802,36877,45711
33876,36883,45956
33661,36895,45988
33454,36895,45759
33429,36911,46129
33432,36911,46233
33530,36909,45796
33701,36908,46419
33849,36927,46420
33841,36929,46519
33853,36939,46623
33860,36945,46599
33888,36959,46787
33968,36971,46791
34000,36967,46823
34044,36948,46964
34005,36975,47061
33932,36977,47165
33808,36979,47156
33752,36999,47192
33736,37011,47319
33687,37013,47485
33768,37021,47495
33849,37020,47461
33792,37029,47652
33720,37029,47711
33608,37031,47808
33586,37061,47856
33692,37042,47835
33552,37061,47953
33494,37054,48071
33520,37071,48031
33416,37073,48127
33285,37095,48230
33156,37091,48239
33125,37071,48374
32864,37092,48421
32752,37095,48308
32832,37111,48568
32940,37124,48564
32968,37117,48620
32984,37127,48720
32902,37133,48730
32885,37151,48391
32836,37147,48772
32704,37149,48873
32604,37163,48955
32526,37145,48903
32549,37159,49004
32652,37165,49137
32687,37183,49076
32676,37191,49235
32804,37191,49233
32856,37197,49221
32721,37197,49349
32629,37207,49321
32644,37201,49474
32705,37207,49541
32684,37221,49527
32524,37223,49116
32356,37241,49655
32340,37240,49703
32229,37255,49737
32156,37260,49687
32089,37247,49871
31952,37269,49849
31942,37287,49903
31996,37276,49343
32012,37279,50031
32088,37281,50055
32104,37290,49991
32090,37307,50071
32122,37307,50101
32134,37311,50231
32087,37307,50269
32028,37313,50265
32002,37319,50247
31885,37325,50363
31931,37317,50397
32140,37325,50311
32409,37343,50438
32669,37343,50395
32761,37348,50428
32777,37359,50500
32837,37364,50621
32788,37349,50551
32662,37363,50669
32517,37367,50631
32408,37377,50735
32389,37381,50767
32365,37383,50659
32349,37395,50839
32324,37407,50775
32293,37404,50887
32262,37383,50335
32308,37409,50941
32432,37417,50982
32668,37423,50860
32790,37413,51007
32789,37423,51078
32784,37433,50631
32725,37451,51020
32617,37447,50855
32428,37453,51194
32228,37459,51267
32308,37420,51239
32360,37455,51191
32284,37467,51271
32256,37471,51389
32270,37479,51389
32538,37461,51429
32771,37487,51420
32728,37501,51435
32704,37493,51537
32588,37469,51531
32456,37495,51559
32396,37495,51655
32340,37511,51739
32236,37511,51665
32237,37519,51837
32307,37537,51735
32321,37533,51777
32359,37539,51895
32312,37545,51991
32280,37543,52013
32232,37511,51935
32197,37524,52023
32140,37543,51829
32200,37551,52063
32340,37555,52176
32320,37551,52231
32416,37559,52269
