ECG,EDA,RR
32657,23270,33332
32676,23265,33399
32688,23269,33509
32696,23269,33415
32668,23267,33397
32590,23257,33029
32556,23261,33549
32556,23260,33396
32620,23260,33372
32662,23267,33463
32629,23268,33585
32582,23271,33447
32566,23269,33463
32568,23260,33471
32612,23252,33483
32644,23255,33575
32633,23255,33565
32712,23255,33631
32681,23255,33601
32681,23261,33634
32680,23255,33598
32724,23259,33772
32709,23255,33637
32692,23257,33773
32636,23251,33629
32580,23247,33549
32556,23251,33598
32586,23249,33639
32657,23255,33695
32700,23261,33652
32737,23255,33678
32781,23255,33695
32796,23247,33790
32732,23247,33763
32673,23252,33895
32637,23250,33779
32615,23247,33877
32632,23244,33799
32732,23253,33884
32761,23253,33772
32701,23252,33773
32596,23259,33903
32568,23253,33788
32548,23253,33692
32557,23252,33785
32580,23247,33685
32672,23238,33972
32821,23240,33831
32816,23239,33679
32828,23255,33944
32812,23244,33567
32792,23255,33738
32809,23241,33671
32788,23245,33703
32796,23243,33628
32818,23241,33879
32806,23233,33477
32805,23233,33992
32804,23243,33883
32752,23240,34023
32737,23247,33847
32808,23243,34011
32868,23239,33895
32810,23239,33975
32758,23236,33704
32768,23236,33821
32789,23229,33469
32824,23233,33823
32870,23239,34031
32904,23239,33849
32961,23239,33828
32988,23237,33903
32992,23237,33884
32941,23232,33972
32968,23238,33856
32901,23228,33991
32820,23225,33871
32869,23223,34012
32908,23229,33863
32943,23235,33966
32932,23229,33429
32896,23236,33770
32825,23237,33879
32781,23233,33855
32756,23233,33953
32800,23223,33607
32840,23220,33815
32916,23230,33793
32984,23227,33735
32960,23231,33415
32984,23233,33944
32914,23235,33797
32864,23231,33927
32836,23231,33772
32828,23223,33853
32879,23221,33772
32961,23218,33900
32971,23217,33763
32965,23227,33901
32893,23226,33749
32896,23229,33869
32932,23227,33719
32936,23222,33865
32892,23223,33707
32841,23215,33821
32796,23219,33689
32804,23217,33749
32878,23221,33616
33012,23219,33587
32998,23225,33399
32932,23218,33671
32884,23229,33227
32890,23227,33503
32900,23213,33527
32909,23212,33571
32951,23211,33594
32996,23215,33618
33020,23207,33670
33002,23212,33607
33029,23215,33727
33016,23221,33540
33060,23221,33399
33068,23221,33621
33024,23218,33565
32968,23213,33687
32929,23215,33540
32880,23215,33391
32856,23212,33237
32869,23209,33407
32879,23215,33509
32878,23212,33511
32876,23212,33599
32856,23213,33415
32778,23215,33493
32700,23213,33343
32712,23205,33633
32752,23204,33415
32869,23201,33439
32916,23211,33483
32952,23211,33341
32970,23219,33556
32972,23215,33263
33016,23211,33452
33040,23207,33371
32996,23205,33563
32968,23205,33061
32917,23201,33373
32916,23202,33463
32911,23207,33388
32937,23209,33414
32928,23214,33329
32816,23213,33412
32728,23212,33399
32641,23206,33348
32657,23207,33317
32668,23196,33373
32662,23201,33197
32656,23203,33303
32664,23199,33353
32724,23207,33474
32724,23205,32980
32694,23203,33167
32648,23202,33253
32652,23202,33287
32673,23203,33365
32700,23203,33283
32737,23194,33116
32775,23198,33301
32844,23197,33281
32869,23194,33327
32844,23201,33240
32800,23197,33343
32770,23201,33267
32762,23205,33273
32714,23195,33197
32728,23191,33223
32726,23188,33161
32796,23197,33166
32824,23197,33189
32828,23199,33295
32868,23207,33213
32984,23196,33341
33071,23197,33199
33173,23195,33159
33417,23193,33023
33908,23183,33124
34584,23182,33132
35361,23183,33204
36140,23186,33159
36868,23193,33196
37469,23196,33165
38008,23195,33273
38276,23191,33175
38572,23195,33233
39032,23187,32756
39461,23182,33159
39424,23186,32807
38712,23191,33209
37624,23181,33127
36396,23186,33253
34905,23197,33149
33085,23189,33279
30712,23199,33135
29060,23191,33235
28204,23194,33135
27949,23199,33255
28167,23195,33093
28564,23195,33119
29049,23195,33074
29612,23195,33189
30244,23196,33124
30836,23191,33228
31366,23188,32799
31700,23183,33055
31892,23183,33125
32024,23175,33117
32133,23172,33259
32182,23181,33085
32220,23175,33105
32288,23182,33061
32300,23189,32983
32334,23180,33057
32316,23175,33092
32320,23175,33227
32375,23175,33085
32404,23175,32941
32488,23173,33081
32557,23170,33023
32614,23175,33101
32596,23175,33001
32572,23180,33079
32600,23175,33068
32641,23183,33212
32572,23181,33081
32473,23175,33175
32480,23172,33049
32520,23172,33127
32588,23170,32655
32645,23171,32967
32681,23175,32996
32760,23177,32930
32812,23175,33019
32816,23173,33059
32844,23173,33109
32872,23166,33095
32879,23161,33143
32890,23165,32933
32960,23166,33063
33054,23163,33129
33028,23174,33107
33029,23171,33245
33033,23165,32691
33080,23167,33180
33137,23164,33026
33100,23162,32999
33048,23161,33031
33060,23159,33069
33100,23163,33222
33133,23160,33058
33129,23169,33157
33120,23175,32869
33164,23167,33015
33188,23164,33126
33156,23165,32967
33164,23157,32975
33180,23162,32710
33245,23161,33073
33260,23159,32895
33301,23159,32831
33404,23167,32815
33485,23171,32847
33508,23165,32985
33509,23159,32797
33559,23156,32709
33576,23154,32440
33631,23156,32677
33648,23156,32553
33716,23153,32821
33748,23159,32694
33813,23152,32805
33840,23157,32331
33813,23162,32633
33752,23163,32797
33740,23155,32287
33780,23154,32593
33829,23147,32580
33861,23147,32505
33968,23150,32298
34078,23151,32495
34160,23165,32601
34190,23159,32636
34252,23155,32487
34260,23153,32598
34284,23151,32614
34278,23151,32724
34268,23146,32597
34282,23145,32713
34322,23151,32300
34348,23149,32412
34384,23150,32153
34388,23151,32456
34292,23150,32187
34136,23148,32437
34036,23147,32485
33948,23151,32493
33969,23137,32519
33972,23141,32459
33936,23143,32407
33941,23145,32281
33932,23151,32421
33892,23143,32369
33774,23155,32424
33684,23146,32311
33581,23148,32296
33536,23143,32255
33508,23142,32257
33421,23143,32284
33308,23149,32231
33308,23141,31916
33285,23146,32159
33228,23148,32037
33125,23143,32135
32978,23143,31967
32865,23143,32013
32780,23140,32068
32708,23140,32103
32666,23141,32183
32637,23140,32103
32620,23142,32179
32592,23144,32055
32576,23149,32173
32477,23143,32052
32421,23138,32169
32380,23142,32030
32260,23141,32165
32215,23141,32028
32186,23136,32113
32153,23139,31999
32120,23149,32007
32109,23143,31995
32144,23143,32061
32142,23149,31981
32109,23141,32121
32013,23133,31932
31916,23143,31867
31879,23135,31751
31913,23135,31775
31996,23135,31876
32072,23139,31887
32054,23143,31875
31998,23143,31770
31952,23149,31629
31912,23143,31863
31868,23139,31527
31808,23139,31973
31812,23127,31915
31841,23131,31607
31865,23135,31887
31944,23131,31896
31993,23131,31924
32013,23135,31743
31992,23142,31645
31976,23140,32020
31988,23135,31889
31996,23127,31804
32028,23125,31789
32052,23131,31555
32112,23122,32022
32148,23131,31829
32161,23129,31556
32181,23143,31973
32224,23128,31835
32197,23135,31715
32148,23133,31887
32149,23132,31887
32184,23122,32027
32229,23127,31885
32292,23119,31958
32376,23123,31479
32464,23120,31987
32532,23125,31881
32525,23123,31903
32473,23127,31824
32428,23127,31789
32412,23125,31767
32396,23125,31835
32380,23119,31953
32421,23122,31811
32489,23126,31982
32589,23124,31839
32584,23127,31797
32567,23123,31644
32502,23125,31431
32417,23122,31919
32374,23122,31781
32413,23111,31805
32413,23116,31785
32440,23110,31885
32493,23113,31733
32592,23121,31695
32644,23127,31621
32628,23121,31495
32624,23123,31874
32616,23121,31692
32620,23114,31810
32636,23114,31666
32617,23111,31616
32640,23111,31564
32656,23120,31623
32653,23111,31716
32673,23123,31677
32660,23115,31644
32658,23114,31644
32632,23111,31643
32572,23111,31737
32608,23109,31647
32676,23111,31751
32733,23109,31639
32764,23114,31645
32748,23108,31552
32704,23111,31468
32677,23113,31708
32642,23127,31632
32598,23109,31591
32558,23108,31479
32581,23108,31341
32630,23105,31769
32684,23101,31665
32725,23113,31645
32720,23110,31589
32682,23111,31604
32620,23118,31565
32661,23119,31623
32636,23113,31544
32552,23111,31391
32508,23111,31707
32556,23103,31709
32644,23105,31867
32724,23103,31740
32741,23109,31747
32685,23111,31693
32676,23114,31733
32644,23107,31785
32564,23103,31845
32548,23101,31716
32604,23101,31644
32624,23099,31557
32612,23103,31815
32628,23104,31821
32657,23109,31936
32676,23103,31821
32621,23105,32007
32613,23104,31873
32584,23107,32019
