ECG,EDA,RR
32256,34759,37719
32453,34702,37588
32669,34663,37655
32744,34652,37639
32672,34619,37668
32574,34629,37612
32440,34628,37711
32360,34677,37703
32340,34735,37357
32405,34741,37669
32644,34804,37501
32861,34717,37588
33020,34671,37779
33076,34647,37732
33070,34631,37575
32892,34645,37428
32692,34676,37565
32584,34703,37548
32636,34748,37501
32878,34762,37657
33088,34754,37555
33327,34721,37460
33453,34737,37412
33409,34713,37203
33204,34701,37447
33013,34716,37463
33004,34745,37402
32865,34781,37398
32784,34823,37411
32884,34836,37415
33048,34821,37370
33244,34788,37255
33396,34764,37337
33414,34727,37345
33425,34719,37373
33268,34725,37372
33040,34736,37336
33008,34793,37383
32929,34823,37343
32940,34845,37255
33104,34821,37255
33312,34799,37285
33372,34780,37233
33410,34739,36759
33340,34719,37164
33132,34729,37151
32884,34767,37219
32744,34799,37199
32616,34820,37117
32632,34851,37063
32748,34823,36981
32757,34792,36988
32862,34741,36997
32994,34707,36961
33016,34689,36932
32765,34716,37045
32492,34729,36863
32332,34764,36880
32216,34820,36855
32310,34815,36845
32460,34793,36798
32536,34775,36887
32464,34738,36904
32413,34719,36825
32361,34695,36709
32220,34709,36721
32052,34721,36772
31884,34781,36932
31876,34797,36895
32021,34783,36743
32156,34796,36813
32204,34761,36855
32354,34751,36871
32460,34695,36855
32405,34693,36831
32213,34708,36791
32008,34727,36777
31816,34730,36775
31856,34763,36580
31976,34788,36439
32096,34771,36413
32284,34759,36388
32448,34729,36398
32621,34689,36421
32486,34684,36340
32236,34677,36359
32079,34721,36397
32058,34743,36311
31996,34761,36306
32000,34775,36346
32056,34761,36279
32266,34735,36345
32393,34749,36353
32493,34717,36335
32438,34711,36116
32260,34733,36300
32101,34725,36268
31992,34742,36265
31993,34785,36246
32056,34807,36185
32193,34788,35703
32444,34761,36155
32624,34694,36100
32564,34658,35927
32361,34719,36173
32204,34733,36168
32072,34759,36112
31956,34797,36076
31884,34833,36069
31920,34853,36031
32085,34834,35920
32340,34806,35881
32477,34764,35789
32508,34719,35732
32336,34718,35757
32092,34716,35673
31916,34717,35647
31802,34751,35203
31772,34756,35637
31936,34847,35607
32256,34813,35532
32485,34772,35469
32380,34731,35516
32276,34693,35471
32253,34677,35439
32084,34695,35359
31921,34705,35236
31805,34743,35269
31864,34765,35249
32104,34771,35155
32337,34764,35136
32498,34732,34981
32556,34695,34948
32540,34719,35187
32409,34716,34991
32200,34692,34936
31905,34745,34931
31807,34783,34863
31854,34841,34917
31988,34845,34801
32096,34831,34751
32265,34801,34725
32437,34741,34355
32328,34695,34681
32141,34677,34251
32068,34708,34284
31984,34725,34213
31904,34761,34355
31954,34796,34155
32108,34801,34220
32238,34775,34093
32372,34741,34470
32504,34691,34471
32552,34655,34391
32476,34716,34348
32296,34695,34531
32204,34763,34487
32127,34768,34398
32178,34792,34286
32312,34823,34228
32448,34796,34186
32553,34759,34181
32576,34715,34137
32717,34660,33772
32728,34653,34169
32596,34668,34151
32382,34767,34131
32132,34803,34103
32096,34797,34015
32224,34807,33927
32281,34788,33855
32390,34750,33845
32551,34716,33955
32605,34695,34013
32500,34703,34039
32296,34693,33951
32192,34695,33791
32193,34740,33429
32256,34775,33381
32376,34783,33393
32612,34779,33316
32820,34740,33703
32872,34669,33639
32772,34671,33561
32612,34655,33479
32492,34663,33469
32388,34770,33660
32346,34775,33449
32312,34799,33236
32337,34789,33413
32508,34764,33389
32726,34735,33171
32882,34751,33423
32924,34724,33303
32732,34711,33135
32494,34731,33159
32416,34756,32950
32416,34785,33066
32337,34801,32796
32396,34815,32986
32496,34789,32923
32589,34764,32715
