ECG,EDA,RR
32908,43375,41628
33120,43381,41605
33216,43244,41677
33192,43316,41780
33280,43305,41635
33236,43263,41641
33231,43356,41497
33213,43383,41767
33172,43391,41641
33125,43396,41404
33352,43487,41645
33780,43380,41595
33615,43417,41631
33182,43321,41742
33169,43327,41671
33241,43347,41555
33239,43335,41863
33202,43383,41887
33036,43490,41745
32868,43443,41344
32912,43449,41730
33160,43469,41732
33377,43439,41791
33469,43399,41775
33436,43383,41727
33538,43439,41740
33581,43431,41935
33384,43429,42055
32989,43495,41926
32968,43509,41705
33052,43577,41895
33200,43492,41967
33309,43476,41831
33256,43466,42114
33184,43431,42206
33228,43492,42075
33156,43461,41686
33096,43484,41554
33068,43565,42087
33112,43572,42141
33088,43556,42204
33181,43615,42220
33260,43511,42277
33423,43527,42125
33558,43484,42311
33586,43483,42399
33580,43477,42435
33440,43472,42413
33270,43645,42583
33158,43652,42512
33120,43598,42543
33249,43647,42527
33344,43629,42569
33552,43559,42106
33580,43540,42195
33665,43399,42592
33416,43591,42693
33176,43564,42717
33132,43655,42750
33164,43647,42759
33373,43743,42660
33248,43671,42935
33202,43652,42887
33376,43594,42831
33560,43628,42901
33644,43559,42839
33509,43639,43015
33406,43655,43045
33326,43691,42952
33236,43733,42953
33136,43715,42887
33412,43765,43015
33656,43741,42979
33532,43713,42996
33088,43684,43063
33124,43611,43065
33316,43685,43141
33444,43689,43059
33144,43687,42975
32837,43823,42559
32757,43741,42789
32892,43815,43015
33060,43775,43084
33262,43693,42927
33376,43633,43045
33448,43719,43167
33286,43695,43044
33180,43687,43015
33061,43822,43108
32912,43869,43061
32872,43871,43029
33156,43800,43190
33404,43743,43143
33447,43724,42959
33376,43716,43140
33248,43777,42997
33310,43701,43180
33260,43815,43055
33111,43861,42725
32822,43895,42622
32648,43856,43156
32556,43901,42964
32398,43871,43119
32400,43851,43215
32556,43767,43156
32814,43741,42717
32748,43751,42598
32644,43863,43158
32622,43893,42983
33001,43947,43014
33673,43911,43053
34472,43863,43219
35560,43935,43215
36708,43841,43036
37640,43823,42639
38192,43860,43150
38448,43863,42992
38792,43861,43072
39233,43985,43159
39384,43983,42824
39060,43969,43069
37700,43966,43140
36448,43924,43010
35468,43895,43111
34552,43842,43005
33876,43922,43001
33273,43919,43119
32848,43887,43175
32426,43933,43085
32348,44033,42925
32500,44027,43045
32422,43981,43097
32328,44015,43143
32408,43955,43020
32418,43943,43185
32488,43919,43228
32421,43896,43044
32300,43852,42701
32032,44063,43169
31944,44100,43201
31964,44053,43173
32032,44015,43167
32225,43972,43075
32337,43969,43063
32340,43983,43116
32374,43969,43241
32544,43997,43333
32480,44004,43254
32066,44108,43292
31912,44071,43271
32086,44127,43125
32273,44109,43185
32173,44052,43315
32146,44028,43264
32373,43972,43395
32665,44053,43015
32581,44077,42868
32572,44115,42834
32592,44108,42843
32306,44116,42855
32110,44165,43213
32193,44087,43416
32429,44065,43383
32577,44028,43391
32609,44015,43404
32604,44092,43481
32522,44095,43331
32428,44103,43472
32273,44039,43549
32320,44159,43572
32260,44255,43582
32357,44240,43143
32548,44124,43580
32765,44159,43535
33029,44120,43512
32984,44113,43647
32858,44135,43703
32476,44143,43684
32384,44098,43662
32500,44197,43709
32453,44159,43559
32304,44295,43263
32431,44201,43815
32820,44135,43852
33000,44189,43892
33094,44159,43717
32940,44233,43907
32932,44219,43903
32856,44279,43678
32840,44295,44039
32552,44290,44063
32288,44248,44039
32412,44310,43935
32836,44199,43999
33189,44151,44095
33013,44231,44159
32965,44211,44172
32908,44245,44228
32744,44279,44241
32488,44235,44244
32528,44388,44239
32744,44383,44255
32864,44350,44248
33136,44238,44237
33270,44268,44340
33548,44263,44345
33412,44253,44294
33240,44287,44324
32793,44379,44417
32660,44391,44367
32772,44423,44332
32944,44362,44337
33128,44236,44413
33316,44367,44440
33369,44337,44453
33336,44263,44469
33324,44343,44436
33335,44379,44403
33237,44415,44413
33220,44399,44452
33316,44446,44504
33543,44383,44415
33580,44364,44399
33500,44404,44327
33492,44354,44423
33525,44396,44480
