ECG,EDA,RR
32808,3350,29412
32812,3356,29776
32864,3369,29614
32968,3214,29761
33008,3155,29817
33064,3088,29764
33012,3143,29860
32900,3248,29828
32808,3231,29741
32684,3354,29918
32628,3521,29736
32552,3344,30052
32552,3303,29949
32616,3380,29910
32732,3144,30089
32796,3165,30008
32828,3114,29925
32800,3200,30092
32728,3234,30082
32700,3337,30196
32708,3385,30092
32804,3325,29940
32956,3295,30281
33056,3281,30116
33073,3112,30072
33061,3122,30176
33024,3191,30140
32893,3185,30193
32724,3263,30258
32564,3499,30188
32548,3386,30264
32552,3359,30207
32613,3363,30141
32729,3219,30304
32828,3143,30417
32932,3173,30292
32944,3100,30103
32888,3182,30492
32804,3289,30341
32720,3315,30421
32633,3367,30466
32624,3353,30403
32708,3348,30464
32812,3222,30432
32900,3151,30620
32993,3171,30536
33002,3103,30552
32952,3204,30528
32892,3316,30591
32824,3336,30589
32736,3413,30660
32708,3320,30682
32788,3290,30673
32908,3268,30690
33024,3119,30521
33116,3114,30916
33116,3183,30681
33044,3178,30834
32932,3315,30858
32744,3354,30769
32512,3452,30956
32260,3367,30776
32177,3391,30967
32384,3239,30764
32869,3244,31072
33724,3102,30869
34874,3171,31054
36312,3164,30960
37900,3267,31206
39728,3312,31068
41684,3377,30949
43436,3369,31269
44880,3441,31028
46206,3230,31201
47336,3252,31111
48032,3103,31356
48084,3199,31239
46792,3172,31164
43264,3257,31116
38056,3401,30964
32652,3362,31300
28292,3371,31300
25206,3359,31222
23156,3222,31201
22338,3155,31300
22715,3091,31342
23896,3141,31268
25200,3165,31447
26357,3268,31367
27392,3375,31356
28284,3384,31428
29280,3402,31380
30248,3284,31106
31024,3267,31389
31668,3126,31473
32044,3125,31370
32192,3169,31305
32196,3201,31388
32104,3275,31384
32044,3428,31500
32016,3376,31325
32036,3355,31290
32150,3357,31428
32288,3213,31364
32464,3153,31420
32596,3170,31291
32648,3139,31373
32624,3238,31405
32572,3234,31365
32545,3349,31404
32528,3424,31409
32532,3322,31564
32648,3299,31465
32768,3234,31577
32892,3121,31380
33000,3128,31528
33044,3173,31573
32988,3156,31492
32906,3267,31284
32844,3373,31724
32784,3346,31594
32796,3365,31543
32868,3275,31615
32964,3222,31815
33085,3202,31630
33188,3085,31716
33188,3144,31652
33160,3238,31628
33104,3239,31813
33016,3359,31712
32964,3486,31860
32992,3341,31744
33060,3306,31670
33132,3206,31836
33216,3131,31740
33286,3115,31911
33344,3107,31746
33312,3184,31691
33220,3340,31781
33140,3358,31776
33104,3423,31807
33108,3329,31732
33160,3299,31668
33284,3287,31633
33396,3128,31725
33476,3145,31686
33508,3127,31756
33472,3208,31716
33388,3245,31626
33284,3403,31796
33223,3385,31630
33244,3409,31697
33276,3297,31592
33389,3308,31814
33508,3138,31732
33600,3090,31652
33624,3144,31486
33596,3224,31824
33528,3223,31724
33464,3355,31868
33384,3418,31711
33376,3324,31670
33472,3289,31864
33584,3297,31795
33680,3115,31808
33760,3114,31745
33772,3111,31868
33724,3202,31816
33652,3237,31990
33572,3357,31924
33524,3452,31644
33540,3348,32097
33624,3336,31949
33728,3213,32069
33816,3146,32079
33921,3073,32144
33932,3125,32143
33888,3300,32111
33808,3251,32332
33696,3377,32212
33600,3357,32049
33596,3363,32393
33645,3403,32336
33716,3239,32025
33704,3191,32430
33784,3102,32381
33756,3165,32180
33654,3171,32628
33512,3295,32433
33372,3315,32193
33236,3396,32653
33185,3330,32564
33184,3300,32557
33216,3240,32497
33232,3121,32637
33224,3106,32783
33164,3194,32660
33064,3167,32660
32916,3261,32804
32788,3321,32760
32664,3415,32798
32592,3332,32873
32608,3288,32788
32664,3264,32784
32728,3119,32753
32760,3120,32913
32736,3195,33072
32664,3178,32949
32576,3308,32718
32468,3317,33201
32346,3373,33080
32268,3401,32948
32273,3259,33282
32352,3221,33188
32352,3231,33147
32384,3099,33351
32341,3142,33292
32204,3252,33295
32060,3223,33225
31916,3335,33216
31824,3370,33540
31789,3408,33486
31829,3268,33556
31880,3219,33536
31928,3168,33640
31941,3088,33596
31912,3120,33620
31832,3185,33575
31704,3299,33684
31608,3316,33884
31512,3380,33828
31500,3372,33817
31520,3259,33950
31598,3240,33968
31676,3182,33734
31728,3099,34184
31718,3156,34073
31670,3166,34068
31584,3265,34286
31524,3323,34199
31476,3370,34224
31448,3360,34176
31500,3269,34236
31592,3223,34341
31697,3154,34031
31780,3173,34527
31796,3105,34444
31796,3196,34652
31712,3268,34517
31634,3323,34736
31556,3372,34599
31580,3391,34624
31681,3272,34796
31786,3244,34724
31884,3111,34933
31964,3105,34833
32000,3207,34937
31929,3163,34870
31888,3245,34908
31824,3416,34836
31761,3343,34736
31778,3365,35183
31870,3268,35079
31968,3225,35132
32087,3175,34995
32152,3084,34917
32172,3122,35335
32108,3236,35213
32064,3246,35204
31976,3375,35384
31944,3350,35292
31968,3373,35271
32052,3267,35335
32168,3241,35384
32286,3188,35429
32368,3087,35281
32372,3143,35068
32352,3163,35624
32260,3268,35460
32184,3352,35495
32132,3343,35574
32124,3362,35554
32192,3354,35606
32304,3195,35569
32416,3135,35501
32528,3165,35735
32544,3102,35685
32500,3181,35716
32420,3287,35676
32324,3321,35535
32270,3376,35901
32284,3329,35744
32370,3291,35805
32448,3197,35812
32516,3141,36007
32576,3083,35871
32604,3140,35623
32560,3267,36065
32488,3231,35914
32420,3344,35780
32376,3343,36132
32368,3347,36024
32436,3347,36054
32544,3231,36201
32584,3117,36098
32656,3105,35872
32680,3102,36236
32612,3220,36242
32576,3235,36231
32504,3328,36408
32412,3363,36308
32404,3412,36381
32456,3299,36209
32569,3286,36358
32652,3117,36428
32708,3117,36276
32736,3104,36429
32688,3196,36540
32596,3258,36457
32492,3439,36648
32421,3369,36516
32422,3378,36564
32484,3264,36453
32572,3220,36541
32676,3229,36688
32737,3111,36560
32732,3171,36580
32680,3162,36566
32584,3269,36280
32504,3344,36656
32448,3422,36410
32452,3325,36825
32536,3301,36695
32616,3234,36837
32678,3199,36751
32720,3073,36749
32744,3139,36729
32704,3206,36679
32632,3236,36801
32496,3340,36795
32440,3391,36879
32440,3324,36660
32516,3294,36397
32604,3206,36964
32688,3129,36854
32762,3116,36919
32745,3235,36812
32692,3171,36465
32620,3268,36999
32544,3452,36844
32440,3364,36830
32428,3365,36863
32516,3269,36464
32588,3238,36850
32684,3193,36892
32736,3090,36980
32764,3143,36748
32724,3163,36903
32632,3277,36536
32536,3318,36967
32480,3366,36780
32476,3428,36881
32536,3286,36884
32641,3260,36932
32732,3109,36871
32792,3099,36784
32792,3182,36852
32730,3163,36404
32680,3246,36871
32585,3352,36661
32500,3362,36680
32512,3354,36766
32568,3360,36680
32684,3202,36416
32753,3152,36830
32868,3133,36785
32884,3109,36732
32832,3161,36780
32748,3254,36732
32641,3392,36676
32608,3341,36736
32608,3351,36719
32640,3310,36800
32700,3194,36705
32800,3133,36647
32863,3083,36816
32840,3123,36629
32784,3254,36249
32728,3246,36724
32660,3379,36509
32576,3349,36248
32576,3345,36748
32636,3299,36332
32716,3256,36764
32829,3111,36644
32908,3110,36716
32904,3216,36566
32836,3197,36213
32778,3278,36777
32700,3319,36637
32628,3381,36580
32620,3366,36536
32680,3259,36652
32752,3227,36596
32837,3169,36577
32900,3082,36548
32928,3108,36485
32864,3192,36631
32780,3358,36749
32704,3354,36573
32645,3393,36596
32628,3321,36487
32688,3280,36654
32776,3293,36615
32852,3138,36607
32900,3261,36652
32917,3138,36598
32892,3219,36585
32812,3229,36636
32744,3397,36608
32700,3344,36525
32768,3326,36639
32825,3287,36624
32929,3307,36628
33044,3141,36712
33120,3168,36660
33132,3117,36800
33068,3203,36684
32960,3235,36728
32880,3357,36625
32844,3384,36692
32860,3320,36727
32908,3291,36709
33031,3189,36680
33112,3140,36708
33128,3077,36719
33084,3144,36669
32976,3170,36581
32872,3257,36340
32780,3397,36821
32684,3346,36670
32660,3349,36591
32665,3263,36879
32696,3217,36599
32764,3200,36720
32828,3087,36861
32868,3154,36701
32804,3364,36764
32724,3262,36709
32602,3371,36718
32552,3353,36657
32576,3319,36786
32694,3300,36719
32901,3234,36825
33000,3108,36676
33048,3108,36796
32992,3159,36701
32868,3164,36796
32752,3259,36692
32654,3352,36693
32512,3520,36623
32488,3335,36670
32546,3288,36552
32644,3196,36711
32805,3133,36811
32908,3105,36713
32921,3183,36712
32872,3166,36556
32756,3262,36440
32684,3409,36820
32628,3377,36693
32620,3370,36799
32676,3263,36653
32756,3223,36478
32865,3112,36812
32964,3113,36592
33021,3107,36606
32992,3220,36620
32892,3266,36758
32812,3321,36553
32764,3372,36245
32808,3326,36530
32868,3345,36690
32936,3215,36588
33032,3110,36503
33108,3185,36508
33144,3142,36540
33104,3252,36445
32988,3258,36615
32880,3318,36444
32749,3386,36474
32596,3330,36487
32504,3396,36453
32584,3219,36366
32896,3111,36519
33536,3127,36584
34440,3109,36332
35648,3289,36431
37092,3269,36216
38697,3407,36556
40512,3344,36329
42280,3351,36040
43820,3254,36320
45048,3236,36504
46180,3089,36192
47104,3113,36351
47440,3098,36061
46916,3234,35964
44984,3231,36319
40740,3387,36409
35453,3350,36164
30340,3388,36242
26674,3278,36168
24068,3234,36052
22688,3208,36172
22432,3107,36127
23212,3110,36265
24480,3213,36178
25772,3248,36028
26916,3359,36100
27876,3430,36040
28860,3342,36092
29892,3300,35960
30732,3209,35998
31432,3188,35872
31940,3099,36070
32156,3179,35745
32216,3204,35865
32169,3237,35477
32132,3350,35698
32086,3341,35876
32116,3342,35652
32220,3326,35444
32380,3202,35716
32528,3144,35428
32624,3161,35188
32664,3120,35537
32612,3307,35631
32588,3271,35308
32528,3460,35396
32480,3382,35394
32529,3519,35063
32670,3288,35300
32760,3197,35468
32846,3144,35293
32942,3081,35156
32985,3155,35249
32916,3172,35219
32860,3269,35364
32808,3322,35175
32768,3374,35199
32800,3367,35141
32876,3259,35279
32992,3225,35156
33084,3106,35112
33160,3124,35148
33168,3108,35008
33132,3199,35276
33044,3303,34964
32972,3321,35108
32928,3406,34769
32973,3325,35049
33012,3320,35137
33112,3221,35180
33204,3193,35000
33256,3101,34874
33273,3287,34983
33248,3202,34900
33164,3242,35052
33100,3340,34790
33044,3426,34890
33088,3335,34780
33164,3379,34902
33264,3210,34708
33340,3219,34410
33436,3114,34720
33412,3179,34641
33384,3159,34670
33334,3262,34672
33268,3363,34544
33236,3337,34261
33232,3346,34674
33276,3316,34529
33372,3190,34240
33484,3133,34468
33544,3088,34598
33600,3127,34471
33544,3171,34290
33462,3272,34614
33376,3398,34509
33328,3340,34471
33340,3355,34400
33416,3298,34396
33513,3286,34548
33640,3106,34504
33700,3116,34575
33700,3249,34616
33653,3182,34575
33560,3259,34532
33500,3405,34684
33464,3341,34855
33474,3354,34753
33564,3293,34944
33644,3198,34781
33752,3135,34887
33820,3256,34980
33816,3131,34901
33765,3176,35006
33680,3251,35060
33612,3399,35094
33532,3374,35073
33520,3348,35180
33580,3256,35236
33624,3232,35293
33708,3172,35206
33748,3075,34980
33696,3125,35408
33580,3244,35311
33444,3263,35463
33312,3474,35124
33216,3374,35685
33160,3398,35508
33168,3247,35345
33193,3226,35709
33248,3107,35522
33264,3119,35289
33200,3204,35729
33092,3203,35616
32956,3293,35369
32808,3330,35792
32672,3368,35806
32630,3411,35829
32640,3285,35820
32696,3367,35988
32756,3124,35884
32744,3163,35956
32728,3115,35876
32640,3199,35901
32536,3243,36128
32420,3363,35980
32316,3395,36028
32309,3317,36140
32348,3280,36036
32396,3293,36057
32413,3114,36028
32404,3122,35752
32352,3278,36056
32244,3166,36133
32128,3266,36187
31980,3361,36190
31880,3465,36077
31868,3311,35972
31852,3295,36399
31936,3233,36260
31976,3110,36236
31996,3105,36353
31928,3136,36343
31812,3261,36393
31708,3236,36228
31584,3349,36385
31492,3422,36412
31460,3319,36276
31536,3282,36412
31596,3296,36524
31684,3134,36447
31716,3156,36470
31716,3110,36420
31652,3203,36623
31557,3242,36460
31499,3363,36168
31424,3412,36549
31400,3317,36388
31470,3278,36476
31604,3296,36644
31732,3100,36524
31808,3106,36569
31808,3138,36533
31752,3257,36616
31680,3241,36503
31600,3364,36601
31532,3383,36567
31546,3405,36684
31636,3253,36449
31756,3222,36580
31880,3142,36743
31948,3146,36296
31918,3103,36751
31876,3170,36240
31808,3254,36693
31726,3349,36404
31672,3393,36551
31684,3498,36639
31776,3289,36570
31920,3238,36364
32016,3278,36861
32096,3092,36680
32096,3132,36732
32044,3207,36717
31972,3294,36863
31920,3319,36730
31844,3358,36740
31844,3332,36710
31944,3290,36871
32064,3253,36740
32148,3103,36860
32248,3079,36440
32260,3139,36857
32232,3229,36718
32188,3237,36668
32124,3347,36734
32066,3336,36697
32068,3367,36724
32144,3251,36567
32264,3207,36686
32304,3111,36781
32400,3107,36652
32404,3131,36716
32356,3263,36639
32284,3237,36628
32204,3351,36536
32148,3345,36266
32164,3345,36808
32254,3312,36645
32356,3189,36615
32468,3134,36532
32516,3078,36262
32504,3130,36766
32456,3245,36621
32420,3237,36684
32348,3360,36465
32280,3336,36614
32293,3332,36648
32370,3258,36484
32460,3221,36585
32536,3099,36692
32584,3109,36508
32604,3217,36581
32556,3196,36269
32484,3376,36589
32412,3341,36654
32372,3437,36504
32364,3346,36380
32444,3326,36624
32500,3185,36525
32593,3123,36519
32656,3156,36460
32676,3103,36520
32628,3185,36359
32532,3233,36444
32436,3346,36545
32344,3445,36391
32380,3319,36070
32464,3280,36591
32545,3375,36417
32624,3209,36260
32680,3091,36184
32684,3143,36492
32596,3169,36391
32520,3271,36337
32396,3425,36516
32332,3374,36296
32340,3381,36340
32436,3249,36482
32580,3218,36212
32673,3101,36344
32725,3108,36448
32724,3160,36279
32680,3168,36236
32596,3270,36296
32484,3324,36225
32412,3370,36256
32432,3315,36228
32516,3285,36358
32586,3275,36181
32617,3120,35810
32684,3159,36228
32716,3137,36215
32648,3235,36193
32572,3229,36196
32492,3337,36046
32436,3409,35778
32456,3325,36284
32480,3288,36125
32576,3180,36048
32624,3135,36132
32696,3163,36060
32736,3105,36101
32656,3199,35968
32568,3313,35617
32465,3343,36037
32424,3399,35845
32432,3321,35951
32556,3280,35951
32680,3184,35940
32744,3116,35880
32788,3145,35885
32792,3111,35880
32724,3197,35805
32636,3406,35764
32576,3342,35797
32508,3379,35780
32516,3311,35780
32576,3277,35591
32700,3241,35503
32792,3099,35720
32906,3098,35711
32916,3167,35632
32908,3276,35526
32852,3237,35621
32797,3322,35613
32724,3379,35629
32720,3348,35636
32768,3313,35671
32836,3183,35532
32956,3128,35324
32996,3114,35788
33032,3107,35716
32980,3203,35670
32892,3327,35868
32756,3335,35786
32672,3382,35936
32632,3391,35829
32660,3282,35702
32737,3269,36063
32800,3118,35927
32822,3111,35940
32788,3231,35948
32644,3171,36032
32540,3267,35975
32485,3393,36072
32448,3340,36220
32452,3342,36184
32560,3340,36359
32680,3188,36270
32802,3121,36327
32900,3188,36280
32980,3148,36445
32988,3334,36429
32901,3276,36631
32768,3429,36576
32644,3356,36615
32620,3374,36535
32632,3253,36669
32640,3204,36885
32664,3099,36726
32744,3104,36448
32760,3199,36996
32696,3191,36904
32616,3311,36931
32600,3327,36927
32574,3362,36732
32596,3387,37133
32656,3249,37105
32712,3208,37324
32797,3091,37184
32868,3116,36880
32852,3107,37428
32805,3207,37346
32724,3306,37380
32636,3328,37432
32588,3361,37465
32620,3390,37604
32724,3252,37511
32848,3206,37544
32948,3094,37696
33012,3108,37624
33036,3216,37633
32996,3178,37568
32912,3270,37635
32856,3402,37704
32804,3355,37799
32780,3371,37966
32788,3254,37822
32824,3198,37919
32788,3174,37873
32736,3113,37950
32644,3248,38007
32764,3189,38090
33100,3238,38052
33768,3362,38151
34808,3423,38049
36248,3314,37704
37952,3283,38321
39848,3180,38157
41856,3135,38152
43540,3179,38344
44752,3105,38254
45676,3216,38416
46432,3229,38302
46752,3343,38466
46488,3391,38342
45096,3311,38272
41820,3295,38532
36885,3231,38412
31724,3235,38404
27609,3109,38336
24748,3146,38020
22848,3236,38336
22160,3255,38020
22584,3338,38438
23728,3370,38497
25169,3380,38586
26457,3266,38468
27660,3207,38535
28716,3167,38481
29788,3086,38560
30616,3110,38489
31220,3189,38533
31684,3329,38336
31888,3334,38438
31968,3360,38592
32010,3403,38414
32104,3263,38535
32216,3205,38375
32320,3160,38492
32428,3084,38320
32496,3138,38362
32473,3227,38200
32416,3237,37943
32364,3346,38124
32369,3488,38032
32388,3329,38300
32524,3321,38009
32654,3183,38144
32808,3148,38085
32888,3081,38204
32921,3144,38068
32904,3207,38160
32876,3244,37933
32808,3367,37648
32748,3407,38188
32758,3309,37988
32828,3288,37989
32941,3269,38116
