ECG,EDA,RR
32384,8033,24684
32424,8065,24721
32420,8155,24582
32348,8190,24701
32280,8328,24832
32208,8479,24576
32188,8347,24606
32216,8266,24628
32276,8209,24752
32420,8134,24686
32536,8056,24658
32540,8122,24790
32426,8129,24858
32320,8242,24652
32268,8308,24800
32276,8381,24774
32357,8324,24836
32464,8299,24636
32608,8270,24778
32714,8109,24929
32852,8104,24652
32876,8052,24802
32852,8153,24916
32720,8192,24690
32628,8319,24826
32600,8351,24906
32644,8340,24719
32716,8327,24839
32809,8188,24961
32824,8122,24703
32836,8028,24839
32796,8067,24988
32672,8169,24745
32516,8196,24681
32356,8362,24759
32276,8354,24772
32288,8365,24912
32384,8349,24772
32493,8193,24965
32661,8085,24724
32746,8100,24815
32817,8054,24897
32862,8140,24850
32809,8303,24865
32652,8311,25052
32524,8369,24781
32477,8391,24948
32528,8265,25108
32673,8206,24865
32840,8125,25060
32972,8029,25152
33032,8079,24885
32960,8256,24981
32848,8218,25012
32704,8353,25143
32556,8342,25076
32480,8351,25104
32516,8334,25035
32624,8192,25216
32752,8119,25288
32832,8114,25177
32840,8060,25280
32720,8125,25446
32602,8234,25244
32468,8397,25408
32384,8378,25520
32408,8400,25293
32568,8288,25486
32753,8224,25404
32896,8076,25560
32981,8069,25593
32970,8146,25513
32880,8151,25648
32808,8263,25647
32737,8321,25706
32688,8382,25733
32672,8333,25720
32788,8273,25693
32910,8222,25980
32992,8081,25694
33064,8125,25801
33056,8069,25876
33008,8115,26008
32929,8247,26064
32796,8315,26097
32764,8404,26196
32740,8333,26071
32830,8331,26092
32870,8185,26191
32792,8122,26312
32600,8050,26452
32276,8192,26177
32088,8132,26361
32156,8200,26268
32536,8344,26404
33232,8362,26422
34405,8333,26464
36104,8303,26548
37988,8191,26701
40172,8138,26826
42469,8028,26676
44472,8081,26821
46220,8124,26967
47944,8241,26688
49328,8412,26836
50152,8397,26904
49880,8426,27013
48096,8272,27173
43464,8226,26910
37880,8094,26964
32396,8089,26981
28124,8100,27037
25060,8190,27193
23022,8236,27242
22236,8388,27189
22812,8393,27282
24040,8395,27441
25396,8304,27336
26608,8247,27228
27722,8113,27392
28652,8100,27421
29509,8067,27287
30312,8177,27458
30944,8221,27430
31348,8367,27339
31584,8356,27599
31740,8389,27263
31864,8276,27473
32021,8260,27630
32132,8109,27287
32216,8103,27404
32276,8054,27661
32249,8164,27308
32224,8220,27548
32160,8340,27662
32112,8393,27460
32176,8365,27582
32284,8325,27426
32368,8186,27600
32485,8101,27591
32614,8108,27592
32652,8063,27582
32616,8142,27716
32548,8297,27448
32488,8339,27652
32452,8386,27845
32512,8468,27621
32572,8287,27711
32692,8175,27767
32828,8117,27800
32872,8110,27934
32860,8066,27690
32832,8182,27844
32732,8217,27969
32661,8357,27685
32592,8391,27929
32604,8336,28013
32688,8291,28001
32832,8325,28125
32949,8087,27839
33056,8081,27974
33087,8066,28163
33076,8164,27896
32988,8263,28100
32885,8321,28275
32809,8385,28149
32814,8338,28225
32876,8316,27954
32984,8182,28134
33108,8094,28357
33228,8127,28138
33300,8088,28278
33332,8196,28391
33244,8225,28236
33176,8356,28320
33124,8506,28256
33148,8358,28517
33217,8321,28281
33309,8182,28426
33384,8107,28313
33484,8100,28510
33472,8062,28488
33416,8169,28521
33348,8221,28462
33296,8369,28607
33256,8482,28560
33292,8368,28708
33404,8270,28460
33488,8205,28688
33588,8185,28758
33644,8078,28818
33696,8132,28745
33685,8137,28902
33588,8251,28793
33516,8330,28949
33488,8410,28935
33500,8348,29080
33596,8319,29004
33724,8188,29280
33844,8122,29054
33940,8036,29268
33952,8087,29152
33900,8142,29469
33848,8246,29301
33764,8391,29172
33722,8391,29433
33732,8341,29518
33829,8295,29532
33968,8184,29448
34020,8099,29689
34084,8114,29428
34040,8073,29703
33988,8180,29796
33916,8230,29742
33789,8362,29866
33720,8357,29888
33684,8377,29959
33732,8279,29824
33796,8256,29929
33828,8095,29988
33804,8108,30112
33709,8075,30308
33580,8161,30104
33460,8317,30249
33288,8351,30399
33248,8398,30180
33224,8396,30380
33244,8269,30300
33254,8220,30365
33240,8078,30455
33264,8072,30560
33224,8077,30588
33100,8160,30727
32940,8239,30672
32800,8354,30607
32690,8413,30652
32665,8339,30756
32660,8301,30955
32696,8266,30626
32675,8114,30852
32664,8081,30876
32600,8150,31073
32476,8135,31001
32312,8274,30778
32116,8387,31049
31974,8363,31142
31908,8381,31140
31944,8271,31313
31976,8209,31212
31993,8086,31185
31972,8081,31312
31888,8140,31056
31792,8155,31261
31644,8270,31500
31504,8341,31444
31384,8407,31415
31268,8351,31441
31360,8399,31496
31450,8209,31541
31512,8082,31596
31546,8070,31671
31517,8077,31708
31412,8169,31800
31288,8288,31622
31192,8342,31768
31108,8411,31941
31136,8337,31610
31218,8307,31949
31320,8238,31895
31368,8081,31956
31400,8086,32020
31400,8074,32156
31348,8183,32144
31361,8306,32126
31324,8344,32284
31284,8389,32151
31320,8396,32348
31372,8286,32519
31448,8221,32356
31557,8084,32487
31648,8084,32580
31680,8141,32535
31612,8149,32636
31509,8261,32527
31456,8411,32812
31424,8370,32679
31488,8361,32829
31564,8311,32728
31677,8191,32953
31780,8107,32932
31860,8115,33006
31884,8080,33081
31820,8179,32800
31760,8281,33135
31724,8339,33303
31692,8429,33031
31704,8343,33257
31792,8295,33397
31908,8192,33048
32048,8109,33368
32092,8151,33580
32076,8112,33349
32032,8206,33556
31948,8239,33604
31884,8356,33589
31828,8506,33697
31884,8376,33734
31954,8382,33690
32068,8201,33710
32209,8080,33851
32264,8079,33884
32240,8082,33822
32189,8186,33928
32096,8320,34036
32032,8360,34204
32012,8498,33832
32063,8362,34073
32188,8281,34196
32276,8204,34255
32328,8080,34145
32377,8075,34310
32344,8088,34359
32269,8192,34414
32204,8307,34308
32184,8371,34533
32192,8440,34535
32208,8375,34535
32320,8276,34729
32388,8220,34396
32484,8163,34679
32557,8073,34850
32520,8169,34744
32462,8180,34520
32358,8315,34841
32236,8365,35065
32168,8444,34638
32281,8357,34885
32360,8282,35023
32468,8209,35111
32552,8090,35292
32596,8073,35018
32556,8170,35207
32452,8185,35401
32368,8251,35270
32276,8395,35324
32246,8382,35453
32273,8385,35212
32388,8354,35425
32477,8224,35602
32580,8092,35207
32632,8073,35457
32613,8092,35557
32560,8186,35561
32456,8320,35628
32377,8365,35581
32336,8442,35644
32336,8380,35800
32420,8349,35388
32484,8228,35716
32592,8181,35664
32640,8080,35685
32612,8094,35784
32516,8218,35805
32452,8270,35872
32360,8477,35892
32280,8405,35971
32305,8372,35964
32364,8347,36105
32472,8224,36005
32556,8096,36008
32604,8078,35716
32576,8093,36117
32488,8230,35730
32424,8278,36064
32410,8423,36189
32420,8415,36184
32440,8428,36152
32520,8291,36104
32628,8194,36200
32712,8126,36398
32728,8156,36001
32732,8111,36253
32668,8163,36420
32600,8294,35961
32472,8397,36400
32440,8385,36121
32460,8367,36273
32560,8275,36342
32664,8234,36396
32712,8102,36557
32772,8127,36081
32740,8112,36359
32672,8252,36436
32588,8273,36490
32460,8361,36558
32432,8471,36492
32492,8374,36512
32616,8292,36469
32728,8185,36561
32864,8114,36596
32953,8063,36771
32992,8129,36660
32916,8173,36782
32832,8302,36632
32776,8360,36708
32736,8399,36615
32792,8350,36728
32832,8292,36765
32980,8184,36828
33056,8123,36425
33088,8070,36709
32976,8146,36756
32760,8193,36701
32564,8373,36798
32408,8374,36836
32396,8453,36919
32425,8384,36877
32544,8374,36933
32608,8199,36933
32732,8092,37104
32836,8084,36804
32852,8183,37060
32788,8176,37037
32704,8348,37298
32602,8397,36996
32516,8492,37199
32476,8365,37430
32560,8278,37008
32680,8210,37329
32865,8234,37567
33008,8097,37284
33060,8185,37533
32932,8208,37430
32756,8272,37578
32640,8413,37678
32576,8382,37591
32564,8396,37824
32584,8288,37845
32652,8234,38005
32764,8080,37878
32853,8126,37858
32852,8113,38100
32820,8238,38116
32772,8293,38326
32672,8446,37797
32600,8414,38332
32628,8345,38009
32704,8324,38380
32804,8190,38460
32877,8141,38509
32964,8080,38693
32964,8175,38621
32916,8194,38828
32812,8373,38732
32716,8377,38820
32673,8385,38492
32668,8411,39048
32760,8300,38941
32873,8180,39111
32960,8114,39024
33044,8068,39244
33012,8125,38733
32948,8179,39156
32900,8299,39217
32848,8365,39292
32828,8401,39381
32804,8348,39352
32844,8288,39431
32940,8230,39431
32900,8089,39660
32772,8163,39565
32524,8128,39700
32306,8180,39625
32420,8349,39745
32744,8391,39494
33460,8393,39716
34644,8457,39772
36176,8289,39840
37950,8184,40008
39940,8103,39943
41952,8071,40113
43712,8206,40028
45072,8220,40148
46276,8288,40068
47392,8477,40244
48024,8409,39812
47892,8351,40121
46504,8308,40292
42872,8184,40168
37764,8138,40208
32456,8084,40108
28128,8151,40176
25026,8204,40188
22989,8333,40280
22184,8389,40316
22534,8437,40484
23732,8382,39980
25204,8348,40292
26548,8205,40416
27736,8097,40356
28736,8090,40455
29724,8180,40336
30488,8214,40357
31040,8317,40326
31456,8379,40502
31756,8420,40268
31952,8407,40372
32104,8299,40505
32221,8243,39861
32328,8102,40274
32412,8123,40484
32436,8109,40285
32425,8213,40311
32384,8290,40164
32368,8385,40436
32378,8472,40036
32480,8376,40264
32616,8335,40337
32741,8185,40416
32900,8107,40196
32957,8125,40272
32936,8111,40270
32872,8207,40353
32816,8287,40228
32784,8407,40292
32756,8449,40448
32812,8361,39884
32932,8352,40170
33028,8188,40320
33096,8181,40293
33132,8094,40455
33084,8112,39924
32986,8224,40287
32908,8345,40364
32848,8365,40304
32852,8400,40226
32892,8439,40197
32976,8292,40384
33084,8217,40240
33228,8093,39745
33277,8092,40212
33248,8158,40181
33184,8189,40296
33092,8313,40151
32960,8462,40148
32880,8408,40225
32877,8412,40072
32984,8274,40064
33141,8198,40005
33280,8136,39940
33374,8072,40084
33392,8129,39676
33380,8266,39905
33337,8332,40060
33256,8438,39597
33216,8388,39820
33244,8370,39665
33322,8348,39780
33400,8191,39734
33557,8158,39631
33693,8075,39724
33692,8132,39622
33604,8198,39573
33508,8350,39573
33428,8388,39564
33405,8433,39484
33438,8359,39649
33524,8332,39332
33612,8204,39333
33708,8156,39586
33744,8082,39367
33732,8152,39407
33684,8197,39421
33640,8336,39156
33612,8380,39260
33628,8420,39452
33688,8356,39084
33805,8293,39228
33916,8247,39312
33992,8095,39290
34029,8110,39181
34036,8164,39151
33952,8196,39298
33892,8322,39204
33824,8426,38962
33772,8387,39127
33804,8392,39076
33940,8353,39116
34000,8215,39172
34069,8137,38960
34112,8083,39041
34092,8143,38948
34008,8261,39132
33924,8303,38984
33832,8420,38906
33812,8437,38477
33777,8365,38896
33712,8301,38864
33668,8252,38868
33604,8127,38852
33492,8126,38487
33352,8125,38752
33284,8235,38653
33200,8362,38839
33156,8395,38636
33148,8418,38292
33236,8367,38631
33324,8290,38553
33354,8206,38457
33376,8169,38589
33360,8085,38646
33280,8167,38580
33096,8245,38444
32996,8310,38334
32924,8412,38389
32852,8446,38340
32824,8368,38179
32808,8321,38436
32805,8271,38359
32908,8105,38183
32961,8111,37776
32892,8191,38177
32780,8213,38132
32648,8319,38056
32540,8422,37932
32436,8441,38108
32416,8453,38145
32372,8291,37999
32364,8229,37578
32360,8195,37930
32320,8094,37863
32201,8174,37739
32064,8248,37800
31904,8449,37892
31728,8396,37913
31684,8430,37838
31684,8401,37721
31724,8358,37632
31748,8195,37228
31788,8130,37596
31740,8121,37572
31588,8221,37492
31408,8222,37383
31200,8339,37316
31068,8461,37300
31012,8419,37347
31052,8382,37300
31208,8323,37314
31392,8263,37335
31520,8117,37159
31592,8107,36880
31468,8166,37101
31393,8279,37000
31334,8435,36854
31265,8403,36809
31264,8447,36860
31365,8402,36969
31564,8356,36788
31756,8204,36639
31892,8144,36265
32020,8125,36590
32096,8201,36548
32060,8225,36505
31948,8362,36428
31841,8491,36398
31780,8418,36231
31784,8399,36373
31886,8360,35901
31956,8212,36168
32004,8162,36292
32080,8167,35833
32028,8151,36048
31884,8255,35876
31764,8379,36094
31624,8413,35830
31496,8460,35853
31488,8443,35663
31624,8310,35823
31838,8261,35693
31972,8131,35519
32112,8146,35633
32186,8159,35192
32120,8252,35463
32041,8401,35581
31948,8418,35422
31904,8450,35221
31941,8421,34969
32040,8375,35244
32069,8220,35268
32012,8155,35119
32040,8119,34773
32096,8185,35092
32120,8264,35001
32116,8421,34946
31984,8427,35052
31877,8448,34800
31952,8459,34780
32040,8317,34860
32161,8235,34696
32370,8199,34751
32476,8127,34278
32440,8189,34439
32440,8383,34508
32396,8380,34436
32268,8460,34520
32268,8509,34008
32356,8396,34295
32432,8335,34274
32542,8225,34181
32604,8137,34085
32576,8147,34104
32556,8282,33943
32468,8247,34125
32404,8388,33861
32304,8433,33924
32249,8458,33949
32309,8467,33728
32404,8348,33772
32476,8264,33596
32584,8137,33719
32705,8153,33613
32716,8176,33493
32641,8288,33661
32548,8396,33316
32462,8435,33453
32352,8478,33340
32244,8429,33460
32270,8329,33111
32372,8249,33253
32516,8148,33189
32596,8152,33115
32576,8240,32828
32528,8260,33060
32444,8397,33080
32404,8441,32892
32300,8492,32925
32220,8407,33012
32266,8345,32711
32416,8292,32473
32580,8149,32689
32714,8173,32768
32676,8246,32537
32568,8272,32544
32460,8423,32548
32456,8475,32476
32428,8516,32300
32508,8414,32466
32584,8369,32178
32640,8236,32263
32672,8189,32356
32700,8142,31931
32706,8215,32120
32644,8273,32077
32504,8400,31911
32436,8500,31960
32488,8457,31750
32576,8440,31791
32733,8433,31525
32812,8277,31616
32880,8222,31664
32873,8148,31640
32788,8223,31602
32630,8277,31381
32502,8410,31465
32340,8513,31511
32240,8465,31246
32364,8437,31327
32516,8430,31159
32625,8267,31116
32788,8197,31156
32948,8158,31076
32908,8221,31185
32737,8313,30903
32644,8382,30924
32473,8481,30784
32441,8533,30873
32433,8425,30491
32564,8365,30695
32732,8244,30740
32788,8183,30598
32852,8298,30500
32832,8210,30537
32768,8319,30436
32736,8391,30141
32668,8469,30315
32573,8496,30369
32532,8430,30209
32613,8389,29924
32736,8317,30112
32904,8178,30190
32990,8207,29946
32884,8210,29992
32672,8317,29940
32472,8443,29755
32320,8473,29953
32344,8508,29699
32520,8511,29703
32788,8356,29668
33200,8298,29620
33504,8176,29612
33640,8191,29432
33572,8219,29449
33376,8333,29248
33220,8462,29262
33066,8478,29259
32928,8499,29183
32885,8511,29294
32872,8363,29025
32772,8285,28914
32604,8247,28984
32570,8172,28881
32608,8247,28920
32644,8370,28679
32740,8413,28716
32745,8498,28612
32852,8553,28667
32925,8475,28316
33020,8366,28361
33112,8299,28500
33152,8259,28224
33044,8181,28126
32836,8271,28089
32621,8303,28117
32408,8429,28185
32268,8485,27769
32348,8527,27879
32536,8444,27905
32752,8387,27522
32864,8356,27685
32973,8197,27512
32948,8219,27656
32720,8233,27352
32549,8338,27204
32560,8480,27288
32600,8489,27161
32760,8548,27082
32876,8448,27063
32944,8389,26904
32992,8349,27020
33020,8224,26655
33016,8223,26758
32928,8236,26746
32705,8327,26516
32552,8420,26540
32517,8516,26469
32484,8577,26204
32540,8470,26201
32544,8415,26352
32720,8272,25988
32924,8218,26093
33076,8284,26198
33172,8245,25885
33104,8334,25925
32900,8490,25818
32580,8494,25936
32468,8517,25628
32484,8459,25692
32536,8393,25718
32696,8279,25413
32848,8214,25413
32968,8193,25388
32960,8259,25439
32900,8362,25338
32976,8428,25226
32984,8514,25085
32996,8565,25218
32972,8453,25317
32852,8391,24968
32724,8270,25052
32836,8207,24946
33161,8189,24949
33653,8276,24820
34477,8391,24978
35776,8427,24973
37420,8530,24764
39388,8497,24861
41609,8476,24865
43808,8461,24704
45892,8280,24631
47964,8245,24623
49804,8198,24556
50896,8294,24637
51020,8436,24471
49624,8432,24637
45568,8543,24418
40172,8518,24472
34512,8504,24384
29710,8444,24495
26432,8300,24252
24296,8229,24190
23335,8235,24312
23612,8311,24135
24671,8340,24340
25800,8471,24053
26685,8553,23976
27672,8588,24108
28548,8471,24032
29368,8420,24038
30152,8317,23925
30944,8213,23748
31420,8237,23860
31536,8300,23915
31484,8333,23727
31457,8473,23588
31576,8575,23687
31696,8520,23755
31860,8519,23463
31901,8397,23524
31964,8352,23441
32040,8216,23370
32140,8243,23348
32132,8265,23524
32120,8352,23261
32080,8477,23360
32196,8657,23188
32300,8546,23380
32308,8534,23120
32352,8390,23225
32496,8324,23180
32692,8215,23014
32748,8235,23139
32660,8266,23156
32577,8365,22933
32549,8482,23033
32505,8624,22988
32484,8520,23052
32500,8508,22925
32614,8449,22737
32820,8296,22892
32970,8238,22798
33008,8283,22692
32913,8297,22794
32840,8414,22781
32752,8459,22564
32688,8534,22663
32744,8596,22526
32776,8489,22608
32740,8439,22404
32728,8290,22457
32712,8232,22437
32820,8268,22558
32984,8265,22270
33092,8365,22224
33049,8493,22357
32973,8589,22196
32972,8533,22280
33028,8508,22068
33185,8396,22194
33320,8297,22094
33340,8247,22185
33244,8306,21964
33076,8270,22083
32972,8370,21961
32892,8526,22121
32936,8536,21857
33076,8570,21988
33204,8518,21924
33344,8474,22009
33513,8307,21832
33536,8249,21760
