ECG,EDA,RR
32640,11694,26090
32708,11729,26100
32704,11834,26197
32740,11920,26205
32700,12036,26236
32582,11997,26280
32504,11914,26380
32496,11842,26364
32460,11752,26436
32440,11669,26420
32364,11674,26564
32299,11748,26507
32196,11806,26570
32096,11947,26591
32000,11977,26619
31896,12035,26508
31848,11935,26568
31769,11835,26608
31660,11752,26708
31592,11657,26668
31556,11699,26696
31496,11728,26732
31436,11862,26761
31396,11945,26780
31341,12026,26818
31232,11996,26810
31168,11907,26865
31220,11845,26821
31320,11716,27101
31400,11670,26860
31456,11658,27197
31500,11774,26948
31504,11823,27196
31452,11974,26968
31350,12004,27161
31260,11957,27037
31248,11918,27235
31258,11821,27072
31324,11762,27391
31460,11673,27332
31568,11658,27276
31540,11739,27360
31560,11807,27423
31556,11918,27430
31424,12014,27533
31332,11971,27508
31325,11933,27516
31384,11821,27563
31488,11748,27586
31600,11647,27624
31700,11696,27601
31726,11734,27569
31640,11799,27499
31578,11940,27724
31480,11980,27558
31448,11961,27762
31532,11913,27600
31632,11818,27940
31760,11755,27856
31848,11655,27828
31920,11704,27699
31908,11716,27797
31892,11846,27782
31872,11922,27906
31876,12003,27836
31880,11982,27910
31885,11894,27900
31916,11829,28009
31944,11702,27892
32020,11666,28037
32076,11650,27952
32100,11763,28198
32068,11825,28180
32024,11916,28268
31944,11973,28216
31876,12037,28335
31865,11909,28047
31893,11814,28308
31876,11715,28088
31928,11641,28396
32036,11709,28309
32100,11725,28206
32092,11798,28380
32112,11923,28261
32160,11957,28335
32172,11978,28252
32140,11894,28597
32172,11842,28496
32176,11703,28652
32224,11685,28564
32340,11680,28629
32340,11712,28568
32272,11902,28399
32176,11944,28700
32100,11984,28645
32064,11960,28476
32125,11888,28769
32196,11828,28721
32268,11697,28856
32352,11684,28775
32440,11680,28864
32436,11714,28802
32408,11807,28905
32356,11908,28828
32292,12014,28731
32204,11966,28908
32206,11914,28873
32216,11806,28794
32276,11728,28767
32352,11653,28722
32472,11654,29036
32472,11714,28889
32444,11822,28815
32424,11912,28919
32372,11958,28953
32332,11945,28840
32292,11941,28970
32340,11822,28953
32376,11694,28941
32460,11670,28879
32528,11660,28754
32512,11709,29026
32485,11848,28848
32456,11921,28950
32340,11963,28908
32232,12002,28836
32224,11911,28954
32296,11798,29014
32380,11725,28912
32516,11665,28724
32606,11722,28996
32576,11737,28948
32541,11789,28959
32504,11964,28898
32448,11988,28949
32404,11941,28964
32432,11917,28856
32504,11832,28943
32580,11786,28984
32637,11645,28726
32710,11652,29028
32760,11741,28945
32792,11800,29063
32748,11972,28748
32648,11971,29063
32565,11944,28768
32622,11907,28960
32708,11831,28772
32792,11684,29105
32832,11667,28989
32889,11684,28896
32828,11707,28964
32697,11843,28994
32592,11943,29134
32428,11956,29037
32324,11975,29108
32272,11908,29063
32288,11805,29137
32340,11704,28846
32436,11633,28996
32572,11723,28868
32624,11737,29125
32560,11802,29084
32536,11963,29042
32512,11972,29061
32484,11946,28996
32540,11940,29220
32676,11821,28909
32788,11751,29124
32892,11656,29024
32965,11690,29156
32933,11712,29120
32789,11821,29045
32656,11909,29124
32501,11986,29150
32360,11948,29166
32377,11932,29185
32452,11816,29156
32592,11684,29224
32720,11652,29044
32808,11649,29114
32900,11743,29180
32916,11804,29188
32881,11952,29140
32832,11980,29196
32748,11946,29186
32668,11936,29216
32680,11831,29287
32748,11693,29217
32844,11656,29331
32936,11675,29239
32996,11776,29309
33004,11814,29223
32936,11919,29359
32808,11961,29256
32744,11974,29201
32724,11890,29213
32752,11801,29102
32872,11714,29164
33040,11634,29272
33088,11703,29314
33092,11749,29389
33108,11808,29332
33092,11951,29307
32972,11977,29316
32876,11981,29191
32760,11886,29320
32500,11909,29391
32016,11721,29481
31644,11647,29416
31468,11661,29566
31628,11765,29460
32248,11827,29397
33353,11936,29404
35052,11964,29415
37004,11998,29396
39392,11904,29340
42204,11838,29686
44864,11692,29337
47240,11706,29676
49720,11687,29588
52180,11712,29740
54072,11907,29620
54936,11963,29669
54336,11999,29652
51096,11958,29748
45168,11953,29676
38732,11848,29725
32920,11718,29668
28020,11711,29596
24428,11706,29572
22416,11753,29548
22260,11869,29685
23320,11954,29727
24756,11997,29736
26074,11966,29613
27241,11925,29639
28204,11839,29692
29172,11712,29612
30041,11685,29748
30736,11676,29604
31242,11822,29684
31444,11846,29736
31484,11940,29728
31384,12028,29831
31264,11985,29703
31156,11980,29820
31396,11838,29682
31568,11714,29580
31756,11693,29574
31960,11744,29654
31968,11772,29788
31933,11845,29663
31920,12004,29581
31844,12021,29625
31832,12065,29642
31828,11927,29661
31880,11825,29797
31976,11736,29447
32077,11669,29581
32192,11712,29599
32229,11756,29668
32196,11874,29690
