ECG,EDA,RR
23076,9949,35533
22296,9932,35464
22613,9836,35357
23740,9763,35492
25128,9686,35427
26488,9617,35408
27657,9680,35311
28716,9716,35233
29544,9856,35309
30260,9939,35267
31048,10017,35332
31532,9931,35212
31836,9878,35241
32056,9748,34876
32216,9714,35089
32380,9619,35045
32528,9679,34928
32568,9722,34881
32592,9833,34951
32468,9980,34887
32484,9942,34928
32504,9921,34580
32448,9923,34746
32584,9725,34729
32750,9670,34605
32860,9609,34596
32876,9657,34761
32980,9762,34447
32933,9815,34533
32820,9953,34513
32673,9932,34493
32504,9953,34450
32580,9847,34400
32832,9765,34557
32972,9633,34156
33040,9645,34381
33260,9760,34505
33280,9732,34175
33214,9882,34272
33128,9940,34311
33120,9929,34318
32896,9925,34465
32860,9818,34118
33006,9783,34354
33132,9667,34272
33232,9678,34212
33428,9677,34124
33160,9786,34192
33216,9838,34332
33241,9975,34183
33276,9963,34175
33224,9892,34129
33221,9842,34101
33236,9728,34013
33280,9657,34023
33368,9612,34173
33448,9669,33840
33422,9764,33982
33368,9818,33845
33389,9948,33956
33313,9934,33591
33294,9938,33843
33324,9836,33948
33338,9730,33688
33368,9649,33783
33496,9611,33844
33620,9675,33648
33612,9773,33680
33576,9825,33572
33488,9964,33522
33400,9926,33586
33390,9924,33437
33428,9868,33648
33516,9722,33478
33532,9647,33500
33668,9617,33468
33720,9675,33360
33768,9715,33429
33716,9843,33495
33646,9908,33401
33624,9948,33341
33560,9968,33436
33584,9845,33396
33640,9729,33526
33688,9650,33263
33872,9674,33437
33860,9650,33485
33744,9759,33380
33912,9836,33470
33760,9977,33613
33668,9963,33183
33692,9941,33412
33673,9844,33488
33840,9801,33543
33816,9650,33703
33964,9618,33287
33904,9676,33564
33852,9779,33709
33776,9833,33644
33772,9965,33644
33788,9924,33757
33780,9914,33744
33744,9822,33468
33856,9759,33757
33876,9686,33953
33805,9609,33721
33760,9679,33894
33645,9759,33913
33552,9823,33823
33492,9939,34141
33476,9964,34023
33428,9968,34012
33320,9821,33824
33260,9746,34161
33276,9671,34148
33300,9615,34095
33296,9655,34362
33220,9746,34364
33176,9840,34384
33044,9986,34125
32910,9941,34405
32884,9962,34541
32844,9831,34423
32824,9756,34564
32856,9703,34479
32886,9622,34782
32872,9695,34617
32789,9718,34745
32680,9840,34760
32540,9938,34677
32468,9967,34927
32360,9969,35028
32280,9820,34972
32268,9734,35032
32296,9635,35069
32324,9633,35137
32298,9692,35213
32264,9725,35276
32160,9840,35293
32012,9940,35258
32012,9928,35575
31820,9912,35540
31824,9880,35372
31848,9720,35678
31870,9647,35600
31849,9705,35940
31876,9680,35783
31850,9724,35948
31744,9839,35950
31660,9931,36180
31544,10036,36028
31472,9913,36230
31476,9868,36444
31532,9717,36313
31572,9642,36459
31629,9615,36510
31676,9672,36582
31648,9762,36674
31580,9828,36674
31492,9911,36952
31348,9964,36824
31248,9893,37010
31248,9828,36937
31212,9791,37233
31212,9664,37255
31304,9663,37191
31485,9650,37539
31616,9738,37441
31768,9892,37599
31792,9938,37797
31717,9982,37776
31660,9887,37809
31740,9826,37725
31892,9748,38036
32049,9625,38085
32180,9626,38373
32260,9741,38104
32285,9752,38381
32224,9873,38681
32112,9907,38581
31972,9961,38705
31832,9887,38937
31788,9837,38549
31764,9715,39048
31792,9631,39144
31940,9605,39349
32048,9668,39412
32110,9783,39466
32066,9837,39776
31957,9939,39705
31808,9922,39884
31777,9897,39913
31796,9811,40108
31840,9734,40221
31896,9689,40341
31996,9626,40342
32008,9678,40668
31956,9717,40700
31876,9846,40839
31781,9900,40928
31808,9940,41132
31932,9880,40839
32108,9820,41284
32220,9703,41632
32232,9670,41132
32344,9597,41703
32412,9658,41688
32404,9717,41940
32325,9845,42206
32300,9951,41871
32212,9911,42240
32204,9874,42404
32224,9821,42452
32268,9718,42673
32300,9723,42638
32352,9605,42844
32326,9700,42927
32272,9720,43015
32236,9837,43063
32180,9890,43212
32096,9943,43157
32005,9907,43324
31984,9796,43492
31960,9737,43468
31965,9642,43183
32028,9593,43711
32185,9662,43572
32216,9765,43777
32212,9808,43708
32212,9916,43911
32246,9907,43857
32196,9893,43982
32112,9854,44055
32096,9705,43964
32085,9646,43988
32044,9588,44004
31996,9687,44092
31960,9720,44236
31928,9859,44183
31946,9892,44164
32012,9924,44309
32032,9866,44279
32116,9818,44324
32232,9687,44277
32352,9621,44223
32448,9696,44325
32532,9662,44312
32644,9772,44260
32644,9838,44164
32608,9925,44300
32520,9915,44295
32444,9965,44269
32472,9801,43852
32568,9762,44126
32620,9615,44105
32620,9583,44034
32528,9681,43860
32424,9729,44000
32308,9872,43967
32280,9900,44088
32224,9956,44069
32192,9872,43639
32308,9847,43844
32444,9698,43889
32509,9668,43925
32549,9616,43904
32540,9626,43860
32556,9733,43631
32526,9901,43743
32408,9900,43741
32188,9903,43596
32001,9880,43639
31936,9826,43189
31980,9685,43552
32104,9625,43337
32324,9625,43437
32492,9618,43325
32576,9714,43015
32652,9841,43244
32716,9907,43065
32596,9925,43173
32436,9850,43044
32408,9814,42516
32396,9723,42928
32508,9595,42848
32668,9604,42660
32744,9616,42663
32792,9707,42720
32772,9847,42639
32652,9879,42431
32472,9922,42425
32324,9893,42226
32352,9772,42428
32524,9734,42184
32708,9602,42056
32820,9612,42093
32900,9625,42000
32800,9754,42053
32725,9804,41863
32668,9868,41959
32644,9921,41726
32644,9851,41759
32526,9816,41124
32380,9677,41436
32309,9638,41444
32336,9581,41412
32324,9671,41509
32398,9715,41276
32484,9861,41147
32526,9880,41111
32516,9888,41080
32557,9859,41186
32624,9760,40959
32696,9691,40920
32744,9579,40769
32860,9594,40743
33024,9606,40878
33228,9700,40356
33185,9794,40632
32972,9905,40476
32780,9942,40399
32680,9865,40444
32676,9810,40022
32748,9658,40199
32880,9591,40341
32796,9669,40057
32520,9623,40100
32400,9733,39892
32380,9789,39932
32428,9905,39895
32428,9877,39943
32534,9855,39764
32632,9756,39744
32776,9681,39871
32917,9577,39444
32927,9609,39572
32865,9616,39599
32816,9681,39487
32784,9810,39591
32800,9858,39020
32792,9924,39236
32780,9854,39205
32844,9752,39106
32882,9689,39207
32884,9582,39076
32896,9659,39108
32857,9613,38964
32794,9676,38946
32764,9823,38800
32744,9871,38777
32716,9868,38663
32688,9879,38725
32652,9766,38519
32669,9642,38479
32732,9633,38265
32864,9569,38172
32880,9596,38073
32844,9729,37981
32892,9811,38005
32892,9858,37623
32864,9908,37945
32848,9839,37701
32806,9753,37260
32832,9636,37697
32920,9586,37471
33058,9564,37396
33164,9600,37194
33036,9727,36812
32600,9796,37040
32020,9851,36940
31880,9916,36927
32212,9834,36713
32688,9743,36764
33188,9692,36520
33464,9573,36548
33441,9543,36302
33296,9636,36337
33140,9687,36081
32872,9768,36111
32600,9947,35848
32232,9917,35429
32097,9858,35793
32228,9769,35519
32644,9636,35485
33380,9636,35351
34412,9565,35276
35884,9603,35128
37488,9665,35136
39252,9806,34945
41248,9852,34990
43096,9989,34768
44692,9840,34780
46140,9723,34520
47568,9695,34484
48592,9567,34015
49064,9557,34382
48460,9685,34150
45648,9707,34106
40672,9787,33940
35472,9858,33799
30656,9919,33741
27172,9841,33616
24816,9790,33624
23548,9645,33644
23724,9554,33438
24716,9599,33346
26013,9613,33132
27116,9669,33192
27888,9814,33017
28516,9856,32909
29024,9850,32832
29692,9820,32771
30496,9726,32628
31220,9665,32596
31720,9551,32452
31998,9541,32506
32076,9640,32469
32068,9696,32327
32004,9768,32340
32038,9886,31877
32096,9852,32087
32172,9860,31676
32304,9744,31893
32321,9617,31588
32388,9603,31782
32436,9567,31532
32513,9585,31588
32481,9697,31350
32408,9791,31233
32308,9837,30896
32264,9892,30937
32276,9816,30823
32352,9719,30889
32492,9697,30789
32540,9562,30786
32708,9540,30580
32808,9711,30610
32805,9676,30132
32776,9773,30261
32677,9829,29951
32536,9900,30215
32504,9818,29984
32536,9734,30020
32626,9609,29806
32733,9612,29605
32885,9581,29703
32984,9596,29504
32992,9663,29378
32928,9765,29262
32864,9873,29176
32824,9854,29083
32820,9794,28882
32824,9755,28880
32897,9631,28588
32960,9531,28712
33072,9560,28585
33120,9588,28550
33096,9653,28409
33052,9837,28316
32952,9858,28175
32900,9865,27916
32884,9789,28085
32916,9793,27951
32940,9628,27921
33044,9536,27768
33148,9589,27807
33212,9605,27402
33144,9783,27623
33081,9800,27451
33022,9849,27376
33028,9834,27240
33096,9806,27080
33148,9727,27246
33156,9602,27084
33101,9624,26878
33168,9551,27001
33236,9588,26758
33244,9653,26869
33228,9792,26750
33201,9864,26537
33120,9828,26724
33056,9827,26616
33121,9706,26700
33276,9661,26511
33396,9534,26612
33540,9522,26476
33673,9622,26490
33780,9667,26424
33797,9758,26493
33762,9875,26411
33736,9842,26314
33784,9796,26358
33856,9698,26400
33920,9673,26279
33949,9560,26403
33964,9530,26322
33924,9647,26520
33824,9682,26444
33728,9772,26348
33620,9832,26431
33500,9860,26325
33436,9798,26526
33448,9701,26466
33456,9672,26506
33480,9539,26626
33564,9529,26580
33460,9699,26596
33468,9694,26756
33396,9791,26804
33232,9830,26712
33100,9829,26852
33068,9821,26749
33072,9713,27056
33096,9622,26932
33108,9521,27068
33172,9604,27000
33056,9640,27200
32876,9688,27105
32728,9797,27053
32612,9826,27404
32526,9894,27357
32588,9814,27377
32720,9711,27312
32769,9599,27282
32728,9512,27671
32732,9583,27576
32734,9588,27633
32766,9656,27713
32745,9764,27700
32700,9846,27812
32572,9845,27815
32530,9878,27901
32492,9725,27976
32492,9606,27977
32460,9517,27980
32412,9556,28096
32344,9590,28217
32296,9703,28194
32236,9796,28204
32052,9827,28056
31869,9861,28439
31732,9803,28361
