ECG,EDA,RR
32864,5027,38597
32948,5023,38624
32952,4912,38600
32912,4976,38711
32904,5098,38676
32840,5108,38588
32745,5195,38941
32688,5226,38961
32716,5128,39144
32796,5078,39040
32908,5008,39220
32972,4905,39124
33052,4923,39286
33028,4974,39215
32960,5089,39390
32904,5113,39284
32868,5163,39469
32852,5209,39365
32880,5153,39541
32936,5147,39445
33020,4960,39606
33152,4899,39525
33184,4936,39733
33024,4975,39589
32700,5091,39732
32288,5117,39577
31996,5195,39700
32100,5187,39715
32608,5178,39721
33560,5051,39612
35000,4997,39756
36724,4950,39430
38648,4994,39805
40800,5066,39916
42880,5013,39949
44624,5120,40069
46048,5198,39968
47604,5207,40021
49168,5171,40196
50112,5152,40028
50072,4972,40128
48576,4937,40063
44340,4940,40096
38816,5002,40004
33300,5045,40281
28836,5140,39630
25428,5223,40061
23180,5242,40168
22341,5141,40191
22972,5072,40352
24384,4992,40164
25912,4949,40080
27186,4906,40189
28148,4953,40169
29036,5033,40308
29884,5134,40036
30520,5207,40052
31024,5174,40169
31416,5127,40048
31664,5090,40165
31836,5003,40108
31964,4983,40140
32008,4900,40116
32004,4971,40206
31960,5045,40100
31938,5161,40276
31932,5256,40060
31948,5163,40022
32024,5155,39781
32112,5097,40140
32230,4964,40037
32320,4925,40089
32412,4957,40045
32436,4947,40196
32428,5028,40016
32328,5132,40180
32256,5228,40037
32268,5168,40199
32328,5146,40004
32493,5112,40024
32672,4967,39934
32772,4919,39845
32808,4938,39905
32736,4974,39740
32640,5046,39943
32564,5183,39860
32540,5244,39997
32512,5162,40128
32564,5117,40020
32676,5065,40165
32774,5020,39997
32869,4976,39943
32896,4899,39734
32900,4955,39850
32862,5042,39623
32804,5105,40132
32728,5196,39965
32696,5235,40033
32732,5125,39820
32809,5071,39432
32916,5051,40071
33012,4898,39926
33057,4934,40052
33044,4979,39908
33024,5024,40036
32964,5101,39845
32884,5181,39880
32844,5207,39500
32930,5116,39855
33018,5050,39834
33080,4997,39908
33176,4938,39370
33216,4984,39870
33192,4946,39815
33144,5025,39776
33084,5149,39820
33050,5169,39975
33028,5181,39837
33072,5154,39848
33157,5084,39884
33276,5027,40013
33364,4918,39901
33424,4929,40037
33433,5017,39937
33364,5012,39969
33306,5127,39900
33196,5230,39972
33200,5164,39988
33260,5134,40071
33396,5080,40040
33504,4991,39975
33612,4959,40081
33640,4899,40007
33616,4941,40146
33568,5029,40139
33492,5139,40327
33460,5172,40240
33448,5170,40406
33504,5154,40272
33572,5210,40391
33600,4969,40369
33804,4932,40548
33888,4964,40383
33828,4938,40448
33764,5029,40004
33668,5184,40585
33560,5159,40484
33530,5183,40668
33552,5177,40567
33576,5037,40572
33624,4989,40513
33684,4913,40677
33672,4946,40655
33581,5012,40852
33504,5015,40676
33428,5095,40884
33312,5180,40717
33216,5177,40869
33145,5165,40765
33160,5046,40912
33200,4955,40802
33216,4909,40820
33189,4938,40820
33108,5018,41016
32992,5011,40862
32840,5106,40868
32736,5161,40870
32648,5171,40760
32640,5151,40895
32672,5121,40868
32701,4955,40943
32732,4924,40808
32736,4936,40761
32652,4934,41125
32548,5051,40967
32429,5217,41028
32328,5163,40960
32236,5179,41017
32224,5155,40958
32249,5036,41021
32250,4983,41037
32264,5005,41034
32276,4895,41182
32210,4954,40952
32089,5050,41009
31968,5119,41103
31868,5209,41045
31800,5257,41124
31776,5106,41087
31808,5075,40964
31844,4974,41079
31886,4929,41282
31896,4985,41153
31848,4944,41221
31740,5031,41142
31588,5156,41153
31501,5187,41319
31480,5222,41165
31496,5105,41300
31572,5073,41151
31621,5007,41196
31673,4892,41068
31688,4921,41111
31684,4953,41049
31620,5040,41175
31508,5099,41052
31434,5196,41135
31416,5229,41276
31460,5104,41143
31548,5076,40964
31640,4955,41312
31724,4938,41032
31792,4886,41156
31808,4968,41236
31760,5161,41032
31664,5137,41152
31612,5307,41142
31592,5175,41177
31620,5135,41135
31720,5104,41344
31820,4955,41126
31892,4924,40920
31961,4883,41308
31984,4942,41095
31941,5039,41249
31828,5158,41036
31800,5159,40668
31784,5170,41221
31812,5185,40994
31876,5029,41001
