ECG,EDA,RR
31480,41160,34829
31412,41109,34813
31368,41049,34845
31372,41021,34856
31396,41005,34872
31420,41007,34852
31476,41079,34885
31565,41124,34893
31592,41148,34900
31624,41173,34900
31600,41152,34916
31517,41101,34959
31456,41063,34948
31448,41018,34965
31520,40999,34956
31644,41023,34980
31720,41060,35004
31809,41101,35028
31800,41162,35036
31796,41183,35028
31760,41133,35039
31713,41109,35076
31653,41055,35093
31633,41017,35100
31648,40997,35119
31720,40977,35135
31792,41063,35119
31904,41117,35140
31916,41157,35180
31932,41165,35173
31896,41148,35160
31820,41081,35207
31788,41051,35229
31764,41009,35231
31764,41007,35244
31832,41020,35233
31940,41039,35233
32040,41120,35268
32132,41159,35301
32160,41160,35308
32120,41150,35311
32024,41103,35305
31940,41055,35325
31936,41008,35357
31968,40999,35356
32020,40988,35366
32124,41063,35359
32196,41111,35369
32248,41116,35405
32300,41169,35417
32308,41145,35399
32212,41095,35416
32168,41053,35460
32172,41001,35463
32248,40967,35463
32340,41010,35440
32384,41029,35453
32420,41111,35505
32448,41151,35514
32404,41148,35528
32332,41145,35493
32313,41088,35533
32289,41012,35573
32312,41005,35560
32316,40986,35533
32360,41001,35589
32428,41041,35588
32472,41100,35572
32488,41135,35568
32532,41133,35591
32576,41135,35639
32568,41092,35637
32508,41030,35648
32416,41004,35617
32413,40977,35616
32460,41005,35629
32500,41044,35676
32580,41087,35700
32672,41126,35701
32702,41151,35709
32704,41141,35719
32640,41080,35685
32608,40989,35685
32620,40988,35708
32660,40967,35716
32732,40989,35744
32804,41023,35751
32832,41077,35756
32884,41113,35776
32961,41121,35751
32973,41113,35759
32956,41069,35762
32908,41012,35798
32825,40967,35797
32784,40961,35812
32764,40967,35800
32782,41017,35812
32844,41065,35824
32888,41061,35772
32892,41122,35789
32804,41073,35822
32708,41053,35847
32628,40967,35864
32576,40967,35860
32500,40933,35856
32524,40960,35881
32562,40996,35837
32620,41026,35847
32660,41089,35895
32714,41111,35908
32706,41084,35912
32672,41052,35863
32640,40993,35944
32600,40957,35920
32578,40935,35940
32642,40949,35953
32756,40988,35933
32888,41038,35911
33000,41061,35975
33049,41101,35972
33057,41084,35989
33000,41036,36013
32926,40990,35944
32872,40935,36015
32772,40919,36005
32760,40936,36020
32800,40983,35997
32884,41028,35975
32961,41048,36024
32968,41087,36061
32924,41063,36048
32862,41013,36016
32832,40967,36007
32832,40897,36020
32808,40908,36057
32860,40916,36103
