ECG,EDA,RR
32992,36631,38919
32700,36575,38821
32322,36544,38727
32014,36508,38852
31764,36497,38812
31564,36511,38749
31359,36542,38800
31184,36599,38645
30990,36641,38777
30784,36645,38735
30545,36643,38672
30372,36598,38774
30268,36551,38637
30176,36516,38710
30112,36487,38625
30046,36495,38710
30008,36548,38620
30036,36573,38516
29956,36615,38492
29901,36640,38471
29881,36633,38615
29868,36598,38600
29844,36532,38573
29800,36487,38559
29792,36476,38487
29805,36482,38478
29816,36517,38564
29880,36549,38427
29912,36559,38373
29928,36615,38503
29856,36596,38479
29868,36565,38501
29916,36509,38470
29940,36471,38412
29956,36417,38308
29984,36452,38453
30056,36485,38444
30144,36535,38404
30148,36583,38338
30202,36589,38365
30224,36581,38327
30232,36534,38345
30200,36484,38349
30196,36443,38348
30196,36388,38324
30244,36433,38268
30297,36468,38333
30392,36516,38197
30524,36559,38144
30540,36583,38129
30512,36556,38144
30488,36516,38101
30492,36452,38086
30488,36429,38068
30496,36420,38053
30529,36404,38041
30556,36448,38023
30624,36473,38015
30692,36543,38140
30742,36553,38124
30736,36545,38096
30725,36472,38071
30736,36460,38019
30740,36423,38045
30797,36391,38083
30844,36397,38055
30908,36441,37953
30964,36487,37895
31044,36524,37839
31072,36532,37831
31060,36541,37804
31045,36503,37932
31028,36447,37895
31048,36408,37881
31052,36383,37863
31086,36397,37780
31132,36428,37767
31224,36470,37806
31284,36498,37765
31309,36535,37633
31285,36512,37589
31248,36481,37697
31212,36444,37655
31236,36399,37612
31256,36370,37561
31277,36383,37524
31320,36429,37503
31352,36466,37484
31424,36511,37479
31444,36527,37508
31436,36516,37487
31404,36481,37412
31400,36429,37255
31388,36393,37236
31410,36381,37220
31453,36385,37205
31548,36423,37303
31596,36465,37268
31624,36508,37209
31612,36505,37183
31616,36525,37157
31576,36465,37028
31540,36444,37009
31524,36396,37040
31540,36375,36941
31552,36367,37050
31608,36429,37007
31620,36464,36965
31668,36504,36927
31740,36513,36931
31772,36522,36900
31756,36487,36810
31684,36447,36704
31692,36390,36748
31704,36372,36701
31724,36383,36758
31777,36394,36657
31856,36465,36654
31876,36512,36608
31917,36512,36567
31908,36516,36527
31860,36471,36509
31820,36425,36460
31780,36381,36454
31777,36365,36412
31828,36368,36372
31896,36416,36380
31953,36453,36380
31968,36500,36348
31982,36516,36308
31962,36487,36287
31920,36475,36230
31880,36423,36231
31856,36391,36172
31880,36359,36096
31921,36391,36081
31952,36400,36053
32012,36455,36036
32048,36501,36030
32076,36509,36007
32068,36509,35975
32064,36477,35921
32034,36418,35868
32008,36382,35907
31980,36356,35788
31952,36359,35719
32031,36400,35801
32072,36447,35748
32132,36477,35709
32156,36509,35700
32104,36487,35649
32060,36459,35591
32024,36419,35492
32036,36359,35516
32068,36340,35596
32084,36336,35580
32128,36389,35545
32196,36431,35511
32284,36471,35493
32348,36487,35457
32352,36463,35407
32324,36446,35428
32248,36391,35381
32186,36351,35381
32156,36301,35383
32186,36332,35301
32272,36373,35308
32356,36413,35289
32416,36439,35271
32408,36484,35250
32413,36458,35229
32441,36424,35233
32452,36386,35172
32504,36333,35079
32568,36319,35125
32644,36321,35191
32656,36357,35175
32702,36401,35166
32724,36444,35124
32720,36452,35108
32644,36461,35122
32484,36421,35034
32352,36381,35073
32406,36329,34983
32408,36290,34941
32380,36316,34991
32340,36359,35040
32348,36392,35035
32320,36431,34980
32308,36439,34908
32295,36452,34916
32276,36410,34985
32220,36373,34980
32188,36312,34983
32248,36302,34967
32260,36311,34961
32385,36335,34948
32477,36389,34932
32536,36430,34917
32528,36450,34901
32484,36445,34804
32513,36407,34925
32552,36359,34892
32596,36317,34887
32576,36289,34884
32572,36300,34863
32580,36327,34852
32572,36380,34847
32520,36429,34878
32448,36437,34877
32436,36435,34863
32448,36401,34839
32448,36359,34841
32368,36309,34834
32344,36282,34810
32384,36295,34823
32408,36324,34821
32548,36359,34864
32656,36422,34855
32688,36444,34856
32668,36451,34735
32592,36409,34737
32540,36359,34852
32552,36316,34867
32476,36285,34814
32492,36300,34809
32500,36337,34815
32576,36404,34813
32668,36421,34846
32676,36450,34852
32636,36447,34856
32584,36406,34823
32504,36359,34805
32476,36320,34833
32464,36296,34820
32497,36292,34791
32544,36339,34695
32596,36377,34743
32642,36434,34741
32661,36436,34789
32712,36441,34759
32769,36397,34756
32812,36349,34780
32804,36313,34697
32716,36299,34641
32680,36295,34749
32592,36332,34737
32578,36381,34724
32644,36423,34713
32836,36431,34704
32982,36431,34676
33232,36397,34645
33744,36352,34633
34485,36300,34661
35436,36268,34551
36436,36270,34497
37224,36301,34529
37680,36359,34564
38244,36404,34554
38488,36416,34564
38620,36421,34476
38676,36399,34447
39248,36340,34529
41008,36297,34473
43096,36253,34498
43600,36276,34413
42144,36327,34388
39260,36399,34461
35196,36484,34421
30312,36532,34447
25960,36536,34319
23337,36517,34416
22504,36465,34413
23096,36369,34349
24440,36381,34300
26052,36378,34284
27628,36391,34334
29012,36426,34397
30142,36464,34366
30996,36477,34376
31548,36471,34393
31920,36428,34295
32168,36381,34276
32340,36327,34397
32544,36303,34373
32724,36301,34367
32920,36340,34376
33008,36375,34383
33068,36423,34292
33116,36439,34388
33196,36436,34372
33228,36399,34401
33176,36358,34298
33158,36296,34292
33160,36278,34303
33180,36260,34413
33232,36317,34383
33316,36351,34386
33384,36391,34391
33445,36416,34413
33472,36420,34417
33425,36373,34412
33380,36329,34374
33369,36280,34358
33376,36265,34322
33444,36257,34359
33460,36285,34436
33552,36340,34432
33584,36388,34431
33600,36407,34428
33593,36397,34420
33562,36368,34400
33500,36321,34396
33468,36285,34396
33449,36244,34430
33488,36257,34380
33544,36281,34356
33652,36324,34304
33720,36359,34295
33766,36399,34325
33764,36388,34308
33744,36348,34295
33728,36303,34308
33740,36239,34328
33772,36247,34366
33812,36237,34452
33864,36268,34436
33904,36308,34433
33988,36359,34437
34072,36391,34429
34096,36378,34428
34084,36351,34413
34044,36300,34417
33980,36256,34407
34028,36217,34420
34092,36229,34406
34175,36260,34398
34272,36308,34382
34368,36359,34389
34424,36380,34287
34476,36381,34311
34508,36345,34372
34584,36306,34361
34616,36253,34277
34668,36234,34343
34772,36231,34325
34880,36269,34311
35042,36305,34285
35116,36359,34236
35240,36394,34263
35317,36374,34189
35388,36348,34164
35472,36308,34080
35549,36257,34112
35672,36225,34178
35788,36215,34132
35920,36269,34119
36088,36316,34117
36244,36354,34104
36397,36382,34095
36496,36389,34068
36536,36337,34052
36544,36315,34028
36544,36263,34004
36628,36231,34017
36764,36236,33881
36940,36265,33917
37024,36316,33934
37108,36359,33940
37164,36398,33830
37168,36396,33921
37109,36359,33863
37121,36306,33868
37136,36261,33730
37112,36246,33836
37092,36246,33788
37040,36276,33799
36996,36327,33713
36928,36361,33660
36824,36393,33750
36648,36407,33700
36416,36368,33705
36140,36329,33685
35840,36284,33653
35556,36261,33543
35260,36269,33563
34944,36309,33581
34660,36341,33589
34352,36397,33557
33980,36426,33468
33548,36426,33424
33169,36392,33449
32848,36327,33493
32516,36315,33449
32204,36269,33420
31932,36285,33397
31702,36316,33413
31544,36368,33381
31448,36411,33287
31264,36437,33308
31084,36436,33343
30900,36399,33309
30688,36337,33295
30528,36301,33272
30388,36255,33268
30296,36264,33222
30272,36303,33158
30236,36340,33133
30189,36397,33125
30144,36419,33086
30100,36433,33117
30058,36385,33164
30012,36316,33149
29948,36285,33129
29917,36256,33125
29941,36254,33108
29968,36276,33089
30040,36289,33091
30076,36372,32999
30108,36407,32949
30156,36393,32948
30149,36359,32953
30120,36308,32961
30116,36262,33004
30172,36231,33001
30212,36231,32968
30328,36263,32945
30416,36305,32950
30452,36356,32935
30440,36388,32920
30420,36372,32918
30436,36339,32900
30394,36279,32892
30408,36255,32892
30420,36224,32884
30488,36221,32885
30566,36247,32828
30632,36295,32775
30660,36335,32768
30692,36351,32815
30684,36359,32793
30692,36335,32836
30680,36285,32801
30697,36239,32799
30724,36180,32741
30745,36215,32703
30800,36244,32701
30890,36278,32708
30948,36319,32756
30960,36351,32747
30953,36327,32719
30948,36319,32700
30904,36271,32708
30904,36241,32709
30924,36196,32662
30972,36195,32599
31056,36228,32567
31132,36274,32596
31164,36314,32631
