ECG,EDA,RR
32292,39277,31948
32264,39230,31928
32221,39215,31920
32240,39205,31933
32278,39217,31924
32356,39302,31933
32392,39329,31936
32404,39351,31940
32396,39343,31946
32401,39316,31946
32364,39269,31943
32348,39229,31943
32340,39212,31927
32380,39212,31956
32460,39246,31935
32516,39293,31969
32560,39332,31965
32624,39351,31965
32641,39351,31969
32640,39303,31989
32608,39239,31972
32624,39231,31998
32660,39173,31988
32728,39204,31976
32780,39236,31991
32800,39278,31989
32848,39325,31999
32864,39343,32001
32840,39340,31993
32741,39303,32012
32660,39269,32001
32648,39220,32007
32564,39201,32020
32533,39221,32012
32492,39251,32021
32496,39301,32025
32508,39325,32020
32456,39353,32029
32420,39348,32028
32388,39321,32033
32377,39263,32039
32392,39239,32049
32440,39212,32037
32488,39213,32039
32572,39261,32046
32608,39303,32036
32688,39344,32052
32744,39351,32050
32754,39359,32058
32725,39319,32044
32732,39264,32077
32752,39243,32065
32724,39211,32068
32737,39217,32068
32764,39252,32077
32774,39288,32069
32744,39346,32097
32676,39348,32088
32684,39336,32091
32660,39329,32098
32669,39268,32100
32612,39238,32101
32596,39175,32110
32612,39218,32108
32661,39249,32116
32704,39289,32110
32752,39329,32132
32752,39318,32120
32757,39349,32102
32713,39319,32129
32680,39261,32124
32632,39229,32135
32669,39204,32127
32688,39215,32135
32740,39239,32133
32832,39281,32150
32856,39324,32140
32844,39351,32144
32832,39343,32148
32796,39310,32135
32766,39232,32162
32720,39223,32146
32748,39201,32143
32768,39192,32151
32856,39209,32136
32926,39268,32151
32940,39295,32143
32960,39359,32161
32960,39303,32151
32933,39316,32151
32880,39269,32157
32832,39215,32140
32824,39197,32148
32812,39183,32156
32760,39223,32142
32772,39263,32149
32884,39309,32149
33080,39318,32159
33352,39329,32151
33716,39268,32149
34393,39245,32156
35324,39196,32145
36392,39165,32156
37320,39167,32149
37936,39197,32175
38488,39237,32167
38892,39295,32158
39096,39303,32173
39168,39303,32171
39520,39284,32167
40592,39230,32164
42900,39174,32167
44640,39148,32180
44268,39164,32180
42120,39229,32172
38500,39293,32188
33556,39336,32174
28132,39420,32188
23748,39418,32185
21378,39405,32190
21000,39361,32177
22112,39266,32197
23888,39271,32196
25796,39253,32213
27494,39281,32202
28960,39312,32224
30100,39346,32220
30924,39360,32224
31504,39363,32225
31884,39327,32215
32137,39284,32245
32356,39205,32245
32512,39201,32252
32672,39196,32260
32812,39225,32250
32940,39268,32277
33008,39308,32263
33028,39335,32279
33032,39327,32261
33028,39300,32271
33052,39223,32261
33029,39201,32268
33068,39183,32263
33180,39180,32263
33249,39221,32253
33341,39256,32244
33390,39300,32251
33424,39319,32236
33433,39334,32236
33428,39284,32236
33404,39228,32228
33385,39196,32225
33372,39169,32215
33392,39172,32220
33444,39201,32212
33500,39247,32216
33526,39282,32206
33532,39276,32196
33564,39323,32202
33528,39281,32178
33486,39233,32196
33472,39193,32186
33460,39168,32190
33504,39136,32183
33560,39204,32199
33636,39217,32185
33708,39297,32185
33729,39312,32183
33733,39309,32205
33728,39271,32194
33704,39239,32193
33740,39198,32205
33756,39161,32206
33756,39199,32215
33832,39207,32225
33888,39225,32228
33991,39282,32236
34036,39311,32243
34064,39303,32244
34104,39284,32255
34116,39224,32263
34132,39196,32254
34156,39167,32276
34232,39169,32257
34308,39204,32239
34421,39227,32276
34522,39279,32268
34576,39306,32260
34624,39303,32256
34652,39273,32245
34648,39239,32244
34664,39185,32253
34752,39175,32229
34872,39167,32217
34984,39192,32222
35120,39240,32193
35256,39279,32210
35381,39295,32185
35460,39300,32192
35521,39276,32168
35584,39229,32193
35656,39175,32172
35748,39174,32164
35893,39163,32161
36068,39193,32166
36248,39232,32166
36408,39279,32167
36509,39303,32162
36597,39303,32166
36692,39271,32148
36736,39231,32166
36796,39184,32154
36893,39150,32169
36993,39156,32164
37072,39184,32180
37184,39241,32158
37296,39274,32165
37348,39300,32165
37352,39295,32164
37348,39255,32180
37320,39226,32167
37280,39175,32182
37252,39163,32172
37260,39149,32194
37264,39181,32189
37256,39236,32200
37201,39264,32198
37096,39278,32202
36916,39303,32204
36718,39268,32208
36460,39228,32212
36148,39189,32231
35854,39164,32228
35556,39160,32237
