ECG,EDA,RR
30440,36516,32442
30436,36468,32421
30408,36427,32479
30432,36413,32505
30500,36382,32455
30604,36441,32465
30620,36486,32515
30676,36537,32519
30709,36556,32477
30740,36554,32536
30700,36516,32533
30676,36461,32532
30654,36422,32559
30664,36389,32582
30752,36401,32516
30860,36441,32597
30916,36487,32609
30968,36501,32613
31000,36548,32572
31004,36532,32612
31000,36505,32640
31016,36448,32665
31044,36409,32680
31092,36380,32688
31144,36397,32618
31192,36429,32699
31241,36487,32684
31292,36487,32707
31308,36537,32704
31316,36538,32735
31304,36503,32641
31309,36421,32744
31300,36396,32752
31342,36388,32676
31405,36384,32766
31456,36431,32788
31516,36479,32718
31564,36517,32812
31608,36534,32817
31628,36534,32757
31648,36494,32820
31604,36444,32790
31600,36370,32807
31620,36376,32848
31649,36389,32879
31681,36431,32802
31760,36462,32854
31808,36501,32906
31804,36532,32928
31800,36519,32893
31816,36460,32965
31820,36428,32989
31808,36383,32902
31818,36383,32981
31844,36367,32996
31872,36396,32981
31904,36449,32988
31940,36495,33052
31924,36503,33060
31900,36503,33076
31870,36467,33014
31872,36416,33068
31916,36379,33105
31927,36332,33102
31940,36350,33085
31996,36390,33143
32068,36452,33141
32084,36487,33143
32104,36493,33199
32100,36486,33207
32092,36453,33194
32002,36415,33177
31992,36367,33263
32020,36340,33272
32041,36326,33184
32072,36376,33305
32124,36428,33296
32156,36477,33285
32168,36495,33287
32185,36487,33340
32161,36443,33357
32110,36399,33308
32080,36356,33396
32080,36327,33399
32116,36339,33365
32112,36379,33455
32178,36413,33445
32224,36455,33460
32225,36484,33439
32240,36481,33497
32264,36436,33509
32253,36407,33556
32228,36353,33463
32312,36316,33497
32340,36322,33541
32380,36359,33604
32400,36404,33616
32392,36455,33644
32364,36470,33575
32340,36444,33620
32352,36428,33708
32312,36388,33719
32285,36341,33738
32280,36308,33719
32308,36324,33700
32404,36359,33775
32504,36409,33821
32564,36436,33732
32580,36464,33863
32604,36463,33879
32568,36422,33797
32544,36376,33923
32524,36336,33918
32524,36317,33852
32504,36310,33864
32492,36356,33994
32516,36411,33986
32540,36420,33993
32532,36461,33962
32521,36461,34061
32504,36423,34070
32484,36373,33981
32520,36338,34104
32517,36320,34100
32512,36312,34110
32520,36359,34047
32580,36409,34173
32641,36455,34173
32692,36469,34087
32684,36455,34200
32694,36434,34205
32676,36383,34188
32640,36328,34252
32612,36308,34292
32668,36324,34188
32684,36356,34307
32736,36415,34292
32764,36434,34293
32800,36471,34268
32852,36465,34346
32814,36436,34381
32768,36385,34308
32708,36343,34385
32612,36315,34324
32528,36309,34447
32536,36359,34460
32612,36402,34380
32712,36449,34460
32792,36470,34429
32821,36462,34532
32780,36428,34505
32726,36377,34505
32660,36304,34583
32620,36300,34552
32620,36319,34518
32580,36350,34612
32560,36402,34599
32577,36454,34648
32588,36452,34576
32560,36452,34652
32536,36420,34711
32504,36388,34637
32445,36334,34737
32420,36317,34712
32484,36320,34756
32608,36352,34644
32848,36399,34780
32992,36440,34785
33008,36469,34830
32970,36452,34775
32929,36421,34740
32912,36372,34865
32864,36316,34900
32824,36300,34876
32856,36306,34837
32864,36343,34932
32876,36388,34930
32884,36424,34950
32852,36453,34882
32828,36441,34911
32812,36404,34945
32780,36356,35031
32772,36306,35036
32788,36284,35007
32792,36291,34980
32856,36326,35108
32944,36373,35076
33008,36415,35136
33032,36444,35044
33041,36430,35044
32972,36393,35090
32928,36340,35173
32900,36289,35165
32912,36279,35215
32952,36276,35094
33004,36311,35246
33064,36356,35264
33148,36376,35255
33168,36431,35236
33164,36431,35257
33088,36399,35273
33072,36333,35294
33064,36284,35309
33084,36268,35335
33068,36252,35312
33104,36299,35263
33140,36356,35266
33196,36393,35392
33157,36421,35400
33136,36415,35405
33112,36353,35389
33041,36327,35405
32910,36285,35449
32860,36246,35428
32961,36260,35356
33200,36303,35348
33524,36340,35478
33892,36389,35469
34520,36407,35452
35340,36397,35466
36288,36358,35488
37248,36294,35513
37880,36252,35550
38200,36239,35428
38668,36236,35436
39108,36269,35564
39404,36335,35525
39620,36369,35488
40308,36396,35493
42088,36385,35591
43656,36335,35589
43801,36294,35589
42156,36262,35534
38996,36268,35532
34542,36308,35548
29540,36366,35561
25268,36439,35676
22972,36440,35692
22400,36513,35689
23172,36508,35676
24496,36455,35675
26017,36404,35678
27556,36348,35677
28964,36321,35712
30112,36304,35767
30980,36328,35652
31572,36397,35684
31933,36396,35780
32240,36455,35813
32468,36439,35727
32604,36409,35846
32704,36356,35865
32801,36308,35862
32928,36272,35845
33040,36288,35876
33157,36324,35884
33216,36359,35918
33284,36417,35820
33340,36436,35951
33356,36433,35924
33364,36396,35912
33308,36341,35959
33320,36291,35991
33320,36277,35983
33318,36282,35847
33404,36317,35896
33476,36359,35986
33505,36380,35989
33544,36426,35876
33492,36426,35874
33460,36369,36020
33396,36332,35971
33348,36292,36036
33344,36267,35917
33408,36266,36000
33472,36307,36011
33508,36346,35981
33556,36388,36006
33564,36419,36063
33592,36421,36020
33596,36378,36065
33572,36327,35942
33552,36283,35956
33528,36257,36087
33552,36263,36073
33592,36297,36070
33656,36349,36100
33773,36381,36077
33800,36409,36015
33796,36420,36016
33788,36375,36156
33792,36321,36146
33792,36276,36121
33820,36246,36196
33884,36270,36057
33928,36295,36221
34024,36340,36174
34073,36391,36238
34100,36416,36159
34108,36403,36247
34096,36359,36204
34100,36317,36269
34120,36276,36192
34164,36239,36151
34240,36230,36245
34292,36282,36240
34356,36316,36288
34476,36359,36213
34508,36391,36158
34568,36384,36305
34588,36357,36273
34601,36273,36240
34672,36255,36300
34764,36231,36196
34848,36236,36188
34924,36259,36321
35020,36300,36288
35156,36359,36316
35253,36381,36344
35296,36388,36308
35340,36339,36247
35416,36299,36214
35488,36245,36352
35580,36221,36317
35748,36223,36359
35966,36236,36322
36164,36294,36252
36280,36349,36269
36341,36372,36358
36348,36378,36345
36364,36330,36352
36372,36295,36336
36404,36236,36332
36472,36215,36325
36544,36223,36341
36649,36255,36404
36744,36303,36399
36800,36349,36385
36864,36383,36372
36860,36372,36256
36828,36330,36250
36804,36296,36244
36752,36247,36373
36664,36221,36347
36576,36224,36300
36474,36261,36350
36416,36303,36319
36324,36353,36292
36132,36391,36206
35864,36389,36329
35573,36327,36280
35300,36311,36333
34964,36263,36203
34620,36231,36188
34338,36242,36166
34060,36281,36174
33740,36333,36212
33452,36359,36276
33097,36395,36228
32728,36401,36198
32368,36359,36265
32024,36325,36244
31758,36261,36217
