ECG,EDA,RR
34836,41473,35804
34372,41396,35812
33876,41388,35788
33380,41347,35734
33040,41289,35773
32780,41321,35745
32452,41367,35758
32142,41390,35689
31913,41453,35716
31728,41492,35741
31568,41450,35712
31232,41448,35679
30873,41396,35647
30596,41351,35665
30416,41317,35688
30280,41322,35671
30174,41365,35668
30093,41399,35597
30021,41466,35652
30044,41493,35647
30037,41495,35629
29976,41447,35574
29840,41396,35581
29828,41349,35599
29752,41316,35591
29733,41325,35541
29805,41351,35588
29848,41416,35561
29832,41420,35565
29834,41479,35532
29820,41479,35522
29792,41404,35559
29730,41397,35538
29668,41337,35542
29685,41319,35497
29760,41285,35479
29868,41351,35493
30012,41411,35543
30068,41437,35535
30100,41478,35484
30140,41479,35519
30204,41445,35532
30204,41397,35527
30184,41335,35533
30228,41307,35493
30320,41319,35512
30380,41327,35551
30448,41397,35548
30520,41453,35516
30620,41479,35530
30692,41469,35564
30689,41432,35566
30640,41381,35540
30572,41327,35520
30504,41295,35581
30544,41311,35568
30640,41343,35572
30796,41396,35529
30924,41402,35589
30989,41479,35567
30952,41469,35543
30924,41431,35572
30928,41377,35581
30940,41316,35573
30966,41284,35544
31052,41308,35565
31136,41335,35600
31172,41388,35603
31216,41403,35580
31248,41477,35592
31225,41465,35575
31140,41428,35591
31076,41373,35623
31076,41332,35608
31221,41264,35566
31292,41303,35591
31384,41350,35624
31525,41399,35633
31580,41439,35581
31604,41472,35641
31568,41468,35632
31492,41441,35591
31384,41381,35645
31352,41335,35633
31400,41303,35588
31464,41259,35649
31504,41343,35637
31516,41397,35656
31572,41445,35606
31656,41479,35655
31640,41476,35608
31639,41433,35677
31676,41383,35663
31688,41329,35668
31716,41297,35620
31756,41309,35671
31734,41313,35668
31776,41399,35683
31824,41447,35637
31804,41479,35657
31728,41479,35676
31678,41404,35673
31621,41383,35668
31617,41321,35641
31688,41300,35623
31820,41309,35675
31940,41348,35668
32058,41399,35621
32064,41445,35667
32016,41468,35655
31897,41471,35621
31724,41431,35591
31672,41370,35617
31632,41335,35645
31672,41303,35634
31732,41296,35621
31845,41338,35591
31980,41389,35631
32032,41439,35604
32036,41473,35599
31996,41471,35556
31960,41421,35558
31908,41373,35581
31806,41327,35591
31784,41294,35580
31832,41276,35543
31936,41333,35525
32030,41392,35558
32100,41401,35541
32140,41471,35545
32168,41444,35540
32140,41435,35493
32048,41326,35465
32024,41316,35477
31996,41295,35502
32028,41272,35516
32088,41320,35492
32192,41389,35492
32216,41430,35463
32248,41468,35465
32256,41453,35478
32257,41420,35418
32292,41350,35463
32263,41305,35446
32252,41274,35407
32300,41281,35445
32276,41313,35428
32256,41375,35420
32260,41390,35377
32208,41447,35373
32128,41453,35399
32048,41351,35407
32024,41351,35384
32020,41303,35382
32047,41261,35322
32076,41285,35373
32128,41315,35359
32184,41367,35356
32253,41408,35349
32289,41447,35300
32312,41432,35292
32233,41397,35316
32208,41349,35297
32222,41280,35303
32284,41255,35301
32372,41260,35264
32456,41257,35292
32624,41351,35292
32780,41391,35263
32864,41415,35268
32848,41415,35220
32748,41373,35220
32604,41285,35243
32505,41274,35255
32476,41245,35248
32424,41249,35244
32417,41287,35206
32446,41311,35206
32480,41380,35200
32530,41415,35188
32556,41399,35225
32492,41325,35213
32441,41311,35189
32432,41223,35180
32496,41230,35206
32548,41234,35207
32637,41268,35168
32752,41324,35199
32808,41366,35201
32832,41389,35188
32717,41391,35177
32592,41300,35196
32473,41300,35164
32436,41239,35192
32492,41173,35199
32564,41223,35165
32602,41261,35177
32689,41321,35204
32732,41365,35188
