ECG,EDA,RR
33972,42237,31327
34016,42184,31311
33960,42223,31305
33972,42221,31274
33912,42167,31396
33786,42148,31333
33776,42151,31288
33788,42154,31309
33820,42135,31320
33884,42205,31295
33952,42212,31295
33928,42223,31304
33880,42182,31279
33785,42191,31391
33696,42108,31375
33616,42127,31300
33594,42137,31321
33580,42106,31299
33632,42151,31303
33649,42183,31314
33672,42173,31333
33718,42192,31332
33724,42199,31328
33708,42178,31311
33648,42149,31313
33584,42119,31333
33520,42135,31348
33512,42116,31332
33528,42133,31335
33601,42177,31324
33640,42191,31342
33632,42188,31340
33604,42180,31343
33600,42174,31333
33572,42129,31318
33520,42069,31322
33484,42109,31295
33576,42132,31296
33600,42119,31372
33668,42128,31408
33708,42185,31417
33696,42179,31357
33688,42175,31316
33652,42175,31325
33656,42117,31277
33528,42095,31405
33504,42047,31306
33500,42109,31320
33492,42110,31316
33516,42148,31287
33588,42177,31384
33556,42161,31367
33550,42151,31309
33508,42103,31341
33412,42105,31282
33328,42085,31281
33292,42087,31402
33304,42095,31330
33360,42093,31326
33392,42138,31325
33488,42163,31321
33492,42151,31316
33436,42143,31319
33396,42088,31328
33316,42098,31299
33256,42071,31329
33196,42079,31332
33184,42081,31333
33226,42080,31319
33248,42119,31309
33280,42135,31296
33328,42128,31362
33308,42124,31398
33197,42124,31398
33128,42073,31362
33044,42056,31413
33056,42061,31433
33064,42063,31430
33140,42076,31396
33152,42116,31347
33188,42132,31351
33249,42132,31393
33240,42119,31376
33148,42065,31402
33080,42065,31383
32976,42047,31365
32929,42047,31349
32904,42059,31480
32888,42063,31488
32956,42093,31423
33005,42119,31429
32997,42108,31439
32964,42100,31420
32988,42100,31415
32928,42057,31453
32824,42033,31415
32796,42039,31524
32800,42012,31544
32820,42044,31484
32879,42081,31466
32888,42114,31449
32880,42060,31472
32840,42053,31560
32824,42082,31532
32749,42045,31466
32640,41980,31495
32568,42029,31484
32580,42030,31479
32629,42037,31462
32594,42073,31582
32628,42055,31597
32604,42095,31600
32560,42085,31589
32540,42079,31553
32520,42036,31561
32480,42012,31550
32433,42020,31620
32456,42020,31629
32588,42028,31644
32684,42015,31623
32776,42095,31581
32850,42076,31596
32828,42023,31641
32780,42065,31645
32793,42009,31607
32840,41991,31605
32908,41961,31589
33072,42001,31588
33180,42005,31611
33268,42049,31631
33368,42079,31622
33361,42075,31617
33316,42061,31622
33217,42021,31639
33088,42009,31649
32988,41985,31730
32908,41983,31663
32916,41990,31645
32996,41960,31637
33057,42021,31718
33101,42056,31750
33124,42059,31772
33124,42035,31746
33056,42029,31759
33020,41991,31772
32948,41972,31764
32932,41969,31771
32964,41980,31714
32988,41982,31726
32992,42023,31716
33032,42031,31760
33033,42043,31826
32978,41980,31788
32864,42023,31764
32808,41991,31786
32748,41958,31773
32700,41956,31770
32724,41949,31760
32748,41967,31851
32792,42013,31886
32832,42021,31895
32868,42021,31815
32876,42007,31815
32868,41991,31847
32820,41965,31847
32758,41913,31833
32696,41942,31832
32666,41951,31925
32573,41959,31900
32262,41991,31887
31604,42022,31905
