ECG,EDA,RR
30878,44573,37808
30936,44575,37748
31028,44568,37743
31060,44548,37681
31120,44615,37682
31164,44615,37624
31176,44605,37619
31149,44604,37597
31148,44567,37545
31152,44536,37530
31152,44551,37498
31136,44492,37495
31156,44551,37477
31269,44580,37456
31452,44599,37445
31500,44591,37427
31504,44542,37383
31430,44591,37396
31304,44551,37353
31188,44523,37356
31040,44535,37329
30980,44533,37319
30949,44540,37292
30968,44551,37296
31004,44518,37271
31048,44574,37254
31048,44572,37228
31056,44551,37190
31060,44477,37191
31060,44512,37149
31020,44512,37149
31048,44508,37116
31073,44516,37095
31100,44546,37085
31084,44579,37041
31064,44560,37044
31040,44551,36999
31008,44551,36992
30933,44518,36964
30936,44510,36965
30948,44486,36935
30956,44514,36920
30932,44514,36896
30816,44540,36908
30748,44546,36871
30652,44547,36863
30552,44548,36838
30425,44487,36809
30281,44516,36816
30244,44488,36792
30220,44499,36793
30174,44500,36775
30172,44506,36761
30112,44521,36767
30124,44543,36742
30024,44538,36751
29888,44537,36727
29816,44534,36732
29724,44488,36709
29676,44487,36716
29668,44477,36703
29676,44495,36706
29712,44488,36688
29784,44509,36701
29780,44510,36697
29772,44547,36703
29736,44530,36704
29612,44518,36704
29504,44492,36702
29433,44482,36687
29342,44477,36695
29341,44417,36709
29336,44481,36713
29364,44508,36708
29417,44534,36709
29402,44513,36724
29384,44516,36720
29276,44519,36735
29148,44490,36730
29088,44423,36693
29080,44463,36754
29104,44475,36743
29164,44476,36743
29178,44453,36773
29185,44521,36759
29236,44516,36761
29316,44509,36773
29376,44505,36781
29476,44423,36767
29596,44455,36784
29792,44452,36785
29980,44464,36781
30152,44447,36799
30340,44482,36793
30556,44505,36772
30700,44503,36798
30872,44493,36797
31084,44425,36786
31321,44439,36795
31572,44433,36788
31788,44428,36789
31973,44439,36783
32156,44437,36767
32340,44460,36788
32460,44415,36782
32601,44487,36780
32781,44460,36768
32876,44454,36764
32940,44423,36769
32996,44404,36759
33020,44407,36772
33030,44409,36771
33064,44415,36743
33156,44439,36756
33300,44463,36743
33438,44460,36725
33576,44413,36743
33684,44444,36734
33672,44420,36724
33624,44391,36727
33500,44358,36704
33436,44399,36716
33468,44397,36697
33452,44423,36711
33420,44380,36698
33398,44439,36711
33380,44430,36678
33360,44423,36665
33316,44397,36660
33304,44329,36631
33273,44359,36606
33204,44377,36604
33232,44381,36573
33300,44399,36566
33398,44423,36532
33424,44380,36497
33460,44415,36501
33472,44411,36460
33508,44383,36423
33520,44356,36408
33549,44356,36372
33600,44371,36348
33604,44317,36316
33616,44388,36297
33616,44407,36249
33680,44391,36237
33676,44389,36181
33708,44396,36156
33804,44367,36118
33836,44349,36078
33892,44348,36037
33924,44349,36017
33908,44359,35974
33884,44319,35936
33816,44397,35881
33720,44396,35884
33593,44383,35831
33500,44379,35790
33460,44349,35788
33460,44324,35725
33388,44324,35676
33365,44328,35679
33420,44340,35615
33412,44367,35564
33393,44337,35545
33336,44364,35509
33297,44381,35504
33240,44367,35438
33199,44349,35397
33204,44313,35400
33188,44317,35327
33208,44269,35282
33220,44326,35288
33256,44341,35245
33264,44365,35200
33222,44372,35172
33176,44313,35132
33156,44344,35158
33169,44325,35091
33076,44273,35092
33057,44302,35049
33061,44308,35056
33124,44317,35007
33208,44293,35023
33220,44359,34956
33172,44364,34954
33152,44353,34913
33097,44340,34894
33084,44295,34902
33041,44289,34855
33038,44289,34897
33079,44292,34848
33120,44263,34856
33180,44328,34810
33248,44340,34805
33292,44340,34833
33328,44333,34789
33301,44311,34779
33300,44302,34740
33248,44279,34806
33224,44231,34750
33260,44288,34783
33256,44295,34716
33332,44265,34695
33372,44332,34751
33356,44329,34711
33380,44262,34745
33456,44316,34700
33456,44287,34632
33436,44269,34684
33457,44252,34655
33468,44260,34714
33448,44271,34660
33464,44295,34616
33480,44284,34684
33460,44311,34629
33392,44295,34661
33392,44295,34591
33333,44224,34599
33284,44255,34587
33292,44244,34591
33272,44255,34567
33300,44263,34610
33360,44267,34551
33392,44294,34535
33384,44295,34521
33344,44279,34513
33292,44283,34535
33284,44256,34500
33232,44247,34548
33212,44236,34476
33236,44247,34473
33210,44249,34472
33256,44244,34469
33264,44286,34462
33220,44287,34433
33164,44276,34429
33144,44268,34481
33048,44208,34395
32972,44229,34388
32956,44223,34444
32972,44231,34386
32916,44181,34390
32964,44253,34407
33092,44273,34358
33108,44277,34351
33056,44214,34358
33001,44262,34326
32984,44236,34354
32920,44181,34311
32880,44213,34340
32872,44209,34325
32928,44215,34268
32913,44183,34303
32924,44271,34303
32920,44255,34322
32848,44247,34308
32745,44247,34277
32668,44222,34241
32600,44199,34282
32560,44196,34266
32564,44199,34271
32580,44137,34303
32596,44167,34245
32684,44253,34238
32796,44233,34287
32860,44236,34244
32910,44220,34249
32888,44203,34205
32840,44183,34280
32844,44180,34228
32857,44180,34219
32844,44183,34281
32848,44217,34200
32952,44233,34224
32992,44231,34235
32968,44225,34225
32904,44216,34256
32870,44189,34218
32880,44127,34224
32820,44166,34256
32792,44167,34199
32778,44173,34183
32841,44199,34202
32948,44218,34183
32974,44207,34260
32992,44209,34212
33056,44200,34207
32988,44175,34183
32921,44165,34201
32889,44148,34149
32925,44153,34212
33013,44167,34196
33080,44176,34249
33158,44151,34191
33180,44167,34201
33152,44194,34181
33113,44188,34244
33028,44164,34181
32896,44125,34183
32800,44140,34237
32804,44099,34193
32844,44142,34228
32848,44160,34183
32892,44183,34196
32856,44197,34157
32820,44188,34246
32748,44132,34160
32596,44155,34161
32360,44129,34226
31868,44132,34158
31060,44137,34174
30032,44144,34143
29125,44157,34197
28420,44181,34165
27820,44189,34215
27264,44123,34126
26816,44167,34188
26804,44159,34117
27104,44126,34115
27800,44121,34192
29120,44132,34100
31348,44135,34095
34180,44109,34177
37588,44167,34090
41116,44156,34073
44156,44142,34130
46056,44143,34072
46964,44123,34122
47196,44090,34117
46400,44085,34082
44624,44103,34055
43068,44108,34145
41872,44132,34068
40724,44157,34055
39992,44149,34137
39582,44116,34051
39072,44133,34085
38312,44119,34036
37504,44090,34052
36704,44077,34054
35868,44093,34082
34992,44087,34047
34272,44125,33997
33676,44145,34087
33088,44148,34036
32392,44135,34013
31808,44141,34099
31429,44103,34050
31184,44093,34127
31012,44090,34044
30937,44090,34051
30929,44095,34138
30914,44110,34111
30884,44143,34132
30798,44145,34164
30680,44082,34164
30630,44119,34234
30632,44108,34206
30588,44087,34265
30596,44068,34233
30685,44063,34293
30764,44084,34251
30884,44111,34305
30956,44133,34273
30999,44107,34255
31008,44124,34296
31048,44106,34358
30992,44089,34298
30938,44039,34284
30956,44053,34348
30992,44070,34301
30988,44038,34351
31028,44090,34335
31096,44116,34373
31137,44061,34337
31194,44117,34391
31207,44105,34345
31218,44079,34345
31204,44065,34311
31148,44039,34286
31096,44033,34317
31112,44068,34292
31088,44078,34292
31201,44097,34236
31366,44108,34225
31374,44098,34167
31372,44092,34204
31332,44039,34158
31280,44039,34100
31284,44039,34144
31300,44039,34055
31260,44039,34017
31252,44068,34071
31220,44095,33996
31236,44095,33933
31268,44069,33972
31260,44077,33930
31212,44063,33916
31072,44039,33881
30948,44034,33858
30880,43992,33918
30916,44039,33839
30968,44063,33860
31008,44089,33812
31032,44094,33786
31048,44076,33845
31052,44015,33785
31032,44055,33838
30944,44023,33799
30940,43972,33866
31040,44028,33826
31032,44022,33829
30972,43996,33828
30944,44071,33917
30932,44082,33861
30976,44055,33889
30978,44052,33881
30892,44039,33868
30820,44013,33953
30776,44001,33927
30717,44015,34001
30650,44032,33961
30665,44031,34045
30708,44071,33992
30652,44068,33981
30586,44067,34036
30549,44055,34054
30432,43972,34092
30335,44014,34061
30244,44006,34092
30272,44004,34164
30279,44008,34124
30364,44034,34180
30432,44052,34151
30452,44055,34156
30484,44050,34244
30400,44037,34193
30264,44020,34196
30229,44005,34254
30240,43999,34221
30304,44007,34277
30368,43956,34228
30398,44018,34231
30408,44039,34301
30392,44039,34244
30365,43990,34229
30328,44035,34246
30372,44015,34236
30420,43988,34265
30488,43973,34244
30649,43981,34301
30804,43949,34255
30936,44004,34280
31104,44039,34249
31264,43983,34273
31432,44021,34213
31608,44011,34234
31804,43997,34214
32024,43962,34250
32217,43920,34183
32414,43965,34230
32542,43964,34165
32649,43980,34194
32808,44005,34116
33042,44001,34154
33148,43996,34099
33200,43996,34055
33262,43927,34083
33336,43955,34040
33412,43943,34089
33461,43943,34016
33520,43949,33992
33620,43935,33964
33680,43990,33888
33717,43994,33957
33761,43983,33925
33728,43974,33949
33708,43957,33897
33718,43927,33880
33744,43918,33871
33784,43892,33836
33812,43926,33848
33820,43945,33782
33796,43974,33747
33780,43940,33753
33804,43956,33708
33884,43959,33700
33941,43937,33661
33944,43908,33659
33948,43911,33607
33976,43910,33606
34040,43885,33543
34080,43932,33548
