ECG,EDA,RR
32780,45543,32836
32654,45523,32844
32617,45511,32948
32628,45505,32963
32757,45524,32842
32900,45569,32857
33044,45543,32859
33033,45535,32868
33001,45532,32879
33016,45509,32981
32969,45512,32900
32897,45478,32884
32948,45495,32841
32992,45485,32856
33032,45504,32828
33117,45520,32820
33168,45575,32804
33236,45565,32868
33224,45552,32903
33132,45536,32956
33024,45478,32825
32912,45461,32844
32832,45444,32871
32744,45439,32832
32808,45438,32879
33013,45469,32932
33114,45484,32857
33128,45485,32849
33108,45467,32820
33052,45509,32917
32956,45446,32993
32888,45423,32879
32924,45436,32893
32936,45421,32849
32908,45435,32887
32968,45489,33009
32984,45513,32928
32940,45508,32903
32881,45493,32862
32820,45428,32975
32804,45423,32981
32740,45405,32863
32712,45399,32895
32804,45407,32847
32812,45415,32864
32908,45447,32996
32864,45487,32985
32570,45463,32885
31928,45445,32850
30952,45446,32862
29864,45405,32805
28884,45372,32944
28097,45381,32929
27528,45326,32890
27031,45400,32800
26780,45447,32820
26930,45465,32820
27388,45447,32752
28292,45447,32833
29752,45425,32857
32064,45380,32766
34988,45308,32799
38364,45348,32744
41952,45335,32888
44860,45341,32748
46524,45388,32774
47320,45396,32709
47444,45397,32852
46404,45393,32740
44328,45384,32721
42408,45335,32736
41088,45308,32759
40076,45292,32736
39392,45305,32674
39032,45319,32830
38692,45372,32711
38140,45388,32690
37456,45389,32821
36750,45372,32679
36089,45348,32719
35329,45309,32718
34528,45284,32740
33868,45284,32687
33289,45295,32653
32640,45311,32748
32148,45331,32722
31828,45384,32801
31601,45380,32788
31468,45373,32772
31364,45349,32725
31172,45305,32893
31040,45277,32775
31020,45273,32825
31092,45284,32837
31212,45295,32801
31328,45356,32974
31420,45348,32940
31412,45332,32877
31369,45287,32892
31264,45283,32941
31156,45253,32967
31118,45260,32924
31140,45231,33081
31164,45262,32959
31224,45276,32952
31296,45318,33040
31414,45349,33036
31532,45341,33007
31584,45319,33043
31552,45319,33065
31512,45245,33095
31440,45229,32988
31424,45229,33004
31413,45255,32952
31452,45268,32924
31569,45295,33024
31580,45319,32909
31480,45319,32917
31500,45308,32912
31548,45292,32844
31448,45245,32970
31406,45223,32865
31429,45231,32782
31480,45228,32771
31596,45247,32759
31727,45292,32731
31808,45311,32620
31776,45315,32724
31692,45301,32644
31624,45239,32582
31524,45212,32590
31396,45173,32500
31377,45156,32645
31428,45198,32471
31400,45205,32492
31377,45257,32428
31513,45261,32364
31500,45242,32528
31332,45280,32535
31162,45276,32514
31100,45220,32383
31127,45191,32367
31125,45204,32333
31086,45207,32303
31052,45220,32477
31128,45270,32357
31224,45270,32359
31212,45243,32297
31196,45235,32482
31113,45203,32484
30988,45223,32473
30840,45189,32427
30757,45191,32391
30664,45191,32352
30612,45213,32542
30660,45263,32421
30728,45293,32459
30700,45280,32415
30614,45272,32575
30462,45225,32452
30266,45169,32530
30168,45167,32601
30156,45188,32524
30156,45207,32577
30084,45207,32557
30116,45253,32706
30140,45280,32580
30116,45285,32596
30052,45276,32736
30056,45260,32673
29972,45213,32636
29828,45188,32668
29732,45183,32727
29741,45197,32807
29756,45223,32709
29780,45271,32703
29800,45299,32654
29809,45289,32820
29724,45281,32694
29620,45265,32735
29560,45220,32679
29524,45191,32764
29604,45204,32752
29806,45204,32687
30016,45220,32810
30160,45213,32745
30312,45268,32689
30360,45293,32807
30432,45281,32756
30516,45268,32684
30585,45225,32806
30680,45189,32692
30856,45190,32698
31020,45204,32799
31280,45205,32731
31600,45264,32679
31933,45284,32681
32148,45280,32669
32300,45265,32754
32468,45255,32661
32544,45204,32641
32584,45155,32660
32718,45124,32631
32902,45167,32629
33064,45205,32584
33224,45255,32593
33352,45260,32513
33509,45273,32615
33645,45257,32532
33748,45238,32479
33756,45188,32633
33748,45156,32465
33764,45165,32454
33796,45138,32562
33896,45183,32423
34048,45239,32386
34184,45255,32503
34256,45245,32380
34220,45241,32384
34220,45233,32452
34156,45179,32320
34137,45156,32340
34141,45111,32230
34139,45132,32391
34148,45127,32263
34165,45208,32245
34192,45249,32309
34192,45239,32171
34160,45223,32178
34152,45220,32076
34152,45158,32231
34072,45141,32063
34077,45142,32004
34224,45140,32159
34328,45153,31975
34429,45205,31908
34528,45216,32061
34532,45220,31900
34516,45223,31812
34504,45198,31936
34421,45127,31804
34348,45095,31733
34332,45121,31849
34432,45137,31722
34474,45115,31700
34496,45159,31599
34572,45212,31692
34512,45213,31743
34460,45201,31621
34432,45191,31597
34364,45150,31494
34196,45127,31665
34140,45121,31493
34137,45129,31501
34152,45140,31438
34116,45191,31476
34068,45223,31532
34040,45216,31393
34036,45204,31357
33968,45190,31311
33892,45146,31416
33796,45124,31284
33804,45073,31225
33853,45099,31352
33908,45130,31220
33900,45191,31217
33948,45213,31124
33884,45191,31287
33740,45215,31165
33600,45191,31105
33600,45140,31222
33580,45060,31161
33596,45121,31124
33570,45097,31014
33613,45106,31213
33708,45140,31050
33696,45175,31072
33634,45164,30964
33516,45167,31153
33396,45156,31024
33308,45140,30951
33288,45078,31097
33352,45104,31020
33361,45100,31017
33384,45149,30897
33365,45199,31052
33388,45224,30949
33420,45221,30999
33520,45215,30959
