ECG,EDA,RR
33940,51651,32802
33908,51596,32818
33924,51644,32775
33956,51655,32748
33968,51671,32724
34033,51646,32718
34085,51766,32724
34140,51764,32669
34100,51719,32509
34037,51789,32527
34000,51756,32587
33960,51747,32604
33913,51748,32697
33900,51748,32743
33924,51786,32684
33973,51831,32535
34024,51825,32379
34028,51892,32359
33984,51887,32351
33948,51893,32352
33864,51867,32297
33732,51791,32287
33732,51863,32299
33768,51847,32289
33756,51884,32323
33817,51942,32241
33808,51974,32251
33798,51999,32228
33748,51999,32215
33692,51927,32212
33612,51975,32328
33508,51951,32455
33500,51971,32417
33476,51943,32417
33504,52007,32348
33569,52060,32317
33594,52095,32345
33556,52063,32333
33528,52103,32284
33548,52119,32220
33504,52077,32215
33436,51997,32228
33416,52069,32159
33429,52093,32197
33436,52103,32246
33422,52156,32229
33493,52141,32213
33576,52213,32116
33597,52207,32124
33556,52213,32129
33457,52165,32119
33372,52157,32100
33304,52159,32248
33298,52198,32364
33308,52207,32391
33288,52252,32343
33344,52263,32254
33380,52318,32233
33348,52306,32239
33332,52319,32239
33302,52260,32196
33204,52279,32067
33164,52260,32101
33164,52295,32321
33300,52309,32201
33376,52357,32191
33408,52325,32191
33420,52397,31996
33436,52407,32276
33444,52413,32260
33376,52372,32176
33276,52359,32172
33252,52377,32271
33289,52389,32153
33312,52333,32153
33469,52445,32178
33593,52484,32095
33496,52463,31956
33380,52480,32237
33332,52497,32174
33269,52476,32148
33132,52452,32149
33108,52439,32167
33172,52482,32133
33290,52487,32067
33388,52540,32003
33536,52583,32077
33588,52605,32145
33524,52591,32216
33492,52606,32164
33420,52583,32152
33336,52519,32148
33352,52575,32164
33392,52591,32184
33360,52583,32095
33344,52633,32001
33368,52615,32000
33424,52655,32005
33336,52693,32127
33288,52692,32294
33276,52668,32237
33260,52608,32201
33228,52644,32223
33184,52678,32190
33172,52687,32227
33220,52741,32172
33308,52704,32109
33364,52759,32065
33380,52803,32047
33344,52806,32198
33353,52767,32293
33268,52743,32246
33200,52708,32262
33181,52772,32172
33208,52780,32073
33236,52839,32233
33332,52808,32391
33352,52889,32299
33312,52892,32263
33124,52885,32263
32744,52868,32277
32116,52858,32272
31332,52804,32277
30332,52880,32315
29397,52908,32301
28712,52925,32300
28132,52989,32311
27668,52999,32316
27162,52999,32330
26976,52953,32313
27062,52980,32161
27606,52954,32263
28751,52973,32445
30868,52992,32357
33806,52998,32358
37384,53065,32396
41148,53053,32373
44673,53124,32356
47184,53124,32288
