ECG,EDA,RR
33180,38809,30626
33288,38812,30676
33324,38780,30641
33313,38744,30636
33312,38714,30652
33356,38756,30647
33356,38714,30645
33372,38775,30632
33440,38774,30681
33436,38807,30629
33369,38811,30636
33345,38765,30636
33288,38772,30622
33184,38741,30671
33188,38731,30636
33252,38740,30632
33316,38745,30631
33324,38775,30665
33341,38805,30623
33388,38809,30649
33404,38773,30637
33416,38785,30599
33413,38753,30631
33332,38733,30673
33312,38732,30670
33272,38738,30641
33276,38743,30642
33324,38756,30629
33344,38791,30683
33316,38804,30663
33332,38791,30655
33321,38783,30641
33332,38749,30685
33304,38724,30681
33280,38732,30676
33252,38735,30680
33246,38740,30676
33252,38757,30691
33284,38792,30703
33310,38791,30686
33280,38789,30692
33240,38788,30692
33192,38744,30727
33116,38727,30718
33132,38706,30715
33185,38724,30725
33168,38728,30725
33160,38759,30727
33084,38783,30749
32964,38791,30764
32480,38788,30761
31700,38789,30752
30736,38761,30765
29696,38733,30765
28864,38700,30764
28088,38764,30763
27438,38764,30793
26860,38791,30792
26581,38815,30788
26592,38791,30791
27024,38813,30804
27996,38812,30839
29760,38774,30843
32580,38740,30820
36012,38724,30820
39784,38716,30820
43428,38701,30864
46408,38724,30872
48304,38742,30847
49309,38751,30855
49320,38740,30901
47976,38748,30869
46180,38712,30885
44888,38694,30877
43728,38700,30901
42613,38709,30933
41953,38710,30897
41328,38757,30909
40582,38774,30926
39572,38791,30918
38576,38767,30914
37568,38804,30906
36540,38759,30943
35460,38742,30932
34493,38753,30948
33624,38757,30936
32840,38772,30943
32276,38799,30977
31857,38836,30966
31572,38802,30984
31340,38828,30988
31160,38828,31031
30974,38806,31026
30804,38791,31040
30708,38797,31077
30676,38791,31084
30632,38804,31079
30648,38836,31132
30689,38856,31140
30704,38862,31157
30701,38864,31151
30688,38857,31202
30592,38815,31206
30552,38807,31222
30560,38773,31239
30660,38820,31253
30708,38782,31269
30732,38846,31293
30792,38887,31308
30844,38881,31324
30913,38882,31335
30912,38877,31367
30896,38853,31359
30826,38837,31335
30836,38831,31375
30916,38842,31378
31012,38852,31381
31131,38886,31380
31280,38906,31381
31304,38916,31394
31264,38900,31375
31249,38905,31376
31212,38857,31375
31162,38869,31372
31126,38872,31352
31172,38831,31353
31240,38879,31364
31324,38911,31342
31364,38919,31329
31396,38964,31314
31373,38944,31343
31333,38919,31304
31236,38917,31291
31156,38908,31279
31096,38893,31295
31056,38917,31262
31044,38919,31263
31040,38959,31239
31050,38985,31270
31056,38996,31255
30960,38997,31224
30796,38987,31277
30720,38981,31242
30672,38956,31235
30624,38950,31247
30611,38964,31239
30636,38975,31262
30624,39013,31268
30564,39013,31264
30476,39041,31291
30433,39054,31280
30352,39041,31305
30264,39023,31344
30172,39004,31334
30144,39001,31358
30094,39016,31360
30048,39033,31398
30064,39063,31424
30096,39093,31445
30056,39101,31458
29957,39063,31482
29880,39103,31476
29788,39078,31544
29684,39031,31547
29632,39063,31556
29640,39079,31615
29584,39084,31616
29528,39127,31608
29508,39119,31669
29472,39167,31676
29412,39171,31705
29372,39161,31724
29248,39151,31732
29188,39094,31743
29108,39123,31794
29076,39135,31785
29129,39120,31803
29166,39175,31844
29222,39207,31832
29208,39223,31853
29164,39231,31861
29164,39197,31868
29136,39207,31900
29105,39197,31893
29088,39157,31911
29140,39204,31922
29168,39220,31940
29272,39247,31940
29412,39284,31941
29504,39244,31944
29628,39287,31972
29748,39289,31957
29868,39264,31966
30000,39253,31961
30168,39216,31982
30364,39253,31980
30540,39268,31977
30728,39301,31975
30960,39341,31992
31240,39299,31993
31536,39341,31985
31772,39349,31980
32008,39324,31994
32196,39302,31993
32320,39300,31995
32516,39317,31988
32652,39288,31987
32816,39361,31987
32928,39388,32003
33040,39372,31994
33076,39397,31982
33120,39401,31970
33196,39364,31975
33204,39361,31967
33280,39377,31973
33389,39380,31980
33469,39379,31952
33616,39417,31955
33678,39463,31957
33692,39469,31943
33692,39468,31940
33668,39460,31947
33672,39431,31922
33594,39431,31912
33568,39399,31901
33600,39431,31885
33560,39463,31911
33612,39492,31874
33726,39521,31855
33792,39527,31839
33772,39534,31826
33764,39519,31820
33728,39533,31775
33716,39468,31765
33704,39502,31746
33728,39517,31751
33720,39521,31712
33748,39559,31700
33864,39605,31680
33933,39609,31653
33880,39599,31597
33780,39616,31663
33692,39552,31653
33696,39565,31628
33728,39575,31608
33772,39597,31582
33812,39591,31577
33856,39645,31565
33906,39677,31538
33884,39650,31529
33844,39681,31572
33800,39687,31553
33661,39654,31517
33560,39647,31509
33568,39657,31511
33630,39655,31492
33656,39675,31470
33766,39711,31520
33780,39711,31495
33752,39762,31478
33740,39759,31461
33736,39761,31471
33728,39745,31463
33668,39727,31458
33664,39727,31440
33636,39737,31469
33572,39749,31478
33605,39775,31441
33624,39839,31444
33621,39839,31455
33528,39835,31472
33492,39844,31432
33494,39782,31453
33445,39789,31439
33436,39805,31469
33500,39805,31482
33509,39821,31448
33524,39871,31460
33581,39900,31467
33560,39909,31468
33493,39895,31508
33436,39911,31508
33344,39892,31468
33264,39876,31476
33240,39875,31524
33228,39889,31491
33256,39909,31495
33320,39935,31484
33416,39975,31562
33376,39943,31513
33368,39985,31531
33396,39997,31546
33408,39956,31536
33332,39919,31538
33329,39943,31564
33352,39966,31551
33404,39972,31562
33448,40017,31543
33526,40052,31558
33524,40055,31608
33496,40031,31559
33447,40046,31570
33381,40037,31551
33348,40023,31618
33416,40029,31573
33440,40037,31577
33456,40055,31570
33548,40087,31612
33602,40116,31564
33604,40092,31588
33581,40121,31581
33492,40133,31575
33452,40092,31572
33437,40083,31590
33524,40092,31634
33485,40086,31615
33472,40113,31587
33508,40159,31591
33568,40199,31577
33548,40193,31565
33480,40183,31602
33468,40196,31573
33436,40172,31581
33396,40148,31623
33388,40152,31597
33374,40174,31579
33356,40189,31569
33428,40220,31609
33420,40257,31572
33396,40263,31566
33358,40263,31565
33320,40265,31597
33262,40197,31571
33216,40214,31577
33161,40225,31522
33112,40236,31603
33108,40255,31559
33136,40281,31573
33102,40324,31557
32980,40321,31612
32880,40317,31605
32840,40297,31572
32789,40311,31562
32768,40285,31576
32768,40247,31605
32772,40299,31604
32752,40315,31623
32788,40348,31610
32848,40356,31580
32884,40388,31599
32912,40378,31589
32896,40387,31655
32856,40356,31620
32832,40322,31620
32853,40336,31618
32849,40356,31675
32880,40361,31638
32973,40405,31650
33138,40398,31626
33224,40444,31657
33240,40405,31639
33226,40440,31652
33182,40423,31621
33104,40363,31696
33056,40417,31657
33060,40409,31671
33100,40422,31648
33128,40455,31713
33176,40454,31681
33160,40485,31690
33172,40503,31690
33188,40500,31697
33160,40477,31705
33104,40450,31678
33072,40452,31749
33061,40453,31703
33072,40479,31714
33104,40510,31701
33096,40539,31765
33076,40545,31780
33060,40543,31741
32984,40547,31739
32956,40509,31725
32900,40503,31777
32888,40455,31781
32852,40509,31773
32840,40519,31743
32884,40551,31833
32948,40583,31775
33008,40556,31796
32992,40599,31777
32908,40591,31852
32888,40559,31824
32856,40541,31816
32813,40539,31802
32808,40548,31866
32828,40573,31863
32836,40597,31833
32916,40621,31861
32948,40599,31841
32956,40627,31884
32892,40631,31909
32896,40562,31876
32836,40572,31879
32662,40583,31919
32416,40583,31926
32020,40610,31914
31332,40647,31910
30416,40672,31960
29436,40686,31927
28620,40664,31945
27868,40681,31937
27192,40661,31981
26576,40623,32004
26316,40645,31996
26300,40655,31967
26816,40629,31983
27790,40681,31959
29948,40724,31953
33052,40706,32041
36772,40695,32012
40349,40672,32010
43616,40644,32029
46412,40609,31996
48296,40601,32081
49412,40605,32041
49436,40623,32074
48068,40668,32066
46416,40696,32038
45020,40694,32134
43776,40699,32117
42756,40703,32109
42008,40679,32098
41264,40655,32165
40304,40660,32167
39112,40665,32147
38112,40685,32164
37108,40732,32144
36117,40756,32193
35108,40767,32222
34148,40772,32208
33188,40760,32209
32282,40745,32220
31532,40719,32263
31004,40724,32296
30688,40732,32279
30560,40733,32309
30524,40781,32317
30504,40801,32376
30456,40807,32388
30432,40800,32377
30400,40804,32404
30361,40772,32398
30284,40700,32469
30208,40743,32457
30126,40765,32487
30084,40768,32487
30104,40795,32559
30184,40831,32553
30248,40825,32565
30232,40823,32591
30212,40828,32606
30236,40773,32628
30224,40774,32628
30296,40773,32674
30372,40780,32681
30464,40783,32694
30560,40820,32698
30690,40854,32757
30752,40846,32749
30748,40804,32756
30704,40839,32772
30664,40807,32775
30696,40782,32772
30740,40759,32767
30756,40789,32807
30816,40783,32788
30892,40839,32775
30989,40863,32805
30988,40852,32772
30940,40805,32760
30904,40860,32749
30880,40817,32768
30798,40756,32750
30741,40804,32722
30692,40807,32713
30720,40781,32697
30780,40852,32676
30860,40868,32668
30900,40838,32700
30864,40864,32655
30776,40871,32632
30696,40839,32644
30572,40812,32654
30529,40814,32615
