ECG,EDA,RR
33340,36817,32477
33416,36849,32524
33424,36837,32516
33441,36831,32424
33480,36815,32492
33296,36758,32487
33172,36762,32420
33228,36771,32484
33248,36775,32448
33468,36800,32391
33340,36829,32445
33316,36844,32428
33260,36837,32422
33316,36821,32391
33320,36790,32365
33344,36764,32391
33272,36755,32353
33288,36765,32340
33384,36763,32375
33393,36791,32383
33348,36828,32324
33388,36837,32385
33352,36837,32360
33296,36821,32294
33188,36797,32359
33136,36756,32356
33085,36745,32289
33078,36749,32357
33248,36767,32348
33212,36767,32293
33184,36831,32354
33188,36835,32343
33272,36811,32292
33192,36823,32362
33152,36797,32349
33092,36759,32287
33053,36716,32349
33140,36752,32359
33220,36756,32289
33190,36753,32325
33272,36820,32373
33268,36825,32369
33300,36827,32321
33292,36815,32375
33189,36791,32322
32997,36756,32392
33012,36732,32356
32948,36743,32394
33060,36753,32372
33021,36775,32436
33054,36813,32448
32972,36799,32399
33024,36819,32456
32989,36816,32429
32965,36784,32460
32856,36755,32485
32741,36714,32485
32580,36759,32526
32692,36759,32540
32832,36770,32508
32876,36807,32564
32925,36828,32560
32810,36806,32601
32748,36804,32540
32732,36796,32630
32653,36753,32639
32596,36737,32592
32620,36751,32647
32778,36748,32692
32912,36779,32639
33041,36810,32699
33036,36829,32673
33124,36828,32741
32990,36807,32733
32884,36788,32773
32956,36740,32740
33012,36732,32775
32944,36743,32756
32908,36753,32763
32984,36773,32815
32984,36812,32771
33012,36836,32866
32988,36815,32879
32952,36806,32807
32964,36789,32914
32892,36759,32903
32800,36713,32894
32752,36759,32890
32772,36753,32962
32840,36777,32954
32966,36807,32991
32885,36821,32920
32825,36828,33007
32740,36823,32984
32652,36791,33041
32736,36756,33069
32681,36739,33020
32848,36756,33113
32944,36750,33108
32740,36785,33059
32628,36801,33159
32972,36832,33199
32860,36827,33175
32688,36828,33225
32584,36775,33281
32472,36766,33268
32332,36756,33327
32580,36767,33308
32570,36764,33368
32228,36790,33320
32236,36837,33459
32636,36839,33456
32696,36845,33433
32868,36830,33509
32884,36820,33550
32877,36775,33500
32728,36767,33588
32572,36781,33628
32172,36794,33572
31808,36805,33692
30525,36857,33721
29164,36887,33680
28616,36871,33741
27880,36887,33799
27172,36863,33742
26452,36791,33825
26277,36821,33885
25924,36820,33798
26548,36839,33943
27692,36852,33960
30750,36895,33996
33956,36901,33980
37881,36844,33940
41800,36839,34031
44664,36805,34121
47088,36764,34156
48552,36759,34175
49080,36769,34201
48372,36780,34231
46676,36801,34276
45352,36853,34224
44940,36863,34277
43052,36865,34376
41806,36868,34343
41504,36845,34453
40736,36818,34486
39436,36814,34464
38652,36837,34525
37864,36831,34581
35800,36888,34612
34984,36934,34609
33540,36956,34599
32140,36965,34684
31748,36957,34736
30996,36948,34790
30032,36913,34705
29004,36916,34791
28565,36909,34809
28264,36940,34735
28592,36956,34848
28792,36999,34841
28404,37018,34772
29157,37031,34759
29064,37026,34822
28972,37015,34809
29256,36975,34764
28900,36960,34686
29176,36975,34616
29724,36941,34630
29920,36996,34660
30182,37013,34601
30247,37064,34564
30476,37068,34533
30288,37065,34386
29960,37053,34300
30036,36988,34284
29780,37023,34287
29740,37031,34190
29945,37039,34137
29870,37065,34080
29868,37119,33951
29930,37124,33820
30160,37135,33829
30316,37127,33741
30452,37120,33662
30388,37086,33521
30340,37084,33405
30412,37087,33322
30628,37103,33267
30524,37149,33201
30760,37189,33127
30876,37199,33020
30832,37174,32948
31004,37209,32775
30888,37188,32696
30913,37168,32630
30820,37157,32580
30836,37180,32495
30888,37163,32351
30969,37236,32322
31040,37261,32214
31104,37260,32135
31084,37298,32071
31044,37291,31920
31060,37295,31879
31008,37255,31821
30969,37255,31732
30936,37276,31671
30944,37292,31556
30952,37325,31495
31009,37365,31444
31088,37405,31372
31066,37407,31306
31016,37401,31227
30940,37406,31164
30840,37380,31112
30746,37369,31046
30726,37352,31002
30716,37417,30945
30736,37441,30885
30810,37478,30816
30852,37526,30761
30744,37527,30715
30725,37501,30669
30800,37524,30618
30610,37508,30559
30558,37508,30513
30528,37527,30475
30480,37536,30420
30460,37557,30389
30437,37637,30343
30396,37653,30300
30300,37671,30246
30220,37674,30214
30136,37671,30200
30040,37612,30144
30032,37648,30111
30052,37671,30087
29974,37644,30087
29908,37724,30034
29904,37772,30002
29900,37767,30000
29884,37821,29989
29847,37820,29964
29744,37823,29955
29612,37807,29933
29440,37807,29930
29396,37831,29951
29476,37845,29937
29764,37845,29959
29892,37933,29975
29948,37963,29956
29881,37970,30002
29816,37951,30036
29724,37985,30051
29704,37969,30060
29857,37965,30119
29960,37989,30145
30044,38009,30153
30078,38049,30242
30304,38100,30309
30672,38119,30356
30912,38146,30412
31156,38151,30495
31341,38147,30575
31485,38136,30636
31662,38137,30721
31764,38151,30789
31892,38148,30911
32217,38223,30988
32388,38279,31080
32420,38277,31172
32484,38317,31295
32716,38324,31391
32848,38321,31492
32638,38316,31582
32476,38321,31703
32640,38340,31814
32848,38367,31926
33176,38407,32032
33596,38449,32159
34060,38492,32271
34616,38495,32364
34836,38509,32510
34764,38518,32618
34696,38495,32736
34673,38501,32858
34781,38535,32932
34912,38548,33045
35152,38597,33188
35380,38650,33308
35448,38688,33408
35329,38696,33543
35204,38703,33593
35009,38716,33701
34900,38703,33829
34884,38703,33964
35056,38733,34069
35180,38732,34167
35212,38805,34296
35244,38867,34312
35436,38864,34511
35480,38911,34599
35412,38919,34708
35212,38933,34823
34900,38906,34860
34652,38892,34973
34504,38944,35142
34668,38972,35229
34840,38985,35356
35032,39076,35367
35108,39117,35534
34932,39126,35652
34932,39143,35767
34861,39151,35844
34400,39135,35928
34044,39143,36053
33914,39175,36055
33977,39199,36227
33926,39251,36281
33808,39303,36396
33440,39340,36348
32992,39353,36516
32780,39375,36615
32844,39369,36712
32860,39363,36748
32932,39365,36831
32772,39396,36937
32464,39431,36863
32320,39476,37044
32320,39527,37113
32352,39568,37157
32376,39579,37142
32492,39601,37225
32456,39602,37334
32320,39591,37341
32352,39599,37413
32372,39623,37468
32480,39645,37380
32876,39685,37508
32928,39758,37520
