ECG,EDA,RR
32648,65535,42257
32821,65535,42500
32916,65535,42330
32916,65535,42257
32884,65535,42252
32954,65535,42137
33036,65535,42316
33012,65535,42061
32996,65535,41982
32996,65535,42070
32964,65535,41956
33060,65535,41773
33128,65535,42103
33045,65535,41856
32688,65535,41780
32664,65535,41957
33037,65535,41772
33549,65535,41548
33685,65535,41696
33637,65535,41564
33760,65535,41716
33692,65535,41540
33454,65535,41684
33540,65535,41575
33644,65535,41413
33592,65535,41527
33424,65535,41310
33208,65535,41572
33300,65535,41492
32952,65535,41543
32758,65535,41445
32840,65535,41280
33108,65535,41445
33188,65535,41376
33228,65535,41401
33016,65535,41357
33192,65535,41419
32868,65535,41396
32572,65535,41280
31908,65535,41567
31960,65535,41429
32392,65535,41318
32900,65535,41485
33004,65535,41449
32736,65535,41371
32580,65535,41436
33243,65535,41543
33496,65535,41551
33368,65535,41383
33328,65535,41676
33221,65535,41597
33104,65535,41597
33236,65535,41701
33220,65535,41726
33348,65535,41653
33788,65535,41671
33892,65535,41505
33760,65535,41884
33988,65535,41725
33896,65535,41708
33784,65535,41609
33352,65535,41724
33428,65535,41592
33912,65535,41892
34148,65535,41705
34180,65535,41560
33928,65535,41607
33788,65535,41788
33648,65535,41635
33512,65535,41647
33500,65535,41601
33436,65535,41540
33344,65535,41377
33392,65535,41582
33421,65535,41455
33349,65535,41388
33196,65535,41340
33148,65535,41173
33140,65535,41332
33028,65535,41196
33020,65535,40967
33096,65535,41164
33186,65535,41018
33082,65535,40733
33065,65535,40901
33012,65535,40831
33024,65535,40724
32918,65535,40687
32745,65535,40631
32577,65535,40521
32460,65535,40545
32424,65535,40448
32448,65535,40372
32640,65535,40320
32708,65535,40071
32688,65535,40161
32664,65535,40157
32588,65535,40068
32604,65535,39773
32532,65535,39942
32564,65535,39764
32744,65535,39919
32904,65535,39752
33120,65535,39527
33080,65535,39673
33024,65535,39576
32992,65535,39541
33000,65535,39389
33060,65535,39408
33016,65535,39361
33049,65535,39204
33200,65535,39327
33316,65535,39205
33448,65535,39159
33586,65535,39084
33616,65535,39056
33584,65535,38902
33568,65535,38919
33376,65535,38951
33162,65535,38894
33120,65535,38685
33284,65535,38748
33432,65535,38839
33588,65535,38724
33624,65535,38534
33676,65535,38737
33460,65535,38623
33340,65535,38353
33250,65535,38616
33160,65535,38551
33020,65535,38354
32812,65535,38532
33197,65535,38500
33356,65535,38401
33218,65535,38479
33200,65535,38320
33517,65535,38556
33776,65535,38474
33729,65535,38144
33628,65535,38543
33504,65535,38484
33258,65535,38564
33300,65535,38508
32889,65535,38292
32692,65535,38548
33040,65535,38546
33100,65535,38566
32856,65535,38317
32892,65535,38628
33072,65535,38616
33004,65535,38654
33204,65535,38608
33360,65535,38580
33580,65535,38800
33396,65535,38744
32868,65535,38740
32574,65535,38637
32045,65535,38813
31041,65535,38869
30224,65535,38872
29720,65535,38828
29149,65535,38765
28796,65535,38934
28328,65535,38963
28313,65535,38896
28340,65535,39003
28452,65535,39031
28936,65535,38775
29729,65535,39148
31818,65535,39129
34422,65535,39100
37484,65535,38832
40212,65535,39284
42908,65535,39208
44904,65535,39236
46148,65535,39196
46780,65535,39303
46562,65535,39295
45512,65535,39255
43924,65535,39241
42312,65535,39391
41260,65535,39368
40540,65535,39308
40088,65535,39372
39524,65535,39360
38816,65535,39381
37774,65535,39223
36848,65535,39472
35816,65535,39396
34716,65535,39353
33876,65535,39077
33236,65535,39453
32676,65535,39400
32185,65535,39326
31796,65535,39422
31520,65535,39420
31420,65535,39286
31292,65535,39468
31164,65535,39405
31052,65535,39190
30956,65535,39384
30945,65535,39384
30945,65535,39175
31024,65535,39380
31036,65535,39332
31020,65535,39195
30940,65535,39287
30832,65535,39277
30657,65535,39184
30592,65535,39244
30565,65535,39250
30644,65535,39032
30680,65535,39199
30841,65535,39225
31044,65535,39193
31200,65535,38865
31184,65535,39256
31109,65535,39168
31104,65535,39036
31060,65535,39132
30968,65535,39100
31021,65535,39100
31084,65535,38999
31132,65535,39120
31260,65535,39069
31341,65535,39063
31440,65535,38797
31493,65535,39092
31426,65535,39013
31368,65535,38863
31329,65535,39064
31274,65535,38972
31316,65535,38944
31165,65535,38836
31285,65535,38620
31436,65535,38984
31614,65535,38880
31648,65535,38884
31408,65535,38736
31268,65535,38807
30924,65535,38832
30630,65535,38823
30804,65535,38540
30984,65535,38800
30980,65535,38796
31232,65535,38709
31536,65535,38695
31160,65535,38734
31120,65535,38743
31168,65535,38720
31244,65535,38508
31168,65535,38791
30948,65535,38703
30996,65535,38661
31185,65535,38663
31324,65535,38704
31364,65535,38708
30964,65535,38592
31032,65535,38716
30956,65535,38700
30948,65535,38710
30752,65535,38452
30416,65535,38765
30516,65535,38717
30564,65535,38719
31046,65535,38716
31172,65535,38576
30974,65535,38521
30980,65535,38492
31168,65535,38729
31344,65535,38728
31508,65535,38721
31536,65535,38703
31288,65535,38532
31424,65535,38716
31428,65535,38676
31364,65535,38652
31364,65535,38506
31248,65535,38712
31032,65535,38649
31080,65535,38444
31024,65535,38676
31128,65535,38628
31104,65535,38566
31181,65535,38583
31281,65535,38527
31256,65535,38661
31166,65535,38559
31108,65535,38424
31008,65535,38533
30978,65535,38477
30968,65535,38495
30984,65535,38508
31016,65535,38389
31101,65535,38335
31214,65535,38516
31200,65535,38416
31124,65535,38391
31052,65535,38191
31020,65535,38437
31060,65535,38338
31228,65535,38307
31330,65535,38116
31488,65535,38324
31696,65535,38237
31773,65535,37977
31797,65535,38282
31920,65535,38180
31936,65535,37953
31964,65535,38183
32044,65535,38101
32132,65535,38085
32180,65535,38004
32286,65535,37963
32384,65535,38038
32388,65535,38023
32394,65535,37924
32376,65535,37908
32364,65535,37968
32292,65535,37944
32264,65535,37665
32336,65535,37944
32328,65535,38004
32360,65535,37913
32452,65535,37910
32466,65535,37853
32426,65535,37758
32380,65535,37655
32458,65535,37780
32334,65535,37907
32312,65535,37850
32356,65535,37725
32485,65535,37789
32638,65535,37793
32792,65535,37788
32812,65535,37604
32800,65535,37769
32736,65535,37800
32668,65535,37780
32585,65535,37767
32592,65535,37711
32604,65535,37596
32556,65535,37453
32624,65535,37663
32636,65535,37823
32652,65535,37741
32592,65535,37721
32564,65535,37705
32492,65535,37551
32452,65535,37628
32436,65535,37751
32476,65535,37686
32588,65535,37690
32736,65535,37644
32919,65535,37318
32904,65535,37751
32832,65535,37732
32732,65535,37679
32496,65535,37665
32694,65535,37663
32800,65535,37533
32744,65535,37508
32888,65535,37417
33132,65535,37324
33016,65535,37599
33004,65535,37765
32836,65535,37717
32664,65535,37732
32608,65535,37752
32586,65535,37757
32724,65535,37502
32716,65535,37741
32712,65535,37881
32712,65535,37824
32864,65535,37836
32832,65535,37743
32740,65535,37797
32692,65535,37872
32576,65535,37879
32654,65535,37750
32681,65535,37878
32840,65535,37940
32904,65535,37911
33205,65535,37925
33232,65535,37924
33304,65535,37930
33212,65535,37796
33076,65535,37833
33136,65535,38004
33054,65535,37944
33016,65535,37852
33044,65535,37702
32984,65535,37940
32989,65535,38004
33136,65535,37935
33185,65535,37917
33208,65535,37908
33172,65535,37767
33096,65535,37628
33040,65535,37775
32956,65535,37877
32916,65535,37864
32908,65535,37847
32948,65535,37584
32956,65535,37748
32861,65535,37830
32720,65535,37793
32650,65535,37758
32628,65535,37582
32700,65535,37626
32865,65535,37775
32804,65535,37677
32932,65535,37687
32888,65535,37584
32682,65535,37344
32556,65535,37565
32560,65535,37575
32620,65535,37492
32648,65535,37318
32422,65535,37428
32248,65535,37476
32328,65535,37429
32768,65535,37383
33037,65535,37181
33204,65535,37244
33256,65535,37312
33248,65535,37279
33188,65535,37156
33036,65535,36998
32896,65535,37045
32856,65535,37166
32972,65535,37068
33000,65535,37037
33072,65535,36980
33188,65535,36844
33252,65535,36794
33264,65535,36839
33144,65535,36810
33056,65535,36583
32960,65535,36590
32932,65535,36318
32994,65535,36268
33012,65535,36681
33120,65535,36541
33272,65535,36504
33324,65535,36392
33292,65535,36375
33268,65535,36384
33128,65535,36356
33080,65535,36049
33132,65535,36223
33144,65535,36256
33064,65535,36206
33140,65535,36157
33249,65535,36127
33240,65535,35927
33152,65535,36048
33136,65535,36031
33028,65535,36000
32896,65535,35847
32804,65535,35636
32764,65535,35890
32744,65535,35930
32740,65535,35940
32780,65535,35812
32837,65535,35557
32730,65535,35900
32640,65535,35864
32600,65535,35776
32548,65535,35799
32624,65535,35836
32716,65535,35858
32896,65535,35733
32980,65535,35506
33004,65535,35841
32868,65535,35949
32800,65535,35905
32776,65535,35813
32760,65535,35785
32733,65535,36015
32700,65535,35975
32676,65535,35842
32612,65535,35921
32440,65535,35975
32033,65535,36004
31293,65535,35799
30288,65535,36100
29406,65535,36036
28680,65535,36055
28176,65535,35876
27791,65535,36100
27664,65535,36035
27864,65535,36160
28256,65535,36128
28964,65535,35800
29868,65535,36208
31788,65535,36231
34252,65535,36136
37088,65535,36196
39901,65535,36279
42348,65535,36196
44000,65535,36192
45112,65535,36343
45862,65535,36326
45792,65535,36010
44800,65535,36397
43140,65535,36409
41744,65535,36160
40576,65535,36481
39856,65535,36500
39357,65535,36256
38824,65535,36631
38184,65535,36597
37360,65535,36399
36528,65535,36597
35948,65535,36684
35384,65535,36688
34696,65535,36743
34036,65535,36754
33344,65535,36786
32856,65535,36752
32464,65535,36629
32145,65535,36799
31980,65535,36932
31992,65535,36948
31846,65535,36982
31672,65535,36956
31600,65535,36900
31513,65535,36869
31273,65535,37029
31344,65535,37114
31340,65535,37124
31288,65535,37071
31220,65535,36822
31340,65535,36815
31412,65535,37249
31260,65535,37204
31300,65535,37229
31233,65535,37036
31244,65535,37345
31308,65535,37271
31381,65535,37285
31381,65535,36991
31325,65535,37317
31364,65535,37342
31278,65535,37156
31316,65535,37359
31364,65535,37372
31310,65535,37253
31256,65535,37382
31324,65535,37383
31373,65535,37421
31424,65535,37345
31492,65535,37159
31612,65535,37437
31644,65535,37383
31632,65535,37415
31646,65535,37392
31640,65535,37375
31580,65535,37253
31525,65535,37319
31577,65535,37317
31687,65535,37271
31816,65535,37247
31716,65535,37295
31644,65535,37185
31632,65535,36871
31592,65535,37239
31529,65535,37158
31540,65535,36932
31540,65535,37168
31524,65535,37093
31500,65535,37062
31544,65535,36789
31610,65535,36911
31608,65535,37004
31500,65535,36976
31356,65535,36850
31332,65535,36615
31322,65535,36842
31392,65535,36916
31432,65535,36813
31434,65535,36733
31556,65535,36538
31624,65535,36796
31684,65535,36719
31628,65535,36686
31624,65535,36373
31540,65535,36682
31388,65535,36639
31440,65535,36615
31465,65535,36487
31580,65535,36359
31680,65535,36613
31732,65535,36560
31660,65535,36439
31612,65535,36439
31564,65535,36481
31497,65535,36460
31364,65535,36318
31290,65535,36392
31348,65535,36406
31416,65535,36404
31486,65535,36397
31562,65535,36359
31516,65535,36337
31460,65535,36206
31476,65535,35974
31460,65535,36369
31385,65535,36296
31264,65535,36269
31324,65535,36191
31380,65535,36241
31433,65535,36143
31544,65535,36268
31584,65535,36152
31584,65535,36207
31504,65535,36127
31416,65535,36044
31441,65535,36133
31436,65535,35857
31504,65535,36132
31545,65535,36085
31660,65535,35991
31709,65535,35703
31668,65535,36028
31648,65535,35983
31614,65535,35780
31492,65535,35953
31404,65535,35932
31536,65535,35847
31712,65535,35841
31881,65535,35976
32148,65535,35929
32208,65535,35793
32280,65535,35819
32346,65535,35877
32484,65535,35866
32520,65535,35689
32448,65535,35856
32504,65535,35830
32436,65535,35948
32396,65535,35860
32449,65535,35608
32588,65535,35902
32656,65535,35852
32696,65535,35837
32716,65535,35896
32653,65535,35769
32588,65535,35908
32604,65535,35876
32529,65535,35876
32484,65535,35522
32600,65535,35876
32752,65535,35839
32776,65535,35808
32772,65535,35892
32872,65535,35888
32952,65535,35521
32924,65535,35887
32928,65535,35972
32977,65535,35858
33120,65535,35872
33108,65535,35783
33080,65535,35862
33176,65535,35784
33213,65535,35831
33160,65535,35878
33124,65535,35741
33064,65535,35864
33016,65535,35867
33080,65535,35868
33104,65535,35868
33024,65535,35740
33036,65535,35620
33096,65535,35809
33034,65535,35911
33049,65535,35847
33082,65535,35830
32992,65535,35656
32948,65535,35781
32888,65535,35805
33028,65535,35829
33124,65535,35710
33200,65535,35696
33332,65535,35768
33309,65535,35761
33228,65535,35676
33360,65535,35672
33326,65535,35792
33324,65535,35741
33372,65535,35717
