ECG,EDA,RR
26454,112,32223
27913,115,32469
29652,111,32197
31847,104,32545
33949,113,32454
35144,111,32451
35452,109,32391
35572,118,32311
35456,105,32327
35092,105,32245
34692,103,32236
34344,104,32251
34036,112,32320
33760,111,32309
33501,110,32285
33352,112,32253
33308,117,32133
33340,106,32113
33478,102,32068
33668,95,32135
33926,111,32157
34085,109,32101
34175,115,32082
34096,106,32032
33927,106,32051
33716,104,32015
33639,104,31919
33624,113,31861
33558,112,31893
33536,109,31836
33552,108,31821
33608,105,31791
33580,105,31777
33529,96,31771
33532,111,31651
33548,127,31981
33516,106,31884
33576,103,31911
33644,113,31845
33669,112,31919
33688,111,31834
33700,113,31663
33721,112,31746
33645,112,31799
33597,112,31734
33444,110,31741
33343,108,31821
33264,104,31745
33274,104,31826
33283,100,31740
33357,109,31799
33380,108,31695
33300,110,31703
33148,123,31439
33098,120,31550
33084,107,31525
33049,105,31529
33040,105,31523
33060,102,31516
33100,110,31373
33089,109,31636
32937,125,31364
32824,105,31541
32751,108,31591
32769,105,31546
32790,111,31340
32868,129,31576
32913,106,31513
32916,105,31407
32916,103,31351
32868,112,31469
32873,109,31421
32865,105,31279
32813,93,31185
32716,111,31487
32660,125,31399
32652,105,31318
32825,103,31220
32880,112,31119
32868,111,31427
32888,102,31253
32944,110,31079
32921,110,31158
32847,127,31087
32917,103,31389
32993,102,31298
33060,113,31324
33101,109,31239
33167,106,31102
33180,103,31380
33120,112,31291
33080,111,31271
33080,115,31253
33052,107,31175
32980,104,31188
32909,101,31079
32932,113,31303
32949,108,31265
32972,115,31359
33020,103,31277
33056,103,31339
33012,103,31269
32932,111,31333
32888,110,31277
32832,109,31343
32778,107,31258
32772,92,31164
32848,111,31140
32924,108,31091
32900,104,31285
32936,100,31043
32924,110,31364
32908,110,31284
32860,126,31333
32789,104,31292
32725,111,31187
32792,111,31164
32879,109,31187
32832,105,31327
32800,104,31311
32872,111,31409
33034,111,31333
33022,107,31297
32940,114,31191
33000,110,31189
32941,125,31223
32968,103,31249
33108,112,31279
33188,108,31388
33272,103,31444
33304,104,31295
33300,104,31367
33257,93,31372
33255,111,31439
33149,112,31279
33048,76,31485
33060,103,31367
33076,112,31452
33081,111,31382
33074,107,31495
33104,106,31561
33089,105,31547
33085,104,31587
33065,102,31482
33036,103,31577
33008,112,31647
32976,110,31636
32900,123,31613
32901,114,31631
32925,119,31703
32957,126,31567
32972,105,31637
32916,111,31615
32744,128,31539
32712,103,31903
32857,111,31831
32832,104,31839
32737,101,31871
32623,111,31887
32573,109,31916
32588,107,31905
32634,105,31900
32696,110,31788
32820,107,32127
32997,104,32036
32952,104,32165
32856,113,32123
32820,109,32173
32888,114,32127
33072,107,32095
33316,103,32151
33284,105,32199
33265,111,32244
33277,110,32191
33238,108,32276
33220,116,32309
33125,120,32317
33056,106,32341
33028,106,32326
32962,105,32425
32949,103,32340
32940,101,32428
32903,111,32119
32900,110,32309
32828,109,32347
32725,126,32445
32760,104,32372
32864,112,32339
33121,110,32343
33340,116,32263
33278,108,32263
33108,103,32263
32996,85,32209
32881,111,32242
32660,111,32198
32528,108,32137
32448,106,32165
32509,101,32073
32700,113,32247
32880,111,32043
33004,109,32276
33240,106,32263
33118,105,32281
32812,104,32135
32608,112,32279
32456,110,31999
32533,108,32247
32720,109,32167
32703,112,32281
32784,111,32359
32964,110,32281
33028,110,32308
32974,111,32023
33021,106,32311
33020,106,32175
32832,105,32166
32713,104,32231
32690,113,32351
32660,109,32349
32789,107,32303
32948,104,32319
33076,102,32217
32968,93,32380
32937,113,32141
32950,110,32367
32912,118,32175
32889,104,32303
32901,73,32199
32926,111,32316
32956,112,32215
32890,126,32581
32783,106,32527
32828,112,32439
32960,114,32511
33143,112,32461
33272,113,32500
33244,107,32351
33185,104,32685
33076,97,32613
32892,110,32692
32700,109,32367
32528,106,32559
32545,106,32541
32900,105,32495
33140,105,32513
33320,104,32621
33408,103,32679
33381,103,32685
33312,81,32765
33381,112,32405
33309,113,32599
33164,112,32711
33020,112,32693
32780,110,32742
32761,112,32683
32791,107,32733
32748,102,32435
32808,105,32567
33026,104,32713
33312,102,32420
33456,103,32547
33292,89,32596
33053,113,32677
32982,109,32699
32945,110,32707
32864,109,32605
32745,119,32439
32808,109,32613
32972,104,32435
33156,104,32645
33207,104,32453
33198,114,32751
33116,95,32559
33052,111,32623
32864,111,32477
32552,111,32791
32460,111,32620
32616,115,32708
32892,105,32478
32937,105,32751
32944,103,32519
32989,113,32739
33056,112,32759
32865,110,32851
32657,108,32775
32504,120,32841
32350,107,32775
32271,105,32732
32396,105,32740
32668,111,32741
32960,110,32765
33214,111,32731
33272,106,32770
33212,104,32715
33142,102,32751
33020,93,32717
32996,111,32719
33053,116,32823
33092,106,32932
33119,103,32845
33188,75,32857
33198,109,32733
33152,106,32763
33152,104,32711
33095,79,32665
32948,111,32791
32880,125,32621
32892,105,33004
32932,105,32745
32960,102,32804
33036,112,32940
32992,109,32933
32949,110,33047
32948,109,32703
32911,113,32983
32860,105,32729
32913,104,32933
33079,92,32935
33109,111,32986
33112,109,32983
33116,125,32925
33180,105,32900
33244,100,32946
33260,109,32829
33124,106,33159
32908,104,33164
32794,104,33113
32758,102,33089
32677,97,33206
32716,112,33313
32804,110,32977
32953,106,33151
33061,106,33028
33112,105,33245
33164,105,33287
33229,104,33366
33153,104,33463
32959,85,33191
32870,111,33268
32829,108,33461
32885,109,33465
33015,108,33433
33076,111,33543
33004,109,33423
32912,109,33427
32796,108,33565
32758,109,33585
32836,110,33560
32884,110,33715
32905,110,33663
32833,110,33524
32808,110,33773
32928,110,33509
32903,108,33735
32598,110,33863
32379,111,33609
32352,109,33734
32484,109,33905
32638,110,33861
32860,109,33749
32997,117,33885
33208,109,33964
33072,106,34068
32632,106,33751
32029,105,33887
31392,106,34091
30854,107,34101
30248,107,33964
29488,108,34119
28697,107,33886
27748,111,34111
26644,110,34303
25252,127,34175
23764,116,34308
22304,115,34204
20965,116,34346
20360,118,34119
21149,117,34362
22836,116,34370
24396,113,34453
25888,121,34469
27630,126,34551
30021,106,34655
32669,108,34584
34713,104,34716
35448,87,34671
35641,109,34790
35628,109,34724
35380,128,34767
35024,104,34462
34772,105,34759
34461,106,34743
34288,105,34741
34292,106,34791
34280,103,34905
34252,102,35041
34185,87,34659
34167,112,34845
34164,103,35044
34180,102,34717
34216,104,34879
34264,83,34975
34196,112,34993
34110,109,34885
34048,110,35047
34016,107,35223
34004,110,34848
34040,110,35028
34052,109,35119
34068,108,35212
34060,110,35284
33988,109,34949
33922,109,35181
33942,110,35279
33892,128,35307
33908,108,35297
33873,126,35396
33790,105,35387
33809,104,35422
33892,104,35479
33908,101,35495
33857,112,35591
33817,112,35543
33764,113,35635
33752,94,35252
33759,104,35461
33752,103,35573
33804,104,35653
33900,107,35557
33864,119,35591
33745,112,35673
33684,111,35795
33647,108,35445
33496,110,35665
33420,110,35652
33347,109,35671
33362,110,35735
33444,114,35771
33630,110,35906
33597,124,35843
33486,107,35945
33441,106,35584
33337,105,35757
33225,105,35935
33244,106,35932
33244,105,35847
33160,106,35951
33122,105,35945
33077,103,36041
33112,104,36005
33192,99,36095
33197,103,35703
33173,105,35885
33113,106,35997
32976,104,36031
32952,105,36135
33005,103,36085
32998,106,36183
33104,105,35895
33100,105,36180
33133,101,36101
33166,111,36023
33127,109,36103
33044,108,36135
32988,104,36199
32901,96,36127
32893,93,36237
32944,110,36148
33057,109,36188
33071,110,36188
33146,109,36293
33180,108,36252
33236,117,36277
33202,111,35918
33105,107,36257
33046,106,36281
33117,111,36255
33158,112,36417
33252,107,36257
33372,103,36041
33472,113,36441
33429,112,36297
33305,110,36025
33220,107,36487
33089,105,36379
32910,99,36367
32808,80,36300
32767,112,36294
32729,110,36278
32788,110,36108
33080,110,36297
33270,111,36339
33364,110,36279
33462,113,36347
33552,111,36279
33497,109,36085
33380,111,36520
33268,107,36423
33166,105,36356
33100,103,36295
33160,104,36231
33205,103,36375
33240,111,36409
33272,106,36135
33221,111,36484
33169,109,36397
33125,104,36103
33096,111,36468
33101,107,36288
33133,104,36401
33217,112,36495
33244,113,36409
33202,111,36404
33124,111,36241
33055,128,36397
33036,102,36289
33012,111,36396
33006,109,36283
32996,106,36355
32992,104,36188
32941,109,36391
33024,110,36359
33148,109,36367
33133,105,36249
33116,106,36143
32932,103,36420
32814,112,36277
32797,109,36113
32832,108,36474
32884,107,36279
32957,105,36047
33002,105,36469
32932,112,36415
32889,113,36447
32862,105,36284
32820,85,36407
32756,111,36533
32789,107,36419
32945,102,36395
33124,111,36535
33216,109,36423
33158,103,36462
33041,111,36455
32965,114,36465
32884,107,36524
32788,106,36453
32740,113,36615
32756,110,36535
32804,107,36286
32944,105,36655
33101,71,36533
33109,110,36325
33040,112,36629
32989,106,36599
33076,103,36423
33166,113,36529
33108,112,36292
32996,108,36615
32964,126,36627
33004,103,36743
32981,106,36647
32924,105,36743
32892,104,36623
32884,110,36504
32797,112,36743
32702,110,36585
32624,106,36301
32584,104,36732
32564,104,36643
32581,112,36564
32616,109,36475
32692,110,36492
32728,130,36645
32700,107,36634
32688,107,36581
32660,113,36711
32601,111,36591
32592,111,36509
32661,113,36527
32709,105,36585
32708,103,36595
32800,113,36515
32799,110,36477
32728,110,36509
