ECG,EDA,RR
32504,109,34555
32534,110,34603
32457,110,34431
32500,109,34578
32544,112,34583
32524,110,34535
32504,110,34613
32480,110,34351
32456,109,34567
32514,112,34567
32632,111,34565
32648,112,34608
32640,111,34489
32586,111,34627
32534,109,34676
32536,124,34643
32544,107,34538
32600,106,34477
32712,104,34597
32848,102,34600
32898,110,34605
32904,110,34366
32976,111,34601
32992,103,34583
32850,104,34487
32687,111,34511
32569,115,34627
32517,112,34487
32540,110,34559
32549,110,34311
32647,113,34439
32668,109,34621
32774,105,34483
32847,104,34479
32772,101,34533
32680,110,34429
32564,110,34589
32580,108,34517
32605,107,34485
32636,103,34509
32664,104,34245
32660,109,34239
32700,122,34379
32672,105,34460
32605,105,34471
32616,105,34469
32604,87,34468
32544,111,34381
32552,120,34380
32548,131,34513
32577,107,34379
32568,103,34461
32616,104,34229
32756,83,34500
32788,110,34532
32690,126,34396
32668,104,34465
32776,73,34334
32820,113,34455
32744,109,34468
32642,112,34383
32632,121,34548
32721,121,34439
32820,107,34498
32901,108,34311
32804,108,34513
32649,108,34487
32548,105,34376
32540,105,34510
32608,96,34319
32669,112,34516
32812,111,34511
32901,113,34412
32832,106,34537
32754,103,34567
32696,110,34469
32613,110,34524
32640,106,34660
32709,105,34601
32845,104,34541
32887,112,34581
32857,128,34607
32865,103,34639
32816,112,34671
32742,108,34679
32706,105,34431
32637,112,34589
32612,111,34751
32672,110,34673
32704,121,34748
32734,106,34509
32692,129,34791
32652,128,34727
32620,106,34805
32557,93,34821
32549,111,34582
32596,117,34756
32592,106,34831
32551,111,34851
32532,128,34948
32662,103,34988
32808,113,34910
32876,109,34940
32865,110,34855
32838,115,35047
32774,129,34983
32714,108,34823
32652,102,34996
32584,112,35103
32652,126,35047
32752,106,35019
32912,103,35015
33028,104,35086
33108,104,34817
33046,111,34934
32968,110,35017
32864,109,35151
32700,111,35053
32437,118,35111
32021,109,35151
31708,107,34907
31358,106,34975
30816,113,34919
30248,111,34957
29545,107,34950
28720,113,35124
27879,114,35177
27012,110,35249
26306,84,35282
25460,113,35277
24641,109,35291
24444,118,35307
25026,115,35327
26234,109,35362
27452,107,35375
28741,114,35283
30385,112,35178
32624,105,35197
34690,103,35191
35616,109,35185
35940,118,35285
35952,102,35255
35633,119,35279
35140,103,35199
34648,101,35333
34213,109,35346
33822,117,35077
33484,104,35093
33352,111,35156
33365,110,35271
33373,118,35291
33404,105,35421
33374,113,35421
33356,110,35261
33292,106,35303
33236,103,35346
33204,112,35362
33216,122,35345
33264,108,35215
33369,104,35263
33424,111,35345
33468,111,35373
33465,105,35373
33393,110,35335
33248,113,35327
33180,106,35287
33173,105,35335
33189,94,35245
33316,113,35287
33449,110,35273
33478,112,35087
33486,125,35180
33448,106,35335
33400,104,35138
33312,106,35293
33224,104,35189
33132,112,35199
33096,109,35271
33093,117,35383
33132,106,35159
33108,105,35290
33135,104,35326
33192,113,35334
33240,110,35335
33212,106,35061
33112,105,35295
33057,103,35397
33004,108,35318
32924,103,35231
32900,111,35245
32808,115,35369
32776,128,35317
32804,106,35074
32814,114,35242
32813,111,35381
32797,110,35207
32833,116,35284
32849,105,35031
32845,105,35161
32864,111,35303
32884,115,35316
32892,107,35079
32900,112,35089
32880,111,35196
32816,112,34961
32719,107,35077
32596,104,35116
32513,92,35130
32487,113,35199
32612,108,35138
32798,108,35079
32872,105,35111
32840,108,34881
32789,102,35079
32793,112,35119
32862,116,35031
32910,104,35070
32932,105,34957
32960,111,35017
33016,112,35111
33024,107,35087
33023,103,34903
33152,111,34919
33308,115,34861
33488,105,34969
33517,105,34953
33512,110,34687
33511,107,34832
33504,103,34855
33480,109,34980
33432,105,34967
33450,83,34973
33472,110,34853
33481,105,34863
33455,114,34736
33385,111,34767
33344,123,34841
33310,108,34701
33292,103,34733
33292,103,34837
33340,112,34879
33368,109,34668
33324,112,34773
33264,108,34527
33112,103,34578
