ECG,EDA,RR
32968,104,33036
32716,103,32943
32664,106,33118
32810,108,33127
33036,127,33108
33029,130,32979
32972,110,32959
33046,111,32871
33112,114,32871
33104,104,33109
33096,106,32929
33068,109,32901
32944,112,33125
32917,104,33135
32860,113,33143
32780,109,33119
32804,110,33052
32951,104,33109
33072,105,33215
33124,106,33053
33004,103,32986
32964,105,33183
32940,106,33101
32916,108,33189
32916,112,33269
32816,112,33210
32706,105,33109
32749,105,33027
32904,107,33071
32985,118,33259
32908,110,33255
32761,104,33177
32684,106,33189
32705,129,33325
32833,111,33346
32940,103,33287
32940,107,33263
32901,109,33181
32882,113,33188
32980,106,33316
33169,128,33327
33326,109,33225
33334,111,33379
33216,76,33210
32956,105,33343
32665,103,33205
32305,105,33340
31917,107,33247
31456,114,33135
30952,111,33350
30516,114,33315
30002,113,33290
29212,106,33363
28228,108,33319
27328,112,33121
26590,116,33355
25848,114,33319
25073,114,33297
24657,114,33191
25074,116,33319
26140,115,33362
27232,114,33236
28368,116,33092
29734,105,33315
31690,105,33172
33932,102,33327
35528,104,33159
36089,106,33060
36060,114,33247
35933,107,33324
35480,109,33115
34988,109,33237
34585,113,33244
34143,103,33167
33864,106,33193
33685,110,33229
33661,112,33003
33704,112,33197
33660,105,33159
33712,105,33159
33764,113,33217
33796,111,33116
33637,111,32909
33472,105,32908
33468,107,33096
33445,110,33095
33454,111,33029
33561,104,32931
33592,107,32939
33524,124,32943
33398,110,33039
33299,114,32869
33216,110,32772
33124,109,32972
33132,111,32884
33173,111,32876
33301,113,32855
33423,111,32909
33436,102,32877
33416,104,32839
33364,106,32827
33268,106,32621
33180,105,32827
33096,106,32716
33017,105,32841
32962,106,32647
32980,103,32765
32893,105,32666
32892,102,32589
32841,111,32701
32864,111,32660
32992,112,32648
33117,111,32493
33104,110,32663
33044,112,32719
33056,111,32537
33238,114,32481
33377,110,32621
33381,111,32515
33364,110,32631
33240,114,32603
33068,105,32455
32981,104,32380
32892,104,32548
32810,104,32558
32773,104,32575
32857,104,32404
33020,105,32527
33030,107,32436
32948,111,32497
32817,125,32275
32804,123,32475
32788,110,32410
32812,113,32381
32669,113,32316
32562,113,32231
32548,113,32399
32607,103,32391
32604,104,32268
32612,105,32399
32692,105,32263
32725,104,32291
32704,105,32167
32680,106,32365
32670,107,32297
32728,107,32401
32728,126,32204
32752,109,32356
32917,109,32285
33076,109,32374
32999,111,32203
32904,98,32124
33002,101,32327
32927,104,32287
32984,107,32219
33124,108,32327
33092,117,32159
33033,109,32101
33082,111,32275
33368,112,32259
33348,103,32327
33272,104,32143
33256,106,32277
33236,107,32147
33252,112,32300
33292,108,32047
33304,108,32123
33248,110,32279
33260,110,32100
33188,110,32237
33145,109,32166
33144,111,32207
33077,111,32077
32920,123,32208
32841,119,32149
32910,116,32061
32913,121,32197
32895,111,32197
32952,104,32161
33005,107,32103
33024,107,32161
33021,116,32007
33045,130,32189
32932,113,32143
32744,118,32066
32681,111,32199
32985,109,32175
33159,112,32065
33344,112,32223
33365,112,31977
33296,112,32159
33121,82,32121
32976,105,32188
32877,104,32031
32821,105,32199
32800,105,32191
32872,106,32070
33144,107,32221
33276,108,32023
33296,127,32100
33249,112,32025
33102,113,32211
33025,103,32089
32970,106,32263
32933,105,32063
32926,110,32231
32888,112,32231
32959,112,32191
33065,102,32159
33045,104,32263
33000,105,32183
32984,105,32060
32913,127,32261
32772,110,32263
32686,110,32157
32671,112,32319
32656,88,32235
32684,106,32167
32758,108,32165
32756,128,32104
32716,110,32328
32604,111,32235
32464,111,32356
32461,108,32141
32638,110,32242
32952,109,32383
32960,112,32293
32909,111,32151
32929,113,32337
32928,110,32259
32920,112,32271
32875,113,32131
32804,103,32305
32788,105,32343
32661,105,32173
32577,105,32211
32560,106,32287
32604,103,32303
32620,106,32217
32688,105,32233
32892,104,32149
33040,103,32279
33021,105,32215
32846,108,32207
32696,119,32311
32744,114,32207
32896,112,32103
32884,111,32073
32784,110,32231
32700,112,32219
32732,103,32111
32834,103,32263
32860,105,32087
32797,103,32221
32832,104,32135
32894,107,32175
32864,105,32127
32844,105,32052
32832,113,32015
32804,109,32199
32796,111,32069
32776,109,32215
32736,118,31991
32660,119,32165
32608,109,32149
32620,111,32202
32690,111,32035
32817,110,31967
32816,114,32175
32721,103,32175
32656,102,32143
32738,104,32067
32672,105,32074
32769,105,31952
32701,106,32114
32780,105,32199
32836,107,31964
32758,104,32129
32740,105,32161
