ECG,EDA,RR
33087,110,46855
33038,103,46599
33000,126,46695
32968,111,46620
33082,105,46721
33152,118,46663
33228,113,46676
33257,108,46527
33296,112,46495
33240,126,46560
33180,112,46413
33089,120,46317
33076,112,46375
33076,105,46319
33161,111,46363
33222,105,46289
33317,112,46265
33396,104,46141
33446,110,45927
33412,104,46023
33325,128,45844
33220,113,45973
33222,108,45882
33220,111,45940
33233,103,45831
33196,107,45827
33274,111,45724
33296,111,45694
33302,103,45623
33265,108,45589
33212,111,45477
33230,104,45437
33224,107,45317
33208,110,45063
33180,99,45173
33216,108,45079
33204,110,45157
33180,105,45059
33156,106,45043
33108,107,44767
33062,111,44775
33017,113,44545
33044,104,44645
33113,110,44601
33213,82,44695
33396,106,44597
33548,112,44572
33616,113,44471
33604,105,44167
33408,125,44333
33052,112,44095
32508,107,44199
32041,127,44087
31562,110,44175
31069,104,44061
30560,105,44054
30126,112,43950
29544,114,43963
28621,106,43764
27468,110,43828
26298,118,43559
25205,114,43567
24193,92,43328
23058,110,43428
22310,113,43207
22313,120,43367
23186,115,43087
24295,115,43295
25560,99,43295
27104,108,43207
29682,109,42837
32820,124,43052
35071,111,42893
36012,105,42965
36220,104,42772
36156,110,42719
35784,109,42465
35248,112,42809
34744,107,42695
34338,113,42524
34082,87,42503
33943,106,42325
33897,116,42389
33929,112,42303
34005,101,42343
34144,107,42189
34277,108,42215
34292,91,42077
34240,104,41991
34177,108,41860
34094,111,41965
34020,103,42039
33908,112,41877
33906,72,41721
34038,106,41530
34153,109,41849
34031,113,41679
34012,110,41655
34052,111,41549
34016,104,41508
33900,105,41362
33729,107,41191
33653,122,41239
33652,110,40932
33644,110,41351
33668,105,41223
33660,107,41245
33592,113,41144
33484,103,41095
33348,106,40937
33324,122,40807
33305,111,41031
33289,103,40851
33317,109,40967
33415,105,41071
33413,113,40951
33404,73,41004
33409,106,40605
33456,112,40861
33305,104,40663
33148,108,40937
33049,111,40817
33048,110,40815
33036,105,40767
33028,127,40848
33060,112,40711
33077,103,40773
33080,110,40551
32970,103,40613
32788,110,40677
32692,113,40563
32657,104,40615
32606,110,40232
32596,105,40335
32625,130,40349
32636,115,40397
32573,109,40475
32528,112,40351
32548,102,40383
32589,105,40175
32541,128,40187
32388,110,40223
32380,105,40219
32413,108,40189
32504,111,40119
32580,113,40133
32640,105,40199
32636,109,39924
32652,105,40111
32695,108,39918
32702,110,39991
32653,113,39823
32732,103,40087
32854,128,39724
33124,113,40084
33236,113,40045
33172,105,40045
33056,105,40013
32960,110,40039
32896,112,39860
32848,80,39653
32849,108,40026
32836,118,39943
33012,111,40061
33165,103,39943
33223,103,39863
33280,108,39905
33282,107,39915
33250,107,39820
33100,112,39788
33036,104,39655
32981,109,39779
32964,109,39519
32992,100,39959
33036,107,39615
33029,110,39925
32984,113,39813
33010,106,39763
32953,127,39740
32949,111,39789
32914,102,39831
32832,105,39727
32773,129,39698
32784,112,39651
32764,102,39423
33010,123,39660
32988,112,39711
32908,103,39756
32932,108,39625
32989,110,39341
32937,92,39759
32892,105,39650
32897,105,39430
32912,123,39709
32998,111,39643
33052,112,39583
33112,105,39597
33144,107,39535
33084,110,39622
32984,91,39615
32916,105,39631
32932,107,39477
32941,127,39604
33004,121,39525
33113,110,39543
33212,111,39589
33180,105,39596
33160,105,39541
33133,106,39559
33100,119,39487
33012,99,39453
33053,106,39543
33012,105,39513
32928,108,39469
32900,110,39525
32876,111,39463
32948,114,39605
32865,97,39461
32892,104,39201
32808,102,39415
32660,77,39523
32661,114,39461
32801,112,39447
32756,111,39493
32768,112,39333
32901,112,39559
33001,113,39359
33012,103,39453
33040,104,39135
33108,105,39517
33100,126,39314
33104,111,39463
33088,109,39381
32989,112,39428
32962,103,39471
32923,108,39527
32942,110,39452
32942,113,39493
32876,107,39407
32844,122,39359
32924,102,39101
32884,105,39503
32894,121,39429
32968,112,39479
32984,106,39431
32912,110,39511
32932,103,39453
32876,128,39519
32896,102,39351
32814,103,39509
32752,104,39408
32676,108,39333
32629,111,39388
32656,111,39327
32615,105,39462
32687,107,39428
32780,111,39524
32705,83,39431
32656,106,39428
32657,108,39359
32597,105,39431
32488,108,39173
32480,121,39495
32544,111,39356
32656,111,39425
32676,104,39517
32716,110,39422
32724,127,39455
32687,111,39335
32696,113,39197
32720,103,39492
32775,107,39400
32904,125,39358
33032,110,39453
33097,111,39431
33180,98,39451
33159,106,39303
33112,108,39452
33053,110,39503
32976,114,39389
32896,104,39255
32855,108,39555
32940,111,39453
33033,113,39380
33002,73,39573
32986,104,39470
33124,106,39427
33161,117,39463
33152,110,39476
33148,100,39535
33157,104,39455
33173,106,39399
33244,105,39577
33260,107,39413
33314,127,39167
33384,108,39589
33461,110,39356
33504,111,39498
33492,110,39483
33448,111,39551
33428,113,39492
33364,101,39469
33396,106,39367
33448,108,39535
33493,109,39597
33524,112,39487
33572,111,39199
33589,114,39571
33550,79,39430
33456,103,39551
33396,103,39545
33402,105,39411
33453,107,39366
33496,108,39644
33550,113,39555
33457,113,39575
33316,115,39483
33208,114,39532
33249,105,39423
33303,103,39188
33332,104,39559
33452,105,39439
33581,107,39189
33542,106,39514
33466,123,39348
33421,109,39108
33412,112,39471
33413,113,39271
33424,82,39047
33405,103,39403
33432,99,39351
33536,105,39333
33608,105,39303
33792,107,39237
34017,118,39117
34181,109,39340
34180,112,39212
33937,113,39121
33655,105,39052
33290,127,39036
32866,120,39231
32388,109,39101
31792,109,38815
31169,112,39108
30656,113,39013
30086,106,38727
29201,107,39078
28021,120,38695
26753,114,39019
25669,117,38948
24648,87,38855
23396,109,38895
22541,111,38879
22316,113,38781
23044,111,38919
24235,111,38766
25685,111,38471
27250,115,38820
29700,105,38727
32848,111,38791
35216,109,38705
36220,111,38681
36581,103,38623
36585,105,38580
36152,114,38612
35592,111,38361
35135,105,38688
34669,106,38593
34232,128,38653
34046,114,38519
33995,110,38255
34040,111,38621
34088,103,38517
34139,106,38513
34260,125,38407
34302,120,38336
34425,108,38350
34404,110,38407
34351,113,38291
34206,105,38298
34180,104,38279
34118,104,38271
34129,107,38275
34133,111,38161
34206,113,37883
34216,104,38197
34166,105,38079
34137,106,37997
34076,106,37989
33992,108,37909
33908,104,37959
33932,107,37854
33928,123,37845
33884,110,37862
33812,109,37742
33741,109,37793
33604,75,37780
33648,103,37799
33636,103,37725
33560,104,37719
33512,107,37421
