ECG,EDA,RR
33761,105,29815
33600,107,29899
33390,108,29741
32992,125,29828
32780,118,29679
32685,109,29807
32589,112,29710
32767,113,29728
33000,94,29605
33272,115,29677
33516,104,29604
33632,104,29671
33504,101,29664
33164,86,29631
32892,102,29620
32656,103,29462
32664,105,29549
32996,108,29391
33127,112,29460
33197,125,29353
33280,114,29405
33337,114,29327
33232,115,29369
32836,111,29279
32572,110,29318
32599,108,29249
32579,127,29295
32468,107,29191
32448,107,29327
32548,117,29293
32728,110,29172
32724,112,29185
32444,105,29102
32164,106,29253
31981,107,29157
32070,116,29191
32396,114,29079
32772,87,29037
33018,104,29140
33078,104,28983
33048,104,29095
32932,104,29018
32727,103,29098
32461,106,29081
32228,106,29071
32212,104,29033
32297,104,28881
32484,108,28946
32693,106,28885
32820,103,28919
33124,78,28943
33152,112,28795
32968,110,28855
32828,110,28738
32814,114,28793
32800,122,28728
32852,121,28755
33072,129,28661
33262,117,28799
33248,110,28788
33173,111,28695
33269,113,28765
33313,100,28627
33284,106,28663
33165,104,28569
33208,105,28613
33429,103,28541
33552,103,28645
33624,107,28505
33632,115,28551
33557,108,28437
33468,110,28581
33361,113,28509
33237,112,28556
33122,103,28381
33024,102,28488
33088,105,28377
33266,103,28431
33356,108,28341
33424,107,28465
33448,107,28366
33340,114,28420
33212,120,28422
33156,113,28372
33096,117,28357
33032,111,28231
32973,107,28341
32972,110,28211
33029,128,28324
33046,105,28299
33080,107,28148
33113,106,28260
33097,106,28321
33072,105,28215
32936,105,28309
32838,106,28236
32828,111,28301
32878,120,28229
32994,109,28335
33140,110,28321
33312,113,28351
33376,105,28365
33376,102,28369
33257,106,28397
33076,116,28319
33020,109,28387
32964,109,28327
32952,109,28476
33004,113,28490
33077,111,28386
33036,111,28477
32972,112,28417
32951,111,28591
32941,112,28626
32864,74,28603
32764,99,28687
32664,103,28741
32645,105,28659
32606,116,28706
32576,117,28743
32504,109,28867
32446,111,28911
32438,112,28959
32417,113,28997
32474,103,28995
32357,104,29055
32264,107,29103
32264,116,29161
32421,110,29189
32558,110,29251
32556,111,29279
32512,110,29337
32492,104,29335
32372,103,29303
32256,107,29460
32156,107,29499
32183,126,29555
32260,113,29604
32285,114,29541
32284,112,29702
32201,113,29757
32176,104,29655
32116,104,29866
32053,104,29895
31961,105,29936
31994,108,29836
32117,120,29933
32220,108,29927
32192,110,30039
32173,109,30045
32152,113,30183
32100,104,30212
32109,104,30364
32132,106,30409
31976,107,30437
31845,107,30469
31878,130,30573
32074,114,30639
32198,109,30503
32289,110,30613
32320,110,30602
32344,110,30714
32338,110,30706
32249,113,30819
32101,76,30810
31920,104,30969
31816,106,30931
31820,107,31009
31812,108,31015
31812,121,31222
31860,110,31303
31840,109,31338
31812,112,31399
31852,103,31264
32016,120,31477
32004,127,31471
31952,109,31423
31860,112,31605
31820,104,31695
31840,107,31513
31874,106,31637
31860,107,31604
31764,105,31839
31738,108,31690
31757,108,31790
31815,111,31812
31852,111,31965
31908,110,32051
32033,113,32057
32108,116,32091
32084,111,31934
31944,111,32042
31853,104,32108
31934,105,32214
31945,99,32111
31868,102,32155
31830,105,32140
31884,105,32295
31960,108,32383
31976,110,32255
31972,111,32419
31984,75,32479
31972,104,32311
31965,108,32397
31892,115,32323
31884,115,32457
31917,109,32391
31956,111,32562
32004,89,32537
32064,107,32452
32125,115,32557
32068,108,32557
32021,112,32731
32029,108,32789
32006,107,32631
31970,110,32797
31940,104,32814
31948,104,32702
32016,106,32869
32178,110,32945
32233,112,32709
32180,105,32829
32124,106,32901
32024,113,33004
31993,112,32951
31938,82,32919
31934,104,33061
32000,124,33121
32165,111,32956
32264,105,33117
32292,107,33207
32252,111,33052
32174,102,33175
32152,105,33222
32140,107,33039
32116,108,33252
32056,111,33140
32073,111,33279
32132,103,33340
32160,108,33148
32195,111,33274
32228,101,33279
32221,108,33415
32188,110,33329
32092,114,33359
31996,107,33479
32053,130,33513
32213,112,33517
32446,115,33505
32741,105,33333
33156,107,33516
33422,110,33371
33388,111,33535
33216,104,33407
32916,105,33611
32501,107,33655
31825,109,33716
31140,120,33687
30493,110,33747
29704,103,33729
28844,107,33756
27900,121,33637
26481,112,33764
24880,116,33767
23370,104,33835
22200,112,33736
21053,116,33725
20004,116,33859
19468,111,33941
19677,122,33748
20949,118,33855
22748,100,33985
24581,109,33756
26894,110,33849
30072,113,33899
33276,111,34009
35334,100,34003
36319,103,33897
36831,105,34047
36902,108,34036
36565,110,33891
36055,111,34016
35557,101,33989
35072,105,34105
34660,127,34177
34452,109,33919
34384,73,34070
34313,104,34183
34364,118,33929
34487,111,34097
34471,101,34055
34429,103,34069
34432,103,34055
34461,107,34175
34509,105,34148
34609,115,34191
34732,124,34143
34821,109,34159
34887,94,34183
34864,103,34197
34758,122,34245
34621,110,34068
34584,111,34250
34552,73,34213
34424,103,34173
34328,105,34223
34368,106,34229
34336,109,34005
34213,111,34148
34153,103,34084
34153,104,34221
34141,108,34141
34149,110,34228
34236,110,34149
34172,103,34279
34084,107,34299
33973,110,34101
33917,97,34311
33889,105,34347
33896,115,34199
33832,110,34277
33716,109,34212
33564,108,34333
33414,111,34195
33305,113,34272
33306,102,34335
33346,104,34392
33405,106,34353
33444,119,34423
33460,115,34454
33429,113,34279
33345,105,34415
33165,109,34451
32988,111,34279
32876,102,34415
32948,106,34493
33020,117,34471
32992,111,34479
32924,92,34246
32929,105,34388
33124,121,34407
33277,110,34514
33295,100,34581
33188,108,34423
33081,112,34541
32997,110,34549
32998,104,34598
33028,104,34487
33112,114,34556
33104,110,34617
33100,103,34589
33014,106,34661
32932,111,34439
32908,103,34567
32952,108,34671
33065,110,34727
33095,104,34607
33137,106,34629
33176,107,34688
33237,123,34694
33284,110,34783
33271,111,34815
33168,106,34812
33016,105,34878
32953,107,34595
32943,108,34726
32993,110,34764
33160,111,34801
33364,97,34877
33512,89,34841
33629,104,34881
33604,126,34709
33508,111,34703
33433,111,34797
33329,104,34823
33248,106,34692
33164,110,34804
33164,104,34591
33166,106,34788
33148,107,34804
33089,118,34818
33008,108,34847
32896,110,34688
32821,102,34791
32788,106,34893
32692,111,34721
32636,104,34815
32629,104,34903
32656,111,34701
32640,112,34877
32538,104,34918
32448,105,34647
32400,105,34809
32404,125,34839
32372,109,34918
32416,113,34951
32511,103,34823
32613,107,34963
32632,112,35010
32622,108,34983
32612,110,35052
32636,111,34995
32550,99,35052
32452,105,34793
32404,106,34935
32468,129,34973
32572,109,35071
32629,112,35135
32638,98,34963
32678,105,34978
32594,103,35007
32513,106,35115
32548,109,35181
32564,109,34887
32477,111,35148
32417,112,34909
32424,105,35037
32407,105,35045
32400,108,35156
32424,114,35252
32396,105,35079
32308,106,35166
32260,120,35183
32236,109,35239
32208,113,35214
32211,74,35020
32303,113,35333
32324,104,35049
32370,104,35255
32421,108,35061
32408,115,35183
32344,111,35215
32228,112,35277
32140,105,35317
31998,107,35335
31928,114,35412
31901,111,35113
31952,99,35231
32025,106,35252
32044,106,35251
31954,108,35174
31872,108,35335
31856,110,35119
31880,113,35375
31948,105,35115
32032,105,35267
32168,106,35239
32268,120,35329
32344,122,35356
