ECG,EDA,RR
32959,105,30149
32872,104,30273
32908,104,30172
32836,102,30306
32788,112,30140
32876,111,30116
32984,110,30242
33071,111,30332
33216,110,30155
33252,111,30163
33188,111,30316
33120,110,30202
33040,111,30271
32764,110,30175
32656,112,30327
32720,110,30300
32832,121,30396
32913,105,30175
33054,104,30357
33088,102,30398
33081,99,30303
33020,104,30253
32960,112,30414
32860,74,30335
32834,97,30321
32856,112,30471
32921,112,30441
32999,111,30535
33044,108,30453
32992,111,30396
32976,112,30556
32964,111,30571
32900,122,30527
32739,127,30543
32740,109,30629
32797,107,30483
32869,104,30657
32928,110,30546
33024,109,30720
33103,115,30647
33108,122,30571
33146,106,30724
33104,101,30670
32917,111,30740
32909,112,30595
33056,107,30749
33117,104,30802
33156,93,30649
33202,112,30825
33205,111,30738
33144,113,30879
33129,119,30758
32996,105,30675
32949,103,30889
32920,113,30822
32920,109,30804
32948,129,30743
33064,105,30917
33162,105,30918
33108,103,30909
33089,103,30837
33076,78,30983
32969,113,30983
32918,110,30957
32948,129,30919
32959,108,30839
33060,105,31015
33100,105,31071
33127,104,30963
33112,104,30937
33036,112,31038
33072,111,31079
32967,109,30924
32900,118,31079
32956,107,31026
33004,103,31119
32969,104,30948
33109,72,31095
33193,111,30983
33142,109,31133
33005,113,30963
32852,107,31117
32776,107,31069
32638,108,31103
32530,105,31143
32548,104,30975
32644,103,30943
32735,99,31107
32900,101,31030
32985,105,31071
33095,104,31161
33180,105,31049
33172,104,30948
33056,103,31125
32961,103,31133
32937,112,31170
32980,113,31061
33118,112,31071
33085,85,30995
33012,112,30951
32976,111,31133
32902,111,31011
32892,111,31164
32900,122,31069
32877,109,30996
32869,115,30941
32965,118,31134
32956,112,31140
32996,109,31137
33040,115,31117
33076,115,31058
33088,128,31077
33028,127,31175
32960,130,31030
32877,112,30941
32847,106,31129
32969,106,31116
33078,104,31109
33104,105,31068
33138,104,31071
33108,106,31159
33036,111,30973
33004,110,30895
32981,129,31103
32932,106,30983
32956,106,31125
32984,100,31047
33117,112,30914
33192,110,31093
33174,117,31039
33188,118,30961
33196,125,31111
33221,107,30957
33172,103,30897
33117,105,30961
33056,99,31041
33124,109,31013
33166,112,31007
33196,124,30881
33220,116,30831
33145,108,31031
33093,107,30911
33028,104,31049
32969,103,30983
32925,103,30873
32951,104,30871
33005,100,30999
33076,99,30981
33156,113,30980
33125,112,30951
33022,113,30837
32900,112,30773
32857,111,30791
32878,111,30969
32888,110,30949
32916,112,30885
32929,108,30927
33042,107,30809
33065,106,30765
33125,103,30951
33116,104,30903
32961,97,30916
32888,111,30845
32912,109,30741
33017,112,30756
33078,106,30887
33201,102,30971
33256,102,30804
33264,109,30917
33214,121,30791
33018,105,30892
32736,104,30702
32250,110,30767
31825,111,30812
31460,107,30882
31128,106,30752
30838,113,30815
30524,118,30869
29928,106,30828
29268,106,30711
28532,113,30839
27808,115,30864
26892,109,30685
26172,109,30823
26148,82,30711
26948,111,30692
28388,109,30807
29853,107,30741
31176,104,30839
32556,111,30633
33996,110,30787
35073,121,30765
35444,103,30615
35536,96,30759
35468,109,30637
35271,110,30759
34980,108,30545
34649,108,30721
34304,106,30630
33912,105,30646
33580,106,30631
33412,106,30495
33320,115,30583
33232,110,30707
33227,107,30463
33228,104,30629
33276,111,30647
33341,110,30437
33404,110,30614
33425,127,30517
33400,106,30455
33341,105,30406
33241,105,30549
33138,107,30510
33092,106,30455
33100,105,30419
33152,105,30271
33215,102,30452
33250,105,30405
33252,113,30289
33212,111,30251
33137,127,30364
33035,106,30239
32944,105,30333
32960,105,30215
32997,104,30101
33020,105,30164
33064,106,30236
33076,106,30196
33068,105,30119
33036,102,30204
32956,105,30095
32886,111,29979
32797,127,30007
32757,106,30143
32778,112,29948
32784,111,30092
32837,115,30013
32921,105,30093
32952,105,29899
32932,101,30052
32910,113,29976
32832,108,30004
32800,119,29839
32825,107,30007
32812,105,29863
32783,91,29983
32752,112,29803
32869,111,29959
32897,112,29877
32793,107,29837
32653,107,29935
32548,105,29768
32485,104,29739
32452,104,29719
32513,105,29703
32614,104,29847
32784,98,29825
32864,109,29735
32845,110,29825
32829,110,29703
32830,110,29687
32768,129,29589
32712,107,29548
32708,105,29703
32728,105,29679
32796,105,29556
32860,109,29686
32921,113,29493
32908,108,29471
32884,104,29615
32809,98,29485
32796,111,29597
32748,105,29405
32791,104,29380
32869,103,29375
32960,114,29525
33121,111,29487
33196,111,29525
33228,111,29321
33183,105,29486
33146,104,29365
33121,100,29479
33112,112,29256
33166,109,29285
33208,112,29387
33214,130,29399
33289,105,29279
33312,103,29215
33308,110,29242
33253,107,29183
33170,105,29205
33072,103,29268
33036,113,29314
33036,109,29135
33057,115,29271
33036,106,29287
32964,103,29085
32972,111,29215
33064,110,29228
33016,119,29079
32921,105,29105
32888,104,29155
32880,104,29051
32940,103,29133
32901,104,28957
32957,99,28935
33052,112,29061
33088,110,29037
33037,118,28881
33016,106,29031
32976,104,28885
32916,103,28964
32862,103,28805
32878,112,28951
32912,99,28879
32952,111,28911
32990,110,28746
32992,116,28815
33056,107,28775
33064,103,28867
32983,104,28782
32900,100,28836
32868,113,28645
32916,110,28805
32964,109,28775
33032,110,28668
33155,111,28783
33240,106,28573
33210,105,28711
33133,111,28729
33076,108,28527
32932,111,28693
32884,119,28555
32880,105,28499
32884,105,28644
32884,112,28663
32925,111,28495
32957,112,28538
32982,107,28506
32972,103,28648
32948,112,28660
32821,111,28475
32708,115,28661
32705,105,28591
32821,103,28508
32895,109,28635
32960,106,28682
33028,103,28540
32992,111,28655
32934,110,28679
32805,119,28535
32760,107,28699
32720,104,28695
32725,109,28573
32757,124,28653
32797,103,28612
32799,111,28759
32846,125,28751
32885,105,28604
32913,112,28732
32929,125,28711
32900,105,28781
32876,109,28711
32787,105,28775
32775,105,28772
32853,111,28841
32956,124,28861
33032,104,28743
33050,98,28869
32980,113,28713
32869,110,28900
32789,111,28821
32781,111,28863
32820,109,28775
32876,105,28940
32965,93,28972
33040,109,28999
33073,117,28878
33084,126,29013
33065,105,28890
32980,101,28969
32876,112,28935
32752,112,29087
32698,111,29047
32748,110,29131
32876,104,28967
32992,111,29093
33068,110,29105
33096,107,29173
33061,105,29063
32969,104,29125
32857,104,29055
32842,111,29195
32877,115,29138
32865,105,29279
32943,112,29167
33002,112,29190
32924,108,29319
32813,112,29237
32790,109,29383
32740,108,29213
32692,105,29403
32684,85,29381
32724,110,29284
32780,109,29282
32868,108,29482
32953,110,29417
33001,106,29437
32956,105,29540
32952,102,29545
32985,104,29463
32954,113,29575
32900,110,29468
32892,113,29525
32969,103,29511
33044,103,29700
33154,108,29615
33248,123,29591
33288,105,29715
33196,104,29811
33036,110,29641
32932,116,29791
32852,103,29715
32848,110,29855
32901,107,29804
33000,102,29949
33120,88,29855
33176,110,30007
33180,109,29837
33162,107,30017
33116,104,30090
33014,112,29929
32888,108,29989
32880,109,29972
32987,105,30143
33088,102,30039
33200,111,30115
33252,108,30055
33214,128,30103
33192,106,30157
33169,104,30095
33068,103,30307
33028,102,30255
33024,111,30198
33056,125,30375
33144,105,30333
33204,103,30269
33212,112,30443
33129,113,30349
32975,111,30526
32848,113,30364
32782,106,30535
32848,104,30599
32896,104,30489
32948,103,30427
32976,104,30644
32924,102,30547
32958,86,30727
32960,99,30602
32941,111,30745
32896,108,30656
32812,110,30797
32780,107,30633
32784,104,30815
32792,102,30891
32862,109,30691
32932,111,30807
33004,108,30877
33072,105,30757
33156,106,30961
33230,105,30847
33236,104,30967
33189,114,30933
33157,111,30846
33084,111,31062
32992,118,31013
32805,104,30977
32360,103,30945
31924,113,31022
31349,111,31159
30772,111,30969
30304,108,31165
29756,106,31223
29094,102,31091
28294,113,31231
27496,113,31227
26724,113,31179
25744,112,31103
25101,120,31329
25132,111,31236
26059,111,31339
27450,109,31242
28809,109,31221
30164,106,31417
31749,105,31348
33425,104,31428
34752,104,31523
35324,99,31347
35545,111,31510
35477,115,31493
35168,127,31481
34781,118,31414
34393,115,31363
34036,107,31549
33809,104,31643
33637,104,31465
33493,104,31631
33464,106,31572
33452,99,31631
33384,94,31638
33288,92,31539
33210,102,31513
33172,112,31649
33176,110,31719
33236,110,31567
33344,111,31504
33484,110,31711
33524,126,31615
33440,108,31750
33344,116,31736
33204,110,31575
33084,107,31727
33052,105,31769
33088,103,31623
33192,104,31527
33274,104,31737
33325,102,31663
33316,114,31799
33321,112,31639
33208,110,31767
33100,111,31703
33021,109,31767
33006,106,31718
33008,107,31637
33068,104,31812
33076,105,31781
33092,106,31715
33158,105,31794
33094,104,31910
32984,106,31781
32932,103,31885
32961,113,31847
32989,111,31973
32957,112,31884
32972,109,31815
32981,109,31818
33020,113,31989
33052,105,31937
33016,108,32023
32968,106,32069
32895,104,31932
32763,105,31889
32696,113,32071
32721,110,32050
32836,110,32131
32916,107,31988
33036,126,31948
33020,109,32127
32992,104,32185
32966,103,32039
32876,113,31981
32808,111,32165
32777,108,32059
32783,108,32231
32748,104,32061
32752,104,31993
32768,113,32183
32772,111,32127
32801,111,32189
32801,114,32083
32866,106,32217
32925,107,32186
32936,103,32215
32864,105,32230
32870,102,32079
32985,95,32043
33059,113,32201
33060,112,32133
33020,109,32260
33024,110,32167
32964,108,32013
32940,107,32228
32988,105,32108
33109,103,32251
33216,112,32007
33340,111,32205
33440,108,32263
33509,105,32119
33453,113,32218
33393,110,32093
33311,113,32268
33248,108,32072
33192,114,32139
33246,109,32167
33328,107,32215
33376,104,32135
33406,112,32275
33401,121,32007
33272,105,32199
33149,79,32204
32966,110,32111
32864,109,31998
32830,125,32211
32884,107,32101
32856,106,32119
32862,107,32133
32948,107,32239
32970,128,32233
32950,108,32068
32897,104,32195
32825,103,32167
32733,95,32133
32685,112,32227
32705,110,32060
32747,110,31963
32804,111,32181
32820,111,32091
32809,113,32196
32925,106,32164
32918,104,32059
32869,113,32060
32776,110,32172
32738,127,32165
32742,103,31948
32800,111,32143
32908,111,32070
32976,123,32164
33012,106,32125
32968,104,32035
32897,102,32173
32872,103,32143
32793,106,32127
32788,106,32208
32821,105,32111
32872,107,31964
32846,104,32143
32806,105,32227
32796,104,32035
32774,104,32183
32745,93,32245
32756,111,32076
32756,113,32220
32785,109,32215
32852,110,32164
32919,109,32046
32948,115,32231
32897,119,32222
32860,105,32167
32788,105,32302
32756,105,32192
32696,113,32385
32600,113,32293
32616,113,32155
32621,112,32377
32664,110,32263
32749,105,32349
32828,107,32197
32812,104,32420
32772,106,32404
32707,99,32315
32620,113,32492
32553,113,32460
32520,113,32383
32606,111,32259
32708,110,32471
32740,110,32356
32752,110,32532
32776,110,32420
32733,110,32292
32674,112,32511
32668,111,32451
32612,111,32567
32656,109,32540
32696,109,32397
32734,112,32551
32793,129,32441
32841,106,32574
32860,105,32441
32812,102,32573
32757,112,32532
32664,112,32615
32604,106,32439
32584,104,32528
32586,104,32660
32654,114,32462
32728,110,32623
32796,106,32605
32780,106,32627
32768,105,32505
32728,84,32652
32689,111,32563
32633,113,32646
32624,107,32493
32628,103,32655
32676,112,32719
32704,112,32455
32684,121,32676
32672,114,32663
32641,105,32639
32590,105,32480
32589,112,32652
32681,110,32638
32736,107,32720
32788,102,32703
32897,113,32605
32977,109,32711
33001,123,32772
32961,107,32708
32864,103,32527
32817,90,32744
32789,110,32807
32664,111,32647
32600,113,32564
32671,129,32759
32837,123,32660
32928,125,32820
32989,123,32775
33002,121,32676
33032,115,32817
32981,111,32839
32880,110,32824
32764,129,32720
32797,106,32903
32864,105,32859
32960,106,32743
33028,103,32885
33063,112,32775
33056,112,32893
32997,112,32935
32972,111,32803
32904,110,32685
32884,111,32919
32908,112,32929
32936,109,32925
32974,113,32929
33016,102,32861
33127,103,32871
33185,82,33009
33144,103,33002
33076,101,32897
32984,113,32767
32940,111,32991
32996,112,32995
33092,108,32903
33124,109,32966
33140,109,33079
33132,116,32929
33153,111,32802
33121,105,33031
33040,108,33021
32976,104,33059
32940,103,32953
33052,103,32854
33088,104,32844
33124,113,32847
33124,113,32870
33160,111,33081
33161,110,33099
33094,110,33013
33009,108,33093
33000,110,33111
32952,110,33007
32940,109,32881
32944,112,33111
33020,110,33031
33134,109,32999
33292,73,33007
33415,111,33157
33468,110,33011
33566,110,32925
33589,109,33109
33469,114,33140
33412,105,33059
33344,104,33147
33247,105,33119
32973,104,33044
32546,103,33147
32176,104,32933
31696,113,33140
31092,114,33113
30429,113,33189
29668,112,32957
28910,110,33170
28056,112,33091
27175,111,33229
26309,109,33075
25247,109,33181
24626,109,33156
24657,109,33071
25609,110,33063
27124,112,33173
28580,122,33252
30052,110,33238
31712,111,33165
33511,109,33079
34898,108,32996
35448,109,33199
35657,110,33193
35700,108,33165
35424,113,33169
35057,91,33165
34672,111,33189
34292,102,33249
33981,103,33183
33810,103,33063
33728,103,33049
33697,104,32949
33652,104,33181
33632,104,33124
33568,103,33089
33557,103,33189
33520,106,33023
33536,104,32987
33558,104,32909
33581,91,33098
33585,75,33067
33570,113,33037
33484,110,33082
33437,110,32935
33468,107,33037
33448,105,33070
33408,102,32885
33423,103,32775
33462,103,32992
33524,104,32981
33553,111,32865
33520,112,32981
33457,110,32881
33421,128,32763
33364,113,32965
33336,126,32856
33264,110,32855
33185,113,32900
33204,118,32999
33252,128,32967
33340,106,32832
33349,106,32733
33328,104,32973
33249,104,32925
33248,104,33013
33244,104,32977
33136,104,32869
33088,112,32992
33004,113,32963
33012,110,32875
33022,113,32954
33049,96,33027
33060,112,32955
32968,110,32771
32893,111,33005
32850,129,32894
32808,106,33047
32800,103,32925
32789,105,32885
32858,106,32775
32985,104,32999
33052,106,32945
33061,104,32997
33044,103,32989
32948,74,32853
32868,106,32783
32804,102,32746
32796,105,32733
32893,100,32951
32954,111,32925
33061,112,32871
33156,112,32977
33172,109,32857
33140,111,32701
33065,110,32900
32967,110,32877
32832,127,32955
32845,121,32835
32876,107,32669
32913,103,32871
32960,106,32759
33052,103,32823
33092,112,32887
33108,112,32843
33104,110,32935
33108,129,32759
33132,123,32679
33150,105,32791
33205,104,32925
33244,102,32805
33260,71,32762
33308,113,32873
33373,109,32868
33341,113,32821
33328,111,32909
33249,112,32759
33156,110,32791
33088,110,32893
33066,110,32775
33056,111,32829
33120,114,32935
33172,114,32878
33160,83,32775
33088,107,32837
32985,104,32676
32879,107,32903
32792,106,32871
32717,110,32767
32644,115,32828
32689,113,32966
32812,111,32919
32888,125,32713
32918,128,32909
32901,125,32884
32833,113,32807
32740,109,32809
32663,110,32964
32640,122,32845
32615,126,32801
32698,107,32690
32797,107,32932
32884,105,32891
32879,103,32807
32895,102,32970
32872,112,32814
32737,110,32951
32692,131,32834
