ECG,EDA,RR
30552,6303,29316
30568,6305,29152
30525,6301,29356
30536,6295,29301
30497,6300,29248
30572,6327,29166
30596,6327,29147
30601,6319,29095
30632,6340,29063
30702,6358,29007
30736,6386,28896
30760,6295,29052
30780,6316,28860
30792,6303,28632
30816,6281,28852
30828,6277,28749
30824,6300,28956
30830,6313,28914
30856,6308,28823
30900,6324,28700
30877,6317,28700
30828,6312,28703
30792,6306,28689
30818,6297,28668
30853,6300,28783
30836,6315,28813
30792,6349,28807
30796,6286,28798
30808,6294,28784
30800,6298,28890
30800,6300,28798
30784,6327,28665
30760,6316,28949
30820,6342,28849
30852,6283,29135
30864,6293,28935
30860,6313,28924
30884,6284,29221
30888,6297,29036
30916,6303,29044
30949,6314,29165
30936,6337,29186
30884,6351,29226
30900,6287,29372
30973,6282,29190
30964,6307,29191
30892,6284,29268
30956,6312,29393
31042,6323,29500
31074,6360,29444
31072,6296,29496
31060,6304,29489
31060,6306,29488
31089,6328,29686
31144,6283,29440
31209,6297,29641
31320,6305,29599
31376,6342,29793
31388,6359,29857
31444,6405,29824
31456,6299,29717
31484,6302,29678
31540,6320,29824
31608,6324,29847
31704,6314,29896
31772,6404,29807
31824,6279,30002
31932,6307,30021
32064,6327,29871
32176,6412,30025
32336,6295,30053
32444,6306,29969
32544,6313,29957
32604,6300,30176
32721,6294,30260
32828,6309,30181
32825,6347,30084
32950,6281,30180
33086,6298,30244
33256,6323,30245
33388,6323,30429
33500,6308,30447
33600,6311,30384
33664,6305,30392
33764,6301,30405
33780,6311,30378
33832,6273,30330
33884,6279,30172
33928,6308,30465
33928,6323,30359
34028,6363,30589
34052,6283,30416
34056,6281,30351
34130,6276,30255
34184,6274,30532
34112,6269,30575
34112,6276,30556
34156,6293,30565
34212,6307,30725
34204,6327,30585
34156,6285,30621
34156,6294,30617
34116,6295,30697
34148,6308,30685
34168,6331,30581
34192,6273,30680
34180,6270,30711
34212,6283,30618
34275,6294,30796
34184,6333,30471
34133,6290,30724
34144,6283,30717
34092,6280,30881
34116,6292,30760
34148,6305,30664
34168,6298,30830
34165,6308,30724
34160,6329,30982
34112,6349,31007
34052,6440,30901
34016,6452,30791
34016,6402,30629
34020,6286,30853
34036,6295,30960
34037,6305,31007
34004,6413,30764
33996,6269,30709
33868,6270,30968
33828,6302,30916
33836,6324,30847
33776,6287,30716
