ECG,EDA,RR
30836,6200,35514
30824,6148,35444
30832,6176,35512
30916,6129,35564
30968,6153,35596
30988,6245,35621
31020,6144,35776
31045,6164,35739
31120,6227,35862
31240,6155,35758
31292,6183,35668
31268,6225,35740
31264,6160,35824
31262,6162,35800
31276,6199,35900
31320,6132,36007
31448,6169,35935
31520,6188,36005
31564,6151,35975
31596,6170,36150
31573,6277,35687
31608,6168,36064
31636,6212,35739
31708,6169,36164
31800,6190,35757
31910,6158,36257
32068,6175,36181
32088,6223,36255
32160,6149,35883
32192,6167,36348
32293,6197,35866
32361,6138,36276
32416,6157,35918
32446,6189,36234
32492,6132,36228
32612,6171,36225
32741,6186,36036
32821,6147,36215
32880,6179,36300
32908,6206,36228
33000,6138,36332
33076,6155,36313
33136,6196,36356
33218,6137,36282
33184,6167,36295
33216,6128,36480
33276,6178,36416
33344,6141,36544
33344,6194,36409
33433,6146,36297
33616,6164,36278
33620,6140,36249
33552,6166,36405
33588,6187,36009
33640,6128,36543
33684,6181,36404
33712,6145,36349
33744,6191,36286
33736,6136,36356
33764,6162,36351
33748,6140,36400
33836,6149,36334
33800,6159,36380
33656,6118,36320
33608,6172,36287
33604,6124,36208
33552,6159,36230
33646,6135,36330
33736,6164,36287
33748,6140,36398
33724,6149,36300
33796,6134,36408
33748,6163,36312
33732,6193,36405
33645,6137,36292
33608,6164,36392
33656,6128,36255
33720,6183,36368
33760,6137,36252
33808,6175,36231
33764,6129,36137
33752,6156,36061
33668,6129,36127
33616,6135,35882
33612,6181,36113
33596,6117,36256
33608,6160,36236
33633,6238,36327
33596,6175,36201
33492,6142,36180
33440,6167,36040
33429,6149,36149
33444,6193,36172
33536,6114,36292
33612,6134,35791
33672,6142,36103
33672,6167,36228
33708,6197,36037
33744,6141,36096
33756,6165,36125
33712,6180,36076
33616,6129,36156
33544,6132,35940
33580,6156,35997
33488,6120,35972
33368,6119,35972
33391,6143,35990
33452,6208,35972
33560,6135,35992
33632,6159,35975
33656,6188,36024
33572,6129,36047
33480,6155,36142
33472,6165,35648
33524,6118,35884
33540,6148,35863
33572,6185,35895
33596,6131,35892
33580,6153,35940
33568,6213,35757
33504,6131,35905
33528,6166,35719
33576,6120,36016
33584,6140,35650
33612,6177,35888
33614,6117,35878
33664,6163,35892
33668,6196,35660
33636,6158,36049
33592,6221,35921
33504,6164,35876
33408,6181,35884
33372,6118,35661
33412,6145,35877
33428,6116,35520
33460,6133,36021
33504,6205,35877
33600,6132,35964
33712,6159,35831
33780,6188,35740
33769,6130,35748
33756,6176,35788
33668,6115,35361
33596,6152,35725
33569,6116,35396
33512,6148,35719
33544,6122,35631
33576,6144,35738
33540,6202,35591
33500,6139,35676
33568,6183,35533
33688,6121,35628
33780,6157,35463
33796,6113,35412
33716,6147,35328
33648,6196,35225
33550,6136,35365
33452,6169,35313
33528,6135,35393
33564,6149,35156
33540,6176,35143
33518,6123,35100
33500,6140,35089
33520,6239,35073
33548,6138,35007
33568,6181,34993
33592,6126,34832
33556,6129,34845
33496,6177,34788
33452,6127,34807
33404,6153,34766
33384,6214,34768
33429,6118,34804
33460,6138,34747
33540,6116,34751
33532,6133,34438
33496,6143,34597
33389,6189,34695
33280,6128,34561
33208,6163,34656
33188,6257,34487
33212,6124,34452
33280,6149,34325
33404,6121,34311
33436,6108,34425
33456,6132,34347
33464,6129,34389
33472,6127,33909
33460,6149,34088
33441,6188,34117
33436,6130,34155
33444,6124,34153
33421,6143,34027
33365,6142,34055
33292,6112,34172
33292,6117,33845
33336,6139,33900
33400,6175,34001
33448,6127,33911
33432,6148,33997
33396,6191,33813
33364,6126,33743
33384,6132,33776
33372,6153,33740
33388,6109,33839
33456,6149,33685
33488,6152,33508
33464,6132,33604
33388,6132,33597
33376,6157,33532
33404,6129,33340
33354,6146,33599
33332,6122,33467
33325,6127,33557
33332,6151,33332
33356,6116,33350
33308,6158,33199
33276,6165,33211
33348,6301,33311
33364,6126,33028
33372,6154,33197
33384,6160,33072
33389,6121,33159
33332,6134,33145
33281,6155,33079
33204,6117,32839
33216,6168,33256
33244,6130,32925
33336,6130,33065
33420,6144,33080
33488,6183,33073
33472,6118,33189
33404,6148,32767
