ECG,EDA,RR
32896,7362,30196
32888,7461,30301
32924,7384,30553
32900,7466,30388
32908,7358,30146
32996,7333,30341
33008,7399,30502
32988,7359,30215
33024,7345,30388
33088,7371,30254
32805,7432,30297
32844,7370,30508
32806,7407,30279
32888,7359,30097
32896,7399,30348
32900,7354,30314
32879,7420,30382
32956,7357,30334
32960,7347,30198
33028,7361,30449
33032,7423,30456
33008,7353,30313
33053,7399,30092
33044,7356,30341
33024,7372,30336
33000,7335,30224
32964,7388,30177
33044,7339,30372
33028,7378,30405
33026,7463,30439
33024,7359,30420
33088,7413,30418
33188,7348,30305
33068,7367,30214
33024,7398,30254
33024,7362,30196
32928,7394,30030
32884,7353,30260
32944,7367,30268
32860,7420,30277
32829,7346,30248
32685,7366,30271
32509,7408,30265
32296,7351,30260
31960,7366,30241
31532,7332,30191
31108,7368,30163
30504,7397,30068
29872,7350,30061
29414,7387,30101
29600,7394,30145
31104,7438,30166
33776,7346,30148
36989,7362,30164
40396,7389,30172
44128,7323,30165
47544,7359,30130
50452,7380,29924
52928,7410,30121
53960,7338,30180
52608,7391,30033
50004,7395,30010
47741,7337,29944
45448,7353,29804
43525,7373,29815
42160,7316,30049
40752,7368,30017
39172,7330,29997
37392,7354,29968
35500,7396,29964
33877,7344,29941
32744,7344,29902
31860,7361,29862
31040,7362,29683
30536,7426,29821
30272,7331,29569
30104,7360,29781
29900,7378,29737
29868,7344,29756
29840,7369,29712
29772,7358,29579
29592,7354,29669
29581,7369,29808
29544,7389,29690
29508,7354,29596
29433,7363,29600
29368,7332,29463
29332,7352,29741
29446,7470,29708
29476,7354,29700
29508,7370,29764
29636,7446,29765
29540,7376,29769
29600,7341,29613
29588,7366,29609
29468,7381,29719
29460,7333,29596
29497,7341,29727
29624,7369,29728
29668,7371,29716
29700,7354,29652
29656,7366,29559
29700,7376,29641
29652,7340,29765
29662,7366,29620
29844,7334,29420
29932,7352,29332
29916,7336,29551
29932,7380,29523
30072,7482,29500
30024,7361,29476
29980,7365,29454
29869,7417,29390
29944,7356,29247
29957,7378,29301
30014,7373,29332
30040,7333,29068
29973,7345,29199
30032,7370,29245
30132,7400,29386
30181,7354,29253
30060,7378,29199
29984,7397,29252
30060,7336,29191
30140,7359,29060
30176,7371,29134
30153,7332,29156
30176,7361,29138
30276,7410,29170
30293,7383,29104
30328,7408,29055
30276,7349,29130
30232,7364,29152
30192,7422,29129
30140,7354,29101
30197,7381,29140
30190,7333,29144
30232,7373,29172
30240,7351,29290
30189,7403,29322
30208,7358,29301
30324,7407,29548
30380,7354,29502
30369,7397,29424
30308,7359,29364
30348,7453,29577
30368,7339,29600
30372,7348,29553
30340,7371,29583
30400,7419,29544
30420,7353,29521
30476,7366,29804
30444,7437,29861
30450,7338,29912
30400,7334,29898
30312,7364,29887
30358,7335,29829
30506,7364,29917
30480,7409,29935
30480,7356,29879
30524,7382,29917
30580,7353,29954
30612,7403,30196
30695,7356,30234
30660,7374,30349
30693,7335,30471
30600,7351,30516
30580,7397,30501
30692,7352,30407
30781,7388,30343
30744,7356,30548
30872,7380,30564
30876,7349,30493
30864,7357,30600
30896,7415,30774
30956,7366,30669
31017,7468,30502
31072,7346,30793
31101,7381,30813
31148,7356,30808
31320,7372,30753
31380,7360,30800
31513,7365,30921
31572,7417,31111
31744,7368,30996
31764,7392,30971
31776,7348,30830
31872,7373,30843
31952,7473,30975
32080,7367,31048
32220,7403,31004
32417,7349,30964
32568,7361,31000
32696,7341,31308
32696,7352,31220
32817,7396,31239
32832,7341,31404
32964,7398,31399
33136,7381,31218
33268,7349,31460
33404,7379,31596
33396,7346,31510
33456,7372,31434
33412,7341,31535
33436,7380,31543
33540,7334,31465
33716,7386,31526
33792,7332,31484
33748,7388,31521
33696,7361,31727
33693,7391,31788
33701,7345,31768
33612,7380,31659
33544,7441,31797
33576,7329,31879
33612,7355,31772
33700,7332,31751
33768,7368,31744
33804,7396,31764
33788,7340,31780
33708,7373,31805
33724,7375,31815
33773,7334,31887
33852,7367,31900
33660,7373,31853
33704,7320,31956
33637,7339,31975
33600,7389,31998
33548,7333,32021
33548,7354,32033
33636,7360,32046
33660,7398,32031
33665,7356,31901
33604,7356,31924
33640,7321,32190
33660,7352,32181
33568,7421,32197
33452,7336,32132
33484,7368,32014
33472,7341,31999
33493,7364,31797
33509,7340,32111
33548,7345,32093
33440,7357,32100
33328,7475,32124
33288,7323,32135
33348,7358,32116
33432,7333,32040
33568,7364,32150
33616,7465,32263
33361,7364,32207
33296,7375,32127
33288,7334,32117
33248,7361,32088
33288,7349,32092
33280,7325,32104
33210,7330,32121
33152,7355,32101
33196,7336,31901
33296,7349,31943
33340,7373,31980
33390,7340,32214
33412,7340,32208
33216,7359,32245
33236,7420,32257
33280,7321,31991
33208,7359,32244
33172,7325,32281
33173,7348,32263
33137,7386,32301
33124,7340,32300
33208,7354,32316
33176,7358,32065
33248,7425,32214
33080,7320,32276
33069,7353,32380
33260,7354,32377
33312,7383,32404
33304,7334,32420
33224,7342,32381
33104,7352,32380
33173,7340,32378
33192,7364,32332
33196,7378,32321
33128,7325,32364
33124,7343,32372
33092,7324,32364
33108,7348,32393
33184,7376,32377
33248,7333,32385
33104,7371,32380
33056,7486,32416
33120,7335,32423
33205,7349,32455
33244,7420,32432
33168,7319,32428
33020,7345,32445
33124,7326,32412
33120,7346,32415
33160,7388,32434
33180,7341,32412
33212,7355,32400
33100,7407,32388
33157,7325,32413
33232,7337,32412
33177,7381,32402
33076,7322,32218
33134,7348,32289
33268,7331,32179
33324,7363,32382
33256,7336,32385
32989,7359,32381
33056,7475,32368
33080,7361,32353
33072,7374,32116
33132,7339,32348
33102,7361,32327
33136,7326,32061
33140,7335,32423
33057,7373,32402
33148,7394,32333
33276,7335,32237
33189,7350,32186
33120,7328,32084
33112,7336,32227
33072,7319,32232
33068,7356,32197
33088,7391,32053
33012,7329,32047
33076,7370,32229
33021,7392,32280
33033,7331,32211
33028,7368,32172
33066,7365,32007
33052,7320,32036
33126,7337,32053
33125,7344,32041
33128,7332,32012
33128,7366,31820
33085,7378,31773
32988,7338,32048
33056,7338,31879
33056,7370,32039
33062,7324,32043
33004,7350,32021
32998,7364,31920
33056,7313,31980
33148,7357,32109
33062,7435,32084
32961,7344,31879
33108,7381,31929
33100,7330,31950
33224,7357,31945
33028,7357,31928
32964,7320,31876
32840,7349,31807
32940,7346,31776
32952,7417,31740
33000,7331,31948
33032,7364,31995
33044,7458,31829
32940,7333,31828
32968,7334,31927
33000,7344,31782
33036,7419,31751
