ECG,EDA,RR
33424,7820,37007
33324,7776,36965
33320,7780,36779
33444,7789,36868
33520,7815,36799
33512,7846,36789
33476,7793,36668
33440,7812,36678
33472,7837,36637
33588,7777,36591
33629,7805,36596
33604,7806,36535
33524,7782,36517
33428,7821,36324
33380,7843,36488
33470,7795,36097
33509,7820,36270
33496,7825,36246
33416,7829,35876
33460,7830,36225
33486,7845,36108
33516,7926,36028
33584,7782,36100
33672,7805,35748
33696,7833,35990
33712,7889,36072
33740,7815,35846
33720,7811,35893
33672,7808,35807
33536,7813,35909
33488,7831,35783
33492,7776,35479
33484,7781,35689
33468,7798,35664
33576,7806,35549
33585,7828,35465
33604,7839,35431
33540,7892,35527
33548,7780,35493
33576,7799,35537
33600,7789,35380
33596,7817,35183
33532,7777,35335
33484,7783,35181
33492,7795,35325
33492,7795,35381
33494,7810,35370
33512,7805,35268
33468,7804,35185
33469,7819,35084
33480,7832,34957
33509,7769,35071
33600,7785,35045
33476,7814,34968
33464,7809,34874
33448,7845,35043
33396,7861,35024
33353,7789,35040
33369,7796,34823
33372,7791,34687
33320,7794,34685
33316,7808,34668
33328,7841,34556
33404,7790,34734
33457,7789,34695
33472,7793,34688
33413,7807,34679
33368,7808,34659
33348,7800,34631
33352,7804,34608
33356,7817,34575
33328,7775,34462
33376,7779,34444
33420,7792,34392
33437,7824,34407
33420,7812,34333
33496,7814,34300
33544,7837,34444
33544,7917,34463
33524,7774,34351
33504,7787,34264
33469,7798,33980
33500,7834,34310
33437,7788,34295
33376,7793,34209
33382,7820,34366
33364,7857,34228
33312,7788,33936
33380,7808,34137
33396,7856,34300
33416,7773,34055
33432,7809,33814
33400,7805,34075
33376,7923,34196
33412,7811,33989
33476,7845,34046
33452,7897,34010
33369,7787,33892
33333,7796,34062
33336,7806,33949
33465,7829,33852
33452,7773,33695
33456,7770,33887
33504,7799,33773
33512,7815,33942
33496,7792,33765
33480,7824,33820
33452,7823,33711
33449,7781,33775
33432,7804,33472
33429,7827,33617
33380,7770,33794
33368,7784,33772
33432,7803,33561
33436,7844,33360
33438,7937,33268
33436,7784,33564
33372,7785,33510
33313,7815,33405
33184,7813,33436
33028,7895,33580
32673,7769,33451
32316,7811,33102
31868,7817,33360
31432,7847,33270
30836,7797,33248
30153,7803,33304
29716,7807,33269
30000,7844,33340
31792,7778,33280
34936,7811,32916
38612,7829,33144
42516,7768,33196
46256,7796,33038
49572,7853,33110
52224,7771,33045
53964,7813,33037
53872,7811,33109
51564,7830,32925
49184,7772,32692
46941,7757,32952
45064,7786,32884
43968,7831,32879
42876,7770,32932
41445,7787,32772
39640,7798,32596
37632,7820,32736
35793,7785,32669
34084,7776,32752
32840,7790,32591
32036,7832,32324
31496,7762,32263
31096,7775,32504
30822,7815,32404
30608,7800,32293
30464,7848,32464
30296,7787,32229
30176,7798,32062
30080,7797,31951
30004,7808,32202
29992,7854,32167
29916,7768,32015
29836,7797,32207
29801,7797,32236
29824,7844,32007
29760,7790,32066
29762,7817,31973
29760,7808,31953
29780,7840,32095
29744,7774,31943
29780,7780,31820
29880,7789,31672
29937,7825,31808
29988,7780,31716
29993,7804,31785
30024,7840,31600
30033,7789,31618
30028,7785,31580
30028,7801,31501
30049,7790,31440
30096,7829,31276
30164,7773,31355
30152,7769,31348
30152,7809,31357
30168,7811,31298
30124,7845,31064
30080,7791,30913
30128,7801,31017
30180,7823,30828
30200,7780,31025
30225,7801,30805
30248,7797,30661
30252,7844,30762
30244,7807,30660
30228,7837,30772
30220,7793,30680
30268,7789,30504
30348,7802,30294
30386,7821,30537
30444,7777,30454
30473,7780,30405
30492,7805,30495
30448,7788,30505
30414,7822,30460
30408,7791,30324
30414,7795,30267
30444,7807,30354
30408,7822,30375
30360,7861,30324
30404,7779,30215
30404,7787,30494
30485,7798,30297
30534,7820,30120
30482,7873,30400
30480,7787,30312
30524,7807,30533
30536,7822,30510
30480,7835,30437
30502,7785,30388
30464,7780,30492
30484,7789,30495
30436,7821,30471
30368,7773,30655
30360,7811,30508
30364,7813,30370
30376,7843,30663
30388,7795,30613
30386,7788,30799
30336,7799,30791
30300,7843,30676
30268,7781,30800
30404,7821,30772
30444,7779,30969
30432,7821,30785
30472,7789,30892
30484,7823,30900
30505,7846,30957
30441,7811,30860
30436,7816,31005
30444,7781,30893
30528,7788,30956
30593,7830,31054
30648,7801,31223
30656,7841,31037
30672,7793,31160
30704,7825,31144
30756,7799,31129
30701,7810,31197
30784,7844,31184
30856,7779,31293
30901,7804,31042
30907,7829,31255
30912,7780,31460
30966,7831,31074
31084,7788,31342
31136,7810,31525
31301,7940,31174
31472,7794,31447
31548,7823,31438
31616,7775,31485
31668,7805,31239
31796,7770,31500
31868,7797,31590
31996,7786,31485
32138,7802,31588
32268,7808,31588
32404,7843,31601
32513,7786,31580
32632,7802,31391
32772,7921,31647
32826,7777,31677
32872,7805,31716
32984,7773,31455
33112,7815,31700
33228,7831,31664
33304,7787,31605
33428,7844,31660
33509,7788,31684
33468,7792,31743
33420,7775,31855
33436,7793,31575
33480,7780,31740
33549,7914,31840
33532,7781,31454
33669,7794,31709
33704,7845,31854
33716,7783,31648
33753,7795,31716
33812,7812,31594
33756,7866,31852
33800,7760,31846
33816,7780,31653
33813,7783,31492
33836,7807,31741
33856,7845,31699
33896,7780,31837
33900,7805,31652
33816,7858,31750
33716,7807,31853
33648,7820,31551
33604,7760,31750
33624,7797,31660
33736,7811,31820
33764,7772,31700
33808,7779,31478
33814,7798,31737
33845,7820,31629
33796,7780,31848
33744,7781,31602
33716,7783,31773
33737,7850,31721
33672,7760,31769
33776,7777,31812
33868,7834,31600
33876,7774,31597
33717,7789,31744
33692,7797,31695
33624,7916,31704
33637,7766,31812
33668,7778,31711
33692,7817,31698
33812,7773,31700
33850,7809,31581
33800,7764,31709
33773,7789,31800
33689,7852,31631
33736,7804,31700
33700,7831,31825
33612,7769,31685
33634,7789,31406
33636,7813,31556
33656,7759,31815
33656,7780,31596
33672,7804,31693
33618,7778,31567
33617,7796,31622
33640,7838,31724
33668,7773,31631
33732,7807,31812
33676,7778,31682
33584,7808,31713
33552,7752,31613
33612,7795,31666
33655,7825,31767
33624,7769,31668
33692,7806,31865
33698,7801,31571
33632,7772,31738
33572,7799,31873
33588,7810,31690
33624,7758,31797
33652,7789,31672
33668,7791,31916
33560,7827,31839
33484,7778,31799
33548,7799,31652
33564,7776,31746
33572,7790,31796
33556,7824,31679
33504,7764,31885
33492,7793,31636
33556,7806,31788
33520,7758,31702
33460,7780,31702
33464,7831,31456
33568,7775,31652
33605,7809,31762
33521,7829,31693
33453,7765,31552
33416,7799,31768
33464,7801,31495
33476,7760,31660
33404,7762,31604
33360,7800,31620
33316,7797,31608
33413,7783,31332
33424,7795,31517
33392,7787,31396
33256,7804,31362
33200,7762,31573
33232,7770,31295
33224,7782,31414
33272,7829,31239
33392,7768,31483
33384,7790,31255
33340,7835,31285
33312,7775,31197
33225,7808,31372
33180,7811,31097
33204,7765,31178
33240,7764,31248
33180,7787,30911
33188,7764,31005
33198,7764,31182
33180,7809,31132
33288,7799,30901
33268,7814,30693
33268,7810,30940
33268,7826,30884
33192,7760,30860
33104,7753,30981
33110,7794,30740
33080,7781,30567
33064,7768,30672
33150,7772,30877
33164,7771,30861
33132,7787,30734
33100,7802,30580
33128,7803,30642
33168,7764,30460
33188,7784,30668
33180,7786,30552
33156,7878,30523
33076,7782,30417
33077,7821,30500
33076,7774,30171
33094,7788,30373
33040,7804,30260
33132,7815,30487
33084,7894,30252
33072,7754,30158
33076,7751,30032
33044,7777,30253
33040,7821,30086
33064,7767,30341
32948,7778,30130
33080,7797,29941
33112,7844,30036
33118,7761,30172
33061,7755,30205
33012,7772,29996
33037,7813,30047
33020,7749,30104
33037,7775,29912
33057,7799,29976
33052,7791,29981
32984,7806,29921
32864,7793,29959
32844,7831,29897
32820,7759,29660
32824,7769,29881
32825,7782,29744
32854,7798,29886
32828,7836,29836
32808,7767,29573
32832,7780,29828
32848,7791,29818
32925,7833,29703
32876,7760,29772
32824,7780,29727
32780,7773,29866
32752,7798,29698
32732,7758,29500
32700,7759,29724
32720,7779,29652
32728,7792,29824
32788,7837,29429
32736,7769,29519
32720,7795,29631
32744,7777,29382
32532,7808,29622
32436,7751,29738
32372,7752,29588
32420,7763,29351
32480,7805,29453
32566,7805,29605
32552,7859,29540
32584,7769,29415
32576,7780,29497
32542,7818,29533
32488,7754,29389
32572,7757,29608
32636,7773,29252
32712,7798,29440
32753,7826,29420
32648,7773,29492
32704,7795,29232
32704,7807,29338
32676,7769,29559
32697,7767,29201
32708,7780,29397
32702,7792,29447
32748,7821,29406
32748,7756,29160
32824,7770,29369
32908,7783,29256
32952,7785,29380
32916,7786,29224
32898,7817,29294
32868,7859,29439
32813,7749,29086
32848,7761,29292
32816,7786,29331
32809,7797,29020
32774,7767,29120
32832,7772,29226
32860,7788,29239
32820,7801,29189
32814,7765,29279
32800,7751,29004
32736,7755,29148
32756,7780,29120
32748,7754,29209
32764,7753,29241
32826,7791,29094
32832,7802,29162
32864,7767,29191
32862,7770,28976
32813,7793,29100
32820,7783,29169
32872,7822,29142
32864,7747,29103
32893,7765,29013
32901,7780,29044
32948,7821,28966
32904,7772,29157
33004,7807,28828
32940,7823,28919
32900,7762,28946
32900,7780,29006
32741,7804,29132
32480,7750,28975
32076,7760,28869
31652,7774,28935
31212,7806,28950
30608,7774,28784
29888,7780,28921
29360,7793,28909
29492,7814,28872
31004,7761,28769
33756,7767,28872
37000,7776,28965
40508,7827,28596
44297,7744,28807
47872,7800,28928
50872,7798,28705
53216,7873,28780
54124,7755,28612
52544,7796,28802
50156,7791,28487
48012,7815,28709
45856,7729,28708
44240,7758,28551
42988,7792,28616
41548,7839,28558
39956,7766,28690
38012,7809,28309
35964,7761,28409
34125,7773,28449
32724,7782,28466
31864,7748,28517
31316,7771,28158
30925,7780,28341
30672,7806,28183
30516,7819,28408
30316,7774,28164
30166,7772,28015
30068,7792,28223
29960,7780,28113
29912,7768,28062
29868,7767,28301
29788,7765,28251
29712,7775,28116
29712,7810,27968
29644,7762,28133
29692,7773,28212
29640,7780,28031
29566,7804,28136
29584,7819,27970
29620,7827,28214
29664,7840,27964
29668,7742,28040
29760,7763,27876
29832,7773,28071
29776,7805,27789
29777,7821,27896
29800,7830,27781
29800,7763,27923
29936,7763,27625
29932,7778,27734
29888,7773,27662
29852,7806,27503
29952,7756,27564
30054,7763,27486
30144,7788,27351
30129,7773,27358
30101,7780,27343
30032,7792,27083
30060,7836,27143
30053,7752,27225
30017,7762,27111
29944,7787,27142
30064,7753,26784
30153,7771,26968
30236,7789,26653
30248,7815,26822
30328,7847,26676
30348,7764,26748
30372,7778,26692
30320,7824,26623
30260,7750,26713
30303,7750,26484
30342,7777,26574
30324,7756,26525
30325,7769,26445
30280,7785,26503
30276,7804,26360
30302,7771,26527
30272,7772,26249
30368,7772,26460
30360,7780,26383
30356,7808,26571
30336,7749,26356
30340,7786,26471
30420,7800,26575
30420,7829,26289
30365,7771,26502
30344,7772,26631
30325,7773,26504
30348,7772,26359
30288,7837,26463
30360,7751,26653
30242,7786,26477
30176,7803,26620
30196,7898,26756
30244,7783,26715
30264,7800,26796
30266,7771,26631
30316,7763,26808
30288,7787,26863
30308,7790,26623
30248,7752,26746
30216,7782,26925
30208,7798,26757
30308,7768,26919
30326,7803,27067
30398,7802,26805
30456,7845,27001
30448,7768,27141
30496,7777,27085
30488,7790,26997
30432,7748,27045
30588,7767,27117
30592,7800,27256
30644,7767,27205
30652,7789,27365
30676,7851,27073
30716,7766,27164
30728,7796,27218
30792,7789,27357
30816,7823,27508
30784,7758,27303
30841,7775,27401
30888,7780,27455
30876,7815,27482
30932,7776,27492
31030,7773,27505
31220,7791,27565
31332,7788,27527
31532,7814,27688
31630,7747,27411
31744,7771,27614
31824,7781,27536
31880,7782,27768
32052,7812,27607
32222,7771,27726
32348,7767,27886
32468,7767,27693
32616,7778,27561
32856,7805,27742
32992,7748,27815
33125,7781,27863
33116,7771,27874
33076,7795,27911
33108,7765,27744
33292,7762,27922
33432,7780,27952
33492,7779,27866
33609,7784,27972
33708,7810,27944
33724,7747,27885
33773,7741,28012
33814,7750,27896
33796,7773,28038
33800,7780,28038
33860,7821,27921
33900,7764,28029
33880,7777,28095
34072,7774,27964
34088,7817,27996
34116,7738,28117
34117,7741,28023
34084,7759,28192
34033,7772,28101
34084,7784,28053
34152,7828,28191
34240,7759,28210
34268,7769,28244
34252,7789,27989
34144,7762,28255
33976,7769,28124
33992,7797,28322
34016,7740,28066
34057,7751,28294
34040,7756,28303
34040,7789,28178
33965,7781,28455
33856,7803,28244
33884,7821,28364
33920,7745,28340
33872,7738,28241
33764,7740,28441
33620,7759,28295
33693,7832,28416
33700,7749,28282
33720,7772,28543
33812,7777,28360
33752,7793,28220
33616,7793,28476
33608,7799,28446
33560,7740,28343
33612,7733,28484
33556,7764,28508
33544,7762,28406
33508,7777,28389
33604,7790,28519
33633,7812,28567
33640,7855,28439
33684,7851,28562
33676,7834,28670
33796,7737,28735
33828,7734,28570
33836,7770,28404
33776,7760,28669
33796,7784,28600
33794,7814,28815
33732,7841,28716
33733,7840,28612
33672,7886,28701
33744,7741,28730
33616,7743,28613
33648,7859,28765
33636,7839,28839
33660,7894,28903
33676,7831,28933
33765,7819,28964
33832,7815,28951
33756,7815,28823
33704,7798,28781
33664,7807,28647
33668,7868,28916
33676,7734,28785
33624,7760,28967
33624,7798,28933
33600,7755,28877
33696,7759,29058
33808,7793,28948
33836,7783,28820
33760,7769,28861
33732,7756,28781
33760,7764,29023
33824,7766,29049
33884,7769,29049
33781,7774,29015
33736,7790,28937
33676,7813,28937
33634,7760,29178
33664,7753,29052
33720,7746,28969
33660,7752,29064
33620,7772,29028
33724,7754,29170
33636,7765,29036
33661,7766,28988
33636,7803,28809
33572,7757,29061
33517,7756,28900
33532,7748,29141
33472,7747,29007
33392,7777,28844
33372,7764,28777
33384,7748,28990
33516,7775,28974
33458,7781,28919
33372,7840,29071
33496,7752,28836
33420,7777,28957
33432,7785,28873
33381,7766,28978
33320,7790,28839
33348,7809,28736
33308,7792,28770
33296,7787,28745
33240,7804,28585
33168,7811,28801
33208,7858,28814
33216,7754,28728
33280,7753,28764
33352,7747,28872
33400,7739,28815
33231,7733,28853
33176,7731,28611
33264,7744,28696
33308,7756,28542
33412,7766,28709
33340,7786,28642
33208,7813,28542
33304,7801,28484
33244,7842,28623
33204,7732,28692
33192,7767,28488
33240,7751,28332
33216,7740,28461
33160,7769,28548
33136,7766,28460
33132,7780,28549
33096,7785,28565
33168,7796,28348
33156,7791,28468
