ECG,EDA,RR
32332,44719,36097
32356,44711,36031
32373,44709,36163
32354,44711,35577
32420,44709,35981
32440,44709,36095
32360,44727,35911
32390,44716,36009
32533,44705,35964
32620,44711,36065
32508,44714,36074
32513,44711,35929
32512,44643,35965
32456,44647,35893
32474,44663,35981
32545,44701,35679
32525,44725,35933
32573,44711,35876
32628,44703,35897
32640,44703,35975
32624,44705,35493
32628,44707,35883
32604,44695,36015
32576,44703,35869
32628,44701,35847
32748,44709,35783
32748,44713,35920
32745,44711,35775
32876,44703,35807
32884,44676,35685
32872,44647,35847
32868,44655,35505
32869,44655,35751
32868,44708,35654
32881,44705,35815
32941,44711,35676
32877,44701,35644
32844,44692,35757
32954,44691,35756
33000,44702,35625
33008,44700,35567
33073,44636,35756
33172,44695,35581
33117,44701,35639
33120,44707,35645
33142,44679,35679
33106,44711,35532
33084,44660,35596
33200,44671,35479
33276,44695,35676
33312,44687,35215
33412,44687,35557
33508,44689,35541
33449,44700,35583
33464,44687,35541
33488,44687,35541
33407,44667,35701
33388,44655,35163
33464,44676,35477
33500,44693,35671
33429,44695,35519
33469,44679,35469
33445,44679,35609
33376,44679,35199
33360,44693,35541
33453,44687,35548
33364,44700,35526
33360,44701,35535
33428,44692,35537
33424,44679,35479
33357,44695,35479
33300,44679,35572
33275,44679,35521
33143,44687,35519
33052,44679,35528
32964,44695,35540
32844,44684,35591
32732,44688,35484
32748,44689,35527
32756,44655,35366
32652,44671,35588
32612,44679,35535
32544,44679,35397
32375,44679,35601
32332,44685,35559
32409,44679,35618
32349,44687,35300
32352,44693,35551
32377,44679,35709
32404,44679,35551
32324,44695,35477
32337,44679,35548
32356,44676,35563
32332,44631,35739
32318,44631,35318
32388,44670,35564
32396,44687,35709
32413,44692,35647
32494,44676,35617
32512,44679,35729
32434,44673,35575
32454,44669,35703
32477,44618,35775
32472,44620,35373
32486,44661,35684
32586,44679,35845
32584,44671,35769
32573,44669,35868
32608,44679,35633
32592,44671,35751
32549,44663,35862
32612,44675,35809
32673,44662,35693
32641,44674,35890
32610,44621,35847
32668,44679,35806
32679,44679,36035
32709,44677,35925
32784,44661,35811
32800,44660,35959
32758,44669,35975
32780,44671,36047
32748,44661,35951
32660,44677,35992
32612,44603,36183
32713,44643,36019
32724,44615,36091
32705,44623,35866
32767,44671,35985
32760,44655,36153
32713,44663,36135
32766,44655,36285
32742,44661,35767
32644,44661,36015
32637,44671,36202
32688,44628,36189
32644,44647,36148
32668,44669,36351
32776,44607,35813
32828,44601,36111
32780,44607,36297
