ECG,EDA,RR
31536,53471,39647
31577,53463,39560
31617,53484,39399
31692,53445,39277
31692,53479,39319
31656,53479,39252
31656,53477,39130
31680,53415,38976
31639,53445,38900
31696,53455,38757
31742,53445,38731
31845,53471,38651
31864,53383,38580
31920,53447,38442
31968,53477,38379
31951,53453,38593
32040,53445,38471
32080,53431,38283
32040,53447,37830
32036,53439,38201
32052,53348,38107
31976,53429,37962
31936,53404,38007
32048,53423,38023
32086,53447,37871
32088,53440,37759
32120,53428,37271
32157,53359,37677
32128,53439,37599
32136,53439,37383
32188,53415,37553
32161,53428,37551
32156,53383,37373
32205,53413,37179
32180,53445,37193
32173,53357,37151
32196,53421,36650
32208,53415,37061
32151,53424,37027
32168,53407,36911
32116,53407,36775
32056,53383,36972
32057,53415,36852
32080,53405,36719
32054,53421,36701
31996,53367,36534
31993,53420,36487
31980,53413,36437
31864,53357,36093
31808,53395,36433
31811,53399,36359
31744,53349,36159
31668,53405,36287
31708,53407,36327
31696,53407,36308
31632,53327,36239
31600,53405,36228
31636,53407,35997
31633,53325,35889
31685,53383,35887
31717,53369,35828
31716,53391,35679
31745,53383,35819
31784,53397,35637
31784,53314,35700
31780,53397,35802
31828,53383,35705
31836,53365,35695
31848,53373,35671
31908,53373,35479
31976,53375,35024
31997,53373,35448
32028,53367,35356
32076,53379,35207
32021,53311,35175
31988,53383,35160
32020,53373,35207
32037,53380,35087
32037,53383,35151
32060,53317,35143
32073,53279,35103
32100,53349,35087
32141,53367,35047
32250,53255,34944
32264,53373,34983
32284,53319,34986
32340,53357,34837
32369,53341,34823
32278,53348,34837
32248,53351,34727
32288,53335,34635
32241,53342,34645
32256,53340,34831
32316,53351,34751
32276,53342,34701
32213,53359,34633
32246,53353,34541
32242,53255,34125
32165,53335,34545
32157,53333,34455
32215,53277,34310
32169,53335,34455
32180,53335,34547
32290,53287,34449
32341,53337,34197
32348,53287,34335
32372,53335,34327
32416,53327,34207
32388,53319,34395
32392,53308,34253
32448,53319,34127
32456,53319,34207
32452,53311,34172
32512,53253,34015
32524,53327,34239
32487,53319,34005
32553,53319,34055
32560,53308,34073
32449,53316,34028
32412,53300,33996
32423,53303,33991
32356,53309,33652
32320,53303,33956
32408,53317,33906
32476,53319,33815
32501,53311,34031
32614,53271,33917
32612,53309,33785
32508,53319,33851
32472,53253,33807
32500,53287,33917
32492,53233,33831
32512,53284,33713
32570,53230,33735
32548,53293,33745
32512,53303,33557
32572,53295,33799
32657,53300,33783
32684,53293,33613
32736,53255,33574
32740,53207,33615
32689,53255,33608
32685,53205,33551
32713,53277,33591
32712,53221,33394
32700,53287,33628
32748,53287,33623
32760,53255,33151
32716,53277,33492
32740,53277,33447
32793,53255,33303
32820,53255,33588
32825,53282,33509
32864,53255,33361
32888,53276,33403
32850,53275,33257
32894,53255,33460
32936,53255,33388
32948,53255,33335
32932,53255,33316
32970,53255,33253
32952,53255,33301
32902,53255,33269
32905,53245,33119
32925,53183,33140
32894,53255,33199
32926,53253,33079
32972,53255,33177
32920,53241,33125
32881,53231,33031
32966,53235,33151
32964,53245,33121
32988,53247,32992
33055,53223,32995
33085,53255,33149
33098,53253,33253
33148,53253,33239
33150,53175,33114
33134,53239,33083
33172,53239,32871
33164,53231,33110
33109,53231,33095
33101,53247,32708
33152,53229,33063
33174,53231,33095
33248,53167,32939
33408,53221,33108
33456,53186,33159
33420,53230,33137
33365,53219,33108
33244,53146,32980
33103,53221,32996
33096,53229,33052
33161,53215,33023
33216,53215,32949
33142,53157,33082
33056,53223,33148
33044,53207,33180
33117,53164,33126
33088,53200,33127
33180,53212,33024
32962,53205,33095
32780,53211,33123
32804,53140,32957
32776,53215,33181
32784,53173,32823
32848,53213,33132
32909,53207,33172
32864,53148,33172
32848,53204,33175
32848,53191,33191
32748,53207,33213
32710,53198,33060
32822,53206,33371
32694,53127,33342
32639,53207,33244
32774,53209,33063
32885,53167,32917
32629,53199,33337
32525,53175,33343
32688,53185,33311
32832,53135,33367
32856,53179,33237
32839,53207,33445
32696,53127,33562
32692,53192,33621
32788,53197,33575
32866,53173,33380
32928,53127,33173
32877,53181,33552
