ECG,EDA,RR
30412,32684,28265
30548,32679,28268
30784,32669,28281
31181,32661,28257
31636,32647,28292
31888,32647,28249
31784,32660,28317
31488,32679,28303
31237,32678,28295
31064,32672,28329
31078,32679,28333
31268,32676,28301
31548,32661,28301
32004,32647,28352
32508,32646,28354
32773,32639,28325
32680,32653,28348
32425,32666,28365
32098,32673,28340
31941,32657,28385
31944,32663,28378
32100,32663,28361
32308,32652,28391
32716,32637,28393
33176,32644,28366
33457,32642,28391
33365,32633,28409
33068,32653,28378
32712,32661,28419
32464,32671,28423
32428,32662,28395
32542,32663,28428
32724,32647,28437
33068,32633,28407
33448,32630,28467
33568,32646,28452
33418,32647,28429
33112,32661,28472
32772,32663,28477
32512,32663,28503
32493,32655,28482
32653,32653,28533
32848,32642,28535
33160,32639,28505
33541,32639,28572
33700,32633,28589
33572,32637,28557
33225,32663,28626
32856,32661,28625
32600,32661,28655
32524,32661,28652
32616,32647,28679
32780,32637,28712
33068,32637,28695
33420,32628,28738
33624,32639,28732
33480,32640,28799
33168,32663,28803
32856,32653,28782
32572,32660,28861
32489,32647,28871
32557,32647,28847
32736,32629,28860
33101,32635,28948
33512,32626,28964
33696,32637,28940
33568,32636,28976
33248,32659,29015
32900,32657,28995
32681,32660,29042
32584,32660,29068
32605,32653,29105
32748,32647,29059
33044,32629,29128
33390,32631,29109
33528,32631,29180
33416,32645,29156
33148,32655,29224
32832,32669,29197
32576,32663,29292
32484,32661,29275
32569,32654,29316
32778,32640,29373
33172,32640,29381
33540,32639,29436
33616,32628,29452
33436,32641,29510
33132,32657,29461
32812,32660,29557
32448,32660,29571
32273,32657,29639
32332,32647,29644
32506,32647,29698
32912,32628,29665
33293,32636,29762
33508,32638,29756
33372,32647,29831
33062,32647,29782
32684,32666,29888
32389,32671,29896
32313,32661,29917
32416,32660,30017
32592,32655,30017
32889,32637,30069
33248,32645,30023
33336,32647,30116
33144,32639,30105
32808,32663,30149
32524,32668,30227
32332,32665,30233
32276,32671,30297
32316,32663,30264
32421,32654,30332
32752,32647,30325
33188,32647,30373
33304,32647,30439
33185,32656,30398
32900,32671,30509
32572,32677,30544
32367,32671,30605
32304,32676,30564
32400,32669,30650
32624,32668,30712
33008,32655,30686
33392,32647,30754
33493,32652,30708
33344,32665,30831
32960,32673,30777
32613,32679,30910
32341,32677,30855
32252,32665,30981
32316,32677,30989
32556,32671,31087
32972,32655,31073
33388,32657,31162
33552,32660,31207
33300,32679,31233
32901,32684,31258
32576,32693,31196
32357,32692,31324
32272,32689,31289
32289,32685,31423
32388,32676,31367
32740,32671,31495
33128,32665,31471
33236,32675,31598
33088,32681,31645
32784,32689,31662
32428,32698,31717
32228,32703,31689
32139,32703,31798
32180,32694,31724
32384,32692,31871
32752,32677,31855
33116,32672,31959
33292,32678,31955
33204,32692,32068
32859,32701,32100
32448,32710,32035
32156,32719,32186
32172,32707,32119
32348,32705,32215
32552,32703,32308
32928,32679,32228
33293,32685,32367
33420,32687,32364
33240,32697,32495
32876,32711,32543
32536,32727,32479
32328,32725,32574
32300,32716,32574
32364,32711,32647
32544,32705,32713
32928,32695,32647
33280,32703,32775
33396,32708,32868
33238,32719,32784
32932,32724,32939
32625,32735,32962
32352,32735,33029
32268,32727,33060
32325,32733,33100
32508,32718,32997
32957,32711,33164
33304,32715,33220
33500,32716,33188
33364,32721,33263
32984,32733,33180
32612,32749,33303
32320,32747,33286
32248,32743,33412
32324,32731,33461
32566,32734,33495
32972,32719,33501
33352,32720,33468
33428,32722,33527
33268,32743,33599
32912,32753,33540
32504,32767,33696
32252,32768,33727
32204,32757,33638
32292,32759,33761
32512,32743,33820
33000,32740,33729
33409,32743,33881
33516,32747,33861
33300,32748,33956
32960,32764,33865
32633,32774,33981
32372,32775,34052
32336,32775,33959
32498,32774,34048
32716,32771,34085
33060,32753,34160
33420,32759,34093
33600,32749,34082
33492,32775,34279
33164,32788,34263
32820,32793,34321
32613,32799,34212
32574,32796,34375
32628,32791,34358
32815,32764,34415
33216,32775,34461
33588,32774,34362
33708,32761,34519
33548,32791,34532
33272,32809,34437
32932,32805,34599
32680,32819,34567
32636,32809,34657
32661,32809,34543
32737,32804,34629
32997,32799,34738
33324,32781,34720
33444,32803,34780
33336,32812,34677
33052,32823,34693
32725,32826,34877
32460,32831,34836
32376,32833,34924
32392,32836,34911
32572,32823,34941
32865,32807,35005
33113,32813,34893
33208,32812,34997
33114,32823,35052
32852,32830,35103
32584,32849,34988
32364,32854,35164
32325,32844,35108
32368,32849,35197
32568,32843,35066
32952,32842,35233
33332,32835,35193
33436,32839,35269
33248,32856,35201
32900,32862,35231
32489,32869,35325
32212,32876,35319
32208,32876,35399
32312,32877,35334
32500,32868,35393
32836,32855,35461
33220,32864,35387
33348,32871,35458
33156,32877,35512
32668,32877,35396
32208,32901,35544
31864,32893,35564
31812,32897,35448
31972,32886,35623
32212,32888,35588
32420,32878,35526
32480,32883,35512
31948,32898,35677
31152,32908,35644
30708,32924,35695
31124,32938,35589
32090,32926,35654
33624,32908,35768
35657,32895,35774
38160,32877,35648
41164,32861,35789
44416,32849,35776
47824,32855,35700
51221,32856,35760
54116,32844,35858
55152,32873,35852
53760,32856,35767
49784,32879,35764
45224,32884,35868
42772,32879,35899
41301,32883,35908
39848,32890,35965
38320,32908,35814
36676,32924,36000
35152,32949,35921
33844,32965,35967
32860,32967,35856
32112,32975,35997
31560,32969,35975
31213,32947,36039
31128,32966,35892
31092,32954,36071
31020,32974,36057
30745,32988,35901
30308,33005,36071
29861,33007,36052
29477,33013,35905
29283,33008,36064
29302,32992,35984
29504,33007,36040
29846,32971,35895
30140,32997,36038
30160,33007,35976
29860,33020,36007
29477,33028,35847
29160,33039,35973
29013,33045,35926
29004,33047,35932
29098,33040,35950
29276,33031,35780
29585,33025,35898
29905,33017,35943
30028,33023,35876
29948,33047,35898
29756,33048,35932
29492,33063,35944
29272,33065,35805
29212,33067,35912
29266,33069,36000
29444,33060,35940
29880,33049,36005
30304,33044,35908
30442,33059,35906
30284,33061,36036
30048,33079,36087
29716,33084,35952
29516,33089,36088
29500,33067,36072
29620,33091,36134
29760,33082,35980
30096,33074,36127
30456,33079,36076
30652,33077,36142
30552,33093,35989
30288,33105,36117
30032,33102,36076
29812,33113,36089
29816,33109,36100
29921,33079,35949
30108,33108,35960
30437,33095,35984
