ECG,EDA,RR
33320,33543,47076
33236,33552,46948
32896,33557,46805
32448,33564,46623
32100,33536,46471
31944,33563,46299
31960,33556,46148
32084,33543,45933
32390,33526,45758
32816,33508,45428
33056,33518,45423
33038,33513,45239
32760,33524,45157
32380,33540,44948
32069,33537,44797
31976,33516,44591
32036,33521,44446
32245,33515,44151
32568,33500,43991
33008,33487,43871
33236,33488,43681
33180,33505,43476
32910,33497,43125
32598,33495,42973
32337,33505,42686
32216,33505,42639
32241,33497,42338
32412,33482,42172
32712,33469,41855
33148,33457,41917
33359,33457,41693
33284,33447,41313
33020,33470,41191
32660,33479,40819
32336,33474,40908
32156,33471,40659
32102,33460,40305
32172,33435,40317
32398,33443,40086
32740,33431,39911
32960,33431,39576
32860,33437,39276
32454,33450,39345
31829,33452,39071
31028,33459,38748
30280,33456,38713
29918,33447,38496
30416,33441,38127
31808,33415,38143
33824,33389,37913
35952,33381,37598
38232,33383,37568
40789,33377,37220
43448,33369,37142
46452,33348,36984
49692,33345,36773
53152,33319,36484
55760,33297,36478
56240,33311,36279
54096,33287,36034
49428,33299,35897
45488,33325,35621
42940,33332,35613
40588,33346,35410
38444,33353,35127
36616,33353,35124
35128,33360,34837
34116,33359,34804
33436,33343,34636
33100,33345,34391
32668,33349,34284
31972,33351,34087
31160,33369,34046
30408,33375,33892
29860,33372,33628
29528,33375,33599
29417,33375,33437
29458,33359,33189
29640,33349,33146
29981,33334,32989
30136,33332,32845
30048,33314,32609
29716,33351,32543
29340,33359,32454
29021,33347,32194
28896,33345,32138
28928,33333,32002
29116,33305,31817
29396,33324,31668
29806,33307,31592
30020,33316,31453
29936,33309,31357
29661,33319,31254
29324,33327,31097
29032,33324,31085
28928,33318,30997
28988,33319,30862
29188,33305,30817
29504,33278,30650
29920,33285,30687
30224,33281,30641
30200,33252,30481
29976,33287,30503
29684,33300,30456
29424,33287,30435
29357,33287,30272
29457,33255,30326
29684,33274,30301
30044,33252,30144
30464,33245,30190
30741,33238,30155
30728,33254,30009
30476,33261,30002
30160,33266,29988
29856,33263,29951
29772,33256,29815
29824,33253,29819
30004,33241,29774
30324,33197,29694
30742,33217,29639
30936,33215,29607
30874,33196,29557
30601,33231,29421
30257,33239,29442
29952,33201,29381
29790,33227,29247
29828,33220,29261
29997,33185,29188
30276,33191,29145
30668,33183,29050
30912,33183,28969
30882,33189,28931
30620,33203,28873
30245,33186,28847
29921,33215,28842
29780,33195,28789
29817,33189,28753
29994,33157,28698
30340,33167,28647
30752,33167,28621
30980,33159,28606
30952,33167,28573
30676,33168,28503
30356,33175,28503
30084,33183,28458
29976,33157,28448
30041,33167,28384
30232,33149,28397
30588,33141,28359
31052,33105,28300
31336,33135,28297
31320,33132,28302
31096,33149,28265
30808,33151,28218
30552,33148,28236
30476,33141,28210
30552,33131,28194
30800,33124,28184
31156,33109,28151
31620,33100,28151
31908,33099,28125
31912,33100,28109
31700,33117,28125
31426,33112,28107
31184,33119,28088
31154,33092,28084
31262,33097,28063
31502,33091,28084
31876,33079,28063
32388,33075,28052
32717,33069,28046
32724,33068,27986
32524,33084,28029
32222,33089,28038
31980,33085,28029
31936,33079,28021
32052,33069,28025
32292,33055,28018
32659,33042,28004
33137,33031,28018
33420,33031,28013
33400,33040,28011
33148,33045,28004
32812,33047,28001
32544,33051,27996
32468,33053,28017
32576,33037,28019
32788,33027,28031
33089,33007,28026
33528,32995,28036
33777,33005,28057
33741,33009,28057
33492,33009,28055
33144,33020,28095
32824,33020,28102
32704,33023,28103
32780,33010,28126
32960,32993,28166
33276,32985,28167
33681,32978,28191
33892,32979,28212
33812,32980,28216
33508,32995,28261
33156,32993,28286
32871,32991,28312
32741,32985,28311
32800,32973,28365
32944,32974,28394
33228,32965,28423
33642,32948,28423
33864,32940,28490
33768,32941,28516
33456,32956,28519
33074,32951,28573
32768,32967,28600
32662,32959,28612
32712,32952,28637
32816,32939,28711
33088,32929,28740
33504,32927,28783
33780,32909,28782
33700,32932,28857
33396,32941,28871
33080,32937,28903
32768,32943,28973
32640,32939,29023
32700,32924,29017
32880,32916,29095
33157,32913,29141
33572,32896,29185
33852,32879,29180
33812,32903,29256
33520,32915,29284
33160,32921,29345
32832,32919,29380
32729,32909,29391
32776,32901,29396
32964,32886,29503
33276,32885,29524
33694,32875,29519
33920,32873,29598
33832,32879,29624
33536,32884,29600
33194,32894,29703
32892,32893,29719
32770,32884,29695
32832,32866,29775
32988,32864,29796
33321,32855,29762
33716,32848,29838
33924,32841,29863
33873,32853,29863
33578,32866,29935
33228,32861,29955
32912,32851,29894
32805,32856,30001
32833,32848,30017
32978,32828,29954
33284,32839,30052
33684,32820,30063
33908,32821,30009
33864,32827,30036
33588,32839,30103
33228,32850,30144
32932,32839,30076
32844,32832,30185
32876,32826,30183
33030,32811,30140
33356,32805,30177
33766,32802,30249
33964,32796,30236
33842,32807,30236
33528,32819,30220
33196,32819,30281
32876,32813,30263
32800,32815,30245
32844,32803,30324
32976,32799,30349
33288,32785,30268
33720,32775,30372
33948,32770,30372
33888,32774,30337
33624,32797,30323
33281,32793,30421
32977,32793,30397
32836,32788,30423
32876,32772,30386
33024,32772,30367
33272,32769,30468
33652,32733,30480
33892,32748,30415
33844,32744,30487
33576,32759,30534
33216,32772,30466
32897,32769,30522
32728,32767,30567
32748,32765,30485
32857,32746,30591
33132,32725,30584
33488,32732,30544
33704,32735,30640
33694,32743,30599
33460,32747,30676
33158,32751,30659
32880,32740,30717
32812,32741,30741
32924,32717,30654
33108,32731,30753
33400,32716,30741
33784,32705,30751
34005,32707,30829
33980,32711,30828
33668,32727,30776
33317,32724,30855
33028,32725,30807
32922,32727,30900
32972,32708,30869
33104,32710,30918
33368,32701,30879
33700,32692,30940
33920,32684,30953
33892,32692,30855
33652,32700,30964
33353,32708,30983
33064,32707,30877
32916,32679,30996
32953,32687,30996
33108,32685,30908
33380,32676,30993
33741,32670,30912
33900,32660,31037
33813,32675,30975
33456,32679,30940
33064,32687,31042
32792,32679,31068
32668,32684,31046
32696,32671,31064
32824,32660,30975
33134,32647,31064
33496,32647,31097
33687,32644,31062
33612,32660,31076
33296,32655,31058
32940,32663,31117
32660,32661,31137
32564,32658,31117
32588,32647,31135
32754,32647,31048
33056,32620,31133
33425,32627,31140
33625,32630,31121
33564,32632,31190
33252,32639,31201
32888,32645,31100
32572,32647,31174
32460,32634,31220
32520,32633,31097
32669,32623,31218
32940,32612,31234
33308,32607,31140
33528,32604,31230
33460,32612,31239
33184,32623,31116
32800,32623,31238
32428,32629,31246
32256,32616,31186
32229,32611,31202
32316,32611,31135
32580,32599,31196
32928,32583,31209
33080,32581,31167
32784,32582,31162
31972,32604,31213
30977,32618,31234
30300,32626,31116
30548,32618,31228
31696,32591,31207
33415,32581,31123
35572,32573,31233
38296,32543,31227
41392,32524,31122
44380,32517,31239
47424,32524,31239
50528,32523,31127
53652,32505,31214
56000,32492,31261
56260,32516,31219
54000,32505,31202
49448,32482,31164
45932,32487,31260
43744,32492,31246
41596,32498,31289
39376,32524,31181
37300,32532,31255
35488,32551,31313
34164,32557,31312
33165,32551,31209
32512,32534,31340
32092,32543,31318
31792,32533,31359
31500,32535,31257
31120,32540,31356
30588,32556,31345
30012,32565,31381
29552,32569,31284
29311,32564,31265
29264,32544,31314
29360,32553,31340
29580,32537,31365
29905,32527,31239
30096,32525,31317
30004,32529,31283
29704,32545,31269
29344,32555,31184
29045,32552,31159
28926,32534,31191
28984,32547,31193
29121,32529,31060
29396,32500,31154
29796,32502,31149
30037,32508,31088
30000,32516,31069
29736,32519,31024
29356,32535,31046
29064,32535,31173
28972,32529,31173
29072,32509,31143
29280,32508,31148
29612,32495,31239
