ECG,EDA,RR
33792,39815,27508
33716,39837,27487
33432,39837,27574
33168,39871,27596
33000,39861,27452
32952,39849,27440
32996,39855,27429
33116,39852,27395
33409,39844,27319
33704,39847,27290
33872,39854,27310
33825,39815,27399
33588,39887,27378
33356,39887,27262
33292,39874,27169
33304,39887,27178
33188,39887,27113
33128,39879,27052
33332,39874,27102
33636,39844,27135
33768,39871,26989
33684,39892,27009
33340,39903,26897
33042,39908,27042
32888,39878,27015
32884,39909,26871
32908,39901,26797
33004,39873,26808
33257,39895,26713
33584,39899,26670
33668,39901,26704
33532,39923,26701
33265,39931,26780
33048,39926,26749
32961,39932,26722
32924,39924,26640
32972,39903,26661
33092,39931,26503
33388,39923,26499
33656,39912,26450
33732,39879,26457
33612,39932,26553
33324,39943,26510
33020,39941,26412
32944,39943,26329
32936,39943,26294
33000,39943,26268
33085,39925,26285
33324,39943,26291
33604,39940,26193
33716,39941,26346
33612,39967,26195
33276,39943,26189
33020,39981,26178
32944,39971,26213
32948,39970,26159
32988,39972,26143
33124,39967,26127
33408,39964,26093
33704,39943,26085
33816,39941,26251
33712,39981,26235
33426,39984,26148
33172,39943,26137
33060,39994,26095
32984,39988,26071
33048,39991,26116
33132,39986,26069
33400,39977,26037
33702,39940,26013
33842,39981,26225
33781,39988,26124
33472,40007,26041
33188,40017,26094
33052,40004,26060
32965,39999,26010
32961,39999,26153
33004,39994,26042
33232,39992,26003
33477,39983,26036
33604,39999,25936
33520,40007,26151
33180,40020,26002
32928,40020,25988
32780,40024,25964
32692,40023,25957
32716,39981,25961
32840,40013,25880
33080,40004,26096
33316,39971,25945
33408,40009,25959
33396,40025,25933
33204,40021,25856
33028,40044,26025
32940,40037,26015
32927,40033,26015
32964,40038,25929
33044,40028,25920
33260,40031,25855
33572,40018,26029
33760,40028,25929
33646,40023,25943
33244,40063,25930
32944,40057,25840
32817,40020,25928
32668,40055,26042
32696,40056,25949
32903,40012,25868
33236,40039,25919
33524,40045,25828
33716,40025,25915
33668,40052,26008
33388,40071,25880
33024,40071,25882
32924,40069,25861
32960,40071,25782
33060,40071,25812
33096,40047,25948
33286,40052,25939
33564,40060,25812
33735,40057,25810
33620,40071,25794
33280,40049,25742
32949,40087,25838
32752,40087,25969
32718,40044,25876
32736,40085,25810
32801,40039,25839
33026,40070,25791
33348,40069,25765
33492,40071,25843
33381,40085,26001
33072,40102,25854
32808,40101,25893
32696,40093,25837
32664,40055,25831
32692,40100,25924
32764,40093,26066
33008,40085,26007
33304,40079,25983
33388,40085,25983
33300,40060,25968
33049,40103,25983
32812,40107,26033
32732,40111,25990
32613,40103,25973
32553,40069,25964
32692,40100,26067
32976,40097,26230
33252,40092,26207
33353,40096,26149
33208,40115,26186
32812,40084,26111
32473,40129,26108
32384,40116,26129
32312,40127,26181
32293,40118,26178
32360,40117,26116
32480,40101,26217
32724,40097,26279
32852,40060,26277
32713,40111,26316
32220,40127,26247
31552,40137,26213
30788,40133,26221
30172,40147,26265
30132,40103,26197
31084,40122,26190
32872,40105,26181
34950,40079,26300
37404,40087,26414
40284,40093,26306
43336,40084,26244
46448,40068,26288
49968,40053,26263
53789,40016,26193
57496,39999,26196
59648,39976,26349
59584,39983,26382
56616,39996,26264
51524,40013,26247
47756,40041,26268
44796,40080,26192
41792,40096,26410
39016,40113,26349
36732,40112,26265
35088,40112,26225
33900,40125,26261
33088,40116,26188
32576,40116,26148
31921,40119,26132
31137,40135,26100
30344,40102,26207
29680,40148,26252
29244,40156,26224
28984,40157,26220
28848,40113,26173
28789,40140,26105
